File name = Dx_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.873395e+002
2.929655e+001, 4.872673e+002
5.859310e+001, 4.881616e+002
8.788965e+001, 4.910394e+002
1.171862e+002, 4.957484e+002
1.464828e+002, 5.007116e+002
1.757793e+002, 5.060055e+002
2.050759e+002, 5.103329e+002
2.343724e+002, 5.128548e+002
2.636690e+002, 5.143594e+002
2.929655e+002, 5.148467e+002
3.222621e+002, 5.148254e+002
3.515586e+002, 5.144481e+002
3.808552e+002, 5.139690e+002
4.101517e+002, 5.135408e+002
4.394483e+002, 5.122988e+002
4.687448e+002, 5.106499e+002
4.980414e+002, 5.093062e+002
5.273379e+002, 5.077590e+002
5.566345e+002, 5.060084e+002
5.859310e+002, 5.030625e+002
6.152276e+002, 4.995571e+002
6.445241e+002, 4.954668e+002
6.738207e+002, 4.913765e+002
7.031172e+002, 4.877185e+002
7.324138e+002, 4.856373e+002
7.617103e+002, 4.827931e+002
7.910069e+002, 4.778890e+002
8.203034e+002, 4.713319e+002
8.496000e+002, 4.643933e+002
8.788965e+002, 4.585736e+002
9.081931e+002, 4.541782e+002
9.374896e+002, 4.509271e+002
9.667862e+002, 4.476251e+002
9.960828e+002, 4.435348e+002
1.025379e+003, 4.390376e+002
1.054676e+003, 4.349473e+002
1.083972e+003, 4.317217e+002
1.113269e+003, 4.292081e+002
1.142566e+003, 4.267454e+002
1.171862e+003, 4.242827e+002
1.201159e+003, 4.218200e+002
1.230455e+003, 4.202220e+002
1.259752e+003, 4.193360e+002
1.289048e+003, 4.175854e+002
1.318345e+003, 4.154533e+002
1.347641e+003, 4.132449e+002
1.376938e+003, 4.118249e+002
1.406234e+003, 4.102777e+002
1.435531e+003, 4.093409e+002
1.464828e+003, 4.085058e+002
1.494124e+003, 4.073910e+002
1.523421e+003, 4.061235e+002
1.552717e+003, 4.043729e+002
1.582014e+003, 4.028257e+002
1.611310e+003, 4.020161e+002
1.640607e+003, 4.015625e+002
1.669903e+003, 4.011343e+002
1.699200e+003, 4.003500e+002
1.728497e+003, 3.990826e+002
1.757793e+003, 3.974337e+002
1.787090e+003, 3.961663e+002
1.816386e+003, 3.952295e+002
1.845683e+003, 3.941146e+002
1.874979e+003, 3.932795e+002
