File name = B1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.561002e+002
3.907532e+001, 3.530089e+002
7.815064e+001, 3.542154e+002
1.172260e+002, 3.537181e+002
1.563013e+002, 3.527121e+002
1.953766e+002, 3.514264e+002
2.344519e+002, 3.494286e+002
2.735272e+002, 3.477869e+002
3.126026e+002, 3.458908e+002
3.516779e+002, 3.443508e+002
3.907532e+002, 3.424547e+002
4.298285e+002, 3.404060e+002
4.689038e+002, 3.383065e+002
5.079791e+002, 3.358510e+002
5.470545e+002, 3.330394e+002
5.861298e+002, 3.310162e+002
6.252051e+002, 3.301628e+002
6.642804e+002, 3.305047e+002
7.033557e+002, 3.312026e+002
7.424311e+002, 3.317479e+002
7.815064e+002, 3.328528e+002
8.205817e+002, 3.353817e+002
8.596570e+002, 3.400978e+002
8.987323e+002, 3.454751e+002
9.378077e+002, 3.506490e+002
9.768830e+002, 3.564840e+002
1.015958e+003, 3.650148e+002
1.055034e+003, 3.777926e+002
1.094109e+003, 3.934696e+002
1.133184e+003, 4.085108e+002
1.172260e+003, 4.221787e+002
1.211335e+003, 4.337104e+002
1.250410e+003, 4.442757e+002
1.289486e+003, 4.563160e+002
1.328561e+003, 4.686615e+002
1.367636e+003, 4.800405e+002
1.406711e+003, 4.889274e+002
1.445787e+003, 4.948387e+002
1.484862e+003, 4.998854e+002
1.523937e+003, 5.047032e+002
1.563013e+003, 5.092667e+002
1.602088e+003, 5.132198e+002
1.641163e+003, 5.155962e+002
1.680239e+003, 5.173623e+002
1.719314e+003, 5.188231e+002
1.758389e+003, 5.197754e+002
1.797465e+003, 5.197104e+002
1.836540e+003, 5.188824e+002
1.875615e+003, 5.172407e+002
1.914691e+003, 5.154972e+002
1.953766e+003, 5.133468e+002
1.992841e+003, 5.107387e+002
2.031917e+003, 5.073167e+002
2.070992e+003, 5.019111e+002
2.110067e+003, 4.945982e+002
2.149143e+003, 4.861663e+002
2.188218e+003, 4.781158e+002
2.227293e+003, 4.707774e+002
2.266369e+003, 4.637951e+002
2.305444e+003, 4.548291e+002
2.344519e+003, 4.434217e+002
2.383594e+003, 4.315566e+002
2.422670e+003, 4.209121e+002
2.461745e+003, 4.108272e+002
2.500820e+003, 4.018612e+002
2.539896e+003, 3.941668e+002
2.578971e+003, 3.875405e+002
2.618046e+003, 3.810159e+002
2.657122e+003, 3.743388e+002
2.696197e+003, 3.688823e+002
2.735272e+003, 3.647992e+002
2.774348e+003, 3.616824e+002
2.813423e+003, 3.594303e+002
2.852498e+003, 3.577885e+002
2.891574e+003, 3.565028e+002
2.930649e+003, 3.561326e+002
2.969724e+003, 3.553555e+002
3.008800e+003, 3.551634e+002
3.047875e+003, 3.553272e+002
3.086950e+003, 3.552622e+002
3.126026e+003, 3.548920e+002
3.165101e+003, 3.544710e+002
3.204176e+003, 3.542025e+002
3.243251e+003, 3.540358e+002
3.282327e+003, 3.528009e+002
3.321402e+003, 3.514644e+002
3.360477e+003, 3.498226e+002
3.399553e+003, 3.482826e+002
3.438628e+003, 3.460305e+002
3.477703e+003, 3.437784e+002
3.516779e+003, 3.417297e+002
3.555854e+003, 3.399354e+002
3.594929e+003, 3.380393e+002
3.634005e+003, 3.362958e+002
3.673080e+003, 3.345015e+002
3.712155e+003, 3.330632e+002
3.751231e+003, 3.325404e+002
3.790306e+003, 3.326788e+002
3.829381e+003, 3.334785e+002
3.868457e+003, 3.354989e+002
3.907532e+003, 3.386891e+002
3.946607e+003, 3.422353e+002
3.985683e+003, 3.467988e+002
4.024758e+003, 3.539054e+002
4.063833e+003, 3.637332e+002
4.102908e+003, 3.736627e+002
4.141984e+003, 3.826004e+002
4.181059e+003, 3.911311e+002
4.220134e+003, 4.028663e+002
4.259210e+003, 4.178058e+002
4.298285e+003, 4.351866e+002
4.337360e+003, 4.511434e+002
4.376436e+003, 4.626750e+002
4.415511e+003, 4.703412e+002
4.454586e+003, 4.771426e+002
4.493662e+003, 4.849613e+002
4.532737e+003, 4.942550e+002
4.571812e+003, 5.023789e+002
4.610888e+003, 5.088243e+002
4.649963e+003, 5.137947e+002
4.689038e+003, 5.170866e+002
4.728114e+003, 5.195139e+002
4.767189e+003, 5.217886e+002
4.806264e+003, 5.235546e+002
4.845340e+003, 5.250155e+002
4.884415e+003, 5.251539e+002
4.923490e+003, 5.245803e+002
4.962566e+003, 5.230402e+002
5.001641e+003, 5.205847e+002
5.040716e+003, 5.177731e+002
5.079791e+003, 5.152667e+002
5.118867e+003, 5.114887e+002
5.157942e+003, 5.055236e+002
5.197017e+003, 4.981852e+002
5.236093e+003, 4.907451e+002
5.275168e+003, 4.826947e+002
5.314243e+003, 4.740847e+002
5.353319e+003, 4.646101e+002
5.392394e+003, 4.545252e+002
5.431469e+003, 4.443385e+002
5.470545e+003, 4.336432e+002
5.509620e+003, 4.223884e+002
5.548695e+003, 4.117948e+002
5.587771e+003, 4.030323e+002
5.626846e+003, 3.954905e+002
5.665921e+003, 3.891185e+002
5.704997e+003, 3.831025e+002
5.744072e+003, 3.769086e+002
5.783147e+003, 3.708672e+002
5.822223e+003, 3.655379e+002
5.861298e+003, 3.623957e+002
5.900373e+003, 3.602962e+002
5.939448e+003, 3.590613e+002
5.978524e+003, 3.581825e+002
6.017599e+003, 3.574563e+002
6.056674e+003, 3.566283e+002
6.095750e+003, 3.562582e+002
6.134825e+003, 3.561931e+002
6.173900e+003, 3.564842e+002
6.212976e+003, 3.562157e+002
6.252051e+003, 3.558201e+002
6.291126e+003, 3.556788e+002
6.330202e+003, 3.552069e+002
6.369277e+003, 3.538703e+002
6.408352e+003, 3.524829e+002
6.447428e+003, 3.510954e+002
6.486503e+003, 3.496062e+002
6.525578e+003, 3.479645e+002
6.564654e+003, 3.463227e+002
6.603729e+003, 3.445284e+002
6.642804e+003, 3.418185e+002
6.681880e+003, 3.396681e+002
6.720955e+003, 3.377466e+002
6.760030e+003, 3.363338e+002
6.799106e+003, 3.348446e+002
6.838181e+003, 3.341947e+002
6.877256e+003, 3.341551e+002
6.916331e+003, 3.348022e+002
6.955407e+003, 3.362630e+002
6.994482e+003, 3.385886e+002
7.033557e+003, 3.419822e+002
7.072633e+003, 3.468000e+002
7.111708e+003, 3.534743e+002
7.150783e+003, 3.622848e+002
7.189859e+003, 3.720363e+002
7.228934e+003, 3.812283e+002
7.268009e+003, 3.907255e+002
7.307085e+003, 4.030201e+002
7.346160e+003, 4.180104e+002
7.385235e+003, 4.326956e+002
7.424311e+003, 4.455497e+002
7.463386e+003, 4.576663e+002
7.502461e+003, 4.695795e+002
7.541537e+003, 4.794327e+002
7.580612e+003, 4.875565e+002
7.619687e+003, 4.940528e+002
7.658763e+003, 5.003965e+002
7.697838e+003, 5.056721e+002
7.736913e+003, 5.106425e+002
7.775988e+003, 5.150534e+002
7.815064e+003, 5.182944e+002
7.854139e+003, 5.210014e+002
7.893214e+003, 5.227929e+002
7.932290e+003, 5.231857e+002
7.971365e+003, 5.231206e+002
8.010440e+003, 5.225724e+002
8.049516e+003, 5.215665e+002
8.088591e+003, 5.194924e+002
8.127666e+003, 5.166554e+002
8.166742e+003, 5.132334e+002
8.205817e+003, 5.084890e+002
8.244892e+003, 5.031343e+002
8.283968e+003, 4.977287e+002
8.323043e+003, 4.921197e+002
8.362118e+003, 4.856460e+002
8.401194e+003, 4.774938e+002
8.440269e+003, 4.664933e+002
8.479344e+003, 4.549333e+002
8.518420e+003, 4.448992e+002
8.557495e+003, 4.366962e+002
8.596570e+003, 4.284932e+002
8.635646e+003, 4.193746e+002
8.674721e+003, 4.094422e+002
8.713796e+003, 3.996370e+002
8.752871e+003, 3.906710e+002
8.791947e+003, 3.831292e+002
8.831022e+003, 3.775965e+002
8.870097e+003, 3.733098e+002
8.909173e+003, 3.694810e+002
8.948248e+003, 3.659573e+002
8.987323e+003, 3.625354e+002
9.026399e+003, 3.599781e+002
9.065474e+003, 3.582855e+002
9.104549e+003, 3.572032e+002
9.143625e+003, 3.564516e+002
9.182700e+003, 3.559542e+002
9.221775e+003, 3.559401e+002
9.260851e+003, 3.559259e+002
9.299926e+003, 3.561152e+002
9.339001e+003, 3.560756e+002
9.378077e+003, 3.554511e+002
9.417152e+003, 3.545978e+002
9.456227e+003, 3.535664e+002
9.495303e+003, 3.529927e+002
9.534378e+003, 3.521139e+002
9.573453e+003, 3.504721e+002
9.612528e+003, 3.484744e+002
9.651604e+003, 3.462223e+002
9.690679e+003, 3.437413e+002
9.729754e+003, 3.415146e+002
9.768830e+003, 3.398220e+002
9.807905e+003, 3.385363e+002
9.846980e+003, 3.377083e+002
9.886056e+003, 3.361683e+002
9.925131e+003, 3.344248e+002
9.964206e+003, 3.335460e+002
1.000328e+004, 3.332775e+002
1.004236e+004, 3.348910e+002
1.008143e+004, 3.375725e+002
1.012051e+004, 3.404067e+002
1.015958e+004, 3.445633e+002
1.019866e+004, 3.501440e+002
1.023773e+004, 3.575558e+002
1.027681e+004, 3.669513e+002
1.031588e+004, 3.782287e+002
1.035496e+004, 3.904215e+002
1.039403e+004, 4.022584e+002
1.043311e+004, 4.131797e+002
1.047219e+004, 4.246605e+002
1.051126e+004, 4.376672e+002
1.055034e+004, 4.527084e+002
1.058941e+004, 4.669358e+002
1.062849e+004, 4.778572e+002
1.066756e+004, 4.851672e+002
1.070664e+004, 4.904937e+002
1.074571e+004, 4.957184e+002
1.078479e+004, 5.017060e+002
1.082386e+004, 5.079225e+002
1.086294e+004, 5.138848e+002
1.090201e+004, 5.179905e+002
1.094109e+004, 5.204686e+002
1.098016e+004, 5.213191e+002
1.101924e+004, 5.216610e+002
1.105832e+004, 5.220538e+002
1.109739e+004, 5.220905e+002
1.113647e+004, 5.216186e+002
1.117554e+004, 5.197988e+002
1.121462e+004, 5.179790e+002
1.125369e+004, 5.155235e+002
1.129277e+004, 5.130679e+002
1.133184e+004, 5.097985e+002
1.137092e+004, 5.049016e+002
1.140999e+004, 4.982753e+002
1.144907e+004, 4.905300e+002
1.148814e+004, 4.820727e+002
1.152722e+004, 4.733610e+002
1.156629e+004, 4.642933e+002
1.160537e+004, 4.555308e+002
1.164445e+004, 4.462087e+002
1.168352e+004, 4.360221e+002
1.172260e+004, 4.250216e+002
1.176167e+004, 4.144280e+002
1.180075e+004, 4.048262e+002
1.183982e+004, 3.968775e+002
1.187890e+004, 3.903275e+002
1.191797e+004, 3.850745e+002
1.195705e+004, 3.797198e+002
1.199612e+004, 3.736784e+002
1.203520e+004, 3.682982e+002
1.207427e+004, 3.644185e+002
1.211335e+004, 3.622173e+002
1.215242e+004, 3.605755e+002
1.219150e+004, 3.592898e+002
1.223057e+004, 3.581058e+002
1.226965e+004, 3.579900e+002
1.230873e+004, 3.580775e+002
1.234780e+004, 3.579108e+002
1.238688e+004, 3.580492e+002
1.242595e+004, 3.582385e+002
1.246503e+004, 3.581735e+002
1.250410e+004, 3.579051e+002
1.254318e+004, 3.573823e+002
1.258225e+004, 3.570121e+002
1.262133e+004, 3.559298e+002
1.266040e+004, 3.542881e+002
1.269948e+004, 3.526209e+002
1.273855e+004, 3.510300e+002
1.277763e+004, 3.489559e+002
1.281670e+004, 3.463478e+002
1.285578e+004, 3.434599e+002
1.289486e+004, 3.411315e+002
1.293393e+004, 3.395406e+002
1.297301e+004, 3.383057e+002
1.301208e+004, 3.373252e+002
1.305116e+004, 3.365481e+002
1.309023e+004, 3.359999e+002
1.312931e+004, 3.361638e+002
1.316838e+004, 3.377772e+002
1.320746e+004, 3.410183e+002
1.324653e+004, 3.446154e+002
1.328561e+004, 3.483142e+002
1.332468e+004, 3.531829e+002
1.336376e+004, 3.616119e+002
1.340283e+004, 3.739574e+002
1.344191e+004, 3.877779e+002
1.348099e+004, 3.987501e+002
1.352006e+004, 4.072809e+002
1.355914e+004, 4.172104e+002
1.359821e+004, 4.300391e+002
1.363729e+004, 4.446734e+002
1.367636e+004, 4.593077e+002
1.371544e+004, 4.729756e+002
1.375451e+004, 4.836934e+002
1.379359e+004, 4.917156e+002
1.383266e+004, 4.970420e+002
1.387174e+004, 5.015547e+002
1.391081e+004, 5.072371e+002
1.394989e+004, 5.137334e+002
1.398896e+004, 5.194159e+002
1.402804e+004, 5.241828e+002
1.406711e+004, 5.267118e+002
1.410619e+004, 5.274606e+002
1.414527e+004, 5.279042e+002
1.418434e+004, 5.289582e+002
1.422342e+004, 5.294527e+002
1.426249e+004, 5.290825e+002
1.430157e+004, 5.276950e+002
1.434064e+004, 5.249852e+002
1.437972e+004, 5.215632e+002
1.441879e+004, 5.182938e+002
1.445787e+004, 5.142107e+002
1.449694e+004, 5.090085e+002
1.453602e+004, 5.021279e+002
1.457509e+004, 4.938232e+002
1.461417e+004, 4.841960e+002
1.465324e+004, 4.748231e+002
1.469232e+004, 4.658063e+002
1.473140e+004, 4.572980e+002
1.477047e+004, 4.491459e+002
1.480955e+004, 4.389083e+002
1.484862e+004, 4.262294e+002
1.488770e+004, 4.140590e+002
1.492677e+004, 4.046862e+002
1.496585e+004, 3.976530e+002
1.500492e+004, 3.911284e+002
1.504400e+004, 3.843495e+002
1.508307e+004, 3.782319e+002
1.512215e+004, 3.729280e+002
1.516122e+004, 3.688448e+002
1.520030e+004, 3.659315e+002
1.523937e+004, 3.639337e+002
1.527845e+004, 3.625463e+002
1.531753e+004, 3.614131e+002
1.535660e+004, 3.605852e+002
1.539568e+004, 3.598081e+002
1.543475e+004, 3.595396e+002
1.547383e+004, 3.597798e+002
1.551290e+004, 3.600200e+002
1.555198e+004, 3.600058e+002
1.559105e+004, 3.593305e+002
1.563013e+004, 3.585025e+002
1.566920e+004, 3.583866e+002
1.570828e+004, 3.580164e+002
1.574735e+004, 3.570613e+002
1.578643e+004, 3.555976e+002
1.582550e+004, 3.535489e+002
1.586458e+004, 3.513986e+002
1.590365e+004, 3.494516e+002
1.594273e+004, 3.476573e+002
1.598181e+004, 3.457104e+002
1.602088e+004, 3.437126e+002
1.605996e+004, 3.414096e+002
1.609903e+004, 3.391575e+002
1.613811e+004, 3.375157e+002
1.617718e+004, 3.365352e+002
1.621626e+004, 3.363176e+002
1.625533e+004, 3.373461e+002
1.629441e+004, 3.389087e+002
1.633348e+004, 3.412597e+002
1.637256e+004, 3.448059e+002
1.641163e+004, 3.505901e+002
1.645071e+004, 3.582054e+002
1.648978e+004, 3.666853e+002
1.652886e+004, 3.756738e+002
1.656794e+004, 3.853999e+002
1.660701e+004, 3.967536e+002
1.664609e+004, 4.105741e+002
