File name = S1_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.182904e+002
3.907532e+001, 3.182529e+002
7.815064e+001, 3.191565e+002
1.172260e+002, 3.196022e+002
1.563013e+002, 3.197428e+002
1.953766e+002, 3.194765e+002
2.344519e+002, 3.195663e+002
2.735272e+002, 3.199103e+002
3.126026e+002, 3.202035e+002
3.516779e+002, 3.202932e+002
3.907532e+002, 3.203321e+002
4.298285e+002, 3.201675e+002
4.689038e+002, 3.196469e+002
5.079791e+002, 3.193297e+002
5.470545e+002, 3.188091e+002
5.861298e+002, 3.188988e+002
6.252051e+002, 3.189886e+002
6.642804e+002, 3.190529e+002
7.033557e+002, 3.190154e+002
7.424311e+002, 3.193086e+002
7.815064e+002, 3.195764e+002
8.205817e+002, 3.195644e+002
8.596570e+002, 3.200356e+002
8.987323e+002, 3.197693e+002
9.378077e+002, 3.193504e+002
9.768830e+002, 3.193638e+002
1.015958e+003, 3.200385e+002
1.055034e+003, 3.204842e+002
1.094109e+003, 3.201162e+002
1.133184e+003, 3.201042e+002
1.172260e+003, 3.199905e+002
1.211335e+003, 3.199785e+002
1.250410e+003, 3.199665e+002
1.289486e+003, 3.196748e+002
1.328561e+003, 3.193830e+002
1.367636e+003, 3.196508e+002
1.406711e+003, 3.201729e+002
1.445787e+003, 3.203643e+002
1.484862e+003, 3.204032e+002
1.523937e+003, 3.206964e+002
1.563013e+003, 3.205318e+002
1.602088e+003, 3.203163e+002
1.641163e+003, 3.207621e+002
1.680239e+003, 3.219454e+002
1.719314e+003, 3.233321e+002
1.758389e+003, 3.233964e+002
1.797465e+003, 3.218840e+002
1.836540e+003, 3.202444e+002
1.875615e+003, 3.198255e+002
1.914691e+003, 3.200169e+002
1.953766e+003, 3.202084e+002
1.992841e+003, 3.201964e+002
2.031917e+003, 3.201844e+002
2.070992e+003, 3.198164e+002
2.110067e+003, 3.200333e+002
2.149143e+003, 3.202247e+002
2.188218e+003, 3.201619e+002
2.227293e+003, 3.201499e+002
2.266369e+003, 3.204685e+002
2.305444e+003, 3.204056e+002
2.344519e+003, 3.199104e+002
2.383594e+003, 3.197204e+002
2.422670e+003, 3.198865e+002
2.461745e+003, 3.200525e+002
2.500820e+003, 3.200405e+002
2.539896e+003, 3.198250e+002
2.578971e+003, 3.198131e+002
2.618046e+003, 3.200045e+002
2.657122e+003, 3.199925e+002
2.696197e+003, 3.199805e+002
2.735272e+003, 3.202737e+002
2.774348e+003, 3.205669e+002
2.813423e+003, 3.204023e+002
2.852498e+003, 3.203903e+002
2.891574e+003, 3.207344e+002
2.930649e+003, 3.210784e+002
2.969724e+003, 3.210155e+002
3.008800e+003, 3.211561e+002
3.047875e+003, 3.212967e+002
3.086950e+003, 3.210304e+002
3.126026e+003, 3.209676e+002
3.165101e+003, 3.210573e+002
3.204176e+003, 3.214014e+002
3.243251e+003, 3.215165e+002
3.282327e+003, 3.214537e+002
3.321402e+003, 3.214162e+002
3.360477e+003, 3.213025e+002
3.399553e+003, 3.210362e+002
3.438628e+003, 3.205665e+002
3.477703e+003, 3.203510e+002
3.516779e+003, 3.204153e+002
3.555854e+003, 3.203779e+002
3.594929e+003, 3.201624e+002
3.634005e+003, 3.205065e+002
3.673080e+003, 3.213083e+002
3.712155e+003, 3.214998e+002
3.751231e+003, 3.213352e+002
3.790306e+003, 3.212215e+002
3.829381e+003, 3.210823e+002
3.868457e+003, 3.212483e+002
3.907532e+003, 3.213126e+002
3.946607e+003, 3.211226e+002
3.985683e+003, 3.211615e+002
4.024758e+003, 3.212512e+002
4.063833e+003, 3.211884e+002
4.102908e+003, 3.209729e+002
4.141984e+003, 3.208083e+002
4.181059e+003, 3.207963e+002
4.220134e+003, 3.209624e+002
4.259210e+003, 3.211793e+002
4.298285e+003, 3.217268e+002
4.337360e+003, 3.219182e+002
4.376436e+003, 3.213976e+002
4.415511e+003, 3.213856e+002
4.454586e+003, 3.215262e+002
4.493662e+003, 3.215142e+002
4.532737e+003, 3.216548e+002
4.571812e+003, 3.214902e+002
4.610888e+003, 3.218851e+002
4.649963e+003, 3.216951e+002
4.689038e+003, 3.214542e+002
4.728114e+003, 3.214422e+002
4.767189e+003, 3.211759e+002
4.806264e+003, 3.212657e+002
4.845340e+003, 3.214063e+002
4.884415e+003, 3.215469e+002
4.923490e+003, 3.213823e+002
4.962566e+003, 3.212177e+002
5.001641e+003, 3.209514e+002
5.040716e+003, 3.212446e+002
5.079791e+003, 3.213343e+002
5.118867e+003, 3.208645e+002
5.157942e+003, 3.203439e+002
5.197017e+003, 3.206371e+002
5.236093e+003, 3.209049e+002
5.275168e+003, 3.211217e+002
5.314243e+003, 3.206011e+002
5.353319e+003, 3.202840e+002
5.392394e+003, 3.202720e+002
5.431469e+003, 3.207686e+002
5.470545e+003, 3.207566e+002
5.509620e+003, 3.202360e+002
5.548695e+003, 3.195628e+002
5.587771e+003, 3.202120e+002
5.626846e+003, 3.205306e+002
5.665921e+003, 3.206966e+002
5.704997e+003, 3.207609e+002
5.744072e+003, 3.204946e+002
5.783147e+003, 3.202538e+002
5.822223e+003, 3.204706e+002
5.861298e+003, 3.204332e+002
5.900373e+003, 3.204212e+002
5.939448e+003, 3.205618e+002
