File name = C2_7.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.304117e+002
3.907532e+001, 5.272773e+002
7.815064e+001, 5.285933e+002
1.172260e+002, 5.293499e+002
1.563013e+002, 5.288858e+002
1.953766e+002, 5.275570e+002
2.344519e+002, 5.259230e+002
2.735272e+002, 5.240856e+002
3.126026e+002, 5.212817e+002
3.516779e+002, 5.182745e+002
3.907532e+002, 5.138685e+002
4.298285e+002, 5.070973e+002
4.689038e+002, 4.977577e+002
5.079791e+002, 4.864598e+002
5.470545e+002, 4.733817e+002
5.861298e+002, 4.596678e+002
6.252051e+002, 4.471238e+002
6.642804e+002, 4.349613e+002
7.033557e+002, 4.217815e+002
7.424311e+002, 4.067197e+002
7.815064e+002, 3.904373e+002
8.205817e+002, 3.759859e+002
8.596570e+002, 3.634673e+002
8.987323e+002, 3.542294e+002
9.378077e+002, 3.479160e+002
9.768830e+002, 3.428997e+002
1.015958e+003, 3.376036e+002
1.055034e+003, 3.325109e+002
1.094109e+003, 3.275709e+002
1.133184e+003, 3.238261e+002
1.172260e+003, 3.207171e+002
1.211335e+003, 3.182185e+002
1.250410e+003, 3.156944e+002
1.289486e+003, 3.136026e+002
1.328561e+003, 3.114600e+002
1.367636e+003, 3.095717e+002
1.406711e+003, 3.078869e+002
1.445787e+003, 3.070158e+002
1.484862e+003, 3.064246e+002
1.523937e+003, 3.064945e+002
1.563013e+003, 3.074545e+002
1.602088e+003, 3.084908e+002
1.641163e+003, 3.105952e+002
1.680239e+003, 3.136915e+002
1.719314e+003, 3.190257e+002
1.758389e+003, 3.271065e+002
1.797465e+003, 3.368148e+002
1.836540e+003, 3.464215e+002
1.875615e+003, 3.552144e+002
1.914691e+003, 3.635749e+002
1.953766e+003, 3.740208e+002
1.992841e+003, 3.878491e+002
2.031917e+003, 4.052377e+002
2.070992e+003, 4.229824e+002
2.110067e+003, 4.380823e+002
2.149143e+003, 4.494183e+002
2.188218e+003, 4.579568e+002
2.227293e+003, 4.663936e+002
2.266369e+003, 4.744744e+002
2.305444e+003, 4.825044e+002
2.344519e+003, 4.890084e+002
2.383594e+003, 4.942917e+002
2.422670e+003, 4.984815e+002
2.461745e+003, 5.018575e+002
2.500820e+003, 5.045469e+002
2.539896e+003, 5.069310e+002
2.578971e+003, 5.094678e+002
2.618046e+003, 5.113942e+002
2.657122e+003, 5.127611e+002
2.696197e+003, 5.140263e+002
2.735272e+003, 5.152915e+002
2.774348e+003, 5.171670e+002
2.813423e+003, 5.180762e+002
2.852498e+003, 5.190108e+002
2.891574e+003, 5.202505e+002
2.930649e+003, 5.211088e+002
2.969724e+003, 5.222723e+002
3.008800e+003, 5.233340e+002
3.047875e+003, 5.242432e+002
3.086950e+003, 5.249489e+002
3.126026e+003, 5.249425e+002
3.165101e+003, 5.252922e+002
3.204176e+003, 5.264556e+002
3.243251e+003, 5.275682e+002
3.282327e+003, 5.278162e+002
3.321402e+003, 5.272757e+002
3.360477e+003, 5.262267e+002
3.399553e+003, 5.245418e+002
3.438628e+003, 5.215854e+002
3.477703e+003, 5.172811e+002
3.516779e+003, 5.123411e+002
3.555854e+003, 5.064092e+002
3.594929e+003, 4.988752e+002
3.634005e+003, 4.883911e+002
3.673080e+003, 4.743466e+002
3.712155e+003, 4.575301e+002
3.751231e+003, 4.411714e+002
3.790306e+003, 4.282968e+002
3.829381e+003, 4.172532e+002
3.868457e+003, 4.060316e+002
3.907532e+003, 3.927246e+002
3.946607e+003, 3.779172e+002
3.985683e+003, 3.635676e+002
4.024758e+003, 3.518628e+002
4.063833e+003, 3.435658e+002
4.102908e+003, 3.386257e+002
4.141984e+003, 3.353133e+002
4.181059e+003, 3.321026e+002
4.220134e+003, 3.281798e+002
4.259210e+003, 3.234686e+002
4.298285e+003, 3.188591e+002
4.337360e+003, 3.152415e+002
4.376436e+003, 3.134549e+002
4.415511e+003, 3.128382e+002
4.454586e+003, 3.120689e+002
4.493662e+003, 3.103841e+002
4.532737e+003, 3.083940e+002
4.571812e+003, 3.067600e+002
4.610888e+003, 3.061433e+002
4.649963e+003, 3.068999e+002
4.689038e+003, 3.080633e+002
4.728114e+003, 3.093794e+002
4.767189e+003, 3.108989e+002
4.806264e+003, 3.141477e+002
4.845340e+003, 3.209061e+002
4.884415e+003, 3.307162e+002
4.923490e+003, 3.415436e+002
4.962566e+003, 3.498787e+002
5.001641e+003, 3.555435e+002
5.040716e+003, 3.625307e+002
5.079791e+003, 3.743245e+002
5.118867e+003, 3.919675e+002
5.157942e+003, 4.122553e+002
5.197017e+003, 4.293133e+002
5.236093e+003, 4.403187e+002
5.275168e+003, 4.470771e+002
5.314243e+003, 4.541406e+002
5.353319e+003, 4.632641e+002
5.392394e+003, 4.735574e+002
5.431469e+003, 4.823503e+002
5.470545e+003, 4.888035e+002
5.509620e+003, 4.931458e+002
5.548695e+003, 4.963438e+002
5.587771e+003, 4.985500e+002
5.626846e+003, 5.009341e+002
5.665921e+003, 5.033183e+002
5.704997e+003, 5.057025e+002
5.744072e+003, 5.079341e+002
5.783147e+003, 5.095044e+002
5.822223e+003, 5.107696e+002
5.861298e+003, 5.119839e+002
5.900373e+003, 5.134017e+002
5.939448e+003, 5.141583e+002
5.978524e+003, 5.150674e+002
6.017599e+003, 5.165869e+002
6.056674e+003, 5.181064e+002
6.095750e+003, 5.193208e+002
6.134825e+003, 5.205351e+002
6.173900e+003, 5.221055e+002
6.212976e+003, 5.239301e+002
6.252051e+003, 5.255005e+002
6.291126e+003, 5.263588e+002
6.330202e+003, 5.267593e+002
6.369277e+003, 5.270581e+002
