File name = S2_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.291949e+002
3.907532e+001, 3.260472e+002
7.815064e+001, 3.282147e+002
1.172260e+002, 3.285511e+002
1.563013e+002, 3.285315e+002
1.953766e+002, 3.283593e+002
2.344519e+002, 3.285177e+002
2.735272e+002, 3.285489e+002
3.126026e+002, 3.279444e+002
3.516779e+002, 3.279248e+002
3.907532e+002, 3.284138e+002
4.298285e+002, 3.286994e+002
4.689038e+002, 3.288323e+002
5.079791e+002, 3.288127e+002
5.470545e+002, 3.289457e+002
5.861298e+002, 3.286718e+002
6.252051e+002, 3.286521e+002
6.642804e+002, 3.285817e+002
7.033557e+002, 3.283077e+002
7.424311e+002, 3.278812e+002
7.815064e+002, 3.278107e+002
8.205817e+002, 3.277403e+002
8.596570e+002, 3.276698e+002
8.987323e+002, 3.277010e+002
9.378077e+002, 3.279612e+002
9.768830e+002, 3.281959e+002
1.015958e+003, 3.284560e+002
1.055034e+003, 3.280803e+002
1.094109e+003, 3.280607e+002
1.133184e+003, 3.281174e+002
1.172260e+003, 3.283267e+002
1.211335e+003, 3.280019e+002
1.250410e+003, 3.280331e+002
1.289486e+003, 3.284204e+002
1.328561e+003, 3.282991e+002
1.367636e+003, 3.283812e+002
1.406711e+003, 3.285141e+002
1.445787e+003, 3.290540e+002
1.484862e+003, 3.289835e+002
1.523937e+003, 3.286079e+002
1.563013e+003, 3.284865e+002
1.602088e+003, 3.286195e+002
1.641163e+003, 3.289559e+002
1.680239e+003, 3.290380e+002
1.719314e+003, 3.289167e+002
1.758389e+003, 3.285919e+002
1.797465e+003, 3.285723e+002
1.836540e+003, 3.288070e+002
1.875615e+003, 3.285331e+002
1.914691e+003, 3.281065e+002
1.953766e+003, 3.280869e+002
1.992841e+003, 3.280673e+002
2.031917e+003, 3.282257e+002
2.070992e+003, 3.284350e+002
2.110067e+003, 3.288223e+002
2.149143e+003, 3.286501e+002
2.188218e+003, 3.287322e+002
2.227293e+003, 3.287634e+002
2.266369e+003, 3.287692e+002
2.305444e+003, 3.285716e+002
2.344519e+003, 3.285520e+002
2.383594e+003, 3.286850e+002
