File name = 2a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.940331e+002
9.765517e+000, 3.938805e+002
1.953103e+001, 3.944400e+002
2.929655e+001, 3.952538e+002
3.906207e+001, 3.952029e+002
4.882759e+001, 3.946180e+002
5.859310e+001, 3.946943e+002
6.835862e+001, 3.948469e+002
7.812414e+001, 3.948469e+002
8.788965e+001, 3.948469e+002
9.765517e+001, 3.954318e+002
1.074207e+002, 3.960167e+002
1.171862e+002, 3.959150e+002
1.269517e+002, 3.951012e+002
1.367172e+002, 3.943891e+002
1.464828e+002, 3.940076e+002
1.562483e+002, 3.929904e+002
1.660138e+002, 3.889214e+002
1.757793e+002, 3.889214e+002
1.855448e+002, 3.899386e+002
1.953103e+002, 3.911339e+002
2.050759e+002, 3.907524e+002
2.148414e+002, 3.899132e+002
2.246069e+002, 3.895572e+002
2.343724e+002, 3.903710e+002
2.441379e+002, 3.905490e+002
2.539034e+002, 3.903710e+002
2.636690e+002, 3.911339e+002
2.734345e+002, 3.918460e+002
2.832000e+002, 3.911848e+002
2.929655e+002, 3.905490e+002
3.027310e+002, 3.907524e+002
3.124965e+002, 3.915408e+002
3.222621e+002, 3.915408e+002
3.320276e+002, 3.918460e+002
3.417931e+002, 3.923800e+002
3.515586e+002, 3.931684e+002
3.613241e+002, 3.931684e+002
3.710897e+002, 3.927615e+002
3.808552e+002, 3.926598e+002
3.906207e+002, 3.927615e+002
4.003862e+002, 3.931938e+002
4.101517e+002, 3.939822e+002
4.199172e+002, 3.944400e+002
4.296828e+002, 3.948215e+002
4.394483e+002, 3.947960e+002
4.492138e+002, 3.947960e+002
4.589793e+002, 3.952029e+002
4.687448e+002, 3.956353e+002
4.785103e+002, 3.956098e+002
4.882759e+002, 3.952029e+002
4.980414e+002, 3.956353e+002
5.078069e+002, 3.962456e+002
5.175724e+002, 3.960167e+002
5.273379e+002, 3.960167e+002
5.371034e+002, 3.960676e+002
5.468690e+002, 3.964491e+002
5.566345e+002, 3.964745e+002
5.664000e+002, 3.964491e+002
5.761655e+002, 3.968305e+002
5.859310e+002, 3.976443e+002
5.956965e+002, 3.980512e+002
6.054621e+002, 3.980767e+002
6.152276e+002, 3.984581e+002
6.249931e+002, 3.988650e+002
6.347586e+002, 3.997043e+002
6.445241e+002, 4.008995e+002
6.542896e+002, 4.017133e+002
6.640552e+002, 4.017642e+002
6.738207e+002, 4.019422e+002
6.835862e+002, 4.024254e+002
6.933517e+002, 4.033409e+002
7.031172e+002, 4.041547e+002
7.128828e+002, 4.049686e+002
7.226483e+002, 4.056806e+002
7.324138e+002, 4.062147e+002
7.421793e+002, 4.066470e+002
7.519448e+002, 4.070031e+002
7.617103e+002, 4.074608e+002
7.714759e+002, 4.082746e+002
7.812414e+002, 4.086815e+002
7.910069e+002, 4.089358e+002
8.007724e+002, 4.093427e+002
8.105379e+002, 4.099022e+002
8.203034e+002, 4.107160e+002
8.300690e+002, 4.117079e+002
8.398345e+002, 4.126997e+002
8.496000e+002, 4.131574e+002
8.593655e+002, 4.139204e+002
8.691310e+002, 4.147342e+002
8.788965e+002, 4.155480e+002
8.886621e+002, 4.163618e+002
8.984276e+002, 4.170739e+002
9.081931e+002, 4.176079e+002
9.179586e+002, 4.183963e+002
9.277241e+002, 4.188032e+002
9.374896e+002, 4.188541e+002
9.472552e+002, 4.195153e+002
9.570207e+002, 4.203291e+002
9.667862e+002, 4.212955e+002
9.765517e+002, 4.220584e+002
9.863172e+002, 4.225162e+002
9.960828e+002, 4.236860e+002
1.005848e+003, 4.244998e+002
1.015614e+003, 4.245507e+002
1.025379e+003, 4.244490e+002
1.035145e+003, 4.243981e+002
1.044910e+003, 4.245507e+002
1.054676e+003, 4.252119e+002
1.064441e+003, 4.257205e+002
1.074207e+003, 4.261783e+002
1.083972e+003, 4.268395e+002
1.093738e+003, 4.273481e+002
1.103503e+003, 4.278059e+002
1.113269e+003, 4.289757e+002
1.123034e+003, 4.300947e+002
1.132800e+003, 4.302473e+002
1.142566e+003, 4.302473e+002
1.152331e+003, 4.306288e+002
1.162097e+003, 4.314171e+002
