File name = C1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.145112e+002
3.907532e+001, 4.113755e+002
7.815064e+001, 4.138856e+002
1.172260e+002, 4.170061e+002
1.563013e+002, 4.206352e+002
1.953766e+002, 4.246712e+002
2.344519e+002, 4.295209e+002
2.735272e+002, 4.347013e+002
3.126026e+002, 4.395257e+002
3.516779e+002, 4.434091e+002
3.907532e+002, 4.470382e+002
4.298285e+002, 4.508198e+002
4.689038e+002, 4.547032e+002
5.079791e+002, 4.595530e+002
5.470545e+002, 4.648097e+002
5.861298e+002, 4.699138e+002
6.252051e+002, 4.732886e+002
6.642804e+002, 4.758750e+002
7.033557e+002, 4.785123e+002
7.424311e+002, 4.812258e+002
7.815064e+002, 4.837359e+002
8.205817e+002, 4.853305e+002
8.596570e+002, 4.859587e+002
8.987323e+002, 4.848067e+002
9.378077e+002, 4.836038e+002
9.768830e+002, 4.818414e+002
1.015958e+003, 4.788330e+002
1.055034e+003, 4.747309e+002
1.094109e+003, 4.695353e+002
1.133184e+003, 4.632462e+002
1.172260e+003, 4.572622e+002
1.211335e+003, 4.511765e+002
1.250410e+003, 4.450909e+002
1.289486e+003, 4.392595e+002
1.328561e+003, 4.321565e+002
1.367636e+003, 4.250536e+002
1.406711e+003, 4.189171e+002
1.445787e+003, 4.142555e+002
1.484862e+003, 4.103061e+002
1.523937e+003, 4.065092e+002
1.563013e+003, 4.026869e+002
1.602088e+003, 3.998819e+002
1.641163e+003, 3.975092e+002
1.680239e+003, 3.961537e+002
1.719314e+003, 3.950526e+002
1.758389e+003, 3.935699e+002
1.797465e+003, 3.917313e+002
1.836540e+003, 3.895112e+002
1.875615e+003, 3.869350e+002
1.914691e+003, 3.849692e+002
1.953766e+003, 3.827999e+002
1.992841e+003, 3.800712e+002
2.031917e+003, 3.764778e+002
2.070992e+003, 3.731387e+002
2.110067e+003, 3.694944e+002
2.149143e+003, 3.652906e+002
2.188218e+003, 3.612903e+002
2.227293e+003, 3.579512e+002
2.266369e+003, 3.546121e+002
2.305444e+003, 3.512730e+002
2.344519e+003, 3.481374e+002
2.383594e+003, 3.458155e+002
2.422670e+003, 3.435954e+002
2.461745e+003, 3.413753e+002
2.500820e+003, 3.400198e+002
2.539896e+003, 3.401902e+002
2.578971e+003, 3.418611e+002
2.618046e+003, 3.440660e+002
2.657122e+003, 3.466016e+002
2.696197e+003, 3.498238e+002
2.735272e+003, 3.549787e+002
2.774348e+003, 3.612018e+002
2.813423e+003, 3.680861e+002
2.852498e+003, 3.744618e+002
2.891574e+003, 3.801253e+002
2.930649e+003, 3.849243e+002
2.969724e+003, 3.898758e+002
3.008800e+003, 3.947764e+002
3.047875e+003, 3.996262e+002
3.086950e+003, 4.046540e+002
3.126026e+003, 4.091732e+002
3.165101e+003, 4.129040e+002
3.204176e+003, 4.163297e+002
3.243251e+003, 4.204674e+002
3.282327e+003, 4.253172e+002
3.321402e+003, 4.296837e+002
3.360477e+003, 4.338978e+002
3.399553e+003, 4.377557e+002
3.438628e+003, 4.415628e+002
3.477703e+003, 4.456497e+002
3.516779e+003, 4.500417e+002
3.555854e+003, 4.540777e+002
3.594929e+003, 4.580119e+002
3.634005e+003, 4.617428e+002
3.673080e+003, 4.656770e+002
3.712155e+003, 4.694078e+002
3.751231e+003, 4.722740e+002
3.790306e+003, 4.746823e+002
3.829381e+003, 4.770399e+002
3.868457e+003, 4.788379e+002
3.907532e+003, 4.801273e+002
3.946607e+003, 4.802469e+002
3.985683e+003, 4.800612e+002
4.024758e+003, 4.780954e+002
4.063833e+003, 4.751124e+002
4.102908e+003, 4.707051e+002
4.141984e+003, 4.664251e+002
4.181059e+003, 4.629588e+002
4.220134e+003, 4.580430e+002
4.259210e+003, 4.513978e+002
4.298285e+003, 4.435065e+002
4.337360e+003, 4.359712e+002
4.376436e+003, 4.294278e+002
4.415511e+003, 4.244611e+002
4.454586e+003, 4.203082e+002
4.493662e+003, 4.162061e+002
4.532737e+003, 4.112394e+002
4.571812e+003, 4.063236e+002
4.610888e+003, 4.023741e+002
4.649963e+003, 4.005609e+002
4.689038e+003, 3.992054e+002
4.728114e+003, 3.980534e+002
4.767189e+003, 3.961385e+002
4.806264e+003, 3.942998e+002
4.845340e+003, 3.924103e+002
4.884415e+003, 3.901902e+002
4.923490e+003, 3.881227e+002
4.962566e+003, 3.861569e+002
5.001641e+003, 3.835044e+002
5.040716e+003, 3.812334e+002
5.079791e+003, 3.786318e+002
5.118867e+003, 3.754962e+002
5.157942e+003, 3.713433e+002
5.197017e+003, 3.672412e+002
5.236093e+003, 3.635969e+002
5.275168e+003, 3.609699e+002
5.314243e+003, 3.581903e+002
5.353319e+003, 3.549529e+002
5.392394e+003, 3.514104e+002
5.431469e+003, 3.483256e+002
5.470545e+003, 3.454951e+002
5.509620e+003, 3.434276e+002
5.548695e+003, 3.429877e+002
5.587771e+003, 3.431327e+002
5.626846e+003, 3.437354e+002
5.665921e+003, 3.453300e+002
5.704997e+003, 3.482470e+002
5.744072e+003, 3.526899e+002
5.783147e+003, 3.582517e+002
5.822223e+003, 3.634576e+002
5.861298e+003, 3.683074e+002
5.900373e+003, 3.730554e+002
5.939448e+003, 3.775492e+002
5.978524e+003, 3.816869e+002
6.017599e+003, 3.877065e+002
6.056674e+003, 3.946417e+002
6.095750e+003, 4.011191e+002
6.134825e+003, 4.058163e+002
6.173900e+003, 4.090893e+002
6.212976e+003, 4.122606e+002
6.252051e+003, 4.156354e+002
6.291126e+003, 4.203326e+002
6.330202e+003, 4.253350e+002
6.369277e+003, 4.303628e+002
6.408352e+003, 4.348820e+002
6.447428e+003, 4.382567e+002
6.486503e+003, 4.421910e+002
6.525578e+003, 4.467356e+002
6.564654e+003, 4.513565e+002
6.603729e+003, 4.560283e+002
6.642804e+003, 4.604203e+002
6.681880e+003, 4.642783e+002
6.720955e+003, 4.682888e+002
6.760030e+003, 4.721214e+002
6.799106e+003, 4.761065e+002
6.838181e+003, 4.800916e+002
6.877256e+003, 4.830086e+002
6.916331e+003, 4.854170e+002
6.955407e+003, 4.874693e+002
6.994482e+003, 4.890130e+002
7.033557e+003, 4.902007e+002
7.072633e+003, 4.905237e+002
7.111708e+003, 4.899566e+002
7.150783e+003, 4.882960e+002
7.189859e+003, 4.851858e+002
7.228934e+003, 4.814398e+002
7.268009e+003, 4.774395e+002
7.307085e+003, 4.723710e+002
7.346160e+003, 4.651664e+002
7.385235e+003, 4.576565e+002
7.424311e+003, 4.508079e+002
7.463386e+003, 4.447222e+002
7.502461e+003, 4.385348e+002
7.541537e+003, 4.323983e+002
7.580612e+003, 4.262617e+002
7.619687e+003, 4.205575e+002
7.658763e+003, 4.156162e+002
7.697838e+003, 4.111582e+002
7.736913e+003, 4.080225e+002
7.775988e+003, 4.053955e+002
7.815064e+003, 4.033279e+002
7.854139e+003, 4.012604e+002
7.893214e+003, 3.991929e+002
7.932290e+003, 3.975322e+002
7.971365e+003, 3.958716e+002
8.010440e+003, 3.941601e+002
8.049516e+003, 3.921434e+002
8.088591e+003, 3.904828e+002
8.127666e+003, 3.878558e+002
8.166742e+003, 3.838046e+002
8.205817e+003, 3.794228e+002
8.244892e+003, 3.763635e+002
8.283968e+003, 3.735838e+002
8.323043e+003, 3.711094e+002
8.362118e+003, 3.682789e+002
8.401194e+003, 3.647364e+002
8.440269e+003, 3.605072e+002
8.479344e+003, 3.563289e+002
8.518420e+003, 3.525320e+002
8.557495e+003, 3.498032e+002
8.596570e+003, 3.485495e+002
8.635646e+003, 3.472958e+002
8.674721e+003, 3.456351e+002
8.713796e+003, 3.442797e+002
8.752871e+003, 3.441958e+002
8.791947e+003, 3.452817e+002
8.831022e+003, 3.471306e+002
8.870097e+003, 3.498442e+002
