File name = D1_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.682955e+002
3.907532e+001, 3.682569e+002
7.815064e+001, 3.687778e+002
1.172260e+002, 3.689935e+002
1.563013e+002, 3.689803e+002
1.953766e+002, 3.686620e+002
2.344519e+002, 3.684708e+002
2.735272e+002, 3.687628e+002
3.126026e+002, 3.693599e+002
3.516779e+002, 3.704912e+002
3.907532e+002, 3.712664e+002
4.298285e+002, 3.715838e+002
4.689038e+002, 3.724607e+002
5.079791e+002, 3.742023e+002
5.470545e+002, 3.760710e+002
5.861298e+002, 3.775837e+002
6.252051e+002, 3.788167e+002
6.642804e+002, 3.799479e+002
7.033557e+002, 3.811300e+002
7.424311e+002, 3.821086e+002
7.815064e+002, 3.829093e+002
8.205817e+002, 3.836844e+002
8.596570e+002, 3.852480e+002
8.987323e+002, 3.866844e+002
9.378077e+002, 3.878156e+002
9.768830e+002, 3.886417e+002
1.015958e+003, 3.897221e+002
1.055034e+003, 3.912602e+002
1.094109e+003, 3.930018e+002
1.133184e+003, 3.949977e+002
1.172260e+003, 3.973496e+002
1.211335e+003, 3.990149e+002
1.250410e+003, 4.013414e+002
1.289486e+003, 4.040494e+002
1.328561e+003, 4.066048e+002
1.367636e+003, 4.097196e+002
1.406711e+003, 4.130380e+002
1.445787e+003, 4.169158e+002
1.484862e+003, 4.202850e+002
1.523937e+003, 4.234507e+002
1.563013e+003, 4.262604e+002
1.602088e+003, 4.282563e+002
1.641163e+003, 4.305574e+002
1.680239e+003, 4.327058e+002
1.719314e+003, 4.354138e+002
1.758389e+003, 4.379183e+002
1.797465e+003, 4.402194e+002
1.836540e+003, 4.418593e+002
1.875615e+003, 4.428633e+002
1.914691e+003, 4.438165e+002
1.953766e+003, 4.444137e+002
1.992841e+003, 4.450109e+002
2.031917e+003, 4.457861e+002
2.070992e+003, 4.464087e+002
2.110067e+003, 4.456071e+002
2.149143e+003, 4.443987e+002
2.188218e+003, 4.425544e+002
2.227293e+003, 4.407102e+002
2.266369e+003, 4.386371e+002
2.305444e+003, 4.357502e+002
2.344519e+003, 4.319986e+002
2.383594e+003, 4.278909e+002
2.422670e+003, 4.237833e+002
2.461745e+003, 4.191671e+002
2.500820e+003, 4.142456e+002
2.539896e+003, 4.093751e+002
2.578971e+003, 4.049623e+002
2.618046e+003, 4.008801e+002
2.657122e+003, 3.970013e+002
2.696197e+003, 3.926140e+002
2.735272e+003, 3.888369e+002
2.774348e+003, 3.854923e+002
2.813423e+003, 3.815372e+002
2.852498e+003, 3.782434e+002
2.891574e+003, 3.764246e+002
