File name = 5d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.546574e+001
2.929655e+001, 5.533858e+001
5.859310e+001, 5.551660e+001
8.788965e+001, 5.587264e+001
1.171862e+002, 5.594893e+001
1.464828e+002, 5.579635e+001
1.757793e+002, 5.546574e+001
2.050759e+002, 5.503341e+001
2.343724e+002, 5.523686e+001
2.636690e+002, 5.556746e+001
2.929655e+002, 5.566919e+001
3.222621e+002, 5.574548e+001
3.515586e+002, 5.584721e+001
3.808552e+002, 5.579635e+001
4.101517e+002, 5.526229e+001
4.394483e+002, 5.500797e+001
4.687448e+002, 5.510970e+001
4.980414e+002, 5.531315e+001
5.273379e+002, 5.574548e+001
5.566345e+002, 5.566919e+001
5.859310e+002, 5.447392e+001
6.152276e+002, 5.073551e+001
6.445241e+002, 5.027775e+001
6.738207e+002, 5.002343e+001
7.031172e+002, 4.964196e+001
7.324138e+002, 5.022688e+001
7.617103e+002, 5.101525e+001
7.910069e+002, 5.137129e+001
8.203034e+002, 5.144759e+001
8.496000e+002, 5.144759e+001
8.788965e+002, 5.104069e+001
9.081931e+002, 5.063378e+001
9.374896e+002, 5.037947e+001
9.667862e+002, 5.078637e+001
9.960828e+002, 5.134586e+001
1.025379e+003, 5.180363e+001
1.054676e+003, 5.210880e+001
1.083972e+003, 5.177819e+001
1.113269e+003, 5.193078e+001
1.142566e+003, 5.185449e+001
1.171862e+003, 5.190535e+001
1.201159e+003, 5.180363e+001
1.230455e+003, 5.132043e+001
1.259752e+003, 5.124414e+001
1.289048e+003, 5.134586e+001
1.318345e+003, 5.157474e+001
1.347641e+003, 5.190535e+001
1.376938e+003, 5.119327e+001
1.406234e+003, 5.037947e+001
1.435531e+003, 5.050663e+001
1.464828e+003, 5.116784e+001
1.494124e+003, 5.165104e+001
1.523421e+003, 5.152388e+001
1.552717e+003, 5.147302e+001
1.582014e+003, 5.165104e+001
1.611310e+003, 5.149845e+001
1.640607e+003, 5.109155e+001
1.669903e+003, 5.078637e+001
1.699200e+003, 5.068465e+001
1.728497e+003, 5.104069e+001
1.757793e+003, 5.137129e+001
1.787090e+003, 5.200708e+001
1.816386e+003, 5.208337e+001
1.845683e+003, 5.205794e+001
1.874979e+003, 5.195621e+001
1.904276e+003, 5.210880e+001
1.933572e+003, 5.277002e+001
1.962869e+003, 5.302433e+001
1.992166e+003, 5.269372e+001
2.021462e+003, 5.198165e+001
2.050759e+003, 5.154931e+001
2.080055e+003, 5.205794e+001
2.109352e+003, 5.231225e+001
2.138648e+003, 5.218510e+001
2.167945e+003, 5.172733e+001
2.197241e+003, 5.149845e+001
2.226538e+003, 5.160018e+001
2.255834e+003, 5.205794e+001
2.285131e+003, 5.221053e+001
2.314428e+003, 5.086267e+001
2.343724e+003, 4.656477e+001
2.373021e+003, 4.659020e+001
2.402317e+003, 4.653934e+001
2.431614e+003, 4.671736e+001
2.460910e+003, 4.704797e+001
2.490207e+003, 4.720055e+001
2.519503e+003, 4.694624e+001
2.548800e+003, 4.641218e+001
2.578097e+003, 4.623416e+001
2.607393e+003, 4.638675e+001
2.636690e+003, 4.679365e+001
2.665986e+003, 4.679365e+001
2.695283e+003, 4.648848e+001
2.724579e+003, 4.651391e+001
2.753876e+003, 4.671736e+001
2.783172e+003, 4.676822e+001
2.812469e+003, 4.661563e+001
2.841765e+003, 4.636132e+001
2.871062e+003, 4.643761e+001
2.900359e+003, 4.641218e+001
2.929655e+003, 4.651391e+001
2.958952e+003, 4.697167e+001
2.988248e+003, 4.781091e+001
3.017545e+003, 4.803979e+001
3.046841e+003, 4.793806e+001
3.076138e+003, 4.763289e+001
3.105434e+003, 4.755659e+001
3.134731e+003, 4.753116e+001
3.164028e+003, 4.786177e+001
3.193324e+003, 4.796349e+001
3.222621e+003, 4.770918e+001
3.251917e+003, 4.707340e+001
3.281214e+003, 4.656477e+001
3.310510e+003, 4.653934e+001
3.339807e+003, 4.666650e+001
3.369103e+003, 4.689538e+001
3.398400e+003, 4.763289e+001
3.427697e+003, 4.773461e+001
3.456993e+003, 4.750573e+001
3.486290e+003, 4.758202e+001
3.515586e+003, 4.742944e+001
3.544883e+003, 4.730228e+001
3.574179e+003, 4.758202e+001
3.603476e+003, 4.786177e+001
3.632772e+003, 4.819238e+001
3.662069e+003, 4.819238e+001
3.691365e+003, 4.793806e+001
3.720662e+003, 4.776004e+001
3.749959e+003, 4.725142e+001
3.779255e+003, 4.722599e+001
3.808552e+003, 4.748030e+001
3.837848e+003, 4.852298e+001
3.867145e+003, 4.910790e+001
3.896441e+003, 4.859928e+001
3.925738e+003, 4.783634e+001
3.955034e+003, 4.712426e+001
3.984331e+003, 4.641218e+001
4.013628e+003, 4.514062e+001
4.042924e+003, 4.170739e+001
4.072221e+003, 4.249576e+001
4.101517e+003, 4.315697e+001
4.130814e+003, 4.323327e+001
4.160110e+003, 4.302982e+001
4.189407e+003, 4.262291e+001
4.218703e+003, 4.234317e+001
4.248000e+003, 4.267378e+001
4.277297e+003, 4.323327e+001
4.306593e+003, 4.356387e+001
4.335890e+003, 4.338585e+001
4.365186e+003, 4.295352e+001
4.394483e+003, 4.282637e+001
4.423779e+003, 4.302982e+001
4.453076e+003, 4.336042e+001
4.482372e+003, 4.358931e+001
4.511669e+003, 4.397078e+001
4.540965e+003, 4.386905e+001
4.570262e+003, 4.356387e+001
4.599559e+003, 4.315697e+001
4.628855e+003, 4.236860e+001
4.658152e+003, 4.213972e+001
4.687448e+003, 4.193627e+001
4.716745e+003, 4.206343e+001
4.746041e+003, 4.287723e+001
4.775338e+003, 4.275007e+001
4.804634e+003, 4.241946e+001
4.833931e+003, 4.211429e+001
4.863228e+003, 4.208886e+001
4.892524e+003, 4.211429e+001
4.921821e+003, 4.241946e+001
4.951117e+003, 4.328413e+001
4.980414e+003, 4.338585e+001
5.009710e+003, 4.305525e+001
5.039007e+003, 4.257205e+001
5.068303e+003, 4.234317e+001
5.097600e+003, 4.320784e+001
5.126897e+003, 4.407250e+001
5.156193e+003, 4.473372e+001
5.185490e+003, 4.524234e+001
5.214786e+003, 4.463199e+001
5.244083e+003, 4.351301e+001
5.273379e+003, 4.236860e+001
5.302676e+003, 4.198713e+001
5.331972e+003, 4.221601e+001
5.361269e+003, 4.252119e+001
5.390565e+003, 4.241946e+001
5.419862e+003, 4.249576e+001
5.449159e+003, 4.272464e+001
5.478455e+003, 4.264835e+001
5.507752e+003, 4.198713e+001
5.537048e+003, 4.173282e+001
5.566345e+003, 4.206343e+001
5.595641e+003, 4.300438e+001
5.624938e+003, 4.285180e+001
5.654234e+003, 4.173282e+001
5.683531e+003, 3.997806e+001
5.712828e+003, 3.646853e+001
5.742124e+003, 3.695173e+001
5.771421e+003, 3.746035e+001
5.800717e+003, 3.786726e+001
5.830014e+003, 3.761294e+001
5.859310e+003, 3.707888e+001
5.888607e+003, 3.667198e+001
5.917903e+003, 3.629051e+001
5.947200e+003, 3.636681e+001
5.976497e+003, 3.682457e+001
6.005793e+003, 3.674828e+001
6.035090e+003, 3.651939e+001
6.064386e+003, 3.669741e+001
6.093683e+003, 3.639224e+001
6.122979e+003, 3.641767e+001
6.152276e+003, 3.654483e+001
6.181572e+003, 3.664655e+001
6.210869e+003, 3.690086e+001
6.240165e+003, 3.674828e+001
6.269462e+003, 3.664655e+001
6.298759e+003, 3.664655e+001
6.328055e+003, 3.646853e+001
6.357352e+003, 3.662112e+001
6.386648e+003, 3.654483e+001
6.415945e+003, 3.664655e+001
6.445241e+003, 3.669741e+001
6.474538e+003, 3.644310e+001
6.503834e+003, 3.674828e+001
6.533131e+003, 3.695173e+001
6.562428e+003, 3.667198e+001
6.591724e+003, 3.644310e+001
6.621021e+003, 3.649396e+001
6.650317e+003, 3.641767e+001
6.679614e+003, 3.603620e+001
6.708910e+003, 3.634138e+001
6.738207e+003, 3.679914e+001
6.767503e+003, 3.649396e+001
6.796800e+003, 3.585818e+001
6.826096e+003, 3.555300e+001
6.855393e+003, 3.542585e+001
6.884690e+003, 3.532412e+001
6.913986e+003, 3.537498e+001
6.943283e+003, 3.562930e+001
6.972579e+003, 3.590904e+001
7.001876e+003, 3.565473e+001
7.031172e+003, 3.555300e+001
7.060469e+003, 3.547671e+001
7.089765e+003, 3.547671e+001
7.119062e+003, 3.527326e+001
7.148359e+003, 3.532412e+001
7.177655e+003, 3.578189e+001
7.206952e+003, 3.603620e+001
7.236248e+003, 3.611249e+001
7.265545e+003, 3.578189e+001
7.294841e+003, 3.542585e+001
7.324138e+003, 3.522240e+001
7.353434e+003, 3.412885e+001
7.382731e+003, 3.102623e+001
7.412028e+003, 3.125511e+001
7.441324e+003, 3.082278e+001
7.470621e+003, 3.023786e+001
7.499917e+003, 2.985639e+001
7.529214e+003, 3.018699e+001
7.558510e+003, 3.069562e+001
7.587807e+003, 3.100080e+001
7.617103e+003, 3.125511e+001
7.646400e+003, 3.092450e+001
7.675696e+003, 3.036501e+001
7.704993e+003, 2.988182e+001
7.734290e+003, 2.980552e+001
7.763586e+003, 3.041587e+001
7.792883e+003, 3.092450e+001
7.822179e+003, 3.094993e+001
7.851476e+003, 3.061933e+001
7.880772e+003, 3.028872e+001
7.910069e+003, 2.962750e+001
7.939365e+003, 2.878827e+001
7.968662e+003, 2.871198e+001
7.997959e+003, 2.914431e+001
8.027255e+003, 2.960207e+001
8.056552e+003, 3.016156e+001
8.085848e+003, 3.003440e+001
8.115145e+003, 2.942405e+001
8.144441e+003, 2.881370e+001
8.173738e+003, 2.777102e+001
8.203034e+003, 2.777102e+001
8.232331e+003, 2.827964e+001
8.261628e+003, 2.901715e+001
8.290924e+003, 2.894086e+001
8.320221e+003, 2.815249e+001
8.349517e+003, 2.769472e+001
8.378814e+003, 2.777102e+001
8.408110e+003, 2.764386e+001
8.437407e+003, 2.723696e+001
8.466703e+003, 2.723696e+001
8.496000e+003, 2.769472e+001
8.525296e+003, 2.787274e+001
8.554593e+003, 2.759300e+001
8.583890e+003, 2.736411e+001
8.613186e+003, 2.705894e+001
8.642483e+003, 2.683006e+001
8.671779e+003, 2.642316e+001
8.701076e+003, 2.629600e+001
8.730372e+003, 2.619427e+001
8.759669e+003, 2.657574e+001
8.788965e+003, 2.683006e+001
8.818262e+003, 2.677919e+001
8.847559e+003, 2.647402e+001
8.876855e+003, 2.619427e+001
8.906152e+003, 2.604169e+001
8.935448e+003, 2.637229e+001
8.964745e+003, 2.627057e+001
8.994041e+003, 2.499900e+001
9.023338e+003, 2.141318e+001
9.052634e+003, 2.154034e+001
9.081931e+003, 2.128603e+001
9.111228e+003, 2.100628e+001
9.140524e+003, 2.057395e+001
9.169821e+003, 2.044679e+001
9.199117e+003, 2.065024e+001
9.228414e+003, 2.100628e+001
9.257710e+003, 2.095542e+001
9.287007e+003, 2.039593e+001
9.316303e+003, 2.011618e+001
9.345600e+003, 1.993817e+001
9.374896e+003, 1.965842e+001
9.404193e+003, 1.942954e+001
9.433490e+003, 1.953126e+001
9.462786e+003, 2.016705e+001
9.492083e+003, 2.034507e+001
9.521379e+003, 1.981101e+001
9.550676e+003, 1.917523e+001
9.579972e+003, 1.904807e+001
9.609269e+003, 1.892091e+001
9.638565e+003, 1.897177e+001
9.667862e+003, 1.935324e+001
9.697159e+003, 1.940411e+001
9.726455e+003, 1.884462e+001
9.755752e+003, 1.848858e+001
9.785048e+003, 1.851401e+001
9.814345e+003, 1.859030e+001
9.843641e+003, 1.853944e+001
9.872938e+003, 1.777650e+001
9.902234e+003, 1.736960e+001
9.931531e+003, 1.721701e+001
9.960828e+003, 1.742046e+001
9.990124e+003, 1.721701e+001
1.001942e+004, 1.696270e+001
1.004872e+004, 1.701356e+001
1.007801e+004, 1.708986e+001
1.010731e+004, 1.698813e+001
1.013661e+004, 1.696270e+001
1.016590e+004, 1.693727e+001
1.019520e+004, 1.686097e+001
1.022450e+004, 1.675925e+001
1.025379e+004, 1.706442e+001
1.028309e+004, 1.785280e+001
1.031239e+004, 1.797995e+001
1.034168e+004, 1.787823e+001
1.037098e+004, 1.787823e+001
1.040028e+004, 1.767478e+001
1.042957e+004, 1.670839e+001
1.045887e+004, 1.525880e+001
1.048817e+004, 1.436870e+001
1.051746e+004, 1.408896e+001
1.054676e+004, 1.380921e+001
1.057606e+004, 1.312257e+001
1.060535e+004, 1.235963e+001
1.063465e+004, 1.152039e+001
1.066394e+004, 9.562181e+000
1.069324e+004, 9.663907e+000
1.072254e+004, 9.943651e+000
1.075183e+004, 9.765632e+000
1.078113e+004, 9.562181e+000
1.081043e+004, 9.231574e+000
1.083972e+004, 9.409593e+000
1.086902e+004, 9.257005e+000
1.089832e+004, 9.129849e+000
1.092761e+004, 9.180711e+000
1.095691e+004, 9.307868e+000
1.098621e+004, 9.409593e+000
1.101550e+004, 9.511319e+000
1.104480e+004, 9.333299e+000
1.107410e+004, 1.024883e+001
1.110339e+004, 1.525880e+001
1.113269e+004, 2.232871e+001
1.116199e+004, 2.507529e+001
1.119128e+004, 2.558392e+001
1.122058e+004, 3.359479e+001
1.124988e+004, 5.312606e+001
1.127917e+004, 8.547471e+001
1.130847e+004, 1.222484e+002
1.133777e+004, 1.580049e+002
1.136706e+004, 1.832073e+002
1.139636e+004, 2.003735e+002
1.142566e+004, 2.133180e+002
1.145495e+004, 2.253470e+002
1.148425e+004, 2.471163e+002
1.151354e+004, 2.780153e+002
1.154284e+004, 3.048708e+002
1.157214e+004, 3.187309e+002
1.160143e+004, 3.252413e+002
1.163073e+004, 3.292849e+002
1.166003e+004, 3.324384e+002
1.168932e+004, 3.343966e+002
1.171862e+004, 3.366091e+002
1.174792e+004, 3.423312e+002
1.177721e+004, 3.529106e+002
1.180651e+004, 3.651177e+002
1.183581e+004, 3.740695e+002
1.186510e+004, 3.791557e+002
1.189440e+004, 3.813937e+002
1.192370e+004, 3.834028e+002
1.195299e+004, 3.870903e+002
1.198229e+004, 3.936007e+002
1.201159e+004, 4.013319e+002
1.204088e+004, 4.081220e+002
1.207018e+004, 4.123182e+002
1.209948e+004, 4.147596e+002
1.212877e+004, 4.170739e+002
1.215807e+004, 4.192101e+002
1.218737e+004, 4.224907e+002
1.221666e+004, 4.269412e+002
1.224596e+004, 4.306033e+002
1.227526e+004, 4.318495e+002
1.230455e+004, 4.306033e+002
1.233385e+004, 4.326633e+002
1.236314e+004, 4.354862e+002
1.239244e+004, 4.375461e+002
1.242174e+004, 4.399875e+002
1.245103e+004, 4.439294e+002
1.248033e+004, 4.485324e+002
1.250963e+004, 4.529829e+002
1.253892e+004, 4.570519e+002
1.256822e+004, 4.619347e+002
1.259752e+004, 4.676568e+002
1.262681e+004, 4.732263e+002
1.265611e+004, 4.757948e+002
1.268541e+004, 4.778293e+002
1.271470e+004, 4.782362e+002
1.274400e+004, 4.794569e+002
1.277330e+004, 4.818983e+002
1.280259e+004, 4.863743e+002
1.283189e+004, 4.920454e+002
1.286119e+004, 4.969537e+002
1.289048e+004, 5.001835e+002
1.291978e+004, 5.050663e+002
1.294908e+004, 5.124159e+002
1.297837e+004, 5.197147e+002
1.300767e+004, 5.217747e+002
1.303697e+004, 5.209609e+002
1.306626e+004, 5.236820e+002
1.309556e+004, 5.286920e+002
1.312486e+004, 5.335494e+002
1.315415e+004, 5.368300e+002
1.318345e+004, 5.407719e+002
1.321274e+004, 5.433150e+002
1.324204e+004, 5.456547e+002
1.327134e+004, 5.482233e+002
1.330063e+004, 5.498509e+002
1.332993e+004, 5.506392e+002
1.335923e+004, 5.477909e+002
1.338852e+004, 5.408736e+002
