File name = 1b.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.000134e+002
9.765517e+000, 2.994794e+002
1.953103e+001, 3.012850e+002
2.929655e+001, 3.015139e+002
3.906207e+001, 3.024294e+002
4.882759e+001, 3.041333e+002
5.859310e+001, 3.057101e+002
6.835862e+001, 3.064984e+002
7.812414e+001, 3.063967e+002
8.788965e+001, 3.063967e+002
9.765517e+001, 3.065493e+002
1.074207e+002, 3.080243e+002
1.171862e+002, 3.093467e+002
1.269517e+002, 3.106437e+002
1.367172e+002, 3.120933e+002
1.464828e+002, 3.133140e+002
1.562483e+002, 3.142296e+002
1.660138e+002, 3.146365e+002
1.757793e+002, 3.150434e+002
1.855448e+002, 3.166710e+002
1.953103e+002, 3.189344e+002
2.050759e+002, 3.213758e+002
2.148414e+002, 3.238935e+002
2.246069e+002, 3.256228e+002
2.343724e+002, 3.256482e+002
2.441379e+002, 3.256991e+002
2.539034e+002, 3.270724e+002
2.636690e+002, 3.299970e+002
2.734345e+002, 3.334048e+002
2.832000e+002, 3.361005e+002
2.929655e+002, 3.381350e+002
3.027310e+002, 3.392540e+002
3.124965e+002, 3.405764e+002
3.222621e+002, 3.425092e+002
3.320276e+002, 3.457898e+002
3.417931e+002, 3.497063e+002
3.515586e+002, 3.532921e+002
3.613241e+002, 3.554029e+002
3.710897e+002, 3.569542e+002
3.808552e+002, 3.590141e+002
3.906207e+002, 3.617353e+002
4.003862e+002, 3.650922e+002
4.101517e+002, 3.682457e+002
4.199172e+002, 3.703819e+002
4.296828e+002, 3.724164e+002
4.394483e+002, 3.760786e+002
4.492138e+002, 3.813683e+002
4.589793e+002, 3.863020e+002
4.687448e+002, 3.891248e+002
4.785103e+002, 3.897352e+002
4.882759e+002, 3.903201e+002
4.980414e+002, 3.931938e+002
5.078069e+002, 3.983564e+002
5.175724e+002, 4.035698e+002
5.273379e+002, 4.082238e+002
5.371034e+002, 4.115298e+002
5.468690e+002, 4.149631e+002
5.566345e+002, 4.183963e+002
5.664000e+002, 4.220584e+002
5.761655e+002, 4.257205e+002
5.859310e+002, 4.289757e+002
5.956965e+002, 4.310102e+002
6.054621e+002, 4.330447e+002
6.152276e+002, 4.366560e+002
6.249931e+002, 4.415897e+002
6.347586e+002, 4.465234e+002
6.445241e+002, 4.505924e+002
6.542896e+002, 4.536950e+002
6.640552e+002, 4.548394e+002
6.738207e+002, 4.561364e+002
6.835862e+002, 4.586795e+002
6.933517e+002, 4.627485e+002
7.031172e+002, 4.680637e+002
7.128828e+002, 4.724124e+002
7.226483e+002, 4.737349e+002
7.324138e+002, 4.737603e+002
7.421793e+002, 4.741926e+002
7.519448e+002, 4.765832e+002
7.617103e+002, 4.805505e+002
7.714759e+002, 4.846195e+002
7.812414e+002, 4.875695e+002
7.910069e+002, 4.888411e+002
8.007724e+002, 4.896040e+002
8.105379e+002, 4.903161e+002
8.203034e+002, 4.912316e+002
8.300690e+002, 4.935713e+002
8.398345e+002, 4.961145e+002
8.496000e+002, 4.986067e+002
8.593655e+002, 5.001835e+002
8.691310e+002, 5.008955e+002
8.788965e+002, 5.017093e+002
8.886621e+002, 5.022180e+002
8.984276e+002, 5.033369e+002
9.081931e+002, 5.043033e+002
9.179586e+002, 5.062870e+002
9.277241e+002, 5.075586e+002
9.374896e+002, 5.083215e+002
9.472552e+002, 5.083215e+002
9.570207e+002, 5.083215e+002
9.667862e+002, 5.087284e+002
9.765517e+002, 5.095422e+002
9.863172e+002, 5.103560e+002
9.960828e+002, 5.108138e+002
1.005848e+003, 5.111698e+002
1.015614e+003, 5.111698e+002
1.025379e+003, 5.111698e+002
1.035145e+003, 5.115767e+002
1.044910e+003, 5.116276e+002
1.054676e+003, 5.115767e+002
1.064441e+003, 5.103560e+002
1.074207e+003, 5.066939e+002
1.083972e+003, 5.062870e+002
1.093738e+003, 5.059309e+002
1.103503e+003, 5.059309e+002
1.113269e+003, 5.059309e+002
1.123034e+003, 5.066430e+002
1.132800e+003, 5.067447e+002
1.142566e+003, 5.066939e+002
1.152331e+003, 5.059309e+002
1.162097e+003, 5.058801e+002
1.171862e+003, 5.058801e+002
1.181628e+003, 5.059309e+002
1.191393e+003, 5.059309e+002
1.201159e+003, 5.059309e+002
1.210924e+003, 5.057784e+002
1.220690e+003, 5.051171e+002
1.230455e+003, 5.049646e+002
1.240221e+003, 5.042525e+002
1.249986e+003, 5.043033e+002
1.259752e+003, 5.043288e+002
1.269517e+003, 5.042525e+002
1.279283e+003, 5.038456e+002
1.289048e+003, 5.034895e+002
1.298814e+003, 5.026757e+002
1.308579e+003, 5.018111e+002
1.318345e+003, 5.012261e+002
1.328110e+003, 5.009973e+002
1.337876e+003, 5.008955e+002
1.347641e+003, 5.001835e+002
1.357407e+003, 5.001835e+002
1.367172e+003, 4.993697e+002
1.376938e+003, 4.981490e+002
1.386703e+003, 4.973606e+002
1.396469e+003, 4.973352e+002
1.406234e+003, 4.973606e+002
1.416000e+003, 4.976403e+002
1.425766e+003, 4.973352e+002
1.435531e+003, 4.965468e+002
1.445297e+003, 4.961145e+002
1.455062e+003, 4.957075e+002
1.464828e+003, 4.953515e+002
1.474593e+003, 4.957075e+002
1.484359e+003, 4.961145e+002
1.494124e+003, 4.961145e+002
1.503890e+003, 4.957075e+002
1.513655e+003, 4.953006e+002
1.523421e+003, 4.948937e+002
1.533186e+003, 4.943851e+002
1.542952e+003, 4.941054e+002
1.552717e+003, 4.944360e+002
1.562483e+003, 4.945377e+002
1.572248e+003, 4.944868e+002
1.582014e+003, 4.940799e+002
1.591779e+003, 4.940799e+002
1.601545e+003, 4.936730e+002
1.611310e+003, 4.932661e+002
1.621076e+003, 4.935713e+002
1.630841e+003, 4.937239e+002
1.640607e+003, 4.940799e+002
1.650372e+003, 4.937239e+002
1.660138e+003, 4.932661e+002
1.669903e+003, 4.927575e+002
1.679669e+003, 4.920963e+002
1.689434e+003, 4.920963e+002
1.699200e+003, 4.920963e+002
1.708966e+003, 4.920963e+002
1.718731e+003, 4.920963e+002
1.728497e+003, 4.924523e+002
1.738262e+003, 4.920963e+002
1.748028e+003, 4.920454e+002
1.757793e+003, 4.919437e+002
1.767559e+003, 4.920454e+002
1.777324e+003, 4.916385e+002
1.787090e+003, 4.912316e+002
1.796855e+003, 4.912316e+002
