File name = A1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.931644e+002
2.929655e+001, 4.915368e+002
5.859310e+001, 4.945631e+002
8.788965e+001, 4.953006e+002
1.171862e+002, 4.949192e+002
1.464828e+002, 4.944868e+002
1.757793e+002, 4.937239e+002
2.050759e+002, 4.940799e+002
2.343724e+002, 4.945377e+002
2.636690e+002, 4.951989e+002
2.929655e+002, 4.953006e+002
3.222621e+002, 4.947157e+002
3.515586e+002, 4.944868e+002
3.808552e+002, 4.944868e+002
4.101517e+002, 4.947157e+002
4.394483e+002, 4.948937e+002
4.687448e+002, 4.944868e+002
4.980414e+002, 4.935713e+002
5.273379e+002, 4.903161e+002
5.566345e+002, 4.904178e+002
5.859310e+002, 4.904178e+002
6.152276e+002, 4.904178e+002
6.445241e+002, 4.904687e+002
6.738207e+002, 4.904178e+002
7.031172e+002, 4.900109e+002
7.324138e+002, 4.903161e+002
7.617103e+002, 4.908247e+002
7.910069e+002, 4.911299e+002
8.203034e+002, 4.912316e+002
8.496000e+002, 4.908247e+002
8.788965e+002, 4.903161e+002
9.081931e+002, 4.896040e+002
9.374896e+002, 4.896549e+002
9.667862e+002, 4.904178e+002
9.960828e+002, 4.904178e+002
1.025379e+003, 4.903161e+002
1.054676e+003, 4.896040e+002
1.083972e+003, 4.895023e+002
1.113269e+003, 4.895023e+002
1.142566e+003, 4.895023e+002
1.171862e+003, 4.888411e+002
1.201159e+003, 4.888411e+002
1.230455e+003, 4.895023e+002
1.259752e+003, 4.898329e+002
1.289048e+003, 4.903161e+002
1.318345e+003, 4.903161e+002
1.347641e+003, 4.900109e+002
1.376938e+003, 4.895023e+002
1.406234e+003, 4.896040e+002
1.435531e+003, 4.896040e+002
1.464828e+003, 4.896549e+002
1.494124e+003, 4.900109e+002
1.523421e+003, 4.903161e+002
1.552717e+003, 4.903670e+002
1.582014e+003, 4.903161e+002
1.611310e+003, 4.900109e+002
1.640607e+003, 4.896803e+002
1.669903e+003, 4.896549e+002
1.699200e+003, 4.896549e+002
1.728497e+003, 4.900109e+002
1.757793e+003, 4.900109e+002
1.787090e+003, 4.900109e+002
1.816386e+003, 4.904178e+002
1.845683e+003, 4.904178e+002
1.874979e+003, 4.904941e+002
1.904276e+003, 4.908502e+002
1.933572e+003, 4.912825e+002
1.962869e+003, 4.914605e+002
1.992166e+003, 4.912316e+002
2.021462e+003, 4.911299e+002
2.050759e+003, 4.912316e+002
2.080055e+003, 4.919437e+002
2.109352e+003, 4.919437e+002
2.138648e+003, 4.920454e+002
2.167945e+003, 4.924523e+002
2.197241e+003, 4.928592e+002
2.226538e+003, 4.927575e+002
2.255834e+003, 4.920963e+002
2.285131e+003, 4.924523e+002
2.314428e+003, 4.924523e+002
2.343724e+003, 4.920963e+002
2.373021e+003, 4.919437e+002
2.402317e+003, 4.923506e+002
2.431614e+003, 4.927575e+002
2.460910e+003, 4.927575e+002
2.490207e+003, 4.927575e+002
2.519503e+003, 4.928592e+002
2.548800e+003, 4.928592e+002
2.578097e+003, 4.931644e+002
2.607393e+003, 4.929101e+002
2.636690e+003, 4.924523e+002
2.665986e+003, 4.924523e+002
2.695283e+003, 4.923506e+002
2.724579e+003, 4.924523e+002
2.753876e+003, 4.924523e+002
2.783172e+003, 4.924523e+002
2.812469e+003, 4.920963e+002
2.841765e+003, 4.923506e+002
2.871062e+003, 4.924523e+002
2.900359e+003, 4.924523e+002
2.929655e+003, 4.924523e+002
2.958952e+003, 4.924778e+002
2.988248e+003, 4.927575e+002
3.017545e+003, 4.927575e+002
3.046841e+003, 4.924523e+002
3.076138e+003, 4.920454e+002
3.105434e+003, 4.916385e+002
3.134731e+003, 4.916385e+002
3.164028e+003, 4.920454e+002
3.193324e+003, 4.920963e+002
3.222621e+003, 4.924523e+002
3.251917e+003, 4.920963e+002
3.281214e+003, 4.912825e+002
3.310510e+003, 4.912316e+002
3.339807e+003, 4.912316e+002
3.369103e+003, 4.912825e+002
3.398400e+003, 4.912825e+002
3.427697e+003, 4.912825e+002
3.456993e+003, 4.912316e+002
3.486290e+003, 4.911299e+002
3.515586e+003, 4.908502e+002
3.544883e+003, 4.908247e+002
3.574179e+003, 4.912825e+002
3.603476e+003, 4.920963e+002
3.632772e+003, 4.920454e+002
3.662069e+003, 4.912825e+002
3.691365e+003, 4.913079e+002
3.720662e+003, 4.912825e+002
3.749959e+003, 4.912316e+002
3.779255e+003, 4.914605e+002
3.808552e+003, 4.920454e+002
3.837848e+003, 4.928592e+002
3.867145e+003, 4.929101e+002
3.896441e+003, 4.928592e+002
3.925738e+003, 4.924523e+002
3.955034e+003, 4.920963e+002
3.984331e+003, 4.924523e+002
4.013628e+003, 4.928592e+002
4.042924e+003, 4.935713e+002
4.072221e+003, 4.932661e+002
4.101517e+003, 4.928592e+002
4.130814e+003, 4.928592e+002
4.160110e+003, 4.928592e+002
4.189407e+003, 4.924523e+002
4.218703e+003, 4.927575e+002
4.248000e+003, 4.929101e+002
4.277297e+003, 4.937239e+002
4.306593e+003, 4.944868e+002
4.335890e+003, 4.945377e+002
4.365186e+003, 4.944868e+002
4.394483e+003, 4.939782e+002
4.423779e+003, 4.936730e+002
4.453076e+003, 4.937239e+002
4.482372e+003, 4.943851e+002
4.511669e+003, 4.945377e+002
4.540965e+003, 4.951989e+002
4.570262e+003, 4.941054e+002
4.599559e+003, 4.935713e+002
4.628855e+003, 4.928592e+002
4.658152e+003, 4.935713e+002
4.687448e+003, 4.937239e+002
4.716745e+003, 4.943851e+002
4.746041e+003, 4.944868e+002
4.775338e+003, 4.940799e+002
4.804634e+003, 4.936222e+002
4.833931e+003, 4.936730e+002
4.863228e+003, 4.937239e+002
4.892524e+003, 4.936730e+002
4.921821e+003, 4.936222e+002
4.951117e+003, 4.935713e+002
4.980414e+003, 4.937239e+002
5.009710e+003, 4.937239e+002
5.039007e+003, 4.935713e+002
5.068303e+003, 4.936730e+002
5.097600e+003, 4.943851e+002
5.126897e+003, 4.943851e+002
5.156193e+003, 4.936730e+002
5.185490e+003, 4.935713e+002
5.214786e+003, 4.937239e+002
5.244083e+003, 4.941054e+002
5.273379e+003, 4.936730e+002
5.302676e+003, 4.936730e+002
5.331972e+003, 4.944868e+002
5.361269e+003, 4.944868e+002
5.390565e+003, 4.943851e+002
5.419862e+003, 4.936222e+002
5.449159e+003, 4.936730e+002
5.478455e+003, 4.940799e+002
5.507752e+003, 4.936730e+002
5.537048e+003, 4.932661e+002
5.566345e+003, 4.929355e+002
5.595641e+003, 4.929101e+002
5.624938e+003, 4.928592e+002
5.654234e+003, 4.929101e+002
5.683531e+003, 4.927575e+002
5.712828e+003, 4.924523e+002
5.742124e+003, 4.924523e+002
5.771421e+003, 4.924523e+002
5.800717e+003, 4.924523e+002
5.830014e+003, 4.920963e+002
5.859310e+003, 4.920454e+002
5.888607e+003, 4.920454e+002
5.917903e+003, 4.924778e+002
5.947200e+003, 4.924523e+002
5.976497e+003, 4.924523e+002
6.005793e+003, 4.927575e+002
6.035090e+003, 4.928592e+002
6.064386e+003, 4.928592e+002
6.093683e+003, 4.927575e+002
6.122979e+003, 4.920963e+002
6.152276e+003, 4.920454e+002
6.181572e+003, 4.920963e+002
6.210869e+003, 4.920963e+002
6.240165e+003, 4.927575e+002
6.269462e+003, 4.924778e+002
6.298759e+003, 4.927575e+002
6.328055e+003, 4.928592e+002
6.357352e+003, 4.929101e+002
6.386648e+003, 4.928592e+002
6.415945e+003, 4.924523e+002
6.445241e+003, 4.927575e+002
6.474538e+003, 4.927575e+002
6.503834e+003, 4.927575e+002
6.533131e+003, 4.928592e+002
6.562428e+003, 4.924523e+002
6.591724e+003, 4.920963e+002
6.621021e+003, 4.920454e+002
6.650317e+003, 4.923506e+002
6.679614e+003, 4.927575e+002
6.708910e+003, 4.929101e+002
6.738207e+003, 4.932661e+002
6.767503e+003, 4.936222e+002
6.796800e+003, 4.932661e+002
6.826096e+003, 4.928592e+002
6.855393e+003, 4.932661e+002
6.884690e+003, 4.935713e+002
6.913986e+003, 4.936730e+002
6.943283e+003, 4.937239e+002
6.972579e+003, 4.937239e+002
7.001876e+003, 4.936730e+002
7.031172e+003, 4.929101e+002
7.060469e+003, 4.927575e+002
7.089765e+003, 4.927575e+002
7.119062e+003, 4.932661e+002
7.148359e+003, 4.941054e+002
7.177655e+003, 4.949192e+002
7.206952e+003, 4.953006e+002
7.236248e+003, 4.945631e+002
7.265545e+003, 4.943851e+002
7.294841e+003, 4.943851e+002
7.324138e+003, 4.944868e+002
7.353434e+003, 4.944868e+002
7.382731e+003, 4.945377e+002
7.412028e+003, 4.945631e+002
7.441324e+003, 4.945377e+002
7.470621e+003, 4.945377e+002
7.499917e+003, 4.944868e+002
7.529214e+003, 4.944868e+002
7.558510e+003, 4.951989e+002
7.587807e+003, 4.957075e+002
7.617103e+003, 4.957330e+002
7.646400e+003, 4.953006e+002
7.675696e+003, 4.947157e+002
7.704993e+003, 4.944868e+002
7.734290e+003, 4.944868e+002
7.763586e+003, 4.944868e+002
7.792883e+003, 4.944868e+002
7.822179e+003, 4.943851e+002
7.851476e+003, 4.943851e+002
7.880772e+003, 4.943851e+002
7.910069e+003, 4.937493e+002
7.939365e+003, 4.935713e+002
7.968662e+003, 4.935713e+002
7.997959e+003, 4.937239e+002
8.027255e+003, 4.944868e+002
8.056552e+003, 4.949192e+002
8.085848e+003, 4.945631e+002
8.115145e+003, 4.941054e+002
8.144441e+003, 4.936730e+002
8.173738e+003, 4.936222e+002
8.203034e+003, 4.937239e+002
8.232331e+003, 4.944868e+002
8.261628e+003, 4.951989e+002
8.290924e+003, 4.951989e+002
8.320221e+003, 4.941054e+002
8.349517e+003, 4.940799e+002
8.378814e+003, 4.944868e+002
8.408110e+003, 4.951989e+002
8.437407e+003, 4.949192e+002
8.466703e+003, 4.944868e+002
8.496000e+003, 4.943851e+002
8.525296e+003, 4.941054e+002
8.554593e+003, 4.941054e+002
8.583890e+003, 4.944868e+002
8.613186e+003, 4.947157e+002
8.642483e+003, 4.953006e+002
8.671779e+003, 4.956058e+002
8.701076e+003, 4.953769e+002
8.730372e+003, 4.957330e+002
8.759669e+003, 4.961145e+002
8.788965e+003, 4.961145e+002
8.818262e+003, 4.961907e+002
8.847559e+003, 4.960127e+002
8.876855e+003, 4.956058e+002
8.906152e+003, 4.960127e+002
8.935448e+003, 4.961145e+002
8.964745e+003, 4.961145e+002
8.994041e+003, 4.957330e+002
9.023338e+003, 4.960127e+002
9.052634e+003, 4.961145e+002
9.081931e+003, 4.961907e+002
9.111228e+003, 4.961145e+002
9.140524e+003, 4.957075e+002
9.169821e+003, 4.960127e+002
9.199117e+003, 4.968265e+002
9.228414e+003, 4.970045e+002
9.257710e+003, 4.968265e+002
9.287007e+003, 4.961145e+002
9.316303e+003, 4.961653e+002
