File name = 1_center_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.265089e+002
2.929655e+001, 4.264326e+002
5.859310e+001, 4.273481e+002
8.788965e+001, 4.423017e+002
1.171862e+002, 4.668176e+002
1.464828e+002, 4.951989e+002
1.757793e+002, 5.197656e+002
2.050759e+002, 5.376184e+002
2.343724e+002, 5.498254e+002
2.636690e+002, 5.600234e+002
2.929655e+002, 5.710352e+002
3.222621e+002, 5.835982e+002
3.515586e+002, 5.969243e+002
3.808552e+002, 6.091313e+002
4.101517e+002, 6.189987e+002
4.394483e+002, 6.246953e+002
4.687448e+002, 6.278488e+002
4.980414e+002, 6.303919e+002
5.273379e+002, 6.343592e+002
5.566345e+002, 6.369532e+002
5.859310e+002, 6.384282e+002
6.152276e+002, 6.385808e+002
6.445241e+002, 6.385808e+002
6.738207e+002, 6.384282e+002
7.031172e+002, 6.377670e+002
7.324138e+002, 6.364954e+002
7.617103e+002, 6.353256e+002
7.910069e+002, 6.343592e+002
8.203034e+002, 6.327316e+002
8.496000e+002, 6.304428e+002
8.788965e+002, 6.287643e+002
9.081931e+002, 6.271367e+002
9.374896e+002, 6.247461e+002
9.667862e+002, 6.230677e+002
9.960828e+002, 6.213383e+002
1.025379e+003, 6.190495e+002
1.054676e+003, 6.164555e+002
1.083972e+003, 6.141158e+002
1.113269e+003, 6.116744e+002
1.142566e+003, 6.091313e+002
1.171862e+003, 6.063847e+002
1.201159e+003, 6.043502e+002
1.230455e+003, 6.031295e+002
1.259752e+003, 6.019597e+002
1.289048e+003, 6.002812e+002
1.318345e+003, 5.969751e+002
1.347641e+003, 5.913294e+002
1.376938e+003, 5.896000e+002
1.406234e+003, 5.887862e+002
1.435531e+003, 5.888880e+002
1.464828e+003, 5.896000e+002
1.494124e+003, 5.901087e+002
1.523421e+003, 5.912276e+002
1.552717e+003, 5.930078e+002
1.582014e+003, 5.946354e+002
1.611310e+003, 5.961105e+002
1.640607e+003, 5.969751e+002
1.669903e+003, 5.985519e+002
1.699200e+003, 6.010950e+002
1.728497e+003, 6.051131e+002
1.757793e+003, 6.084701e+002
1.787090e+003, 6.108606e+002
