File name = B1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.171879e+002
1.953103e+001, 4.165267e+002
3.906207e+001, 4.184594e+002
5.859310e+001, 4.189426e+002
7.812414e+001, 4.206974e+002
9.765517e+001, 4.235457e+002
1.171862e+002, 4.271569e+002
1.367172e+002, 4.309716e+002
1.562483e+002, 4.334130e+002
1.757793e+002, 4.345828e+002
1.953103e+002, 4.360578e+002
2.148414e+002, 4.391096e+002
2.343724e+002, 4.430768e+002
2.539034e+002, 4.475527e+002
2.734345e+002, 4.522321e+002
2.929655e+002, 4.565045e+002
3.124965e+002, 4.599378e+002
3.320276e+002, 4.626080e+002
3.515586e+002, 4.649477e+002
3.710897e+002, 4.681012e+002
3.906207e+002, 4.727805e+002
4.101517e+002, 4.783754e+002
4.296828e+002, 4.828513e+002
4.492138e+002, 4.864117e+002
4.687448e+002, 4.879884e+002
4.882759e+002, 4.893617e+002
5.078069e+002, 4.914216e+002
5.273379e+002, 4.956687e+002
5.468690e+002, 4.996868e+002
5.664000e+002, 5.023062e+002
5.859310e+002, 5.043153e+002
6.054621e+002, 5.051799e+002
6.249931e+002, 5.060700e+002
6.445241e+002, 5.072653e+002
6.640552e+002, 5.085114e+002
6.835862e+002, 5.091980e+002
7.031172e+002, 5.090963e+002
7.226483e+002, 5.088165e+002
7.421793e+002, 5.085368e+002
7.617103e+002, 5.075704e+002
7.812414e+002, 5.058919e+002
8.007724e+002, 5.041117e+002
8.203034e+002, 5.023823e+002
8.398345e+002, 5.007039e+002
8.593655e+002, 4.985422e+002
8.788965e+002, 4.956176e+002
8.984276e+002, 4.924386e+002
9.179586e+002, 4.892597e+002
9.374896e+002, 4.859282e+002
9.570207e+002, 4.830036e+002
9.765517e+002, 4.797992e+002
9.960828e+002, 4.754759e+002
1.015614e+003, 4.704913e+002
1.035145e+003, 4.653542e+002
1.054676e+003, 4.598864e+002
1.074207e+003, 4.545713e+002
1.093738e+003, 4.488747e+002
1.113269e+003, 4.438901e+002
1.132800e+003, 4.399737e+002
1.152331e+003, 4.362607e+002
1.171862e+003, 4.310218e+002
1.191393e+003, 4.258084e+002
1.210924e+003, 4.208238e+002
1.230455e+003, 4.163225e+002
1.249986e+003, 4.116431e+002
1.269517e+003, 4.074723e+002
1.289048e+003, 4.046749e+002
1.308579e+003, 4.022335e+002
1.328110e+003, 3.995377e+002
1.347641e+003, 3.964860e+002
1.367172e+003, 3.941717e+002
1.386703e+003, 3.919592e+002
1.406234e+003, 3.894160e+002
1.425766e+003, 3.873306e+002
1.445297e+003, 3.860082e+002
1.464828e+003, 3.851689e+002
1.484359e+003, 3.841771e+002
1.503890e+003, 3.823460e+002
1.523421e+003, 3.803878e+002
1.542952e+003, 3.785822e+002
1.562483e+003, 3.769291e+002
1.582014e+003, 3.758864e+002
1.601545e+003, 3.749200e+002
1.621076e+003, 3.734959e+002
1.640607e+003, 3.718682e+002
1.660138e+003, 3.701389e+002
1.679669e+003, 3.681807e+002
1.699200e+003, 3.661970e+002
1.718731e+003, 3.642897e+002
1.738262e+003, 3.625603e+002
1.757793e+003, 3.607801e+002
1.777324e+003, 3.584658e+002
1.796855e+003, 3.561007e+002
1.816386e+003, 3.535576e+002
1.835917e+003, 3.510653e+002
1.855448e+003, 3.487765e+002
1.874979e+003, 3.465894e+002
1.894510e+003, 3.446057e+002
1.914041e+003, 3.425457e+002
1.933572e+003, 3.407910e+002
1.953103e+003, 3.386547e+002
1.972634e+003, 3.364676e+002
1.992166e+003, 3.339753e+002
2.011697e+003, 3.311779e+002
2.031228e+003, 3.280498e+002
2.050759e+003, 3.262442e+002
2.070290e+003, 3.253032e+002
2.089821e+003, 3.243114e+002
2.109352e+003, 3.230398e+002
2.128883e+003, 3.209544e+002
2.148414e+003, 3.189199e+002
2.167945e+003, 3.170380e+002
2.187476e+003, 3.157664e+002
2.207007e+003, 3.155375e+002
2.226538e+003, 3.154612e+002
2.246069e+003, 3.153594e+002
2.265600e+003, 3.152068e+002
2.285131e+003, 3.157663e+002
2.304662e+003, 3.163767e+002
2.324193e+003, 3.167327e+002
2.343724e+003, 3.172667e+002
2.363255e+003, 3.176482e+002
2.382786e+003, 3.185128e+002
2.402317e+003, 3.203185e+002
2.421848e+003, 3.232685e+002
2.441379e+003, 3.270069e+002
2.460910e+003, 3.301604e+002
2.480441e+003, 3.320677e+002
2.499972e+003, 3.332121e+002
2.519503e+003, 3.344836e+002
2.539034e+003, 3.368233e+002
2.558565e+003, 3.405363e+002
2.578097e+003, 3.455971e+002
2.597628e+003, 3.498950e+002
2.617159e+003, 3.528704e+002
2.636690e+003, 3.545235e+002
2.656221e+003, 3.559985e+002
