File name = B1_e.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.164542e+002
1.953103e+001, 5.158199e+002
3.906207e+001, 5.162284e+002
5.859310e+001, 5.169929e+002
7.812414e+001, 5.184187e+002
9.765517e+001, 5.204039e+002
1.171862e+002, 5.227451e+002
1.367172e+002, 5.240946e+002
1.562483e+002, 5.246302e+002
1.757793e+002, 5.252930e+002
1.953103e+002, 5.255489e+002
2.148414e+002, 5.259573e+002
2.343724e+002, 5.268490e+002
2.539034e+002, 5.273846e+002
2.734345e+002, 5.274625e+002
2.929655e+002, 5.271843e+002
3.124965e+002, 5.269824e+002
3.320276e+002, 5.269331e+002
3.515586e+002, 5.267313e+002
3.710897e+002, 5.259699e+002
3.906207e+002, 5.258697e+002
4.101517e+002, 5.257696e+002
4.296828e+002, 5.250336e+002
4.492138e+002, 5.239417e+002
4.687448e+002, 5.230277e+002
4.882759e+002, 5.224698e+002
5.078069e+002, 5.219119e+002
5.273379e+002, 5.202858e+002
5.468690e+002, 5.184055e+002
5.664000e+002, 5.160165e+002
5.859310e+002, 5.141362e+002
6.054621e+002, 5.125101e+002
6.249931e+002, 5.108332e+002
6.445241e+002, 5.086477e+002
6.640552e+002, 5.056992e+002
6.835862e+002, 5.023439e+002
7.031172e+002, 4.985816e+002
7.226483e+002, 4.948702e+002
7.421793e+002, 4.916929e+002
7.617103e+002, 4.889224e+002
7.812414e+002, 4.849567e+002
8.007724e+002, 4.793888e+002
8.203034e+002, 4.735920e+002
8.398345e+002, 4.692194e+002
8.593655e+002, 4.652791e+002
8.788965e+002, 4.602453e+002
8.984276e+002, 4.536856e+002
9.179586e+002, 4.466681e+002
9.374896e+002, 4.404136e+002
9.570207e+002, 4.358884e+002
9.765517e+002, 4.327110e+002
9.960828e+002, 4.283638e+002
1.015614e+003, 4.216007e+002
1.035145e+003, 4.134642e+002
1.054676e+003, 4.060398e+002
1.074207e+003, 3.998870e+002
1.093738e+003, 3.944971e+002
1.113269e+003, 3.899211e+002
1.132800e+003, 3.852941e+002
1.152331e+003, 3.803112e+002
1.171862e+003, 3.749213e+002
1.191393e+003, 3.699892e+002
1.210924e+003, 3.657692e+002
1.230455e+003, 3.624138e+002
1.249986e+003, 3.587024e+002
1.269517e+003, 3.552962e+002
1.289048e+003, 3.519408e+002
1.308579e+003, 3.488906e+002
1.328110e+003, 3.464508e+002
1.347641e+003, 3.443924e+002
1.367172e+003, 3.424866e+002
1.386703e+003, 3.404537e+002
1.406234e+003, 3.382173e+002
1.425766e+003, 3.362352e+002
1.445297e+003, 3.348635e+002
1.464828e+003, 3.338478e+002
1.484359e+003, 3.324252e+002
1.503890e+003, 3.307738e+002
1.523421e+003, 3.293766e+002
1.542952e+003, 3.285644e+002
1.562483e+003, 3.278285e+002
1.582014e+003, 3.269654e+002
1.601545e+003, 3.259751e+002
1.621076e+003, 3.250866e+002
1.640607e+003, 3.239946e+002
1.660138e+003, 3.233858e+002
1.679669e+003, 3.226753e+002
1.699200e+003, 3.221174e+002
1.718731e+003, 3.212034e+002
1.738262e+003, 3.201369e+002
1.757793e+003, 3.190704e+002
1.777324e+003, 3.181055e+002
1.796855e+003, 3.169881e+002
1.816386e+003, 3.157690e+002
1.835917e+003, 3.142192e+002
1.855448e+003, 3.128984e+002
1.874979e+003, 3.121116e+002
1.894510e+003, 3.114011e+002
1.914041e+003, 3.106906e+002
1.933572e+003, 3.094714e+002
1.953103e+003, 3.080489e+002
1.972634e+003, 3.072875e+002
1.992166e+003, 3.067296e+002
2.011697e+003, 3.059682e+002
2.031228e+003, 3.052831e+002
2.050759e+003, 3.051067e+002
2.070290e+003, 3.048539e+002
2.089821e+003, 3.044995e+002
2.109352e+003, 3.041959e+002
2.128883e+003, 3.042992e+002
2.148414e+003, 3.044533e+002
2.167945e+003, 3.045566e+002
2.187476e+003, 3.049142e+002
2.207007e+003, 3.055261e+002
2.226538e+003, 3.064432e+002
2.246069e+003, 3.074366e+002
2.265600e+003, 3.088878e+002
2.285131e+003, 3.106187e+002
2.304662e+003, 3.127565e+002
2.324193e+003, 3.151740e+002
2.343724e+003, 3.179476e+002
2.363255e+003, 3.200346e+002
2.382786e+003, 3.215875e+002
2.402317e+003, 3.239287e+002
2.421848e+003, 3.281264e+002
2.441379e+003, 3.337738e+002
2.460910e+003, 3.401332e+002
2.480441e+003, 3.454245e+002
2.499972e+003, 3.488847e+002
2.519503e+003, 3.507682e+002
2.539034e+003, 3.540758e+002
2.558565e+003, 3.599775e+002
2.578097e+003, 3.684222e+002
2.597628e+003, 3.777317e+002
2.617159e+003, 3.857187e+002
2.636690e+003, 3.910863e+002
