File name = B1_i.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.232401e+002
1.953103e+001, 5.225706e+002
3.906207e+001, 5.237831e+002
5.859310e+001, 5.228594e+002
7.812414e+001, 5.210201e+002
9.765517e+001, 5.181890e+002
1.171862e+002, 5.152562e+002
1.367172e+002, 5.126540e+002
1.562483e+002, 5.105350e+002
1.757793e+002, 5.094078e+002
1.953103e+002, 5.081534e+002
2.148414e+002, 5.057547e+002
2.343724e+002, 5.023895e+002
2.539034e+002, 4.988718e+002
2.734345e+002, 4.956084e+002
2.929655e+002, 4.929553e+002
3.124965e+002, 4.907091e+002
3.320276e+002, 4.894802e+002
3.515586e+002, 4.878444e+002
3.710897e+002, 4.854965e+002
3.906207e+002, 4.821568e+002
4.101517e+002, 4.792748e+002
4.296828e+002, 4.768252e+002
4.492138e+002, 4.751385e+002
4.687448e+002, 4.735790e+002
4.882759e+002, 4.724263e+002
5.078069e+002, 4.709177e+002
5.273379e+002, 4.690021e+002
5.468690e+002, 4.668068e+002
5.664000e+002, 4.651456e+002
5.859310e+002, 4.640184e+002
6.054621e+002, 4.630183e+002
6.249931e+002, 4.618403e+002
6.445241e+002, 4.603570e+002
6.640552e+002, 4.584669e+002
6.835862e+002, 4.562970e+002
7.031172e+002, 4.544323e+002
7.226483e+002, 4.531017e+002
7.421793e+002, 4.515167e+002
7.617103e+002, 4.496266e+002
7.812414e+002, 4.471770e+002
8.007724e+002, 4.442950e+002
8.203034e+002, 4.416674e+002
8.398345e+002, 4.395229e+002
8.593655e+002, 4.373785e+002
8.788965e+002, 4.346237e+002
8.984276e+002, 4.305464e+002
9.179586e+002, 4.261132e+002
9.374896e+002, 4.222903e+002
9.570207e+002, 4.197389e+002
9.765517e+002, 4.184083e+002
9.960828e+002, 4.159078e+002
1.015614e+003, 4.116780e+002
1.035145e+003, 4.061003e+002
1.054676e+003, 4.001411e+002
1.074207e+003, 3.952755e+002
1.093738e+003, 3.917069e+002
1.113269e+003, 3.890539e+002
1.132800e+003, 3.858667e+002
1.152331e+003, 3.820692e+002
1.171862e+003, 3.773308e+002
1.191393e+003, 3.725161e+002
1.210924e+003, 3.682608e+002
1.230455e+003, 3.645142e+002
1.249986e+003, 3.614797e+002
1.269517e+003, 3.588774e+002
1.289048e+003, 3.566313e+002
1.308579e+003, 3.547411e+002
1.328110e+003, 3.525458e+002
1.347641e+003, 3.504014e+002
1.367172e+003, 3.488673e+002
1.386703e+003, 3.483504e+002
1.406234e+003, 3.478336e+002
1.425766e+003, 3.475711e+002
1.445297e+003, 3.473594e+002
1.464828e+003, 3.475038e+002
1.484359e+003, 3.479025e+002
1.503890e+003, 3.487081e+002
1.523421e+003, 3.501240e+002
1.542952e+003, 3.517942e+002
1.562483e+003, 3.531593e+002
1.582014e+003, 3.541938e+002
1.601545e+003, 3.553808e+002
1.621076e+003, 3.566696e+002
1.640607e+003, 3.579330e+002
1.660138e+003, 3.592726e+002
1.679669e+003, 3.611463e+002
1.699200e+003, 3.635541e+002
1.718731e+003, 3.658093e+002
1.738262e+003, 3.673269e+002
1.757793e+003, 3.683360e+002
1.777324e+003, 3.691924e+002
1.796855e+003, 3.705575e+002
1.816386e+003, 3.717191e+002
1.835917e+003, 3.728807e+002
1.855448e+003, 3.738135e+002
1.874979e+003, 3.750514e+002
1.894510e+003, 3.760096e+002
1.914041e+003, 3.761031e+002
1.933572e+003, 3.759932e+002
1.953103e+003, 3.765190e+002
1.972634e+003, 3.770448e+002
1.992166e+003, 3.768840e+002
2.011697e+003, 3.764181e+002
2.031228e+003, 3.760538e+002
2.050759e+003, 3.758167e+002
2.070290e+003, 3.756813e+002
2.089821e+003, 3.750628e+002
2.109352e+003, 3.744951e+002
2.128883e+003, 3.741562e+002
2.148414e+003, 3.740209e+002
2.167945e+003, 3.733514e+002
2.187476e+003, 3.721988e+002
2.207007e+003, 3.720634e+002
2.226538e+003, 3.723604e+002
2.246069e+003, 3.724539e+002
2.265600e+003, 3.723185e+002
2.285131e+003, 3.723866e+002
2.304662e+003, 3.726327e+002
2.324193e+003, 3.735909e+002
2.343724e+003, 3.749051e+002
2.363255e+003, 3.758887e+002
2.382786e+003, 3.771266e+002
2.402317e+003, 3.786443e+002
2.421848e+003, 3.813827e+002
2.441379e+003, 3.865116e+002
2.460910e+003, 3.929629e+002
2.480441e+003, 3.977358e+002
2.499972e+003, 3.999656e+002
2.519503e+003, 4.006694e+002
2.539034e+003, 4.026957e+002
2.558565e+003, 4.083078e+002
2.578097e+003, 4.174294e+002
2.597628e+003, 4.273903e+002
2.617159e+003, 4.356727e+002
2.636690e+003, 4.408016e+002
2.656221e+003, 4.435400e+002
2.675752e+003, 4.461766e+002
2.695283e+003, 4.502374e+002
2.714814e+003, 4.570448e+002
2.734345e+003, 4.658867e+002
2.753876e+003, 4.742708e+002
2.773407e+003, 4.801118e+002
2.792938e+003, 4.831045e+002
2.812469e+003, 4.845204e+002
2.832000e+003, 4.859873e+002
2.851531e+003, 4.896666e+002
2.871062e+003, 4.960671e+002
2.890593e+003, 5.035611e+002
2.910124e+003, 5.092495e+002
2.929655e+003, 5.122930e+002
2.949186e+003, 5.122848e+002
2.968717e+003, 5.114119e+002
2.988248e+003, 5.124718e+002
3.007779e+003, 5.156171e+002
3.027310e+003, 5.198814e+002
3.046841e+003, 5.227469e+002
3.066372e+003, 5.238831e+002
3.085903e+003, 5.239257e+002
3.105434e+003, 5.236632e+002
3.124965e+003, 5.237313e+002
3.144497e+003, 5.242571e+002
3.164028e+003, 5.243252e+002
3.183559e+003, 5.235795e+002
3.203090e+003, 5.221471e+002
3.222621e+003, 5.207402e+002
3.242152e+003, 5.204522e+002
3.261683e+003, 5.197828e+002
3.281214e+003, 5.181470e+002
3.300745e+003, 5.151887e+002
3.320276e+003, 5.118744e+002
3.339807e+003, 5.093231e+002
3.359338e+003, 5.074329e+002
3.378869e+003, 5.050342e+002
3.398400e+003, 5.031949e+002
3.417931e+003, 5.006944e+002
3.437462e+003, 4.977362e+002
3.456993e+003, 4.950068e+002
3.476524e+003, 4.924300e+002
3.496055e+003, 4.903873e+002
3.515586e+003, 4.875562e+002
3.535117e+003, 4.852846e+002
3.554648e+003, 4.830639e+002
3.574179e+003, 4.809957e+002
3.593710e+003, 4.785970e+002
3.613241e+003, 4.768594e+002
3.632772e+003, 4.753762e+002
3.652303e+003, 4.733843e+002
3.671834e+003, 4.710110e+002
3.691365e+003, 4.694515e+002
3.710897e+003, 4.681208e+002
3.730428e+003, 4.667902e+002
3.749959e+003, 4.650781e+002
3.769490e+003, 4.636203e+002
3.789021e+003, 4.620353e+002
3.808552e+003, 4.606538e+002
3.828083e+003, 4.592723e+002
3.847614e+003, 4.582977e+002
3.867145e+003, 4.573739e+002
3.886676e+003, 4.552041e+002
3.906207e+003, 4.530850e+002
3.925738e+003, 4.507117e+002
3.945269e+003, 4.487961e+002
3.964800e+003, 4.465754e+002
3.984331e+003, 4.446090e+002
4.003862e+003, 4.424645e+002
4.023393e+003, 4.403709e+002
4.042924e+003, 4.376670e+002
4.062455e+003, 4.343019e+002
4.081986e+003, 4.309876e+002
4.101517e+003, 4.276224e+002
4.121048e+003, 4.243590e+002
4.140579e+003, 4.216551e+002
4.160110e+003, 4.188240e+002
4.179641e+003, 4.158911e+002
4.199172e+003, 4.120937e+002
4.218703e+003, 4.071518e+002
4.238234e+003, 4.018793e+002
4.257765e+003, 3.967339e+002
4.277297e+003, 3.935214e+002
4.296828e+003, 3.914786e+002
4.316359e+003, 3.892325e+002
4.335890e+003, 3.850789e+002
4.355421e+003, 3.794504e+002
4.374952e+003, 3.736947e+002
4.394483e+003, 3.698209e+002
4.414014e+003, 3.680325e+002
4.433545e+003, 3.663458e+002
4.453076e+003, 3.642523e+002
4.472607e+003, 3.612940e+002
4.492138e+003, 3.582849e+002
4.511669e+003, 3.553266e+002
4.531200e+003, 3.528770e+002
4.550731e+003, 3.518007e+002
4.570262e+003, 3.513856e+002
4.589793e+003, 3.512756e+002
4.609324e+003, 3.510640e+002
4.628855e+003, 3.510557e+002
4.648386e+003, 3.513527e+002
4.667917e+003, 3.520566e+002
4.687448e+003, 3.529639e+002
4.706979e+003, 3.534643e+002
4.726510e+003, 3.534052e+002
4.746041e+003, 3.537022e+002
4.765572e+003, 3.554742e+002
4.785103e+003, 3.578056e+002
4.804634e+003, 3.602897e+002
4.824165e+003, 3.624686e+002
4.843697e+003, 3.634776e+002
4.863228e+003, 3.635965e+002
4.882759e+003, 3.635375e+002
4.902290e+003, 3.649280e+002
4.921821e+003, 3.676155e+002
4.941352e+003, 3.704810e+002
4.960883e+003, 3.722784e+002
4.980414e+003, 3.726771e+002
4.999945e+003, 3.725926e+002
5.019476e+003, 3.729404e+002
5.039007e+003, 3.742801e+002
5.058538e+003, 3.755434e+002
5.078069e+003, 3.770102e+002
5.097600e+003, 3.777649e+002
5.117131e+003, 3.779093e+002
5.136662e+003, 3.775705e+002
5.156193e+003, 3.773334e+002
5.175724e+003, 3.775795e+002
5.195255e+003, 3.780290e+002
5.214786e+003, 3.777411e+002
5.234317e+003, 3.773005e+002
5.253848e+003, 3.768600e+002
5.273379e+003, 3.762160e+002
5.292910e+003, 3.746310e+002
5.312441e+003, 3.736564e+002
5.331972e+003, 3.731650e+002
5.351503e+003, 3.730296e+002
5.371034e+003, 3.725637e+002
5.390565e+003, 3.718179e+002
5.410097e+003, 3.708942e+002
5.429628e+003, 3.706062e+002
5.449159e+003, 3.708778e+002
5.468690e+003, 3.711493e+002
5.488221e+003, 3.717514e+002
5.507752e+003, 3.719467e+002
5.527283e+003, 3.724979e+002
5.546814e+003, 3.740410e+002
5.566345e+003, 3.763471e+002
5.585876e+003, 3.793398e+002
5.605407e+003, 3.819764e+002
5.624938e+003, 3.840027e+002
5.644469e+003, 3.863342e+002
5.664000e+003, 3.899880e+002
5.683531e+003, 3.954730e+002
5.703062e+003, 4.019752e+002
5.722593e+003, 4.079688e+002
5.742124e+003, 4.123856e+002
5.761655e+003, 4.163447e+002
5.781186e+003, 4.214736e+002
5.800717e+003, 4.270603e+002
5.820248e+003, 4.321383e+002
5.839779e+003, 4.381319e+002
5.859310e+003, 4.454988e+002
5.878841e+003, 4.538829e+002
5.898372e+003, 4.603597e+002
5.917903e+003, 4.645476e+002
5.937434e+003, 4.662179e+002
5.956965e+003, 4.685494e+002
5.976497e+003, 4.739835e+002
5.996028e+003, 4.817064e+002
6.015559e+003, 4.892258e+002
6.035090e+003, 4.936935e+002
6.054621e+003, 4.960250e+002
6.074152e+003, 4.975427e+002
6.093683e+003, 4.994672e+002
6.113214e+003, 5.026634e+002
6.132745e+003, 5.068767e+002
6.152276e+003, 5.109375e+002
6.171807e+003, 5.136759e+002
6.191338e+003, 5.150919e+002
6.210869e+003, 5.153125e+002
6.230400e+003, 5.160927e+002
6.249931e+003, 5.172034e+002
6.269462e+003, 5.184159e+002
6.288993e+003, 5.195776e+002
6.308524e+003, 5.206375e+002
6.328055e+003, 5.204258e+002
6.347586e+003, 5.192477e+002
6.367117e+003, 5.183240e+002
6.386648e+003, 5.180615e+002
6.406179e+003, 5.164765e+002
6.425710e+003, 5.150950e+002
6.445241e+003, 5.136626e+002
6.464772e+003, 5.120777e+002
6.484303e+003, 5.105181e+002
6.503834e+003, 5.089586e+002
6.523365e+003, 5.068650e+002
6.542896e+003, 5.036779e+002
6.562428e+003, 4.999821e+002
6.581959e+003, 4.967696e+002
6.601490e+003, 4.948794e+002
6.621021e+003, 4.936505e+002
6.640552e+003, 4.926251e+002
6.660083e+003, 4.905823e+002
6.679614e+003, 4.871155e+002
6.699145e+003, 4.830891e+002
6.718676e+003, 4.801054e+002
6.738207e+003, 4.786476e+002
6.757738e+003, 4.778765e+002
6.777269e+003, 4.773088e+002
6.796800e+003, 4.755712e+002
6.816331e+003, 4.730199e+002
6.835862e+003, 4.708754e+002
6.855393e+003, 4.691887e+002
6.874924e+003, 4.681124e+002
6.894455e+003, 4.673412e+002
6.913986e+003, 4.668244e+002
6.933517e+003, 4.659007e+002
6.953048e+003, 4.644174e+002
6.972579e+003, 4.624256e+002
6.992110e+003, 4.610949e+002
7.011641e+003, 4.601712e+002
7.031172e+003, 4.592474e+002
7.050703e+003, 4.576625e+002
7.070234e+003, 4.557723e+002
7.089765e+003, 4.536279e+002
7.109296e+003, 4.514326e+002
7.128828e+003, 4.492881e+002
7.148359e+003, 4.467877e+002
7.167890e+003, 4.449992e+002
7.187421e+003, 4.435669e+002
7.206952e+003, 4.415496e+002
7.226483e+003, 4.390237e+002
7.246014e+003, 4.359637e+002
7.265545e+003, 4.325477e+002
7.285076e+003, 4.291825e+002
7.304607e+003, 4.261480e+002
7.324138e+003, 4.236729e+002
7.343669e+003, 4.207655e+002
7.363200e+003, 4.170444e+002
7.382731e+003, 4.128654e+002
7.402262e+003, 4.083304e+002
7.421793e+003, 4.037191e+002
7.441324e+003, 3.993876e+002
7.460855e+003, 3.959461e+002
7.480386e+003, 3.923775e+002
7.499917e+003, 3.882494e+002
7.519448e+003, 3.840196e+002
7.538979e+003, 3.797389e+002
7.558510e+003, 3.758906e+002
7.578041e+003, 3.730086e+002
7.597572e+003, 3.701521e+002
7.617103e+003, 3.671430e+002
7.636634e+003, 3.633201e+002
7.656165e+003, 3.591157e+002
7.675696e+003, 3.563355e+002
7.695228e+003, 3.547505e+002
7.714759e+003, 3.536742e+002
7.734290e+003, 3.526996e+002
7.753821e+003, 3.514198e+002
7.773352e+003, 3.500892e+002
7.792883e+003, 3.495977e+002
7.812414e+003, 3.494878e+002
7.831945e+003, 3.497593e+002
7.851476e+003, 3.503615e+002
7.871007e+003, 3.507856e+002
7.890538e+003, 3.517183e+002
7.910069e+003, 3.533886e+002
7.929600e+003, 3.551606e+002
7.949131e+003, 3.562713e+002
7.968662e+003, 3.566700e+002
7.988193e+003, 3.566109e+002
8.007724e+003, 3.576708e+002
8.027255e+003, 3.599006e+002
8.046786e+003, 3.631984e+002
8.066317e+003, 3.658859e+002
8.085848e+003, 3.674036e+002
8.105379e+003, 3.677769e+002
8.124910e+003, 3.684553e+002
8.144441e+003, 3.695152e+002
8.163972e+003, 3.708294e+002
8.183503e+003, 3.725505e+002
8.203034e+003, 3.744751e+002
8.222565e+003, 3.755859e+002
8.242096e+003, 3.761880e+002
8.261628e+003, 3.766630e+002
8.281159e+003, 3.772397e+002
8.300690e+003, 3.772315e+002
8.320221e+003, 3.773758e+002
8.339752e+003, 3.777237e+002
8.359283e+003, 3.775629e+002
8.378814e+003, 3.774529e+002
8.398345e+003, 3.770632e+002
8.417876e+003, 3.765210e+002
8.437407e+003, 3.754955e+002
8.456938e+003, 3.750804e+002
8.476469e+003, 3.753773e+002
8.496000e+003, 3.751657e+002
8.515531e+003, 3.743945e+002
8.535062e+003, 3.730893e+002
8.554593e+003, 3.716824e+002
8.574124e+003, 3.707078e+002
8.593655e+003, 3.702418e+002
8.613186e+003, 3.704879e+002
8.632717e+003, 3.704797e+002
8.652248e+003, 3.703697e+002
8.671779e+003, 3.701581e+002
8.691310e+003, 3.700481e+002
8.710841e+003, 3.703959e+002
8.730372e+003, 3.715067e+002
8.749903e+003, 3.729226e+002
8.769434e+003, 3.745929e+002
8.788965e+003, 3.769244e+002
8.808496e+003, 3.800696e+002
8.828028e+003, 3.832149e+002
8.847559e+003, 3.858007e+002
8.867090e+003, 3.886408e+002
8.886621e+003, 3.922438e+002
8.906152e+003, 3.974236e+002
8.925683e+003, 4.038495e+002
8.945214e+003, 4.097668e+002
8.964745e+003, 4.146160e+002
8.984276e+003, 4.193125e+002
9.003807e+003, 4.247212e+002
9.023338e+003, 4.317066e+002
9.042869e+003, 4.393532e+002
9.062400e+003, 4.465421e+002
9.081931e+003, 4.519253e+002
9.101462e+003, 4.551469e+002
9.120993e+003, 4.587753e+002
9.140524e+003, 4.636499e+002
9.160055e+003, 4.696435e+002
9.179586e+003, 4.762983e+002
9.199117e+003, 4.822156e+002
9.218648e+003, 4.871665e+002
9.238179e+003, 4.906169e+002
9.257710e+003, 4.929993e+002
9.277241e+003, 4.953816e+002
9.296772e+003, 4.984251e+002
9.316303e+003, 5.020790e+002
9.335834e+003, 5.056821e+002
9.355365e+003, 5.086747e+002
9.374896e+003, 5.105230e+002
9.394428e+003, 5.118627e+002
9.413959e+003, 5.133803e+002
9.433490e+003, 5.152795e+002
9.453021e+003, 5.167971e+002
9.472552e+003, 5.171195e+002
9.492083e+003, 5.170350e+002
9.511614e+003, 5.171539e+002
9.531145e+003, 5.169677e+002
9.550676e+003, 5.162729e+002
9.570207e+003, 5.156034e+002
9.589738e+003, 5.143999e+002
9.609269e+003, 5.134508e+002
9.628800e+003, 5.120184e+002
9.648331e+003, 5.099757e+002
9.667862e+003, 5.078312e+002
9.687393e+003, 5.051781e+002
9.706924e+003, 5.027285e+002
9.726455e+003, 5.009910e+002
9.745986e+003, 4.993043e+002
9.765517e+003, 4.975667e+002
9.785048e+003, 4.944559e+002
9.804579e+003, 4.906839e+002
9.824110e+003, 4.874204e+002
9.843641e+003, 4.845130e+002
9.863172e+003, 4.827246e+002
9.882703e+003, 4.812923e+002
9.902234e+003, 4.793004e+002
9.921765e+003, 4.770034e+002
9.941296e+003, 4.745537e+002
9.960828e+003, 4.727145e+002
9.980359e+003, 4.709769e+002
9.999890e+003, 4.692902e+002
1.001942e+004, 4.680105e+002
1.003895e+004, 4.670867e+002
1.005848e+004, 4.664682e+002
1.007801e+004, 4.652392e+002
1.009754e+004, 4.638069e+002
1.011708e+004, 4.620693e+002
1.013661e+004, 4.611456e+002
1.015614e+004, 4.603236e+002
1.017567e+004, 4.592981e+002
1.019520e+004, 4.580692e+002
1.021473e+004, 4.567894e+002
1.023426e+004, 4.557131e+002
1.025379e+004, 4.540772e+002
1.027332e+004, 4.525686e+002
1.029286e+004, 4.510091e+002
1.031239e+004, 4.495767e+002
1.033192e+004, 4.479917e+002
1.035145e+004, 4.458473e+002
1.037098e+004, 4.435502e+002
1.039051e+004, 4.411515e+002
1.041004e+004, 4.389562e+002
1.042957e+004, 4.368626e+002
1.044910e+004, 4.349725e+002
1.046863e+004, 4.321668e+002
1.048817e+004, 4.295646e+002
1.050770e+004, 4.268352e+002
1.052723e+004, 4.237244e+002
1.054676e+004, 4.201049e+002
1.056629e+004, 4.161040e+002
1.058582e+004, 4.122811e+002
1.060535e+004, 4.082038e+002
1.062488e+004, 4.042029e+002
1.064441e+004, 4.005071e+002
1.066394e+004, 3.960739e+002
1.068348e+004, 3.921492e+002
1.070301e+004, 3.888349e+002
1.072254e+004, 3.863345e+002
1.074207e+004, 3.828676e+002
1.076160e+004, 3.782817e+002
1.078113e+004, 3.732890e+002
1.080066e+004, 3.692626e+002
1.082019e+004, 3.669656e+002
1.083972e+004, 3.654060e+002
1.085926e+004, 3.637957e+002
1.087879e+004, 3.604559e+002
1.089832e+004, 3.564550e+002
1.091785e+004, 3.535476e+002
1.093738e+004, 3.524713e+002
1.095691e+004, 3.517001e+002
1.097644e+004, 3.514376e+002
1.099597e+004, 3.513277e+002
1.101550e+004, 3.509888e+002
1.103503e+004, 3.508026e+002
1.105457e+004, 3.510996e+002
1.107410e+004, 3.522103e+002
1.109363e+004, 3.527870e+002
1.111316e+004, 3.532620e+002
1.113269e+004, 3.541439e+002
1.115222e+004, 3.554327e+002
1.117175e+004, 3.570012e+002
1.119128e+004, 3.584680e+002
1.121081e+004, 3.599857e+002
1.123034e+004, 3.611473e+002
1.124988e+004, 3.622072e+002
1.126941e+004, 3.637249e+002
1.128894e+004, 3.652934e+002
1.130847e+004, 3.669636e+002
1.132800e+004, 3.685067e+002
1.134753e+004, 3.698464e+002
1.136706e+004, 3.712623e+002
1.138659e+004, 3.724239e+002
1.140612e+004, 3.735856e+002
1.142566e+004, 3.749507e+002
1.144519e+004, 3.757562e+002
1.146472e+004, 3.760786e+002
1.148425e+004, 3.762484e+002
1.150378e+004, 3.762911e+002
1.152331e+004, 3.765880e+002
1.154284e+004, 3.767324e+002
1.156237e+004, 3.769277e+002
1.158190e+004, 3.766651e+002
1.160143e+004, 3.759703e+002
1.162097e+004, 3.754789e+002
1.164050e+004, 3.750637e+002
1.166003e+004, 3.741654e+002
1.167956e+004, 3.732671e+002
1.169909e+004, 3.727503e+002
1.171862e+004, 3.726403e+002
1.173815e+004, 3.723778e+002
1.175768e+004, 3.714541e+002
1.177721e+004, 3.702251e+002
1.179674e+004, 3.693014e+002
1.181628e+004, 3.690897e+002
1.183581e+004, 3.691069e+002
1.185534e+004, 3.693276e+002
1.187487e+004, 3.691668e+002
1.189440e+004, 3.692095e+002
1.191393e+004, 3.698625e+002
1.193346e+004, 3.706172e+002
1.195299e+004, 3.720331e+002
1.197252e+004, 3.735508e+002
1.199206e+004, 3.755771e+002
1.201159e+004, 3.789767e+002
1.203112e+004, 3.824271e+002
1.205065e+004, 3.854198e+002
1.207018e+004, 3.877004e+002
1.208971e+004, 3.902607e+002
1.210924e+004, 3.950082e+002
1.212877e+004, 4.012561e+002
1.214830e+004, 4.083178e+002
1.216783e+004, 4.147183e+002
1.218737e+004, 4.196437e+002
1.220690e+004, 4.227890e+002
1.222643e+004, 4.266972e+002
1.224596e+004, 4.321822e+002
1.226549e+004, 4.394982e+002
1.228502e+004, 4.471956e+002
1.230455e+004, 4.543591e+002
1.232408e+004, 4.595134e+002
1.234361e+004, 4.626587e+002
1.236314e+004, 4.650410e+002
1.238268e+004, 4.681863e+002
1.240221e+004, 4.737221e+002
1.242174e+004, 4.809364e+002
1.244127e+004, 4.869300e+002
1.246080e+004, 4.908890e+002
1.248033e+004, 4.936783e+002
1.249986e+004, 4.967727e+002
1.251939e+004, 4.998162e+002
1.253892e+004, 5.026563e+002
1.255846e+004, 5.054455e+002
1.257799e+004, 5.077770e+002
1.259752e+004, 5.096507e+002
1.261705e+004, 5.108123e+002
1.263658e+004, 5.119231e+002
1.265611e+004, 5.130339e+002
1.267564e+004, 5.143989e+002
1.269517e+004, 5.152045e+002
1.271470e+004, 5.155015e+002
1.273423e+004, 5.154170e+002
1.275377e+004, 5.152816e+002
1.277330e+004, 5.143579e+002
1.279283e+004, 5.130781e+002
1.281236e+004, 5.121543e+002
1.283189e+004, 5.115866e+002
1.285142e+004, 5.103069e+002
1.287095e+004, 5.087473e+002
1.289048e+004, 5.067809e+002
1.291001e+004, 5.049416e+002
1.292954e+004, 5.033567e+002
1.294908e+004, 5.014665e+002
1.296861e+004, 4.986863e+002
1.298814e+004, 4.961095e+002
1.300767e+004, 4.939651e+002
1.302720e+004, 4.920750e+002
1.304673e+004, 4.896253e+002
1.306626e+004, 4.866671e+002
1.308579e+004, 4.837088e+002
1.310532e+004, 4.810558e+002
1.312486e+004, 4.786570e+002
1.314439e+004, 4.768686e+002
1.316392e+004, 4.751310e+002
1.318345e+004, 4.730120e+002
1.320298e+004, 4.708930e+002
1.322251e+004, 4.691555e+002
1.324204e+004, 4.674179e+002
1.326157e+004, 4.664942e+002
1.328110e+004, 4.657484e+002
1.330063e+004, 4.649010e+002
1.332017e+004, 4.637229e+002
1.333970e+004, 4.626466e+002
1.335923e+004, 4.613160e+002
1.337876e+004, 4.599853e+002
1.339829e+004, 4.587564e+002
1.341782e+004, 4.577309e+002
1.343735e+004, 4.569089e+002
1.345688e+004, 4.563921e+002
1.347641e+004, 4.555192e+002
1.349594e+004, 4.541377e+002
1.351548e+004, 4.518915e+002
1.353501e+004, 4.494419e+002
1.355454e+004, 4.477043e+002
1.357407e+004, 4.460177e+002
1.359360e+004, 4.442801e+002
1.361313e+004, 4.427206e+002
1.363266e+004, 4.407542e+002
1.365219e+004, 4.381011e+002
1.367172e+004, 4.344308e+002
1.369126e+004, 4.307096e+002
1.371079e+004, 4.277005e+002
1.373032e+004, 4.247931e+002
1.374985e+004, 4.221400e+002
1.376938e+004, 4.184188e+002
1.378891e+004, 4.145450e+002
1.380844e+004, 4.105187e+002
1.382797e+004, 4.062889e+002
1.384750e+004, 4.017030e+002
1.386703e+004, 3.975495e+002
1.388657e+004, 3.942098e+002
1.390610e+004, 3.906157e+002
1.392563e+004, 3.861062e+002
1.394516e+004, 3.808591e+002
1.396469e+004, 3.766293e+002
1.398422e+004, 3.737219e+002
1.400375e+004, 3.718826e+002
1.402328e+004, 3.698653e+002
1.404281e+004, 3.672377e+002
1.406234e+004, 3.630587e+002
1.408188e+004, 3.585237e+002
1.410141e+004, 3.553875e+002
1.412094e+004, 3.540823e+002
1.414047e+004, 3.534637e+002
1.416000e+004, 3.528197e+002
