File name = B1_e.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.608952e+002
1.953103e+001, 4.599785e+002
3.906207e+001, 4.616050e+002
5.859310e+001, 4.623160e+002
7.812414e+001, 4.649597e+002
9.765517e+001, 4.701466e+002
1.171862e+002, 4.774697e+002
1.367172e+002, 4.842842e+002
1.562483e+002, 4.891150e+002
1.757793e+002, 4.914536e+002
1.953103e+002, 4.925206e+002
2.148414e+002, 4.935875e+002
2.343724e+002, 4.962059e+002
2.539034e+002, 5.003500e+002
2.734345e+002, 5.041382e+002
2.929655e+002, 5.071125e+002
3.124965e+002, 5.088153e+002
3.320276e+002, 5.097043e+002
3.515586e+002, 5.100592e+002
3.710897e+002, 5.107702e+002
3.906207e+002, 5.121423e+002
4.101517e+002, 5.136671e+002
4.296828e+002, 5.148867e+002
4.492138e+002, 5.155976e+002
4.687448e+002, 5.153168e+002
4.882759e+002, 5.150359e+002
5.078069e+002, 5.153145e+002
5.273379e+002, 5.156440e+002
5.468690e+002, 5.158972e+002
5.664000e+002, 5.154383e+002
5.859310e+002, 5.156915e+002
6.054621e+002, 5.162244e+002
6.249931e+002, 5.162996e+002
6.445241e+002, 5.166037e+002
6.640552e+002, 5.167297e+002
6.835862e+002, 5.171101e+002
7.031172e+002, 5.171598e+002
7.226483e+002, 5.172350e+002
7.421793e+002, 5.177679e+002
7.617103e+002, 5.183771e+002
7.812414e+002, 5.187321e+002
8.007724e+002, 5.190870e+002
8.203034e+002, 5.196453e+002
8.398345e+002, 5.196951e+002
8.593655e+002, 5.198465e+002
8.788965e+002, 5.197437e+002
8.984276e+002, 5.203784e+002
9.179586e+002, 5.212673e+002
9.374896e+002, 5.215205e+002
9.570207e+002, 5.215194e+002
9.765517e+002, 5.214166e+002
9.960828e+002, 5.214917e+002
1.015614e+003, 5.220247e+002
1.035145e+003, 5.222779e+002
1.054676e+003, 5.218190e+002
1.074207e+003, 5.209023e+002
1.093738e+003, 5.201383e+002
1.113269e+003, 5.194759e+002
1.132800e+003, 5.188645e+002
1.152331e+003, 5.179987e+002
1.171862e+003, 5.163191e+002
1.191393e+003, 5.144360e+002
1.210924e+003, 5.120444e+002
1.230455e+003, 5.101613e+002
1.249986e+003, 5.071339e+002
1.269517e+003, 5.043608e+002
1.289048e+003, 5.009518e+002
1.308579e+003, 4.964748e+002
1.328110e+003, 4.914383e+002
1.347641e+003, 4.860966e+002
1.367172e+003, 4.811109e+002
1.386703e+003, 4.752606e+002
1.406234e+003, 4.678844e+002
1.425766e+003, 4.595926e+002
1.445297e+003, 4.512500e+002
1.464828e+003, 4.440010e+002
1.484359e+003, 4.380235e+002
1.503890e+003, 4.311051e+002
1.523421e+003, 4.228896e+002
1.542952e+003, 4.138095e+002
1.562483e+003, 4.051617e+002
1.582014e+003, 3.971243e+002
1.601545e+003, 3.896972e+002
1.621076e+003, 3.827788e+002
1.640607e+003, 3.753517e+002
1.660138e+003, 3.684333e+002
1.679669e+003, 3.625830e+002
1.699200e+003, 3.564275e+002
1.718731e+003, 3.497633e+002
1.738262e+003, 3.436587e+002
1.757793e+003, 3.378846e+002
1.777324e+003, 3.332296e+002
1.796855e+003, 3.290577e+002
1.816386e+003, 3.251656e+002
1.835917e+003, 3.214261e+002
1.855448e+003, 3.177629e+002
1.874979e+003, 3.144811e+002
1.894510e+003, 3.110467e+002
1.914041e+003, 3.073326e+002
1.933572e+003, 3.045341e+002
1.953103e+003, 3.026510e+002
1.972634e+003, 3.014038e+002
1.992166e+003, 2.999022e+002
2.011697e+003, 2.977140e+002
2.031228e+003, 2.953478e+002
2.050759e+003, 2.937699e+002
2.070290e+003, 2.930313e+002
2.089821e+003, 2.923181e+002
2.109352e+003, 2.909691e+002
2.128883e+003, 2.894929e+002
2.148414e+003, 2.885000e+002
2.167945e+003, 2.874562e+002
2.187476e+003, 2.867939e+002
2.207007e+003, 2.866402e+002
2.226538e+003, 2.864610e+002
2.246069e+003, 2.860021e+002
2.265600e+003, 2.854924e+002
2.285131e+003, 2.852115e+002
2.304662e+003, 2.852867e+002
2.324193e+003, 2.855399e+002
2.343724e+003, 2.856913e+002
2.363255e+003, 2.857919e+002
2.382786e+003, 2.861469e+002
2.402317e+003, 2.867052e+002
2.421848e+003, 2.875942e+002
2.441379e+003, 2.886358e+002
2.460910e+003, 2.896519e+002
2.480441e+003, 2.905154e+002
2.499972e+003, 2.913790e+002
2.519503e+003, 2.923188e+002
2.539034e+003, 2.938690e+002
2.558565e+003, 2.958770e+002
2.578097e+003, 2.984444e+002
2.597628e+003, 3.008847e+002
2.617159e+003, 3.029690e+002
2.636690e+003, 3.050023e+002
2.656221e+003, 3.072392e+002
2.675752e+003, 3.101881e+002
2.695283e+003, 3.144594e+002
2.714814e+003, 3.189851e+002
2.734345e+003, 3.232564e+002
2.753876e+003, 3.272226e+002
2.773407e+003, 3.307310e+002
2.792938e+003, 3.337816e+002
2.812469e+003, 3.379767e+002
2.832000e+003, 3.442062e+002
2.851531e+003, 3.526992e+002
2.871062e+003, 3.607344e+002
2.890593e+003, 3.663281e+002
2.910124e+003, 3.705995e+002
2.929655e+003, 3.755829e+002
2.949186e+003, 3.820413e+002
2.968717e+003, 3.892881e+002
2.988248e+003, 3.960772e+002
3.007779e+003, 4.025102e+002
3.027310e+003, 4.101130e+002
3.046841e+003, 4.181482e+002
3.066372e+003, 4.248610e+002
3.085903e+003, 4.309634e+002
3.105434e+003, 4.373201e+002
3.124965e+003, 4.435242e+002
3.144497e+003, 4.491943e+002
3.164028e+003, 4.544066e+002
3.183559e+003, 4.596952e+002
3.203090e+003, 4.651109e+002
3.222621e+003, 4.700944e+002
3.242152e+003, 4.751541e+002
3.261683e+003, 4.800866e+002
3.281214e+003, 4.844343e+002
3.300745e+003, 4.875612e+002
3.320276e+003, 4.897980e+002
3.339807e+003, 4.922383e+002
3.359338e+003, 4.956959e+002
3.378869e+003, 4.997129e+002
3.398400e+003, 5.036282e+002
3.417931e+003, 5.067806e+002
3.437462e+003, 5.080256e+002
3.456993e+003, 5.083551e+002
3.476524e+003, 5.084302e+002
3.496055e+003, 5.097261e+002
3.515586e+003, 5.121155e+002
3.535117e+003, 5.140472e+002
3.554648e+003, 5.159280e+002
3.574179e+003, 5.166898e+002
3.593710e+003, 5.169430e+002
3.613241e+003, 5.172979e+002
3.632772e+003, 5.180089e+002
3.652303e+003, 5.187198e+002
3.671834e+003, 5.194308e+002
3.691365e+003, 5.199892e+002
