File name = B1_f.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.866169e+002
1.953103e+001, 4.857228e+002
3.906207e+001, 4.865835e+002
5.859310e+001, 4.885377e+002
7.812414e+001, 4.924755e+002
9.765517e+001, 4.966931e+002
1.171862e+002, 5.003512e+002
1.367172e+002, 5.030938e+002
1.562483e+002, 5.046157e+002
1.757793e+002, 5.056289e+002
1.953103e+002, 5.064387e+002
2.148414e+002, 5.073756e+002
2.343724e+002, 5.088975e+002
2.539034e+002, 5.106228e+002
2.734345e+002, 5.124244e+002
2.929655e+002, 5.128273e+002
3.124965e+002, 5.126198e+002
3.320276e+002, 5.130227e+002
3.515586e+002, 5.133493e+002
3.710897e+002, 5.136251e+002
3.906207e+002, 5.134176e+002
4.101517e+002, 5.126506e+002
4.296828e+002, 5.124940e+002
4.492138e+002, 5.120323e+002
4.687448e+002, 5.118757e+002
4.882759e+002, 5.117953e+002
5.078069e+002, 5.119694e+002
5.273379e+002, 5.121942e+002
5.468690e+002, 5.119105e+002
5.664000e+002, 5.117030e+002
5.859310e+002, 5.116481e+002
6.054621e+002, 5.119493e+002
6.249931e+002, 5.123013e+002
6.445241e+002, 5.130094e+002
6.640552e+002, 5.136666e+002
6.835862e+002, 5.142729e+002
7.031172e+002, 5.143198e+002
7.226483e+002, 5.149261e+002
7.421793e+002, 5.152781e+002
7.617103e+002, 5.159862e+002
7.812414e+002, 5.169994e+002
8.007724e+002, 5.178601e+002
8.203034e+002, 5.184155e+002
8.398345e+002, 5.184624e+002
8.593655e+002, 5.191196e+002
8.788965e+002, 5.198277e+002
8.984276e+002, 5.204340e+002
9.179586e+002, 5.203283e+002
9.374896e+002, 5.197902e+002
9.570207e+002, 5.198625e+002
9.765517e+002, 5.196550e+002
9.960828e+002, 5.196001e+002
1.015614e+003, 5.190366e+002
1.035145e+003, 5.181679e+002
1.054676e+003, 5.172993e+002
1.074207e+003, 5.163289e+002
1.093738e+003, 5.145955e+002
1.113269e+003, 5.130656e+002
1.132800e+003, 5.119426e+002
1.152331e+003, 5.102601e+002
1.171862e+003, 5.068992e+002
1.191393e+003, 5.029025e+002
1.210924e+003, 4.992109e+002
1.230455e+003, 4.950362e+002
1.249986e+003, 4.906071e+002
1.269517e+003, 4.860254e+002
1.289048e+003, 4.818507e+002
1.308579e+003, 4.772182e+002
1.328110e+003, 4.710598e+002
1.347641e+003, 4.643419e+002
1.367172e+003, 4.573697e+002
1.386703e+003, 4.497363e+002
1.406234e+003, 4.401192e+002
1.425766e+003, 4.306547e+002
1.445297e+003, 4.225890e+002
1.464828e+003, 4.157948e+002
1.484359e+003, 4.082123e+002
1.503890e+003, 3.993073e+002
1.523421e+003, 3.894359e+002
1.542952e+003, 3.795645e+002
1.562483e+003, 3.696932e+002
1.582014e+003, 3.612968e+002
1.601545e+003, 3.538669e+002
1.621076e+003, 3.472507e+002
1.640607e+003, 3.401513e+002
1.660138e+003, 3.327722e+002
1.679669e+003, 3.254186e+002
1.699200e+003, 3.189296e+002
1.718731e+003, 3.142716e+002
1.738262e+003, 3.101477e+002
1.757793e+003, 3.061764e+002
1.777324e+003, 3.021034e+002
1.796855e+003, 2.975217e+002
1.816386e+003, 2.933470e+002
1.835917e+003, 2.898335e+002
1.855448e+003, 2.873880e+002
1.874979e+003, 2.852478e+002
1.894510e+003, 2.839213e+002
1.914041e+003, 2.821880e+002
1.933572e+003, 2.804547e+002
1.953103e+003, 2.788739e+002
1.972634e+003, 2.778018e+002
1.992166e+003, 2.770348e+002
2.011697e+003, 2.763187e+002
2.031228e+003, 2.757552e+002
2.050759e+003, 2.751663e+002
2.070290e+003, 2.745519e+002
2.089821e+003, 2.742173e+002
2.109352e+003, 2.742133e+002
2.128883e+003, 2.745144e+002
2.148414e+003, 2.747139e+002
2.167945e+003, 2.752185e+002
2.187476e+003, 2.751128e+002
2.207007e+003, 2.749053e+002
2.226538e+003, 2.750284e+002
2.246069e+003, 2.756093e+002
2.265600e+003, 2.763937e+002
2.285131e+003, 2.776358e+002
2.304662e+003, 2.789542e+002
2.324193e+003, 2.801455e+002
2.343724e+003, 2.812605e+002
2.363255e+003, 2.820957e+002
2.382786e+003, 2.830581e+002
2.402317e+003, 2.845036e+002
2.421848e+003, 2.866867e+002
2.441379e+003, 2.892513e+002
2.460910e+003, 2.921464e+002
2.480441e+003, 2.947364e+002
2.499972e+003, 2.965634e+002
2.519503e+003, 2.984922e+002
2.539034e+003, 3.008279e+002
2.558565e+003, 3.040791e+002
2.578097e+003, 3.086018e+002
2.597628e+003, 3.133789e+002
2.617159e+003, 3.185629e+002
2.636690e+003, 3.235943e+002
2.656221e+003, 3.281170e+002
2.675752e+003, 3.325889e+002
2.695283e+003, 3.373660e+002
2.714814e+003, 3.432621e+002
2.734345e+003, 3.515741e+002
2.753876e+003, 3.614629e+002
2.773407e+003, 3.704870e+002
2.792938e+003, 3.760779e+002
2.812469e+003, 3.798631e+002
2.832000e+003, 3.843859e+002
2.851531e+003, 3.919095e+002
2.871062e+003, 4.018492e+002
2.890593e+003, 4.125263e+002
2.910124e+003, 4.209910e+002
2.929655e+003, 4.267344e+002
2.949186e+003, 4.300873e+002
2.968717e+003, 4.322450e+002
2.988248e+003, 4.363863e+002
3.007779e+003, 4.436811e+002
3.027310e+003, 4.535698e+002
3.046841e+003, 4.621362e+002
3.066372e+003, 4.673456e+002
3.085903e+003, 4.703425e+002
3.105434e+003, 4.732122e+002
3.124965e+003, 4.767940e+002
3.144497e+003, 4.807573e+002
3.164028e+003, 4.855344e+002
3.183559e+003, 4.909727e+002
3.203090e+003, 4.950885e+002
3.222621e+003, 4.980854e+002
3.242152e+003, 4.997598e+002
3.261683e+003, 5.019938e+002
3.281214e+003, 5.043803e+002
3.300745e+003, 5.067160e+002
3.320276e+003, 5.084413e+002
3.339807e+003, 5.102175e+002
3.359338e+003, 5.119937e+002
3.378869e+003, 5.127017e+002
3.398400e+003, 5.134098e+002
3.417931e+003, 5.142196e+002
3.437462e+003, 5.148259e+002
3.456993e+003, 5.148219e+002
3.476524e+003, 5.147670e+002
3.496055e+003, 5.154751e+002
3.515586e+003, 5.165392e+002
3.535117e+003, 5.175524e+002
3.554648e+003, 5.175993e+002
3.574179e+003, 5.176716e+002
3.593710e+003, 5.175658e+002
3.613241e+003, 5.176635e+002
3.632772e+003, 5.175324e+002
3.652303e+003, 5.170706e+002
3.671834e+003, 5.165071e+002
3.691365e+003, 5.158927e+002
3.710897e+003, 5.159396e+002
3.730428e+003, 5.161899e+002
3.749959e+003, 5.157281e+002
3.769490e+003, 5.154698e+002
3.789021e+003, 5.155166e+002
3.808552e+003, 5.160721e+002
3.828083e+003, 5.160172e+002
3.847614e+003, 5.159115e+002
3.867145e+003, 5.159075e+002
3.886676e+003, 5.165647e+002
3.906207e+003, 5.172727e+002
3.925738e+003, 5.179808e+002
3.945269e+003, 5.181039e+002
3.964800e+003, 5.185831e+002
3.984331e+003, 5.193420e+002
4.003862e+003, 5.199992e+002
4.023393e+003, 5.200969e+002
4.042924e+003, 5.197878e+002
4.062455e+003, 5.192751e+002
4.081986e+003, 5.191694e+002
4.101517e+003, 5.188856e+002
4.121048e+003, 5.185510e+002
4.140579e+003, 5.183944e+002
4.160110e+003, 5.179835e+002
4.179641e+003, 5.177252e+002
4.199172e+003, 5.167293e+002
4.218703e+003, 5.149960e+002
4.238234e+003, 5.130846e+002
4.257765e+003, 5.113004e+002
4.277297e+003, 5.096179e+002
4.296828e+003, 5.078846e+002
4.316359e+003, 5.056935e+002
4.335890e+003, 5.027903e+002
4.355421e+003, 4.995819e+002
4.374952e+003, 4.954072e+002
4.394483e+003, 4.914359e+002
4.414014e+003, 4.880749e+002
4.433545e+003, 4.842053e+002
4.453076e+003, 4.792168e+002
4.472607e+003, 4.734653e+002
4.492138e+003, 4.673069e+002
4.511669e+003, 4.609959e+002
4.531200e+003, 4.538965e+002
4.550731e+003, 4.474584e+002
4.570262e+003, 4.411474e+002
4.589793e+003, 4.342769e+002
4.609324e+003, 4.263892e+002
4.628855e+003, 4.169756e+002
4.648386e+003, 4.066973e+002
4.667917e+003, 3.960376e+002
4.687448e+003, 3.865477e+002
4.706979e+003, 3.791177e+002
4.726510e+003, 3.736714e+002
4.746041e+003, 3.670553e+002
4.765572e+003, 3.578960e+002
4.785103e+003, 3.475414e+002
4.804634e+003, 3.387381e+002
4.824165e+003, 3.315371e+002
4.843697e+003, 3.250735e+002
4.863228e+003, 3.199323e+002
4.882759e+003, 3.159102e+002
4.902290e+003, 3.120915e+002
4.921821e+003, 3.070520e+002
4.941352e+003, 3.016057e+002
4.960883e+003, 2.969478e+002
4.980414e+003, 2.935868e+002
4.999945e+003, 2.914212e+002
5.019476e+003, 2.897895e+002
5.039007e+003, 2.877510e+002
5.058538e+003, 2.852802e+002
5.078069e+003, 2.829619e+002
5.097600e+003, 2.813811e+002
5.117131e+003, 2.802073e+002
5.136662e+003, 2.790843e+002
5.156193e+003, 2.781647e+002
5.175724e+003, 2.775504e+002
5.195255e+003, 2.771649e+002
5.214786e+003, 2.767540e+002
5.234317e+003, 2.760125e+002
5.253848e+003, 2.754998e+002
5.273379e+003, 2.753941e+002
5.292910e+003, 2.751103e+002
5.312441e+003, 2.752080e+002
5.331972e+003, 2.757126e+002
5.351503e+003, 2.763444e+002
5.371034e+003, 2.770016e+002
5.390565e+003, 2.773028e+002
5.410097e+003, 2.774005e+002
5.429628e+003, 2.781340e+002
5.449159e+003, 2.798339e+002
5.468690e+003, 2.813557e+002
5.488221e+003, 2.821147e+002
5.507752e+003, 2.825684e+002
5.527283e+003, 2.831239e+002
5.546814e+003, 2.845949e+002
5.566345e+003, 2.869814e+002
5.585876e+003, 2.900292e+002
5.605407e+003, 2.931278e+002
5.624938e+003, 2.951583e+002
5.644469e+003, 2.964767e+002
5.664000e+003, 2.977442e+002
5.683531e+003, 3.003342e+002
5.703062e+003, 3.045772e+002
5.722593e+003, 3.091000e+002
5.742124e+003, 3.138516e+002
5.761655e+003, 3.176623e+002
5.781186e+003, 3.208118e+002
5.800717e+003, 3.235798e+002
5.820248e+003, 3.275176e+002
5.839779e+003, 3.335917e+002
5.859310e+003, 3.419038e+002
5.878841e+003, 3.510550e+002
5.898372e+003, 3.590873e+002
5.917903e+003, 3.640170e+002
5.937434e+003, 3.665307e+002
5.956965e+003, 3.698582e+002
5.976497e+003, 3.768986e+002
5.996028e+003, 3.880081e+002
6.015559e+003, 3.999568e+002
6.035090e+003, 4.081417e+002
6.054621e+003, 4.127662e+002
6.074152e+003, 4.159156e+002
6.093683e+003, 4.207436e+002
6.113214e+003, 4.280638e+002
6.132745e+003, 4.369099e+002
6.152276e+003, 4.457051e+002
6.171807e+003, 4.517283e+002
6.191338e+003, 4.548778e+002
6.210869e+003, 4.571880e+002
6.230400e+003, 4.607953e+002
6.249931e+003, 4.673780e+002
6.269462e+003, 4.750796e+002
6.288993e+003, 4.814843e+002
6.308524e+003, 4.847864e+002
6.328055e+003, 4.871221e+002
6.347586e+003, 4.898901e+002
6.367117e+003, 4.934464e+002
6.386648e+003, 4.977912e+002
6.406179e+003, 5.020088e+002
6.425710e+003, 5.044970e+002
6.445241e+003, 5.061969e+002
6.464772e+003, 5.075408e+002
6.484303e+003, 5.094187e+002
6.503834e+003, 5.113983e+002
6.523365e+003, 5.136831e+002
6.542896e+003, 5.152558e+002
6.562428e+003, 5.159130e+002
6.581959e+003, 5.158581e+002
6.601490e+003, 5.164136e+002
6.621021e+003, 5.164605e+002
6.640552e+003, 5.165328e+002
6.660083e+003, 5.169102e+002
6.679614e+003, 5.173131e+002
6.699145e+003, 5.176651e+002
6.718676e+003, 5.175594e+002
6.738207e+003, 5.174536e+002
6.757738e+003, 5.172970e+002
6.777269e+003, 5.172422e+002
6.796800e+003, 5.174925e+002
6.816331e+003, 5.171833e+002
6.835862e+003, 5.168741e+002
6.855393e+003, 5.167683e+002
6.874924e+003, 5.170695e+002
6.894455e+003, 5.174215e+002
6.913986e+003, 5.180279e+002
6.933517e+003, 5.184053e+002
6.953048e+003, 5.182742e+002
6.972579e+003, 5.178124e+002
6.992110e+003, 5.181135e+002
7.011641e+003, 5.187707e+002
7.031172e+003, 5.193008e+002
7.050703e+003, 5.198308e+002
7.070234e+003, 5.199794e+002
7.089765e+003, 5.202806e+002
7.109296e+003, 5.206834e+002
7.128828e+003, 5.213915e+002
7.148359e+003, 5.217435e+002
7.167890e+003, 5.219938e+002
7.187421e+003, 5.223459e+002
7.206952e+003, 5.230031e+002
7.226483e+003, 5.229482e+002
7.246014e+003, 5.227407e+002
7.265545e+003, 5.226350e+002
7.285076e+003, 5.225292e+002
7.304607e+003, 5.219657e+002
7.324138e+003, 5.214531e+002
7.343669e+003, 5.208896e+002
7.363200e+003, 5.201735e+002
7.382731e+003, 5.195083e+002
7.402262e+003, 5.179275e+002
7.421793e+003, 5.161433e+002
7.441324e+003, 5.138250e+002
7.460855e+003, 5.118628e+002
7.480386e+003, 5.097226e+002
7.499917e+003, 5.071754e+002
7.519448e+003, 5.041197e+002
7.538979e+003, 5.002755e+002
7.558510e+003, 4.959227e+002
7.578041e+003, 4.910868e+002
7.597572e+003, 4.863525e+002
7.617103e+003, 4.817200e+002
7.636634e+003, 4.763500e+002
7.656165e+003, 4.700644e+002
7.675696e+003, 4.629905e+002
7.695228e+003, 4.553062e+002
7.714759e+003, 4.474439e+002
7.734290e+003, 4.400394e+002
7.753821e+003, 4.328638e+002
7.773352e+003, 4.249506e+002
7.792883e+003, 4.164271e+002
7.812414e+003, 4.082850e+002
7.831945e+003, 4.007025e+002
7.851476e+003, 3.921535e+002
7.871007e+003, 3.827399e+002
7.890538e+003, 3.728686e+002
7.910069e+003, 3.644722e+002
7.929600e+003, 3.563810e+002
7.949131e+003, 3.488494e+002
7.968662e+003, 3.422841e+002
7.988193e+003, 3.373464e+002
8.007724e+003, 3.319000e+002
8.027255e+003, 3.255891e+002
8.046786e+003, 3.186677e+002
8.066317e+003, 3.121279e+002
8.085848e+003, 3.067070e+002
8.105379e+003, 3.030917e+002
8.124910e+003, 3.003411e+002
8.144441e+003, 2.977940e+002
8.163972e+003, 2.948908e+002
8.183503e+003, 2.918350e+002
8.203034e+003, 2.890081e+002
8.222565e+003, 2.870967e+002
8.242096e+003, 2.853634e+002
8.261628e+003, 2.837318e+002
8.281159e+003, 2.824053e+002
8.300690e+003, 2.814349e+002
8.320221e+003, 2.806171e+002
8.339752e+003, 2.796976e+002
8.359283e+003, 2.790323e+002
8.378814e+003, 2.786214e+002
8.398345e+003, 2.783377e+002
8.417876e+003, 2.782065e+002
8.437407e+003, 2.783042e+002
8.456938e+003, 2.785036e+002
8.476469e+003, 2.784996e+002
8.496000e+003, 2.783430e+002
8.515531e+003, 2.783390e+002
8.535062e+003, 2.785893e+002
8.554593e+003, 2.796026e+002
8.574124e+003, 2.804632e+002
8.593655e+003, 2.806118e+002
8.613186e+003, 2.806841e+002
8.632717e+003, 2.813158e+002
8.652248e+003, 2.831429e+002
8.671779e+003, 2.851225e+002
8.691310e+003, 2.868987e+002
8.710841e+003, 2.885223e+002
8.730372e+003, 2.896627e+002
8.749903e+003, 2.908031e+002
8.769434e+003, 2.922741e+002
8.788965e+003, 2.946606e+002
8.808496e+003, 2.979118e+002
8.828028e+003, 3.017225e+002
8.847559e+003, 3.045668e+002
8.867090e+003, 3.063938e+002
8.886621e+003, 3.087295e+002
8.906152e+003, 3.121841e+002
8.925683e+003, 3.166560e+002
8.945214e+003, 3.219417e+002
8.964745e+003, 3.278887e+002
8.984276e+003, 3.331998e+002
9.003807e+003, 3.379514e+002
9.023338e+003, 3.426777e+002
9.042869e+003, 3.490823e+002
9.062400e+003, 3.563008e+002
9.081931e+003, 3.639262e+002
9.101462e+003, 3.707378e+002
9.120993e+003, 3.769645e+002
9.140524e+003, 3.831403e+002
9.160055e+003, 3.894432e+002
9.179586e+003, 3.970432e+002
9.199117e+003, 4.060927e+002
9.218648e+003, 4.148879e+002
9.238179e+003, 4.215724e+002
9.257710e+003, 4.260443e+002
9.277241e+003, 4.296515e+002
9.296772e+003, 4.344286e+002
9.316303e+003, 4.415962e+002
9.335834e+003, 4.500354e+002
9.355365e+003, 4.577116e+002
9.374896e+003, 4.633025e+002
9.394428e+003, 4.672149e+002
9.413959e+003, 4.704153e+002
9.433490e+003, 4.743785e+002
9.453021e+003, 4.794099e+002
9.472552e+003, 4.839327e+002
9.492083e+003, 4.878960e+002
9.511614e+003, 4.922153e+002
9.531145e+003, 4.964837e+002
9.550676e+003, 4.991500e+002
9.570207e+003, 5.004938e+002
9.589738e+003, 5.018631e+002
9.609269e+003, 5.037156e+002
9.628800e+003, 5.065345e+002
9.648331e+003, 5.090227e+002
9.667862e+003, 5.112058e+002
9.687393e+003, 5.120664e+002
9.706924e+003, 5.127745e+002
9.726455e+003, 5.134826e+002
9.745986e+003, 5.143687e+002
9.765517e+003, 5.155599e+002
9.785048e+003, 5.163697e+002
9.804579e+003, 5.170269e+002
9.824110e+003, 5.173789e+002
9.843641e+003, 5.175784e+002
9.863172e+003, 5.174726e+002
9.882703e+003, 5.174686e+002
9.902234e+003, 5.175918e+002
9.921765e+003, 5.176640e+002
9.941296e+003, 5.175583e+002
9.960828e+003, 5.170965e+002
9.980359e+003, 5.169399e+002
9.999890e+003, 5.162493e+002
1.001942e+004, 5.163215e+002
1.003895e+004, 5.166736e+002
1.005848e+004, 5.173816e+002
1.007801e+004, 5.180388e+002
1.009754e+004, 5.182383e+002
1.011708e+004, 5.182342e+002
1.013661e+004, 5.184845e+002
1.015614e+004, 5.184805e+002
1.017567e+004, 5.187308e+002
1.019520e+004, 5.186251e+002
1.021473e+004, 5.189263e+002
1.023426e+004, 5.196343e+002
1.025379e+004, 5.199355e+002
1.027332e+004, 5.198297e+002
1.029286e+004, 5.200292e+002
1.031239e+004, 5.200760e+002
1.033192e+004, 5.201483e+002
1.035145e+004, 5.205766e+002
1.037098e+004, 5.209287e+002
1.039051e+004, 5.208483e+002
1.041004e+004, 5.207172e+002
1.042957e+004, 5.210692e+002
1.044910e+004, 5.213195e+002
1.046863e+004, 5.204508e+002
1.048817e+004, 5.197856e+002
1.050770e+004, 5.193747e+002
1.052723e+004, 5.189129e+002
1.054676e+004, 5.186546e+002
1.056629e+004, 5.173281e+002
1.058582e+004, 5.160017e+002
1.060535e+004, 5.143192e+002
1.062488e+004, 5.122552e+002
1.064441e+004, 5.104965e+002
1.066394e+004, 5.083562e+002
1.068348e+004, 5.057074e+002
1.070301e+004, 5.024481e+002
1.072254e+004, 4.990363e+002
1.074207e+004, 4.953448e+002
1.076160e+004, 4.907885e+002
1.078113e+004, 4.849353e+002
1.080066e+004, 4.790312e+002
1.082019e+004, 4.741444e+002
1.083972e+004, 4.702748e+002
1.085926e+004, 4.656932e+002
1.087879e+004, 4.582632e+002
1.089832e+004, 4.479086e+002
1.091785e+004, 4.380373e+002
1.093738e+004, 4.304293e+002
1.095691e+004, 4.258731e+002
1.097644e+004, 4.216220e+002
1.099597e+004, 4.144972e+002
1.101550e+004, 4.033797e+002
1.103503e+004, 3.906855e+002
1.105457e+004, 3.789322e+002
1.107410e+004, 3.701289e+002
1.109363e+004, 3.643266e+002
1.111316e+004, 3.597449e+002
1.113269e+004, 3.535865e+002
1.115222e+004, 3.442238e+002
1.117175e+004, 3.339455e+002
1.119128e+004, 3.258798e+002
1.121081e+004, 3.202554e+002
1.123034e+004, 3.159026e+002
1.124988e+004, 3.117025e+002
1.126941e+004, 3.073751e+002
1.128894e+004, 3.030986e+002
1.130847e+004, 2.989239e+002
1.132800e+004, 2.952069e+002
1.134753e+004, 2.924817e+002
1.136706e+004, 2.905195e+002
1.138659e+004, 2.888370e+002
1.140612e+004, 2.870020e+002
1.142566e+004, 2.851160e+002
1.144519e+004, 2.834844e+002
1.146472e+004, 2.818528e+002
1.148425e+004, 2.801194e+002
1.150378e+004, 2.791999e+002
1.152331e+004, 2.789924e+002
1.154284e+004, 2.787850e+002
1.156237e+004, 2.781452e+002
1.158190e+004, 2.776071e+002
1.160143e+004, 2.770945e+002
1.162097e+004, 2.768361e+002
1.164050e+004, 2.767304e+002
1.166003e+004, 2.766247e+002
1.167956e+004, 2.766969e+002
1.169909e+004, 2.772778e+002
1.171862e+004, 2.779350e+002
1.173815e+004, 2.786940e+002
1.175768e+004, 2.790714e+002
1.177721e+004, 2.797541e+002
1.179674e+004, 2.805384e+002
1.181628e+004, 2.815262e+002
1.183581e+004, 2.826412e+002
1.185534e+004, 2.846971e+002
1.187487e+004, 2.871345e+002
1.189440e+004, 2.888853e+002
1.191393e+004, 2.899494e+002
1.193346e+004, 2.907591e+002
1.195299e+004, 2.925353e+002
1.197252e+004, 2.946167e+002
1.199206e+004, 2.976644e+002
1.201159e+004, 3.016277e+002
1.203112e+004, 3.055401e+002
1.205065e+004, 3.078758e+002
1.207018e+004, 3.093976e+002
1.208971e+004, 3.117842e+002
1.210924e+004, 3.160781e+002
1.212877e+004, 3.222539e+002
1.214830e+004, 3.296249e+002
1.216783e+004, 3.360296e+002
1.218737e+004, 3.405015e+002
1.220690e+004, 3.429898e+002
1.222643e+004, 3.465461e+002
1.224596e+004, 3.537392e+002
1.226549e+004, 3.645944e+002
1.228502e+004, 3.755258e+002
1.230455e+004, 3.839650e+002
1.232408e+004, 3.891490e+002
1.234361e+004, 3.927054e+002
1.236314e+004, 3.971010e+002
1.238268e+004, 4.037345e+002
1.240221e+004, 4.123263e+002
1.242174e+004, 4.217319e+002
1.244127e+004, 4.295607e+002
1.246080e+004, 4.359145e+002
1.248033e+004, 4.416071e+002
1.249986e+004, 4.479610e+002
1.251939e+004, 4.536027e+002
1.253892e+004, 4.591427e+002
1.255846e+004, 4.646319e+002
1.257799e+004, 4.702228e+002
1.259752e+004, 4.743386e+002
1.261705e+004, 4.782510e+002
1.263658e+004, 4.824941e+002
1.265611e+004, 4.878561e+002
1.267564e+004, 4.929892e+002
1.269517e+004, 4.969524e+002
1.271470e+004, 4.993135e+002
1.273423e+004, 5.016238e+002
1.275377e+004, 5.045952e+002
1.277330e+004, 5.074650e+002
1.279283e+004, 5.094700e+002
1.281236e+004, 5.113734e+002
1.283189e+004, 5.128952e+002
1.285142e+004, 5.138322e+002
1.287095e+004, 5.150234e+002
1.289048e+004, 5.157315e+002
1.291001e+004, 5.159564e+002
1.292954e+004, 5.168424e+002
1.294908e+004, 5.174488e+002
1.296861e+004, 5.179025e+002
1.298814e+004, 5.186106e+002
1.300767e+004, 5.188609e+002
1.302720e+004, 5.187552e+002
1.304673e+004, 5.190563e+002
1.306626e+004, 5.190014e+002
1.308579e+004, 5.195569e+002
1.310532e+004, 5.195529e+002
1.312486e+004, 5.190657e+002
1.314439e+004, 5.189599e+002
1.316392e+004, 5.192357e+002
1.318345e+004, 5.195623e+002
1.320298e+004, 5.198889e+002
1.322251e+004, 5.197831e+002
1.324204e+004, 5.196774e+002
1.326157e+004, 5.194191e+002
1.328110e+004, 5.189064e+002
1.330063e+004, 5.189024e+002
1.332017e+004, 5.192036e+002
1.333970e+004, 5.198099e+002
1.335923e+004, 5.206197e+002
1.337876e+004, 5.213278e+002
1.339829e+004, 5.212220e+002
1.341782e+004, 5.207094e+002
1.343735e+004, 5.209088e+002
1.345688e+004, 5.209557e+002
1.347641e+004, 5.216129e+002
1.349594e+004, 5.223718e+002
1.351548e+004, 5.232579e+002
1.353501e+004, 5.237879e+002
1.355454e+004, 5.244960e+002
1.357407e+004, 5.250515e+002
1.359360e+004, 5.242845e+002
1.361313e+004, 5.241788e+002
1.363266e+004, 5.239204e+002
1.365219e+004, 5.235095e+002
1.367172e+004, 5.230477e+002
1.369126e+004, 5.228403e+002
1.371079e+004, 5.219207e+002
1.373032e+004, 5.210521e+002
1.374985e+004, 5.201325e+002
1.376938e+004, 5.188061e+002
1.378891e+004, 5.171236e+002
1.380844e+004, 5.153394e+002
1.382797e+004, 5.132500e+002
1.384750e+004, 5.107029e+002
1.386703e+004, 5.073419e+002
1.388657e+004, 5.039301e+002
1.390610e+004, 5.006200e+002
1.392563e+004, 4.971065e+002
1.394516e+004, 4.929317e+002
1.396469e+004, 4.879432e+002
1.398422e+004, 4.822934e+002
1.400375e+004, 4.764910e+002
1.402328e+004, 4.713499e+002
1.404281e+004, 4.657001e+002
1.406234e+004, 4.590840e+002
1.408188e+004, 4.516031e+002
1.410141e+004, 4.432576e+002
1.412094e+004, 4.342509e+002
1.414047e+004, 4.256511e+002
1.416000e+004, 4.186281e+002
1.417953e+004, 4.124442e+002
1.419906e+004, 4.052940e+002
1.421859e+004, 3.951175e+002
1.423812e+004, 3.834405e+002
1.425766e+004, 3.728062e+002
1.427719e+004, 3.644861e+002
1.429672e+004, 3.586837e+002
1.431625e+004, 3.538986e+002
1.433578e+004, 3.476385e+002
1.435531e+004, 3.394456e+002
1.437484e+004, 3.299811e+002
1.439437e+004, 3.220426e+002
1.441390e+004, 3.163928e+002
1.443343e+004, 3.123961e+002
1.445297e+004, 3.095183e+002
1.447250e+004, 3.063099e+002
1.449203e+004, 3.022878e+002
1.451156e+004, 2.975535e+002
1.453109e+004, 2.929719e+002
1.455062e+004, 2.897635e+002
1.457015e+004, 2.885388e+002
1.458968e+004, 2.876193e+002
1.460921e+004, 2.860385e+002
1.462874e+004, 2.842543e+002
1.464828e+004, 2.823175e+002
1.466781e+004, 2.806859e+002
1.468734e+004, 2.797663e+002
1.470687e+004, 2.791774e+002
1.472640e+004, 2.784359e+002
1.474593e+004, 2.777198e+002
