File name = B1_g.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.972255e+002
1.953103e+001, 4.964068e+002
3.906207e+001, 4.975717e+002
5.859310e+001, 4.986349e+002
7.812414e+001, 5.005628e+002
9.765517e+001, 5.028976e+002
1.171862e+002, 5.052323e+002
1.367172e+002, 5.067533e+002
1.562483e+002, 5.075622e+002
1.757793e+002, 5.083202e+002
1.953103e+002, 5.090274e+002
2.148414e+002, 5.097346e+002
2.343724e+002, 5.104417e+002
2.539034e+002, 5.109963e+002
2.734345e+002, 5.110423e+002
2.929655e+002, 5.113171e+002
3.124965e+002, 5.112613e+002
3.320276e+002, 5.111038e+002
3.515586e+002, 5.109717e+002
3.710897e+002, 5.108905e+002
3.906207e+002, 5.111654e+002
4.101517e+002, 5.117708e+002
4.296828e+002, 5.121982e+002
4.492138e+002, 5.124731e+002
4.687448e+002, 5.122647e+002
4.882759e+002, 5.121581e+002
5.078069e+002, 5.122040e+002
5.273379e+002, 5.123517e+002
5.468690e+002, 5.121688e+002
5.664000e+002, 5.118332e+002
5.859310e+002, 5.116249e+002
6.054621e+002, 5.116200e+002
6.249931e+002, 5.115642e+002
6.445241e+002, 5.118136e+002
6.640552e+002, 5.117324e+002
6.835862e+002, 5.119055e+002
7.031172e+002, 5.119006e+002
7.226483e+002, 5.117939e+002
7.421793e+002, 5.116873e+002
7.617103e+002, 5.119876e+002
7.812414e+002, 5.118809e+002
8.007724e+002, 5.115708e+002
8.203034e+002, 5.108793e+002
8.398345e+002, 5.105692e+002
8.593655e+002, 5.102337e+002
8.788965e+002, 5.093641e+002
8.984276e+002, 5.083928e+002
9.179586e+002, 5.071163e+002
9.374896e+002, 5.059670e+002
9.570207e+002, 5.048685e+002
9.765517e+002, 5.037955e+002
9.960828e+002, 5.022139e+002
1.015614e+003, 5.004288e+002
1.035145e+003, 4.977790e+002
1.054676e+003, 4.952309e+002
1.074207e+003, 4.923777e+002
1.093738e+003, 4.894228e+002
1.113269e+003, 4.856540e+002
1.132800e+003, 4.812749e+002
1.152331e+003, 4.767941e+002
1.171862e+003, 4.721861e+002
1.191393e+003, 4.673492e+002
1.210924e+003, 4.615206e+002
1.230455e+003, 4.544966e+002
1.249986e+003, 4.470149e+002
1.269517e+003, 4.403470e+002
1.289048e+003, 4.342894e+002
1.308579e+003, 4.287404e+002
1.328110e+003, 4.214113e+002
1.347641e+003, 4.131666e+002
1.367172e+003, 4.037776e+002
1.386703e+003, 3.946937e+002
1.406234e+003, 3.860675e+002
1.425766e+003, 3.786112e+002
1.445297e+003, 3.722485e+002
1.464828e+003, 3.660892e+002
1.484359e+003, 3.590144e+002
1.503890e+003, 3.513292e+002
1.523421e+003, 3.433897e+002
1.542952e+003, 3.363149e+002
1.562483e+003, 3.307405e+002
1.582014e+003, 3.263868e+002
1.601545e+003, 3.219315e+002
1.621076e+003, 3.175015e+002
1.640607e+003, 3.129952e+002
1.660138e+003, 3.088196e+002
1.679669e+003, 3.046439e+002
1.699200e+003, 3.006209e+002
1.718731e+003, 2.972590e+002
1.738262e+003, 2.946601e+002
1.757793e+003, 2.928750e+002
1.777324e+003, 2.907847e+002
1.796855e+003, 2.881858e+002
1.816386e+003, 2.854597e+002
1.835917e+003, 2.831660e+002
1.855448e+003, 2.814826e+002
1.874979e+003, 2.804859e+002
1.894510e+003, 2.796418e+002
1.914041e+003, 2.789502e+002
1.933572e+003, 2.780806e+002
1.953103e+003, 2.771602e+002
1.972634e+003, 2.765195e+002
1.992166e+003, 2.762348e+002
2.011697e+003, 2.760265e+002
2.031228e+003, 2.756147e+002
2.050759e+003, 2.753300e+002
2.070290e+003, 2.753505e+002
2.089821e+003, 2.756508e+002
2.109352e+003, 2.761545e+002
2.128883e+003, 2.767345e+002
2.148414e+003, 2.777468e+002
2.167945e+003, 2.784794e+002
2.187476e+003, 2.788560e+002
2.207007e+003, 2.790291e+002
2.226538e+003, 2.797363e+002
2.246069e+003, 2.809012e+002
2.265600e+003, 2.824730e+002
2.285131e+003, 2.841466e+002
2.304662e+003, 2.857693e+002
2.324193e+003, 2.872902e+002
2.343724e+003, 2.885315e+002
2.363255e+003, 2.902305e+002
2.382786e+003, 2.917514e+002
2.402317e+003, 2.938827e+002
2.421848e+003, 2.966753e+002
2.441379e+003, 3.000019e+002
2.460910e+003, 3.036845e+002
2.480441e+003, 3.072908e+002
2.499972e+003, 3.103886e+002
2.519503e+003, 3.129776e+002
2.539034e+003, 3.162279e+002
2.558565e+003, 3.204955e+002
2.578097e+003, 3.262889e+002
2.597628e+003, 3.330487e+002
2.617159e+003, 3.402155e+002
2.636690e+003, 3.467718e+002
2.656221e+003, 3.523110e+002
2.675752e+003, 3.571380e+002
2.695283e+003, 3.629060e+002
2.714814e+003, 3.698947e+002
2.734345e+003, 3.784093e+002
2.753876e+003, 3.879920e+002
2.773407e+003, 3.971424e+002
2.792938e+003, 4.035461e+002
2.812469e+003, 4.076865e+002
2.832000e+003, 4.116489e+002
2.851531e+003, 4.180273e+002
2.871062e+003, 4.264656e+002
2.890593e+003, 4.352090e+002
2.910124e+003, 4.422995e+002
2.929655e+003, 4.483726e+002
2.949186e+003, 4.523350e+002
2.968717e+003, 4.541611e+002
2.988248e+003, 4.564959e+002
3.007779e+003, 4.615264e+002
3.027310e+003, 4.693035e+002
3.046841e+003, 4.771314e+002
3.066372e+003, 4.823145e+002
3.085903e+003, 4.849545e+002
3.105434e+003, 4.866280e+002
3.124965e+003, 4.889628e+002
3.144497e+003, 4.922894e+002
3.164028e+003, 4.964298e+002
3.183559e+003, 5.003921e+002
3.203090e+003, 5.035407e+002
3.222621e+003, 5.050617e+002
3.242152e+003, 5.061757e+002
3.261683e+003, 5.075950e+002
3.281214e+003, 5.092177e+002
3.300745e+003, 5.107895e+002
3.320276e+003, 5.123105e+002
3.339807e+003, 5.134246e+002
3.359338e+003, 5.145386e+002
3.378869e+003, 5.147880e+002
3.398400e+003, 5.149866e+002
3.417931e+003, 5.150325e+002
3.437462e+003, 5.152819e+002
3.456993e+003, 5.149973e+002
3.476524e+003, 5.153738e+002
3.496055e+003, 5.153689e+002
3.515586e+003, 5.151605e+002
3.535117e+003, 5.151556e+002
3.554648e+003, 5.150998e+002
3.574179e+003, 5.149423e+002
3.593710e+003, 5.147340e+002
3.613241e+003, 5.146273e+002
3.632772e+003, 5.145207e+002
3.652303e+003, 5.145667e+002
3.671834e+003, 5.144600e+002
3.691365e+003, 5.143534e+002
3.710897e+003, 5.142467e+002
3.730428e+003, 5.141401e+002
3.749959e+003, 5.139317e+002
3.769490e+003, 5.131130e+002
3.789021e+003, 5.125995e+002
3.808552e+003, 5.128998e+002
3.828083e+003, 5.135561e+002
3.847614e+003, 5.137546e+002
3.867145e+003, 5.133937e+002
3.886676e+003, 5.132362e+002
3.906207e+003, 5.125446e+002
3.925738e+003, 5.121073e+002
3.945269e+003, 5.108309e+002
3.964800e+003, 5.096053e+002
3.984331e+003, 5.093460e+002
4.003862e+003, 5.092394e+002
4.023393e+003, 5.088276e+002
4.042924e+003, 5.083649e+002
4.062455e+003, 5.074445e+002
4.081986e+003, 5.056594e+002
4.101517e+003, 5.038234e+002
4.121048e+003, 5.024198e+002
4.140579e+003, 5.019825e+002
