File name = B1_h.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.258228e+002
1.953103e+001, 5.250778e+002
3.906207e+001, 5.253755e+002
5.859310e+001, 5.265887e+002
7.812414e+001, 5.279291e+002
9.765517e+001, 5.296509e+002
1.171862e+002, 5.314490e+002
1.367172e+002, 5.324842e+002
1.562483e+002, 5.330108e+002
1.757793e+002, 5.332576e+002
1.953103e+002, 5.335045e+002
2.148414e+002, 5.341582e+002
2.343724e+002, 5.349137e+002
2.539034e+002, 5.355674e+002
2.734345e+002, 5.356108e+002
2.929655e+002, 5.355016e+002
3.124965e+002, 5.353924e+002
3.320276e+002, 5.356392e+002
3.515586e+002, 5.351739e+002
3.710897e+002, 5.346070e+002
3.906207e+002, 5.339891e+002
4.101517e+002, 5.331678e+002
4.296828e+002, 5.321431e+002
4.492138e+002, 5.312201e+002
4.687448e+002, 5.299919e+002
4.882759e+002, 5.291198e+002
5.078069e+002, 5.284511e+002
5.273379e+002, 5.275280e+002
5.468690e+002, 5.266050e+002
5.664000e+002, 5.256820e+002
5.859310e+002, 5.244793e+002
6.054621e+002, 5.231748e+002
6.249931e+002, 5.222518e+002
6.445241e+002, 5.212779e+002
6.640552e+002, 5.197700e+002
6.835862e+002, 5.177534e+002
7.031172e+002, 5.156606e+002
7.226483e+002, 5.143815e+002
7.421793e+002, 5.130262e+002
7.617103e+002, 5.112639e+002
7.812414e+002, 5.086116e+002
8.007724e+002, 5.056541e+002
8.203034e+002, 5.027983e+002
8.398345e+002, 5.006546e+002
8.593655e+002, 4.983328e+002
8.788965e+002, 4.951973e+002
8.984276e+002, 4.909682e+002
9.179586e+002, 4.851624e+002
9.374896e+002, 4.804755e+002
9.570207e+002, 4.779249e+002
9.765517e+002, 4.765950e+002
9.960828e+002, 4.745530e+002
1.015614e+003, 4.699679e+002
1.035145e+003, 4.631702e+002
1.054676e+003, 4.554570e+002
1.074207e+003, 4.485322e+002
1.093738e+003, 4.438454e+002
1.113269e+003, 4.412439e+002
1.132800e+003, 4.387950e+002
1.152331e+003, 4.345151e+002
1.171862e+003, 4.284041e+002
1.191393e+003, 4.217844e+002
1.210924e+003, 4.156226e+002
1.230455e+003, 4.102491e+002
1.249986e+003, 4.059946e+002
1.269517e+003, 4.022232e+002
1.289048e+003, 3.985028e+002
1.308579e+003, 3.942737e+002
1.328110e+003, 3.887730e+002
1.347641e+003, 3.831452e+002
1.367172e+003, 3.789416e+002
1.386703e+003, 3.751957e+002
1.406234e+003, 3.704326e+002
1.425766e+003, 3.651354e+002
1.445297e+003, 3.606011e+002
1.464828e+003, 3.570841e+002
1.484359e+003, 3.537197e+002
1.503890e+003, 3.498466e+002
1.523421e+003, 3.453632e+002
1.542952e+003, 3.412867e+002
1.562483e+003, 3.377189e+002
1.582014e+003, 3.343544e+002
1.601545e+003, 3.310917e+002
1.621076e+003, 3.277273e+002
1.640607e+003, 3.249224e+002
1.660138e+003, 3.223718e+002
1.679669e+003, 3.206350e+002
1.699200e+003, 3.186438e+002
1.718731e+003, 3.165001e+002
1.738262e+003, 3.144327e+002
1.757793e+003, 3.123653e+002
1.777324e+003, 3.110354e+002
1.796855e+003, 3.099598e+002
1.816386e+003, 3.091385e+002
1.835917e+003, 3.079103e+002
1.855448e+003, 3.068093e+002
1.874979e+003, 3.057337e+002
1.894510e+003, 3.051921e+002
1.914041e+003, 3.049812e+002
1.933572e+003, 3.045668e+002
1.953103e+003, 3.042287e+002
1.972634e+003, 3.041704e+002
1.992166e+003, 3.045443e+002
2.011697e+003, 3.052489e+002
2.031228e+003, 3.057501e+002
2.050759e+003, 3.059715e+002
2.070290e+003, 3.061929e+002
2.089821e+003, 3.063126e+002
2.109352e+003, 3.066102e+002
2.128883e+003, 3.077980e+002
2.148414e+003, 3.094690e+002
2.167945e+003, 3.113943e+002
2.187476e+003, 3.127347e+002
2.207007e+003, 3.132104e+002
2.226538e+003, 3.134572e+002
2.246069e+003, 3.142127e+002
2.265600e+003, 3.156294e+002
2.285131e+003, 3.176564e+002
2.304662e+003, 3.208024e+002
2.324193e+003, 3.240247e+002
2.343724e+003, 3.260263e+002
2.363255e+003, 3.269852e+002
2.382786e+003, 3.278678e+002
2.402317e+003, 3.293862e+002
2.421848e+003, 3.329137e+002
2.441379e+003, 3.380942e+002
2.460910e+003, 3.437833e+002
2.480441e+003, 3.482517e+002
2.499972e+003, 3.508128e+002
2.519503e+003, 3.520515e+002
2.539034e+003, 3.536716e+002
2.558565e+003, 3.582926e+002
2.578097e+003, 3.666520e+002
2.597628e+003, 3.768934e+002
2.617159e+003, 3.856343e+002
2.636690e+003, 3.912217e+002
2.656221e+003, 3.940879e+002
2.675752e+003, 3.968016e+002
2.695283e+003, 4.021856e+002
2.714814e+003, 4.100872e+002
2.734345e+003, 4.208881e+002
2.753876e+003, 4.309514e+002
2.773407e+003, 4.379884e+002
2.792938e+003, 4.411090e+002
2.812469e+003, 4.424748e+002
2.832000e+003, 4.456208e+002
2.851531e+003, 4.526832e+002
2.871062e+003, 4.616784e+002
2.890593e+003, 4.709025e+002
2.910124e+003, 4.783973e+002
2.929655e+003, 4.825097e+002
2.949186e+003, 4.840535e+002
2.968717e+003, 4.847326e+002
2.988248e+003, 4.874209e+002
3.007779e+003, 4.941273e+002
3.027310e+003, 5.025630e+002
3.046841e+003, 5.094728e+002
3.066372e+003, 5.126188e+002
3.085903e+003, 5.137303e+002
3.105434e+003, 5.148418e+002
3.124965e+003, 5.165891e+002
3.144497e+003, 5.195571e+002
3.164028e+003, 5.233643e+002
3.183559e+003, 5.262306e+002
3.203090e+003, 5.283593e+002
3.222621e+003, 5.295471e+002
3.242152e+003, 5.303025e+002
3.261683e+003, 5.311089e+002
3.281214e+003, 5.324747e+002
3.300745e+003, 5.333319e+002
3.320276e+003, 5.346977e+002
3.339807e+003, 5.355040e+002
3.359338e+003, 5.356237e+002
3.378869e+003, 5.357179e+002
3.398400e+003, 5.364225e+002
3.417931e+003, 5.367456e+002
3.437462e+003, 5.364838e+002
3.456993e+003, 5.360949e+002
3.476524e+003, 5.362654e+002
3.496055e+003, 5.366648e+002
3.515586e+003, 5.366319e+002
3.535117e+003, 5.362684e+002
3.554648e+003, 5.358286e+002
3.574179e+003, 5.350581e+002
3.593710e+003, 5.341351e+002
3.613241e+003, 5.333901e+002
3.632772e+003, 5.326451e+002
3.652303e+003, 5.317730e+002
3.671834e+003, 5.307991e+002
3.691365e+003, 5.294692e+002
3.710897e+003, 5.279613e+002
3.730428e+003, 5.264279e+002
3.749959e+003, 5.250726e+002
3.769490e+003, 5.235646e+002
3.789021e+003, 5.220058e+002
3.808552e+003, 5.202945e+002
3.828083e+003, 5.185322e+002
3.847614e+003, 5.164394e+002
3.867145e+003, 5.146517e+002
3.886676e+003, 5.125588e+002
3.906207e+003, 5.102625e+002
3.925738e+003, 5.078136e+002
3.945269e+003, 5.048816e+002
3.964800e+003, 5.017969e+002
3.984331e+003, 4.985850e+002
4.003862e+003, 4.958818e+002
4.023393e+003, 4.934330e+002
4.042924e+003, 4.903737e+002
4.062455e+003, 4.866024e+002
4.081986e+003, 4.816104e+002
4.101517e+003, 4.763132e+002
4.121048e+003, 4.721349e+002
4.140579e+003, 4.688468e+002
4.160110e+003, 4.666268e+002
4.179641e+003, 4.635676e+002
4.199172e+003, 4.586773e+002
4.218703e+003, 4.520831e+002
4.238234e+003, 4.458449e+002
4.257765e+003, 4.412598e+002
4.277297e+003, 4.379462e+002
4.296828e+003, 4.356499e+002
4.316359e+003, 4.323872e+002
4.335890e+003, 4.273952e+002
4.355421e+003, 4.206738e+002
4.374952e+003, 4.133930e+002
4.394483e+003, 4.084010e+002
4.414014e+003, 4.050366e+002
4.433545e+003, 4.024351e+002
4.453076e+003, 3.990198e+002
4.472607e+003, 3.944855e+002
4.492138e+003, 3.894935e+002
4.511669e+003, 3.840946e+002
4.531200e+003, 3.785939e+002
4.550731e+003, 3.741360e+002
4.570262e+003, 3.712039e+002
4.589793e+003, 3.692127e+002
4.609324e+003, 3.664078e+002
4.628855e+003, 3.619499e+002
4.648386e+003, 3.560677e+002
4.667917e+003, 3.503128e+002
4.687448e+003, 3.456259e+002
4.706979e+003, 3.429227e+002
4.726510e+003, 3.414402e+002
4.746041e+003, 3.392965e+002
4.765572e+003, 3.363644e+002
4.785103e+003, 3.320082e+002
4.804634e+003, 3.270670e+002
4.824165e+003, 3.228379e+002
4.843697e+003, 3.205925e+002
4.863228e+003, 3.196949e+002
4.882759e+003, 3.187465e+002
4.902290e+003, 3.172131e+002
4.921821e+003, 3.151202e+002
4.941352e+003, 3.130020e+002
4.960883e+003, 3.114940e+002
4.980414e+003, 3.102150e+002
4.999945e+003, 3.093428e+002
5.019476e+003, 3.088267e+002
5.039007e+003, 3.083869e+002
5.058538e+003, 3.084048e+002
5.078069e+003, 3.078887e+002
5.097600e+003, 3.071692e+002
5.117131e+003, 3.068565e+002
5.136662e+003, 3.068490e+002
5.156193e+003, 3.066890e+002
5.175724e+003, 3.071392e+002
5.195255e+003, 3.076658e+002
5.214786e+003, 3.081415e+002
5.234317e+003, 3.082358e+002
5.253848e+003, 3.083809e+002
5.273379e+003, 3.085005e+002
5.292910e+003, 3.092814e+002
5.312441e+003, 3.106981e+002
5.331972e+003, 3.122419e+002
5.351503e+003, 3.131245e+002
5.371034e+003, 3.137274e+002
5.390565e+003, 3.141268e+002
5.410097e+003, 3.151875e+002
5.429628e+003, 3.171636e+002
5.449159e+003, 3.201570e+002
5.468690e+003, 3.224892e+002
5.488221e+003, 3.233464e+002
5.507752e+003, 3.234152e+002
5.527283e+003, 3.239418e+002
5.546814e+003, 3.258671e+002
5.566345e+003, 3.297760e+002
5.585876e+003, 3.348548e+002
5.605407e+003, 3.389164e+002
5.624938e+003, 3.414520e+002
5.644469e+003, 3.426652e+002
5.664000e+003, 3.438785e+002
5.683531e+003, 3.470753e+002
5.703062e+003, 3.530951e+002
5.722593e+003, 3.615053e+002
5.742124e+003, 3.695342e+002
5.761655e+003, 3.745621e+002
5.781186e+003, 3.768943e+002
5.800717e+003, 3.787941e+002
5.820248e+003, 3.829065e+002
5.839779e+003, 3.909354e+002
5.859310e+003, 4.022703e+002
5.878841e+003, 4.137832e+002
5.898372e+003, 4.215068e+002
5.917903e+003, 4.247037e+002
5.937434e+003, 4.257643e+002
5.956965e+003, 4.281474e+002
5.976497e+003, 4.355150e+002
5.996028e+003, 4.469007e+002
6.015559e+003, 4.575490e+002
6.035090e+003, 4.643316e+002
6.054621e+003, 4.670199e+002
6.074152e+003, 4.688435e+002
6.093683e+003, 4.716334e+002
6.113214e+003, 4.776786e+002
6.132745e+003, 4.856057e+002
6.152276e+003, 4.933293e+002
6.171807e+003, 4.987133e+002
6.191338e+003, 5.012489e+002
6.210869e+003, 5.023604e+002
6.230400e+003, 5.047435e+002
6.249931e+003, 5.094662e+002
6.269462e+003, 5.151045e+002
6.288993e+003, 5.200561e+002
6.308524e+003, 5.229733e+002
6.328055e+003, 5.243899e+002
6.347586e+003, 5.252471e+002
6.367117e+003, 5.274267e+002
6.386648e+003, 5.290977e+002
6.406179e+003, 5.309721e+002
6.425710e+003, 5.321345e+002
6.445241e+003, 5.332206e+002
6.464772e+003, 5.338997e+002
6.484303e+003, 5.340957e+002
6.503834e+003, 5.343171e+002
6.523365e+003, 5.350980e+002
6.542896e+003, 5.355483e+002
6.562428e+003, 5.362529e+002
6.581959e+003, 5.365505e+002
6.601490e+003, 5.367974e+002
6.621021e+003, 5.366373e+002
6.640552e+003, 5.361721e+002
6.660083e+003, 5.360628e+002
6.679614e+003, 5.362588e+002
6.699145e+003, 5.358953e+002
6.718676e+003, 5.353792e+002
6.738207e+003, 5.348122e+002
6.757738e+003, 5.343470e+002
6.777269e+003, 5.336783e+002
6.796800e+003, 5.324501e+002
6.816331e+003, 5.314253e+002
6.835862e+003, 5.298411e+002
6.855393e+003, 5.287655e+002
6.874924e+003, 5.273593e+002
6.894455e+003, 5.262583e+002
6.913986e+003, 5.251827e+002
6.933517e+003, 5.235985e+002
6.953048e+003, 5.225229e+002
6.972579e+003, 5.208878e+002
6.992110e+003, 5.194561e+002
7.011641e+003, 5.177193e+002
7.031172e+003, 5.152959e+002
7.050703e+003, 5.131776e+002
7.070234e+003, 5.117968e+002
7.089765e+003, 5.103652e+002
7.109296e+003, 5.083232e+002
7.128828e+003, 5.049587e+002
7.148359e+003, 5.012383e+002
7.167890e+003, 4.978739e+002
7.187421e+003, 4.953233e+002
7.206952e+003, 4.934338e+002
7.226483e+003, 4.908832e+002
7.246014e+003, 4.868576e+002
7.265545e+003, 4.817130e+002
7.285076e+003, 4.762378e+002
7.304607e+003, 4.721358e+002
7.324138e+003, 4.692292e+002
7.343669e+003, 4.659665e+002
7.363200e+003, 4.619663e+002
7.382731e+003, 4.571777e+002
7.402262e+003, 4.513465e+002
7.421793e+003, 4.451337e+002
7.441324e+003, 4.397348e+002
7.460855e+003, 4.361669e+002
7.480386e+003, 4.336417e+002
7.499917e+003, 4.308622e+002
7.519448e+003, 4.266840e+002
7.538979e+003, 4.211071e+002
7.558510e+003, 4.157844e+002
7.578041e+003, 4.105127e+002
7.597572e+003, 4.069448e+002
7.617103e+003, 4.038347e+002
7.636634e+003, 4.003940e+002
7.656165e+003, 3.958597e+002
7.675696e+003, 3.910457e+002
7.695228e+003, 3.860283e+002
7.714759e+003, 3.810362e+002
7.734290e+003, 3.766037e+002
7.753821e+003, 3.727052e+002
7.773352e+003, 3.695188e+002
7.792883e+003, 3.657475e+002
7.812414e+003, 3.614676e+002
7.831945e+003, 3.572893e+002
7.851476e+003, 3.532128e+002
7.871007e+003, 3.490855e+002
7.890538e+003, 3.453396e+002
7.910069e+003, 3.423058e+002
7.929600e+003, 3.397043e+002
7.949131e+003, 3.364416e+002
7.968662e+003, 3.329755e+002
7.988193e+003, 3.298653e+002
8.007724e+003, 3.270096e+002
8.027255e+003, 3.244589e+002
8.046786e+003, 3.216794e+002
8.066317e+003, 3.193577e+002
8.085848e+003, 3.169597e+002
8.105379e+003, 3.147651e+002
8.124910e+003, 3.131046e+002
8.144441e+003, 3.121053e+002
8.163972e+003, 3.114874e+002
8.183503e+003, 3.106662e+002
8.203034e+003, 3.098194e+002
8.222565e+003, 3.095831e+002
8.242096e+003, 3.091178e+002
8.261628e+003, 3.085000e+002
8.281159e+003, 3.078822e+002
8.300690e+003, 3.079764e+002
8.320221e+003, 3.081724e+002
8.339752e+003, 3.081140e+002
8.359283e+003, 3.079539e+002
8.378814e+003, 3.083534e+002
8.398345e+003, 3.094140e+002
8.417876e+003, 3.103729e+002
8.437407e+003, 3.111029e+002
8.456938e+003, 3.115278e+002
8.476469e+003, 3.115203e+002
8.496000e+003, 3.117671e+002
8.515531e+003, 3.129549e+002
8.535062e+003, 3.147022e+002
8.554593e+003, 3.159917e+002
8.574124e+003, 3.177135e+002
8.593655e+003, 3.190031e+002
8.613186e+003, 3.199620e+002
8.632717e+003, 3.205903e+002
8.652248e+003, 3.221850e+002
8.671779e+003, 3.246952e+002
8.691310e+003, 3.274088e+002
8.710841e+003, 3.293341e+002
8.730372e+003, 3.311069e+002
8.749903e+003, 3.323964e+002
8.769434e+003, 3.346523e+002
8.788965e+003, 3.381035e+002
8.808496e+003, 3.420633e+002
8.828028e+003, 3.464300e+002
8.847559e+003, 3.503135e+002
8.867090e+003, 3.532306e+002
8.886621e+003, 3.559697e+002
8.906152e+003, 3.599549e+002
8.925683e+003, 3.653135e+002
8.945214e+003, 3.722233e+002
8.964745e+003, 3.798452e+002
8.984276e+003, 3.867042e+002
9.003807e+003, 3.915287e+002
9.023338e+003, 3.959208e+002
9.042869e+003, 4.015082e+002
