File name = C1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.966494e+002
1.953103e+001, 4.965458e+002
3.906207e+001, 4.989854e+002
5.859310e+001, 4.968981e+002
7.812414e+001, 4.943531e+002
9.765517e+001, 4.913504e+002
1.171862e+002, 4.874829e+002
1.367172e+002, 4.834121e+002
1.562483e+002, 4.796464e+002
1.757793e+002, 4.762876e+002
1.953103e+002, 4.721150e+002
2.148414e+002, 4.675863e+002
2.343724e+002, 4.632611e+002
2.539034e+002, 4.582747e+002
2.734345e+002, 4.521693e+002
2.929655e+002, 4.455808e+002
3.124965e+002, 4.396280e+002
3.320276e+002, 4.343109e+002
3.515586e+002, 4.287651e+002
3.710897e+002, 4.229648e+002
3.906207e+002, 4.164271e+002
4.101517e+002, 4.102454e+002
4.296828e+002, 4.025125e+002
4.492138e+002, 3.947286e+002
4.687448e+002, 3.883435e+002
4.882759e+002, 3.832808e+002
5.078069e+002, 3.775823e+002
5.273379e+002, 3.708920e+002
5.468690e+002, 3.641000e+002
5.664000e+002, 3.586558e+002
5.859310e+002, 3.537457e+002
6.054621e+002, 3.491662e+002
6.249931e+002, 3.441543e+002
6.445241e+002, 3.387865e+002
6.640552e+002, 3.341815e+002
6.835862e+002, 3.304413e+002
7.031172e+002, 3.277691e+002
7.226483e+002, 3.259870e+002
7.421793e+002, 3.233403e+002
7.617103e+002, 3.198544e+002
7.812414e+002, 3.164193e+002
8.007724e+002, 3.139251e+002
8.203034e+002, 3.129060e+002
8.398345e+002, 3.127516e+002
8.593655e+002, 3.119868e+002
8.788965e+002, 3.106116e+002
8.984276e+002, 3.091856e+002
9.179586e+002, 3.079630e+002
9.374896e+002, 3.076560e+002
9.570207e+002, 3.074252e+002
9.765517e+002, 3.077285e+002
9.960828e+002, 3.078538e+002
1.015614e+003, 3.079791e+002
1.035145e+003, 3.086130e+002
1.054676e+003, 3.093233e+002
1.074207e+003, 3.103386e+002
1.093738e+003, 3.110997e+002
1.113269e+003, 3.114793e+002
1.132800e+003, 3.125201e+002
1.152331e+003, 3.136881e+002
1.171862e+003, 3.151104e+002
1.191393e+003, 3.171176e+002
1.210924e+003, 3.193791e+002
1.230455e+003, 3.210303e+002
1.249986e+003, 3.226815e+002
1.269517e+003, 3.238749e+002
1.289048e+003, 3.253735e+002
1.308579e+003, 3.270501e+002
1.328110e+003, 3.297439e+002
1.347641e+003, 3.326158e+002
1.367172e+003, 3.355131e+002
1.386703e+003, 3.376984e+002
1.406234e+003, 3.398582e+002
1.425766e+003, 3.421960e+002
1.445297e+003, 3.445338e+002
1.464828e+003, 3.470242e+002
1.484359e+003, 3.503284e+002
1.503890e+003, 3.539887e+002
1.523421e+003, 3.575217e+002
1.542952e+003, 3.600630e+002
1.562483e+003, 3.615870e+002
1.582014e+003, 3.630602e+002
1.601545e+003, 3.657286e+002
1.621076e+003, 3.693889e+002
1.640607e+003, 3.737612e+002
1.660138e+003, 3.776249e+002
1.679669e+003, 3.800136e+002
1.699200e+003, 3.818428e+002
1.718731e+003, 3.841043e+002
1.738262e+003, 3.874593e+002
1.757793e+003, 3.911959e+002
1.777324e+003, 3.949579e+002
1.796855e+003, 3.981603e+002
1.816386e+003, 4.011594e+002
1.835917e+003, 4.043110e+002
1.855448e+003, 4.079712e+002
1.874979e+003, 4.115806e+002
1.894510e+003, 4.154443e+002
1.914041e+003, 4.190791e+002
1.933572e+003, 4.230700e+002
1.953103e+003, 4.273915e+002
1.972634e+003, 4.304414e+002
1.992166e+003, 4.335930e+002
2.011697e+003, 4.373041e+002
2.031228e+003, 4.418544e+002
2.050759e+003, 4.457944e+002
2.070290e+003, 4.489715e+002
2.089821e+003, 4.513093e+002
2.109352e+003, 4.541303e+002
2.128883e+003, 4.572819e+002
2.148414e+003, 4.612474e+002
2.167945e+003, 4.645516e+002
2.187476e+003, 4.676015e+002
2.207007e+003, 4.696087e+002
2.226538e+003, 4.714124e+002
2.246069e+003, 4.738520e+002
2.265600e+003, 4.770036e+002
2.285131e+003, 4.800535e+002
2.304662e+003, 4.825439e+002
2.324193e+003, 4.847800e+002
2.343724e+003, 4.860243e+002
2.363255e+003, 4.869634e+002
