File name = C1_g.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.971403e+002
1.953103e+001, 4.969664e+002
3.906207e+001, 4.997171e+002
5.859310e+001, 5.004332e+002
7.812414e+001, 5.012003e+002
9.765517e+001, 5.018656e+002
1.171862e+002, 5.019205e+002
1.367172e+002, 5.016703e+002
1.562483e+002, 5.004791e+002
1.757793e+002, 4.987284e+002
1.953103e+002, 4.970032e+002
2.148414e+002, 4.956849e+002
2.343724e+002, 4.943920e+002
2.539034e+002, 4.921327e+002
2.734345e+002, 4.880677e+002
2.929655e+002, 4.833162e+002
3.124965e+002, 4.796327e+002
3.320276e+002, 4.763816e+002
3.515586e+002, 4.729779e+002
3.710897e+002, 4.689384e+002
3.906207e+002, 4.632967e+002
4.101517e+002, 4.556969e+002
4.296828e+002, 4.474612e+002
4.492138e+002, 4.407006e+002
4.687448e+002, 4.360762e+002
4.882759e+002, 4.324181e+002
5.078069e+002, 4.273868e+002
5.273379e+002, 4.193037e+002
5.468690e+002, 4.101017e+002
5.664000e+002, 4.015863e+002
5.859310e+002, 3.949528e+002
6.054621e+002, 3.902775e+002
6.249931e+002, 3.856023e+002
6.445241e+002, 3.800369e+002
6.640552e+002, 3.724116e+002
6.835862e+002, 3.638453e+002
7.031172e+002, 3.556605e+002
7.226483e+002, 3.503240e+002
7.421793e+002, 3.474289e+002
7.617103e+002, 3.450679e+002
7.812414e+002, 3.415371e+002
8.007724e+002, 3.369635e+002
8.203034e+002, 3.321356e+002
8.398345e+002, 3.286302e+002
8.593655e+002, 3.260912e+002
8.788965e+002, 3.243914e+002
8.984276e+002, 3.226407e+002
9.179586e+002, 3.210680e+002
9.374896e+002, 3.199532e+002
9.570207e+002, 3.201607e+002
9.765517e+002, 3.203682e+002
9.960828e+002, 3.205249e+002
1.015614e+003, 3.206816e+002
1.035145e+003, 3.213978e+002
1.054676e+003, 3.225717e+002
1.074207e+003, 3.241525e+002
1.093738e+003, 3.256825e+002
1.113269e+003, 3.278228e+002
1.132800e+003, 3.300140e+002
1.152331e+003, 3.325104e+002
1.171862e+003, 3.357697e+002
1.191393e+003, 3.393342e+002
1.210924e+003, 3.430258e+002
1.230455e+003, 3.472769e+002
1.249986e+003, 3.522147e+002
1.269517e+003, 3.568473e+002
1.289048e+003, 3.617850e+002
1.308579e+003, 3.665702e+002
1.328110e+003, 3.704907e+002
1.347641e+003, 3.743604e+002
1.367172e+003, 3.792982e+002
1.386703e+003, 3.855584e+002
1.406234e+003, 3.923526e+002
1.425766e+003, 3.980788e+002
1.445297e+003, 4.016432e+002
1.464828e+003, 4.042922e+002
1.484359e+003, 4.079584e+002
1.503890e+003, 4.129470e+002
1.523421e+003, 4.186477e+002
1.542952e+003, 4.230260e+002
1.562483e+003, 4.255224e+002
1.582014e+003, 4.270015e+002
1.601545e+003, 4.285823e+002
1.621076e+003, 4.309261e+002
1.640607e+003, 4.336259e+002
1.660138e+003, 4.362749e+002
1.679669e+003, 4.379574e+002
1.699200e+003, 4.390296e+002
1.718731e+003, 4.395678e+002
1.738262e+003, 4.399533e+002
1.757793e+003, 4.400083e+002
1.777324e+003, 4.400633e+002
1.796855e+003, 4.398130e+002
1.816386e+003, 4.392576e+002
1.835917e+003, 4.383716e+002
1.855448e+003, 4.374602e+002
1.874979e+003, 4.363199e+002
1.894510e+003, 4.347981e+002
1.914041e+003, 4.333780e+002
1.933572e+003, 4.316528e+002
1.953103e+003, 4.292663e+002
1.972634e+003, 4.269053e+002
1.992166e+003, 4.249512e+002
2.011697e+003, 4.228953e+002
2.031228e+003, 4.206869e+002
2.050759e+003, 4.181987e+002
2.070290e+003, 4.160157e+002
2.089821e+003, 4.146465e+002
2.109352e+003, 4.128704e+002
2.128883e+003, 4.104840e+002
2.148414e+003, 4.078941e+002
2.167945e+003, 4.049481e+002
2.187476e+003, 4.024599e+002
2.207007e+003, 4.009890e+002
2.226538e+003, 3.997724e+002
2.246069e+003, 3.983523e+002
2.265600e+003, 3.961439e+002
2.285131e+003, 3.942406e+002
2.304662e+003, 3.931766e+002
2.324193e+003, 3.922652e+002
2.343724e+003, 3.918624e+002
2.363255e+003, 3.920699e+002
2.382786e+003, 3.921249e+002
2.402317e+003, 3.923833e+002
2.421848e+003, 3.927434e+002
2.441379e+003, 3.934087e+002
2.460910e+003, 3.941249e+002
2.480441e+003, 3.955531e+002
2.499972e+003, 3.964219e+002
2.519503e+003, 3.971380e+002
2.539034e+003, 3.986172e+002
2.558565e+003, 4.005540e+002
2.578097e+003, 4.029487e+002
2.597628e+003, 4.055976e+002
2.617159e+003, 4.081957e+002
2.636690e+003, 4.110481e+002
2.656221e+003, 4.135699e+002
2.675752e+003, 4.162443e+002
2.695283e+003, 4.190458e+002
2.714814e+003, 4.225594e+002
2.734345e+003, 4.273446e+002
2.753876e+003, 4.325876e+002
2.773407e+003, 4.380340e+002
2.792938e+003, 4.415221e+002
2.812469e+003, 4.436879e+002
2.832000e+003, 4.458791e+002
2.851531e+003, 4.490367e+002
2.871062e+003, 4.539236e+002
2.890593e+003, 4.595734e+002
2.910124e+003, 4.650198e+002
2.929655e+003, 4.691438e+002
2.949186e+003, 4.721488e+002
2.968717e+003, 4.729667e+002
2.988248e+003, 4.745475e+002
3.007779e+003, 4.787478e+002
3.027310e+003, 4.848299e+002
3.046841e+003, 4.904289e+002
3.066372e+003, 4.932305e+002
3.085903e+003, 4.943535e+002
