File name = C1_i.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.949459e+002
1.953103e+001, 4.943708e+002
3.906207e+001, 4.954996e+002
5.859310e+001, 4.959163e+002
7.812414e+001, 4.958244e+002
9.765517e+001, 4.961394e+002
1.171862e+002, 4.969122e+002
1.367172e+002, 4.978884e+002
1.562483e+002, 4.982033e+002
1.757793e+002, 4.978063e+002
1.953103e+002, 4.973583e+002
2.148414e+002, 4.972664e+002
2.343724e+002, 4.975305e+002
2.539034e+002, 4.972352e+002
2.734345e+002, 4.961769e+002
2.929655e+002, 4.952203e+002
3.124965e+002, 4.943654e+002
3.320276e+002, 4.938412e+002
3.515586e+002, 4.933169e+002
3.710897e+002, 4.920043e+002
3.906207e+002, 4.899288e+002
4.101517e+002, 4.873446e+002
4.296828e+002, 4.839975e+002
4.492138e+002, 4.807012e+002
4.687448e+002, 4.788800e+002
4.882759e+002, 4.772113e+002
5.078069e+002, 4.745763e+002
5.273379e+002, 4.697541e+002
5.468690e+002, 4.643216e+002
5.664000e+002, 4.589909e+002
5.859310e+002, 4.538635e+002
6.054621e+002, 4.491940e+002
6.249931e+002, 4.448296e+002
6.445241e+002, 4.393208e+002
6.640552e+002, 4.323370e+002
6.835862e+002, 4.242597e+002
7.031172e+002, 4.170979e+002
7.226483e+002, 4.109533e+002
7.421793e+002, 4.052919e+002
7.617103e+002, 3.989185e+002
7.812414e+002, 3.904342e+002
8.007724e+002, 3.820517e+002
8.203034e+002, 3.746864e+002
8.398345e+002, 3.685418e+002
8.593655e+002, 3.622955e+002
8.788965e+002, 3.552100e+002
8.984276e+002, 3.469292e+002
9.179586e+002, 3.388773e+002
9.374896e+002, 3.325801e+002
9.570207e+002, 3.290041e+002
9.765517e+002, 3.268523e+002
9.960828e+002, 3.237340e+002
1.015614e+003, 3.188865e+002
1.035145e+003, 3.127419e+002
1.054676e+003, 3.065719e+002
1.074207e+003, 3.018769e+002
1.093738e+003, 2.990639e+002
1.113269e+003, 2.980310e+002
1.132800e+003, 2.973796e+002
1.152331e+003, 2.957618e+002
1.171862e+003, 2.929487e+002
1.191393e+003, 2.907969e+002
1.210924e+003, 2.895606e+002
1.230455e+003, 2.883751e+002
1.249986e+003, 2.869353e+002
1.269517e+003, 2.864111e+002
1.289048e+003, 2.864718e+002
1.308579e+003, 2.868122e+002
1.328110e+003, 2.865677e+002
1.347641e+003, 2.861960e+002
1.367172e+003, 2.861041e+002
1.386703e+003, 2.868769e+002
1.406234e+003, 2.880565e+002
1.425766e+003, 2.897448e+002
1.445297e+003, 2.916365e+002
1.464828e+003, 2.934774e+002
1.484359e+003, 2.951148e+002
1.503890e+003, 2.969303e+002
1.523421e+003, 2.992035e+002
1.542952e+003, 3.020616e+002
1.562483e+003, 3.045637e+002
1.582014e+003, 3.070912e+002
1.601545e+003, 3.101019e+002
1.621076e+003, 3.132398e+002
1.640607e+003, 3.160216e+002
1.660138e+003, 3.187017e+002
1.679669e+003, 3.222719e+002
1.699200e+003, 3.268593e+002
1.718731e+003, 3.314977e+002
1.738262e+003, 3.357291e+002
1.757793e+003, 3.392993e+002
1.777324e+003, 3.422337e+002
1.796855e+003, 3.451681e+002
1.816386e+003, 3.483060e+002
1.835917e+003, 3.527663e+002
1.855448e+003, 3.575572e+002
1.874979e+003, 3.608731e+002
1.894510e+003, 3.633752e+002
1.914041e+003, 3.659281e+002
1.933572e+003, 3.687354e+002
1.953103e+003, 3.718987e+002
1.972634e+003, 3.749094e+002
1.992166e+003, 3.781744e+002
2.011697e+003, 3.822024e+002
2.031228e+003, 3.863320e+002
2.050759e+003, 3.892919e+002
2.070290e+003, 3.911328e+002
2.089821e+003, 3.933805e+002
2.109352e+003, 3.967473e+002
2.128883e+003, 4.007244e+002
2.148414e+003, 4.051592e+002
2.167945e+003, 4.094924e+002
2.187476e+003, 4.122488e+002
2.207007e+003, 4.138353e+002
2.226538e+003, 4.153202e+002
2.246069e+003, 4.176188e+002
2.265600e+003, 4.215959e+002
2.285131e+003, 4.266666e+002
2.304662e+003, 4.312794e+002
2.324193e+003, 4.348242e+002
2.343724e+003, 4.367414e+002
2.363255e+003, 4.375141e+002
2.382786e+003, 4.388972e+002
2.402317e+003, 4.417554e+002
2.421848e+003, 4.460885e+002
2.441379e+003, 4.501673e+002
2.460910e+003, 4.532798e+002
2.480441e+003, 4.552224e+002
2.499972e+003, 4.564020e+002
2.519503e+003, 4.573782e+002
2.539034e+003, 4.585070e+002
2.558565e+003, 4.601953e+002
2.578097e+003, 4.625448e+002
2.597628e+003, 4.648943e+002
2.617159e+003, 4.664300e+002
2.636690e+003, 4.678131e+002
2.656221e+003, 4.685350e+002
2.675752e+003, 4.692569e+002
2.695283e+003, 4.701313e+002
2.714814e+003, 4.716670e+002
2.734345e+003, 4.732027e+002
2.753876e+003, 4.747638e+002
2.773407e+003, 4.762741e+002
2.792938e+003, 4.769451e+002
2.812469e+003, 4.772601e+002
2.832000e+003, 4.782872e+002
2.851531e+003, 4.791617e+002
2.871062e+003, 4.805448e+002
2.890593e+003, 4.813684e+002
2.910124e+003, 4.821411e+002
2.929655e+003, 4.832445e+002
2.949186e+003, 4.835849e+002
2.968717e+003, 4.838745e+002
2.988248e+003, 4.848761e+002
3.007779e+003, 4.856997e+002
3.027310e+003, 4.871337e+002
3.046841e+003, 4.878556e+002
3.066372e+003, 4.880943e+002
3.085903e+003, 4.885873e+002
3.105434e+003, 4.893601e+002
3.124965e+003, 4.902345e+002
3.144497e+003, 4.914651e+002
3.164028e+003, 4.922378e+002
3.183559e+003, 4.930614e+002
3.203090e+003, 4.945463e+002
3.222621e+003, 4.952173e+002
3.242152e+003, 4.954051e+002
3.261683e+003, 4.958473e+002
3.281214e+003, 4.962131e+002
3.300745e+003, 4.965790e+002
3.320276e+003, 4.972500e+002
3.339807e+003, 4.972089e+002
3.359338e+003, 4.969644e+002
3.378869e+003, 4.968725e+002
3.398400e+003, 4.968823e+002
3.417931e+003, 4.968413e+002
3.437462e+003, 4.966985e+002
3.456993e+003, 4.958437e+002
3.476524e+003, 4.953194e+002
3.496055e+003, 4.946935e+002
3.515586e+003, 4.933045e+002
3.535117e+003, 4.915596e+002
3.554648e+003, 4.890517e+002
3.574179e+003, 4.863404e+002
3.593710e+003, 4.838070e+002
3.613241e+003, 4.819858e+002
3.632772e+003, 4.797322e+002
3.652303e+003, 4.765631e+002
3.671834e+003, 4.719953e+002
3.691365e+003, 4.674275e+002
3.710897e+003, 4.631648e+002
3.730428e+003, 4.587496e+002
3.749959e+003, 4.539529e+002
3.769490e+003, 4.491562e+002
3.789021e+003, 4.440034e+002
3.808552e+003, 4.383929e+002
3.828083e+003, 4.320958e+002
3.847614e+003, 4.255951e+002
3.867145e+003, 4.198575e+002
3.886676e+003, 4.140689e+002
3.906207e+003, 4.066019e+002
3.925738e+003, 3.983211e+002
3.945269e+003, 3.905490e+002
3.964800e+003, 3.842518e+002
3.984331e+003, 3.781581e+002
4.003862e+003, 3.721916e+002
4.023393e+003, 3.654366e+002
4.042924e+003, 3.580205e+002
4.062455e+003, 3.499177e+002
4.081986e+003, 3.418912e+002
4.101517e+003, 3.349329e+002
4.121048e+003, 3.302633e+002
4.140579e+003, 3.267636e+002
4.160110e+003, 3.236962e+002
4.179641e+003, 3.195099e+002
4.199172e+003, 3.138739e+002
4.218703e+003, 3.082380e+002
4.238234e+003, 3.040262e+002
4.257765e+003, 3.014929e+002
4.277297e+003, 3.002820e+002
4.296828e+003, 2.990457e+002
4.316359e+003, 2.968429e+002
4.335890e+003, 2.943096e+002
4.355421e+003, 2.919798e+002
4.374952e+003, 2.901331e+002
4.394483e+003, 2.891511e+002
4.414014e+003, 2.888557e+002
4.433545e+003, 2.887892e+002
4.453076e+003, 2.885193e+002
4.472607e+003, 2.882748e+002
4.492138e+003, 2.883355e+002
4.511669e+003, 2.889556e+002
4.531200e+003, 2.897793e+002
4.550731e+003, 2.903994e+002
4.570262e+003, 2.907653e+002
4.589793e+003, 2.910294e+002
4.609324e+003, 2.921582e+002
4.628855e+003, 2.940499e+002
4.648386e+003, 2.967809e+002
4.667917e+003, 2.997153e+002
4.687448e+003, 3.022428e+002
4.706979e+003, 3.036005e+002
4.726510e+003, 3.045513e+002
4.746041e+003, 3.066719e+002
4.765572e+003, 3.103947e+002
4.785103e+003, 3.146261e+002
4.804634e+003, 3.184506e+002
4.824165e+003, 3.221988e+002
4.843697e+003, 3.257436e+002
4.863228e+003, 3.280422e+002
4.882759e+003, 3.296288e+002
4.902290e+003, 3.323343e+002
4.921821e+003, 3.371252e+002
4.941352e+003, 3.423739e+002
4.960883e+003, 3.467325e+002
4.980414e+003, 3.498958e+002
4.999945e+003, 3.525250e+002
5.019476e+003, 3.556883e+002
5.039007e+003, 3.591568e+002
