File name = D1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.864297e+002
1.953103e+001, 3.862050e+002
3.906207e+001, 3.892864e+002
5.859310e+001, 3.897737e+002
7.812414e+001, 3.913547e+002
9.765517e+001, 3.940546e+002
1.171862e+002, 3.972122e+002
1.367172e+002, 3.999630e+002
1.562483e+002, 4.015439e+002
1.757793e+002, 4.026416e+002
1.953103e+002, 4.037902e+002
2.148414e+002, 4.057017e+002
2.343724e+002, 4.088339e+002
2.539034e+002, 4.119916e+002
2.734345e+002, 4.152001e+002
2.929655e+002, 4.174931e+002
3.124965e+002, 4.193284e+002
3.320276e+002, 4.205532e+002
3.515586e+002, 4.223885e+002
3.710897e+002, 4.254698e+002
3.906207e+002, 4.292378e+002
4.101517e+002, 4.331839e+002
4.296828e+002, 4.367993e+002
4.492138e+002, 4.394992e+002
4.687448e+002, 4.410547e+002
4.882759e+002, 4.429662e+002
5.078069e+002, 4.453101e+002
5.273379e+002, 4.489509e+002
5.468690e+002, 4.528461e+002
5.664000e+002, 4.560037e+002
5.859310e+002, 4.579407e+002
6.054621e+002, 4.594199e+002
6.249931e+002, 4.614077e+002
6.445241e+002, 4.648705e+002
6.640552e+002, 4.680791e+002
6.835862e+002, 4.708807e+002
7.031172e+002, 4.732500e+002
7.226483e+002, 4.750598e+002
7.421793e+002, 4.765898e+002
7.617103e+002, 4.781199e+002
7.812414e+002, 4.804637e+002
8.007724e+002, 4.824007e+002
8.203034e+002, 4.840579e+002
8.398345e+002, 4.850539e+002
8.593655e+002, 4.857701e+002
8.788965e+002, 4.870204e+002
8.984276e+002, 4.889320e+002
9.179586e+002, 4.900806e+002
9.374896e+002, 4.910765e+002
9.570207e+002, 4.910807e+002
9.765517e+002, 4.914155e+002
9.960828e+002, 4.917503e+002
1.015614e+003, 4.919579e+002
1.035145e+003, 4.915806e+002
1.054676e+003, 4.913050e+002
1.074207e+003, 4.905717e+002
1.093738e+003, 4.896349e+002
1.113269e+003, 4.894865e+002
1.132800e+003, 4.892872e+002
1.152331e+003, 4.888845e+002
1.171862e+003, 4.875662e+002
1.191393e+003, 4.858411e+002
1.210924e+003, 4.841668e+002
1.230455e+003, 4.826197e+002
1.249986e+003, 4.813777e+002
1.269517e+003, 4.801612e+002
1.289048e+003, 4.787412e+002
1.308579e+003, 4.763040e+002
1.328110e+003, 4.739684e+002
1.347641e+003, 4.716584e+002
1.367172e+003, 4.697298e+002
1.386703e+003, 4.682081e+002
1.406234e+003, 4.660506e+002
1.425766e+003, 4.637405e+002
1.445297e+003, 4.614050e+002
1.464828e+003, 4.592983e+002
1.484359e+003, 4.571409e+002
1.503890e+003, 4.553903e+002
1.523421e+003, 4.536651e+002
1.542952e+003, 4.523469e+002
1.562483e+003, 4.508506e+002
1.582014e+003, 4.491000e+002
1.601545e+003, 4.467899e+002
1.621076e+003, 4.445307e+002
1.640607e+003, 4.425004e+002
1.660138e+003, 4.411313e+002
1.679669e+003, 4.401690e+002
1.699200e+003, 4.384439e+002
1.718731e+003, 4.359049e+002
