File name = B1_b.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.015918e+002
1.953103e+001, 4.992762e+002
3.906207e+001, 5.004956e+002
5.859310e+001, 5.004433e+002
7.812414e+001, 5.007472e+002
9.765517e+001, 5.012290e+002
1.171862e+002, 5.016600e+002
1.367172e+002, 5.015061e+002
1.562483e+002, 5.011741e+002
1.757793e+002, 5.006387e+002
1.953103e+002, 5.005356e+002
2.148414e+002, 5.007886e+002
2.343724e+002, 5.009907e+002
2.539034e+002, 5.009385e+002
2.734345e+002, 5.008862e+002
2.929655e+002, 5.008340e+002
3.124965e+002, 5.007310e+002
3.320276e+002, 5.009839e+002
3.515586e+002, 5.011860e+002
3.710897e+002, 5.012355e+002
3.906207e+002, 5.011325e+002
4.101517e+002, 5.010548e+002
4.296828e+002, 5.011806e+002
4.492138e+002, 5.010012e+002
4.687448e+002, 5.007201e+002
4.882759e+002, 5.005662e+002
5.078069e+002, 5.009209e+002
5.273379e+002, 5.012247e+002
5.468690e+002, 5.017829e+002
5.664000e+002, 5.013746e+002
5.859310e+002, 5.012715e+002
6.054621e+002, 5.014736e+002
6.249931e+002, 5.013706e+002
6.445241e+002, 5.014201e+002
6.640552e+002, 5.015713e+002
6.835862e+002, 5.011630e+002
7.031172e+002, 5.006531e+002
7.226483e+002, 5.005500e+002
7.421793e+002, 5.007521e+002
7.617103e+002, 5.006490e+002
7.812414e+002, 5.002408e+002
8.007724e+002, 5.004429e+002
8.203034e+002, 5.008484e+002
8.398345e+002, 5.007708e+002
8.593655e+002, 5.006931e+002
8.788965e+002, 5.009970e+002
8.984276e+002, 5.016568e+002
9.179586e+002, 5.015537e+002
9.374896e+002, 5.010438e+002
9.570207e+002, 5.008135e+002
9.765517e+002, 5.008376e+002
9.960828e+002, 5.011414e+002
1.015614e+003, 5.010384e+002
1.035145e+003, 5.009861e+002
1.054676e+003, 5.008322e+002
1.074207e+003, 5.011360e+002
