File name = B1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.137274e+002
1.953103e+001, 5.113586e+002
3.906207e+001, 5.121688e+002
5.859310e+001, 5.123686e+002
7.812414e+001, 5.124159e+002
9.765517e+001, 5.124886e+002
1.171862e+002, 5.125612e+002
1.367172e+002, 5.127611e+002
1.562483e+002, 5.131644e+002
1.757793e+002, 5.133642e+002
1.953103e+002, 5.129791e+002
2.148414e+002, 5.128483e+002
2.343724e+002, 5.127430e+002
2.539034e+002, 5.130954e+002
2.734345e+002, 5.133461e+002
2.929655e+002, 5.124524e+002
3.124965e+002, 5.119656e+002
3.320276e+002, 5.120383e+002
3.515586e+002, 5.121109e+002
3.710897e+002, 5.120310e+002
3.906207e+002, 5.122054e+002
4.101517e+002, 5.122018e+002
4.296828e+002, 5.116896e+002
4.492138e+002, 5.115842e+002
4.687448e+002, 5.115043e+002
4.882759e+002, 5.117804e+002
5.078069e+002, 5.120820e+002
5.273379e+002, 5.122818e+002
5.468690e+002, 5.116933e+002
5.664000e+002, 5.114099e+002
5.859310e+002, 5.114826e+002
6.054621e+002, 5.115553e+002
6.249931e+002, 5.114499e+002
6.445241e+002, 5.111666e+002
6.640552e+002, 5.108832e+002
6.835862e+002, 5.109559e+002
7.031172e+002, 5.110540e+002
7.226483e+002, 5.113810e+002
7.421793e+002, 5.119369e+002
7.617103e+002, 5.119841e+002
7.812414e+002, 5.118788e+002
8.007724e+002, 5.121295e+002
8.203034e+002, 5.124310e+002
8.398345e+002, 5.127326e+002
8.593655e+002, 5.129324e+002
8.788965e+002, 5.129797e+002
8.984276e+002, 5.130269e+002
9.179586e+002, 5.134302e+002
9.374896e+002, 5.133249e+002
9.570207e+002, 5.132195e+002
9.765517e+002, 5.131650e+002
9.960828e+002, 5.130088e+002
1.015614e+003, 5.129035e+002
1.035145e+003, 5.129507e+002
1.054676e+003, 5.130234e+002
1.074207e+003, 5.134013e+002
1.093738e+003, 5.130162e+002
1.113269e+003, 5.127074e+002
1.132800e+003, 5.124240e+002
1.152331e+003, 5.125730e+002
1.171862e+003, 5.126202e+002
1.191393e+003, 5.128201e+002
1.210924e+003, 5.128165e+002
1.230455e+003, 5.130671e+002
1.249986e+003, 5.126058e+002
1.269517e+003, 5.125004e+002
1.289048e+003, 5.125731e+002
1.308579e+003, 5.129510e+002
1.328110e+003, 5.128965e+002
1.347641e+003, 5.124351e+002
1.367172e+003, 5.121517e+002
1.386703e+003, 5.122244e+002
1.406234e+003, 5.124242e+002
1.425766e+003, 5.124206e+002
1.445297e+003, 5.123153e+002
1.464828e+003, 5.121591e+002
1.484359e+003, 5.120029e+002
1.503890e+003, 5.120501e+002
1.523421e+003, 5.126060e+002
1.542952e+003, 5.118394e+002
1.562483e+003, 5.113272e+002
1.582014e+003, 5.108149e+002
1.601545e+003, 5.107096e+002
1.621076e+003, 5.109603e+002
1.640607e+003, 5.113127e+002
1.660138e+003, 5.115634e+002
1.679669e+003, 5.119158e+002
1.699200e+003, 5.125226e+002
1.718731e+003, 5.125190e+002
1.738262e+003, 5.126679e+002
1.757793e+003, 5.123083e+002
1.777324e+003, 5.126098e+002
1.796855e+003, 5.129114e+002
1.816386e+003, 5.128061e+002
1.835917e+003, 5.125481e+002
1.855448e+003, 5.125954e+002
1.874979e+003, 5.133038e+002
1.894510e+003, 5.131985e+002
1.914041e+003, 5.129406e+002
1.933572e+003, 5.121740e+002
1.953103e+003, 5.124247e+002
1.972634e+003, 5.127263e+002
1.992166e+003, 5.128498e+002
2.011697e+003, 5.125664e+002
2.031228e+003, 5.123085e+002
2.050759e+003, 5.122540e+002
2.070290e+003, 5.122504e+002
2.089821e+003, 5.123231e+002
2.109352e+003, 5.123958e+002
2.128883e+003, 5.122904e+002
2.148414e+003, 5.125920e+002
2.167945e+003, 5.125375e+002
2.187476e+003, 5.122796e+002
2.207007e+003, 5.122759e+002
2.226538e+003, 5.126284e+002
2.246069e+003, 5.129299e+002
2.265600e+003, 5.128246e+002
2.285131e+003, 5.127192e+002
2.304662e+003, 5.126139e+002
2.324193e+003, 5.125086e+002
2.343724e+003, 5.122506e+002
2.363255e+003, 5.121453e+002
2.382786e+003, 5.124468e+002
2.402317e+003, 5.128501e+002
2.421848e+003, 5.129737e+002
2.441379e+003, 5.128683e+002
2.460910e+003, 5.125850e+002
2.480441e+003, 5.123779e+002
2.499972e+003, 5.122217e+002
2.519503e+003, 5.122689e+002
2.539034e+003, 5.125196e+002
2.558565e+003, 5.127703e+002
2.578097e+003, 5.127667e+002
2.597628e+003, 5.126105e+002
2.617159e+003, 5.121491e+002
2.636690e+003, 5.118149e+002
2.656221e+003, 5.118876e+002
2.675752e+003, 5.121891e+002
2.695283e+003, 5.121347e+002
2.714814e+003, 5.120293e+002
2.734345e+003, 5.118731e+002
2.753876e+003, 5.117678e+002
2.773407e+003, 5.117133e+002
2.792938e+003, 5.116080e+002
2.812469e+003, 5.113500e+002
2.832000e+003, 5.115499e+002
2.851531e+003, 5.117243e+002
2.871062e+003, 5.115426e+002
2.890593e+003, 5.110812e+002
2.910124e+003, 5.113574e+002
2.929655e+003, 5.116844e+002
2.949186e+003, 5.122402e+002
2.968717e+003, 5.118806e+002
2.988248e+003, 5.120295e+002
3.007779e+003, 5.119242e+002
3.027310e+003, 5.115137e+002
3.046841e+003, 5.114592e+002
3.066372e+003, 5.117099e+002
3.085903e+003, 5.120115e+002
3.105434e+003, 5.119316e+002
3.124965e+003, 5.116991e+002
3.144497e+003, 5.113394e+002
3.164028e+003, 5.112341e+002
3.183559e+003, 5.113067e+002
3.203090e+003, 5.112777e+002
3.222621e+003, 5.108672e+002
3.242152e+003, 5.106601e+002
3.261683e+003, 5.105548e+002
3.281214e+003, 5.101951e+002
3.300745e+003, 5.103441e+002
3.320276e+003, 5.102387e+002
3.339807e+003, 5.101842e+002
3.359338e+003, 5.100280e+002
3.378869e+003, 5.096175e+002
3.398400e+003, 5.091053e+002
3.417931e+003, 5.088982e+002
3.437462e+003, 5.089455e+002
3.456993e+003, 5.090181e+002
3.476524e+003, 5.087348e+002
3.496055e+003, 5.081971e+002
3.515586e+003, 5.080918e+002
3.535117e+003, 5.084187e+002
3.554648e+003, 5.089746e+002
3.574179e+003, 5.085641e+002
3.593710e+003, 5.087639e+002
3.613241e+003, 5.088112e+002
3.632772e+003, 5.085533e+002
3.652303e+003, 5.077867e+002
3.671834e+003, 5.072744e+002
3.691365e+003, 5.067113e+002
3.710897e+003, 5.062500e+002
3.730428e+003, 5.063989e+002
3.749959e+003, 5.063953e+002
3.769490e+003, 5.061882e+002
3.789021e+003, 5.057777e+002
3.808552e+003, 5.054944e+002
3.828083e+003, 5.056433e+002
3.847614e+003, 5.058686e+002
3.867145e+003, 5.058141e+002
3.886676e+003, 5.056579e+002
3.906207e+003, 5.051965e+002
3.925738e+003, 5.053455e+002
3.945269e+003, 5.055708e+002
3.964800e+003, 5.056689e+002
3.984331e+003, 5.055381e+002
4.003862e+003, 5.049241e+002
4.023393e+003, 5.048188e+002
4.042924e+003, 5.048660e+002
4.062455e+003, 5.051422e+002
4.081986e+003, 5.048334e+002
4.101517e+003, 5.045500e+002
4.121048e+003, 5.046227e+002
4.140579e+003, 5.046954e+002
4.160110e+003, 5.043866e+002
4.179641e+003, 5.044847e+002
4.199172e+003, 5.049897e+002
4.218703e+003, 5.050878e+002
4.238234e+003, 5.047790e+002
4.257765e+003, 5.044702e+002
4.277297e+003, 5.044157e+002
4.296828e+003, 5.046664e+002
4.316359e+003, 5.043831e+002
4.335890e+003, 5.044558e+002
4.355421e+003, 5.047573e+002
4.374952e+003, 5.050589e+002
4.394483e+003, 5.053604e+002
4.414014e+003, 5.053059e+002
4.433545e+003, 5.052006e+002
4.453076e+003, 5.050953e+002
4.472607e+003, 5.049899e+002
4.492138e+003, 5.052915e+002
4.511669e+003, 5.059491e+002
4.531200e+003, 5.061489e+002
4.550731e+003, 5.057893e+002
4.570262e+003, 5.057093e+002
4.589793e+003, 5.059346e+002
4.609324e+003, 5.058801e+002
4.628855e+003, 5.064360e+002
4.648386e+003, 5.064832e+002
4.667917e+003, 5.067339e+002
4.687448e+003, 5.070355e+002
4.706979e+003, 5.073371e+002
4.726510e+003, 5.072317e+002
4.746041e+003, 5.067703e+002
4.765572e+003, 5.066650e+002
4.785103e+003, 5.069157e+002
4.804634e+003, 5.071155e+002
4.824165e+003, 5.075188e+002
4.843697e+003, 5.074135e+002
4.863228e+003, 5.069012e+002
4.882759e+003, 5.067959e+002
4.902290e+003, 5.067414e+002
4.921821e+003, 5.070175e+002
4.941352e+003, 5.073445e+002
4.960883e+003, 5.074172e+002
4.980414e+003, 5.071338e+002
4.999945e+003, 5.070285e+002
5.019476e+003, 5.072792e+002
5.039007e+003, 5.080131e+002
5.058538e+003, 5.086961e+002
5.078069e+003, 5.090485e+002
5.097600e+003, 5.089432e+002
5.117131e+003, 5.087361e+002
5.136662e+003, 5.080967e+002
5.156193e+003, 5.085254e+002
5.175724e+003, 5.091830e+002
5.195255e+003, 5.092303e+002
5.214786e+003, 5.097862e+002
5.234317e+003, 5.105963e+002
5.253848e+003, 5.112031e+002
5.273379e+003, 5.108689e+002
5.292910e+003, 5.105092e+002
5.312441e+003, 5.101750e+002
5.331972e+003, 5.101205e+002
5.351503e+003, 5.104221e+002
5.371034e+003, 5.107236e+002
5.390565e+003, 5.109743e+002
5.410097e+003, 5.108690e+002
5.429628e+003, 5.107636e+002
5.449159e+003, 5.106583e+002
5.468690e+003, 5.105529e+002
5.488221e+003, 5.108545e+002
5.507752e+003, 5.114612e+002
5.527283e+003, 5.117628e+002
5.546814e+003, 5.117846e+002
5.566345e+003, 5.114758e+002
5.585876e+003, 5.114468e+002
5.605407e+003, 5.114431e+002
5.624938e+003, 5.117447e+002
5.644469e+003, 5.123514e+002
5.664000e+003, 5.123987e+002
5.683531e+003, 5.126494e+002
5.703062e+003, 5.125440e+002
5.722593e+003, 5.124641e+002
5.742124e+003, 5.127403e+002
5.761655e+003, 5.126349e+002
5.781186e+003, 5.125804e+002
5.800717e+003, 5.131872e+002
5.820248e+003, 5.138448e+002
5.839779e+003, 5.145532e+002
5.859310e+003, 5.149565e+002
5.878841e+003, 5.151563e+002
5.898372e+003, 5.150510e+002
5.917903e+003, 5.149457e+002
5.937434e+003, 5.145351e+002
5.956965e+003, 5.144298e+002
5.976497e+003, 5.149602e+002
5.996028e+003, 5.154398e+002
6.015559e+003, 5.153345e+002
6.035090e+003, 5.148222e+002
6.054621e+003, 5.147169e+002
6.074152e+003, 5.146116e+002
6.093683e+003, 5.148114e+002
6.113214e+003, 5.148078e+002
6.132745e+003, 5.146007e+002
6.152276e+003, 5.146479e+002
6.171807e+003, 5.148986e+002
6.191338e+003, 5.146153e+002
6.210869e+003, 5.143319e+002
6.230400e+003, 5.146080e+002
6.249931e+003, 5.149350e+002
6.269462e+003, 5.150077e+002
6.288993e+003, 5.155382e+002
6.308524e+003, 5.161449e+002
6.328055e+003, 5.159887e+002
6.347586e+003, 5.155782e+002
6.367117e+003, 5.151168e+002
6.386648e+003, 5.153675e+002
6.406179e+003, 5.156690e+002
6.425710e+003, 5.156146e+002
6.445241e+003, 5.156618e+002
6.464772e+003, 5.157599e+002
6.484303e+003, 5.154766e+002
6.503834e+003, 5.155747e+002
6.523365e+003, 5.158508e+002
6.542896e+003, 5.157963e+002
6.562428e+003, 5.158690e+002
6.581959e+003, 5.162468e+002
6.601490e+003, 5.162941e+002
6.621021e+003, 5.165448e+002
6.640552e+003, 5.160834e+002
6.660083e+003, 5.159781e+002
6.679614e+003, 5.158727e+002
6.699145e+003, 5.164286e+002
6.718676e+003, 5.164250e+002
6.738207e+003, 5.163705e+002
6.757738e+003, 5.166212e+002
6.777269e+003, 5.161089e+002
6.796800e+003, 5.160545e+002
6.816331e+003, 5.163052e+002
6.835862e+003, 5.161998e+002
6.855393e+003, 5.160945e+002
6.874924e+003, 5.160146e+002
6.894455e+003, 5.161890e+002
6.913986e+003, 5.161345e+002
6.933517e+003, 5.159783e+002
6.953048e+003, 5.158729e+002
6.972579e+003, 5.159202e+002
6.992110e+003, 5.165778e+002
7.011641e+003, 5.165233e+002
7.031172e+003, 5.163671e+002
7.050703e+003, 5.163126e+002
7.070234e+003, 5.161564e+002
7.089765e+003, 5.159493e+002
7.109296e+003, 5.163526e+002
7.128828e+003, 5.167051e+002
7.148359e+003, 5.169558e+002
7.167890e+003, 5.171556e+002
7.187421e+003, 5.167451e+002
7.206952e+003, 5.169449e+002
7.226483e+003, 5.169921e+002
7.246014e+003, 5.168868e+002
7.265545e+003, 5.167306e+002
7.285076e+003, 5.166253e+002
7.304607e+003, 5.165708e+002
7.324138e+003, 5.164654e+002
7.343669e+003, 5.167670e+002
7.363200e+003, 5.170177e+002
7.382731e+003, 5.169632e+002
7.402262e+003, 5.172139e+002
7.421793e+003, 5.167525e+002
7.441324e+003, 5.166472e+002
7.460855e+003, 5.165418e+002
7.480386e+003, 5.166145e+002
7.499917e+003, 5.170941e+002
7.519448e+003, 5.173957e+002
7.538979e+003, 5.172903e+002
7.558510e+003, 5.176427e+002
7.578041e+003, 5.173848e+002
7.597572e+003, 5.169743e+002
7.617103e+003, 5.168689e+002
7.636634e+003, 5.167636e+002
7.656165e+003, 5.162514e+002
7.675696e+003, 5.160952e+002
7.695228e+003, 5.162441e+002
7.714759e+003, 5.167491e+002
7.734290e+003, 5.166947e+002
7.753821e+003, 5.165893e+002
7.773352e+003, 5.163314e+002
7.792883e+003, 5.162260e+002
7.812414e+003, 5.162733e+002
7.831945e+003, 5.161679e+002
7.851476e+003, 5.160117e+002
7.871007e+003, 5.159573e+002
7.890538e+003, 5.158519e+002
7.910069e+003, 5.156448e+002
7.929600e+003, 5.151835e+002
7.949131e+003, 5.147221e+002
7.968662e+003, 5.149728e+002
7.988193e+003, 5.152235e+002
8.007724e+003, 5.152199e+002
8.027255e+003, 5.157757e+002
8.046786e+003, 5.156704e+002
8.066317e+003, 5.156668e+002
8.085848e+003, 5.157903e+002
8.105379e+003, 5.158630e+002
8.124910e+003, 5.157577e+002
8.144441e+003, 5.160083e+002
8.163972e+003, 5.159539e+002
8.183503e+003, 5.158485e+002
8.203034e+003, 5.157940e+002
8.222565e+003, 5.163499e+002
8.242096e+003, 5.163463e+002
8.261628e+003, 5.162918e+002
8.281159e+003, 5.161865e+002
8.300690e+003, 5.160303e+002
8.320221e+003, 5.159758e+002
8.339752e+003, 5.161248e+002
8.359283e+003, 5.165280e+002
8.378814e+003, 5.168296e+002
8.398345e+003, 5.170803e+002
8.417876e+003, 5.166189e+002
8.437407e+003, 5.161575e+002
8.456938e+003, 5.160522e+002
8.476469e+003, 5.159469e+002
8.496000e+003, 5.161976e+002
8.515531e+003, 5.165500e+002
8.535062e+003, 5.164446e+002
8.554593e+003, 5.163393e+002
8.574124e+003, 5.166154e+002
8.593655e+003, 5.163066e+002
8.613186e+003, 5.159724e+002
8.632717e+003, 5.162994e+002
8.652248e+003, 5.168044e+002
8.671779e+003, 5.165210e+002
8.691310e+003, 5.164157e+002
8.710841e+003, 5.163104e+002
8.730372e+003, 5.163830e+002
8.749903e+003, 5.164811e+002
8.769434e+003, 5.166555e+002
8.788965e+003, 5.165502e+002
8.808496e+003, 5.165466e+002
8.828028e+003, 5.163395e+002
8.847559e+003, 5.163359e+002
8.867090e+003, 5.162814e+002
8.886621e+003, 5.163541e+002
8.906152e+003, 5.160707e+002
8.925683e+003, 5.162197e+002
8.945214e+003, 5.162415e+002
8.964745e+003, 5.164159e+002
8.984276e+003, 5.160563e+002
9.003807e+003, 5.162052e+002
9.023338e+003, 5.160999e+002
9.042869e+003, 5.157402e+002
9.062400e+003, 5.152280e+002
9.081931e+003, 5.151227e+002
9.101462e+003, 5.152716e+002
9.120993e+003, 5.150900e+002
9.140524e+003, 5.154678e+002
9.160055e+003, 5.153625e+002
9.179586e+003, 5.149774e+002
9.199117e+003, 5.148466e+002
9.218648e+003, 5.147413e+002
9.238179e+003, 5.146614e+002
9.257710e+003, 5.145560e+002
9.277241e+003, 5.147304e+002
