File name = C1_b.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.512719e+002
1.953103e+001, 6.484355e+002
3.906207e+001, 6.497190e+002
5.859310e+001, 6.496292e+002
7.812414e+001, 6.495395e+002
9.765517e+001, 6.501618e+002
1.171862e+002, 6.500720e+002
1.367172e+002, 6.500331e+002
1.562483e+002, 6.503502e+002
1.757793e+002, 6.506165e+002
1.953103e+002, 6.506284e+002
2.148414e+002, 6.503861e+002
2.343724e+002, 6.502963e+002
2.539034e+002, 6.503082e+002
2.734345e+002, 6.502693e+002
2.929655e+002, 6.501795e+002
3.124965e+002, 6.500389e+002
3.320276e+002, 6.498983e+002
3.515586e+002, 6.498594e+002
3.710897e+002, 6.498205e+002
3.906207e+002, 6.499087e+002
4.101517e+002, 6.504038e+002
4.296828e+002, 6.507210e+002
4.492138e+002, 6.502752e+002
4.687448e+002, 6.501345e+002
4.882759e+002, 6.504516e+002
5.078069e+002, 6.507688e+002
5.273379e+002, 6.507299e+002
5.468690e+002, 6.506401e+002
5.664000e+002, 6.504994e+002
5.859310e+002, 6.504605e+002
6.054621e+002, 6.505488e+002
6.249931e+002, 6.502810e+002
6.445241e+002, 6.501912e+002
6.640552e+002, 6.501014e+002
6.835862e+002, 6.507746e+002
7.031172e+002, 6.509900e+002
7.226483e+002, 6.510020e+002
7.421793e+002, 6.509376e+002
7.617103e+002, 6.511276e+002
7.812414e+002, 6.511904e+002
8.007724e+002, 6.518636e+002
8.203034e+002, 6.518247e+002
8.398345e+002, 6.513025e+002
8.593655e+002, 6.514925e+002
8.788965e+002, 6.514027e+002
8.984276e+002, 6.514147e+002
9.179586e+002, 6.512232e+002
9.374896e+002, 6.506502e+002
9.570207e+002, 6.507385e+002
9.765517e+002, 6.511065e+002
9.960828e+002, 6.510167e+002
1.015614e+003, 6.511812e+002
1.035145e+003, 6.507863e+002
1.054676e+003, 6.506965e+002
1.074207e+003, 6.506067e+002
1.093738e+003, 6.504152e+002
1.113269e+003, 6.503254e+002
1.132800e+003, 6.507443e+002
1.152331e+003, 6.510106e+002
1.171862e+003, 6.509208e+002
1.191393e+003, 6.504750e+002
1.210924e+003, 6.507921e+002
1.230455e+003, 6.514144e+002
1.249986e+003, 6.518333e+002
1.269517e+003, 6.517435e+002
1.289048e+003, 6.516537e+002
1.308579e+003, 6.516148e+002
1.328110e+003, 6.519319e+002
1.347641e+003, 6.518421e+002
1.367172e+003, 6.517524e+002
1.386703e+003, 6.516626e+002
1.406234e+003, 6.515220e+002
1.425766e+003, 6.510253e+002
1.445297e+003, 6.505795e+002
1.464828e+003, 6.508457e+002
1.484359e+003, 6.511629e+002
1.503890e+003, 6.509714e+002
1.523421e+003, 6.509833e+002
1.542952e+003, 6.516056e+002
1.562483e+003, 6.516684e+002
1.582014e+003, 6.519347e+002
1.601545e+003, 6.518449e+002
1.621076e+003, 6.513991e+002
1.640607e+003, 6.512076e+002
1.660138e+003, 6.511178e+002
1.679669e+003, 6.511298e+002
1.699200e+003, 6.517012e+002
1.718731e+003, 6.517132e+002
1.738262e+003, 6.516743e+002
1.757793e+003, 6.522457e+002
1.777324e+003, 6.522577e+002
1.796855e+003, 6.521679e+002
1.816386e+003, 6.520781e+002
1.835917e+003, 6.523952e+002
1.855448e+003, 6.527124e+002
1.874979e+003, 6.526226e+002
1.894510e+003, 6.525837e+002
1.914041e+003, 6.524939e+002
1.933572e+003, 6.524041e+002
1.953103e+003, 6.523143e+002
