File name = C1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.483412e+002
1.953103e+001, 6.455267e+002
3.906207e+001, 6.468067e+002
5.859310e+001, 6.467134e+002
7.812414e+001, 6.469761e+002
9.765517e+001, 6.471880e+002
1.171862e+002, 6.470947e+002
1.367172e+002, 6.470523e+002
1.562483e+002, 6.466030e+002
1.757793e+002, 6.469166e+002
1.953103e+002, 6.467215e+002
2.148414e+002, 6.467300e+002
2.343724e+002, 6.470436e+002
2.539034e+002, 6.469503e+002
2.734345e+002, 6.468570e+002
2.929655e+002, 6.466620e+002
3.124965e+002, 6.469756e+002
3.320276e+002, 6.470349e+002
3.515586e+002, 6.469416e+002
3.710897e+002, 6.467974e+002
3.906207e+002, 6.467041e+002
4.101517e+002, 6.462293e+002
4.296828e+002, 6.465684e+002
4.492138e+002, 6.464751e+002
4.687448e+002, 6.463818e+002
4.882759e+002, 6.461868e+002
5.078069e+002, 6.460935e+002
5.273379e+002, 6.462799e+002
5.468690e+002, 6.466698e+002
5.664000e+002, 6.466274e+002
5.859310e+002, 6.464832e+002
6.054621e+002, 6.463899e+002
6.249931e+002, 6.462966e+002
6.445241e+002, 6.463559e+002
6.640552e+002, 6.466186e+002
6.835862e+002, 6.468305e+002
7.031172e+002, 6.464321e+002
7.226483e+002, 6.463388e+002
7.421793e+002, 6.461437e+002
7.617103e+002, 6.464573e+002
7.812414e+002, 6.463640e+002
8.007724e+002, 6.462707e+002
8.203034e+002, 6.461774e+002
8.398345e+002, 6.461859e+002
8.593655e+002, 6.468555e+002
8.788965e+002, 6.468131e+002
8.984276e+002, 6.466181e+002
9.179586e+002, 6.466265e+002
9.374896e+002, 6.469401e+002
9.570207e+002, 6.472537e+002
9.765517e+002, 6.472113e+002
9.960828e+002, 6.474740e+002
1.015614e+003, 6.477876e+002
1.035145e+003, 6.476943e+002
1.054676e+003, 6.476010e+002
1.074207e+003, 6.475077e+002
1.093738e+003, 6.474653e+002
1.113269e+003, 6.477280e+002
1.132800e+003, 6.480925e+002
1.152331e+003, 6.479992e+002
1.171862e+003, 6.479059e+002
1.191393e+003, 6.481686e+002
1.210924e+003, 6.480753e+002
1.230455e+003, 6.482872e+002
1.249986e+003, 6.481939e+002
1.269517e+003, 6.481515e+002
1.289048e+003, 6.480582e+002
1.308579e+003, 6.479140e+002
1.328110e+003, 6.478716e+002
