File name = C1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.559751e+002
1.953103e+001, 6.531120e+002
3.906207e+001, 6.561997e+002
5.859310e+001, 6.566935e+002
7.812414e+001, 6.566532e+002
9.765517e+001, 6.565111e+002
1.171862e+002, 6.564708e+002
1.367172e+002, 6.567357e+002
1.562483e+002, 6.566445e+002
1.757793e+002, 6.565534e+002
1.953103e+002, 6.564622e+002
2.148414e+002, 6.566762e+002
2.343724e+002, 6.567376e+002
2.539034e+002, 6.566465e+002
2.734345e+002, 6.569114e+002
2.929655e+002, 6.564642e+002
3.124965e+002, 6.563730e+002
3.320276e+002, 6.562818e+002
3.515586e+002, 6.565467e+002
3.710897e+002, 6.567607e+002
3.906207e+002, 6.566695e+002
4.101517e+002, 6.566801e+002
4.296828e+002, 6.566398e+002
4.492138e+002, 6.569047e+002
4.687448e+002, 6.564066e+002
4.882759e+002, 6.563663e+002
5.078069e+002, 6.569872e+002
5.273379e+002, 6.569978e+002
5.468690e+002, 6.575678e+002
5.664000e+002, 6.574767e+002
5.859310e+002, 6.567243e+002
6.054621e+002, 6.566331e+002
6.249931e+002, 6.565420e+002
6.445241e+002, 6.571629e+002
6.640552e+002, 6.575295e+002
6.835862e+002, 6.578452e+002
7.031172e+002, 6.573471e+002
7.226483e+002, 6.567982e+002
7.421793e+002, 6.568088e+002
7.617103e+002, 6.570736e+002
7.812414e+002, 6.569825e+002
8.007724e+002, 6.568913e+002
8.203034e+002, 6.571053e+002
8.398345e+002, 6.570142e+002
8.593655e+002, 6.565161e+002
8.788965e+002, 6.568318e+002
8.984276e+002, 6.568933e+002
9.179586e+002, 6.574633e+002
9.374896e+002, 6.567109e+002
9.570207e+002, 6.566198e+002
9.765517e+002, 6.565286e+002
9.960828e+002, 6.572512e+002
1.015614e+003, 6.571601e+002
1.035145e+003, 6.574250e+002
1.054676e+003, 6.576390e+002
1.074207e+003, 6.575987e+002
1.093738e+003, 6.567954e+002
1.113269e+003, 6.566025e+002
1.132800e+003, 6.565622e+002
1.152331e+003, 6.571831e+002
1.171862e+003, 6.572446e+002
1.191393e+003, 6.570008e+002
1.210924e+003, 6.569096e+002
1.230455e+003, 6.565133e+002
1.249986e+003, 6.560661e+002
1.269517e+003, 6.566362e+002
1.289048e+003, 6.575114e+002
1.308579e+003, 6.582340e+002
1.328110e+003, 6.581429e+002
1.347641e+003, 6.580008e+002
1.367172e+003, 6.583166e+002
1.386703e+003, 6.586832e+002
1.406234e+003, 6.592532e+002
1.425766e+003, 6.592638e+002
1.445297e+003, 6.592235e+002
1.464828e+003, 6.590814e+002
1.484359e+003, 6.590411e+002
1.503890e+003, 6.589500e+002
1.523421e+003, 6.592149e+002
1.542952e+003, 6.594289e+002
1.562483e+003, 6.590325e+002
1.582014e+003, 6.592465e+002
1.601545e+003, 6.592062e+002
1.621076e+003, 6.591659e+002
1.640607e+003, 6.591256e+002
1.660138e+003, 6.590345e+002
1.679669e+003, 6.592993e+002
1.699200e+003, 6.588013e+002
1.718731e+003, 6.587101e+002
1.738262e+003, 6.593310e+002
1.757793e+003, 6.593416e+002
1.777324e+003, 6.591996e+002
1.796855e+003, 6.591593e+002
1.816386e+003, 6.590681e+002
1.835917e+003, 6.588752e+002
1.855448e+003, 6.584789e+002
1.874979e+003, 6.587946e+002
1.894510e+003, 6.587034e+002
1.914041e+003, 6.585105e+002
1.933572e+003, 6.585720e+002
1.953103e+003, 6.584808e+002
1.972634e+003, 6.583388e+002
1.992166e+003, 6.582476e+002
2.011697e+003, 6.582073e+002
2.031228e+003, 6.581161e+002
2.050759e+003, 6.579233e+002
2.070290e+003, 6.579338e+002
2.089821e+003, 6.578426e+002
2.109352e+003, 6.577515e+002
2.128883e+003, 6.583215e+002
2.148414e+003, 6.583321e+002
2.167945e+003, 6.582409e+002
2.187476e+003, 6.581498e+002
2.207007e+003, 6.581095e+002
2.226538e+003, 6.583743e+002
2.246069e+003, 6.587409e+002
2.265600e+003, 6.594127e+002
2.285131e+003, 6.597284e+002
2.304662e+003, 6.596373e+002
2.324193e+003, 6.591901e+002
2.343724e+003, 6.590989e+002
2.363255e+003, 6.593638e+002
2.382786e+003, 6.596287e+002
2.402317e+003, 6.594866e+002
2.421848e+003, 6.590903e+002
2.441379e+003, 6.589991e+002
2.460910e+003, 6.592640e+002
2.480441e+003, 6.588168e+002
2.499972e+003, 6.590308e+002
2.519503e+003, 6.590414e+002
2.539034e+003, 6.590011e+002
2.558565e+003, 6.589099e+002
2.578097e+003, 6.588187e+002
2.597628e+003, 6.587276e+002
2.617159e+003, 6.586364e+002
2.636690e+003, 6.585453e+002
2.656221e+003, 6.591153e+002
2.675752e+003, 6.591767e+002
2.695283e+003, 6.590347e+002
2.714814e+003, 6.589435e+002
2.734345e+003, 6.592593e+002
2.753876e+003, 6.596259e+002
2.773407e+003, 6.601959e+002
2.792938e+003, 6.601048e+002
2.812469e+003, 6.600645e+002
2.832000e+003, 6.600750e+002
2.851531e+003, 6.599839e+002
2.871062e+003, 6.602487e+002
2.890593e+003, 6.605645e+002
2.910124e+003, 6.605242e+002
2.929655e+003, 6.603821e+002
2.949186e+003, 6.602910e+002
2.968717e+003, 6.602507e+002
2.988248e+003, 6.608716e+002
3.007779e+003, 6.612382e+002
3.027310e+003, 6.614522e+002
3.046841e+003, 6.606489e+002
3.066372e+003, 6.604561e+002
3.085903e+003, 6.605175e+002
3.105434e+003, 6.607824e+002
3.124965e+003, 6.609964e+002
3.144497e+003, 6.610069e+002
3.164028e+003, 6.609666e+002
3.183559e+003, 6.608755e+002
3.203090e+003, 6.607843e+002
3.222621e+003, 6.602354e+002
3.242152e+003, 6.597882e+002
3.261683e+003, 6.600530e+002
3.281214e+003, 6.603688e+002
3.300745e+003, 6.603285e+002
3.320276e+003, 6.602373e+002
3.339807e+003, 6.600444e+002
3.359338e+003, 6.599024e+002
3.378869e+003, 6.599638e+002
3.398400e+003, 6.605847e+002
3.417931e+003, 6.605444e+002
3.437462e+003, 6.604533e+002
3.456993e+003, 6.604130e+002
3.476524e+003, 6.602709e+002
3.496055e+003, 6.602306e+002
3.515586e+003, 6.601395e+002
3.535117e+003, 6.604043e+002
3.554648e+003, 6.599571e+002
3.574179e+003, 6.602220e+002
3.593710e+003, 6.600291e+002
3.613241e+003, 6.600397e+002
