File name = D1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.070381e+002
1.953103e+001, 2.056419e+002
3.906207e+001, 2.068142e+002
5.859310e+001, 2.072236e+002
7.812414e+001, 2.072007e+002
9.765517e+001, 2.072287e+002
1.171862e+002, 2.076890e+002
1.367172e+002, 2.079458e+002
1.562483e+002, 2.073888e+002
1.757793e+002, 2.059163e+002
1.953103e+002, 2.052068e+002
2.148414e+002, 2.056671e+002
2.343724e+002, 2.064071e+002
2.539034e+002, 2.065113e+002
2.734345e+002, 2.062341e+002
2.929655e+002, 2.058297e+002
3.124965e+002, 2.054508e+002
3.320276e+002, 2.051990e+002
3.515586e+002, 2.047946e+002
3.710897e+002, 2.041359e+002
3.906207e+002, 2.038333e+002
4.101517e+002, 2.036578e+002
4.296828e+002, 2.037366e+002
4.492138e+002, 2.036374e+002
4.687448e+002, 2.038179e+002
4.882759e+002, 2.037950e+002
5.078069e+002, 2.039755e+002
5.273379e+002, 2.043595e+002
5.468690e+002, 2.044129e+002
5.664000e+002, 2.044409e+002
5.859310e+002, 2.044688e+002
6.054621e+002, 2.047002e+002
6.249931e+002, 2.054402e+002
6.445241e+002, 2.059005e+002
6.640552e+002, 2.054707e+002
6.835862e+002, 2.046849e+002
7.031172e+002, 2.045857e+002
7.226483e+002, 2.047408e+002
7.421793e+002, 2.049467e+002
7.617103e+002, 2.048730e+002
7.812414e+002, 2.043669e+002
8.007724e+002, 2.047509e+002
8.203034e+002, 2.051603e+002
8.398345e+002, 2.053917e+002
8.593655e+002, 2.058265e+002
8.788965e+002, 2.065666e+002
8.984276e+002, 2.076626e+002
9.179586e+002, 2.076397e+002
9.374896e+002, 2.064215e+002
9.570207e+002, 2.060680e+002
9.765517e+002, 2.061977e+002
9.960828e+002, 2.056662e+002
1.015614e+003, 2.046260e+002
1.035145e+003, 2.043488e+002
1.054676e+003, 2.040715e+002
1.074207e+003, 2.037689e+002
1.093738e+003, 2.038477e+002
1.113269e+003, 2.039011e+002
1.132800e+003, 2.038782e+002
1.152331e+003, 2.044402e+002
1.171862e+003, 2.046970e+002
1.191393e+003, 2.043944e+002
1.210924e+003, 2.045749e+002
1.230455e+003, 2.053149e+002
1.249986e+003, 2.056226e+002
1.269517e+003, 2.052437e+002
1.289048e+003, 2.047630e+002
1.308579e+003, 2.049690e+002
1.328110e+003, 2.058870e+002
1.347641e+003, 2.062202e+002
1.367172e+003, 2.056123e+002
1.386703e+003, 2.051316e+002
1.406234e+003, 2.045747e+002
1.425766e+003, 2.043229e+002
1.445297e+003, 2.043254e+002
1.464828e+003, 2.041245e+002
1.484359e+003, 2.041016e+002
1.503890e+003, 2.043330e+002
1.523421e+003, 2.043355e+002
1.542952e+003, 2.040583e+002
1.562483e+003, 2.036539e+002
1.582014e+003, 2.039107e+002
1.601545e+003, 2.039641e+002
1.621076e+003, 2.039666e+002
1.640607e+003, 2.037657e+002
1.660138e+003, 2.032596e+002
1.679669e+003, 2.032621e+002
1.699200e+003, 2.033409e+002
1.718731e+003, 2.035215e+002
1.738262e+003, 2.038037e+002
1.757793e+003, 2.037045e+002
1.777324e+003, 2.033256e+002
1.796855e+003, 2.032264e+002
1.816386e+003, 2.034069e+002
1.835917e+003, 2.035111e+002
1.855448e+003, 2.033357e+002
1.874979e+003, 2.028804e+002
1.894510e+003, 2.029592e+002
1.914041e+003, 2.029872e+002
1.933572e+003, 2.028880e+002
1.953103e+003, 2.028905e+002
1.972634e+003, 2.031473e+002
1.992166e+003, 2.035822e+002
2.011697e+003, 2.042205e+002
2.031228e+003, 2.044773e+002
2.050759e+003, 2.045816e+002
2.070290e+003, 2.045078e+002
2.089821e+003, 2.044340e+002
2.109352e+003, 2.041568e+002
2.128883e+003, 2.042865e+002
2.148414e+003, 2.046196e+002
2.167945e+003, 2.041389e+002
2.187476e+003, 2.038363e+002
2.207007e+003, 2.039405e+002
2.226538e+003, 2.042228e+002
2.246069e+003, 2.043779e+002
2.265600e+003, 2.043804e+002
2.285131e+003, 2.042812e+002
2.304662e+003, 2.041566e+002
2.324193e+003, 2.042099e+002
2.343724e+003, 2.040090e+002
2.363255e+003, 2.037318e+002
2.382786e+003, 2.039886e+002
2.402317e+003, 2.041183e+002
2.421848e+003, 2.042225e+002
2.441379e+003, 2.040470e+002
2.460910e+003, 2.040496e+002
2.480441e+003, 2.038995e+002
2.499972e+003, 2.037240e+002
2.519503e+003, 2.039808e+002
2.539034e+003, 2.041359e+002
2.558565e+003, 2.040876e+002
2.578097e+003, 2.042936e+002
2.597628e+003, 2.042707e+002
2.617159e+003, 2.046038e+002
2.636690e+003, 2.050386e+002
2.656221e+003, 2.048631e+002
2.675752e+003, 2.047385e+002
2.695283e+003, 2.049953e+002
2.714814e+003, 2.054811e+002
2.734345e+003, 2.056616e+002
2.753876e+003, 2.051809e+002
2.773407e+003, 2.048783e+002
2.792938e+003, 2.048808e+002
2.812469e+003, 2.049596e+002
2.832000e+003, 2.048858e+002
2.851531e+003, 2.046595e+002
2.871062e+003, 2.042805e+002
2.890593e+003, 2.041559e+002
2.910124e+003, 2.041838e+002
2.929655e+003, 2.043135e+002
