File name = D1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.145533e+002
1.953103e+001, 2.131307e+002
3.906207e+001, 2.161332e+002
5.859310e+001, 2.164145e+002
7.812414e+001, 2.167975e+002
9.765517e+001, 2.165956e+002
1.171862e+002, 2.156562e+002
1.367172e+002, 2.150474e+002
1.562483e+002, 2.149473e+002
1.757793e+002, 2.150251e+002
1.953103e+002, 2.153573e+002
2.148414e+002, 2.159692e+002
2.343724e+002, 2.158690e+002
2.539034e+002, 2.162012e+002
2.734345e+002, 2.181610e+002
2.929655e+002, 2.199173e+002
3.124965e+002, 2.204021e+002
3.320276e+002, 2.200730e+002
3.515586e+002, 2.190065e+002
3.710897e+002, 2.182451e+002
3.906207e+002, 2.193402e+002
4.101517e+002, 2.210457e+002
4.296828e+002, 2.216322e+002
4.492138e+002, 2.213540e+002
4.687448e+002, 2.200077e+002
4.882759e+002, 2.177204e+002
5.078069e+002, 2.152297e+002
5.273379e+002, 2.135782e+002
5.468690e+002, 2.126388e+002
5.664000e+002, 2.119538e+002
5.859310e+002, 2.113704e+002
6.054621e+002, 2.109905e+002
6.249931e+002, 2.110684e+002
6.445241e+002, 2.113242e+002
6.640552e+002, 2.116564e+002
6.835862e+002, 2.121157e+002
7.031172e+002, 2.118884e+002
7.226483e+002, 2.115594e+002
7.421793e+002, 2.117390e+002
7.617103e+002, 2.120203e+002
7.812414e+002, 2.122507e+002
8.007724e+002, 2.123286e+002
8.203034e+002, 2.122793e+002
8.398345e+002, 2.120265e+002
8.593655e+002, 2.118755e+002
8.788965e+002, 2.120296e+002
8.984276e+002, 2.119803e+002
9.179586e+002, 2.119056e+002
9.374896e+002, 2.116529e+002
9.570207e+002, 2.116544e+002
9.765517e+002, 2.119612e+002
9.960828e+002, 2.122425e+002
1.015614e+003, 2.123458e+002
1.035145e+003, 2.122456e+002
1.054676e+003, 2.117894e+002
1.074207e+003, 2.114095e+002
1.093738e+003, 2.115128e+002
1.113269e+003, 2.114381e+002
1.132800e+003, 2.114142e+002
1.152331e+003, 2.119498e+002
1.171862e+003, 2.121294e+002
