File name = D1_e.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 1.773399e+002
1.953103e+001, 1.760552e+002
3.906207e+001, 1.775171e+002
5.859310e+001, 1.778092e+002
7.812414e+001, 1.771857e+002
9.765517e+001, 1.764097e+002
1.171862e+002, 1.763203e+002
1.367172e+002, 1.767904e+002
1.562483e+002, 1.773367e+002
1.757793e+002, 1.774253e+002
1.953103e+002, 1.772088e+002
2.148414e+002, 1.772465e+002
2.343724e+002, 1.770554e+002
2.539034e+002, 1.766100e+002
2.734345e+002, 1.764951e+002
2.929655e+002, 1.763040e+002
3.124965e+002, 1.761128e+002
3.320276e+002, 1.759217e+002
3.515586e+002, 1.762138e+002
3.710897e+002, 1.763532e+002
3.906207e+002, 1.763147e+002
4.101517e+002, 1.761999e+002
4.296828e+002, 1.763648e+002
4.492138e+002, 1.768857e+002
4.687448e+002, 1.771778e+002
4.882759e+002, 1.768341e+002
5.078069e+002, 1.765158e+002
5.273379e+002, 1.765026e+002
5.468690e+002, 1.761844e+002
5.664000e+002, 1.758661e+002
5.859310e+002, 1.758275e+002
6.054621e+002, 1.757890e+002
6.249931e+002, 1.758267e+002
6.445241e+002, 1.760425e+002
6.640552e+002, 1.763346e+002
6.835862e+002, 1.764486e+002
7.031172e+002, 1.765118e+002
7.226483e+002, 1.767784e+002
7.421793e+002, 1.769687e+002
7.617103e+002, 1.771845e+002
7.812414e+002, 1.780106e+002
8.007724e+002, 1.790911e+002
8.203034e+002, 1.794594e+002
8.398345e+002, 1.792683e+002
8.593655e+002, 1.793315e+002
8.788965e+002, 1.799033e+002
8.984276e+002, 1.805259e+002
9.179586e+002, 1.805891e+002
9.374896e+002, 1.800928e+002
9.570207e+002, 1.809444e+002
9.765517e+002, 1.821011e+002
9.960828e+002, 1.826729e+002
1.015614e+003, 1.848723e+002
1.035145e+003, 1.904287e+002
1.054676e+003, 1.974855e+002
1.074207e+003, 2.013888e+002
1.093738e+003, 2.029778e+002
1.113269e+003, 2.034988e+002
1.132800e+003, 2.037400e+002
1.152331e+003, 2.047441e+002
1.171862e+003, 2.057737e+002
1.191393e+003, 2.062438e+002
1.210924e+003, 2.061035e+002
1.230455e+003, 2.051494e+002
1.249986e+003, 2.040173e+002
1.269517e+003, 2.027835e+002
1.289048e+003, 2.001764e+002
1.308579e+003, 1.961706e+002
1.328110e+003, 1.930803e+002
1.347641e+003, 1.915921e+002
1.367172e+003, 1.890867e+002
1.386703e+003, 1.841654e+002
1.406234e+003, 1.791169e+002
1.425766e+003, 1.758231e+002
1.445297e+003, 1.748690e+002
1.464828e+003, 1.751102e+002
1.484359e+003, 1.751734e+002
1.503890e+003, 1.749314e+002
1.523421e+003, 1.745114e+002
1.542952e+003, 1.743711e+002
1.562483e+003, 1.741291e+002
1.582014e+003, 1.743195e+002
1.601545e+003, 1.746878e+002
1.621076e+003, 1.749290e+002
1.640607e+003, 1.747379e+002
1.660138e+003, 1.747756e+002
1.679669e+003, 1.746608e+002
1.699200e+003, 1.749783e+002
1.718731e+003, 1.750415e+002
1.738262e+003, 1.748249e+002
1.757793e+003, 1.748372e+002
1.777324e+003, 1.746207e+002
1.796855e+003, 1.745821e+002
1.816386e+003, 1.748487e+002
1.835917e+003, 1.747593e+002
1.855448e+003, 1.744156e+002
1.874979e+003, 1.744788e+002
1.894510e+003, 1.745928e+002
1.914041e+003, 1.747069e+002
1.933572e+003, 1.747192e+002
1.953103e+003, 1.746807e+002
1.972634e+003, 1.745404e+002
1.992166e+003, 1.745018e+002
2.011697e+003, 1.745142e+002
2.031228e+003, 1.741196e+002
2.050759e+003, 1.739793e+002
2.070290e+003, 1.737627e+002
2.089821e+003, 1.740039e+002
2.109352e+003, 1.741434e+002
2.128883e+003, 1.744100e+002
2.148414e+003, 1.740663e+002
2.167945e+003, 1.739515e+002
2.187476e+003, 1.739638e+002
2.207007e+003, 1.737218e+002
2.226538e+003, 1.736833e+002
2.246069e+003, 1.739245e+002
2.265600e+003, 1.740385e+002
2.285131e+003, 1.741525e+002
2.304662e+003, 1.740886e+002
2.324193e+003, 1.737703e+002
2.343724e+003, 1.738335e+002
2.363255e+003, 1.737695e+002
2.382786e+003, 1.739089e+002
2.402317e+003, 1.740230e+002
2.421848e+003, 1.738827e+002
2.441379e+003, 1.734118e+002
2.460910e+003, 1.735259e+002
2.480441e+003, 1.739705e+002
2.499972e+003, 1.740846e+002
2.519503e+003, 1.740206e+002
2.539034e+003, 1.738040e+002
2.558565e+003, 1.739435e+002
2.578097e+003, 1.741338e+002
2.597628e+003, 1.741462e+002
2.617159e+003, 1.738279e+002
2.636690e+003, 1.732553e+002
2.656221e+003, 1.732167e+002
2.675752e+003, 1.732545e+002
2.695283e+003, 1.732159e+002
2.714814e+003, 1.731774e+002
2.734345e+003, 1.733169e+002
2.753876e+003, 1.730494e+002
2.773407e+003, 1.727057e+002
2.792938e+003, 1.725146e+002
2.812469e+003, 1.727303e+002
2.832000e+003, 1.728952e+002
2.851531e+003, 1.729584e+002
2.871062e+003, 1.728690e+002
2.890593e+003, 1.724999e+002
2.910124e+003, 1.726393e+002
2.929655e+003, 1.727788e+002
2.949186e+003, 1.725114e+002
2.968717e+003, 1.722185e+002
2.988248e+003, 1.724089e+002
3.007779e+003, 1.724975e+002
3.027310e+003, 1.725607e+002
3.046841e+003, 1.726493e+002
3.066372e+003, 1.724073e+002
3.085903e+003, 1.721144e+002
3.105434e+003, 1.721522e+002
3.124965e+003, 1.723171e+002
3.144497e+003, 1.724565e+002
3.164028e+003, 1.726469e+002
3.183559e+003, 1.723032e+002
3.203090e+003, 1.721883e+002
3.222621e+003, 1.720735e+002
3.242152e+003, 1.719841e+002
3.261683e+003, 1.723016e+002
3.281214e+003, 1.726191e+002
3.300745e+003, 1.727585e+002
3.320276e+003, 1.727963e+002
3.339807e+003, 1.726560e+002
3.359338e+003, 1.724140e+002
3.378869e+003, 1.723246e+002
3.398400e+003, 1.722352e+002
3.417931e+003, 1.719932e+002
3.437462e+003, 1.718021e+002
3.456993e+003, 1.715601e+002
3.476524e+003, 1.711146e+002
3.496055e+003, 1.710252e+002
3.515586e+003, 1.715970e+002
3.535117e+003, 1.719145e+002
3.554648e+003, 1.721303e+002
3.574179e+003, 1.720917e+002
3.593710e+003, 1.717226e+002
3.613241e+003, 1.716332e+002
3.632772e+003, 1.718235e+002
3.652303e+003, 1.720393e+002
3.671834e+003, 1.721025e+002
3.691365e+003, 1.717587e+002
3.710897e+003, 1.714913e+002
3.730428e+003, 1.717834e+002
3.749959e+003, 1.721009e+002
3.769490e+003, 1.720115e+002
3.789021e+003, 1.719983e+002
