File name = A1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.870452e+002
1.953103e+001, 3.837774e+002
3.906207e+001, 3.862571e+002
5.859310e+001, 3.857360e+002
7.812414e+001, 3.848842e+002
9.765517e+001, 3.844393e+002
1.171862e+002, 3.845793e+002
1.367172e+002, 3.845922e+002
1.562483e+002, 3.845034e+002
1.757793e+002, 3.846434e+002
1.953103e+002, 3.853429e+002
2.148414e+002, 3.866019e+002
2.343724e+002, 3.882678e+002
2.539034e+002, 3.901881e+002
2.734345e+002, 3.921592e+002
2.929655e+002, 3.936725e+002
3.124965e+002, 3.948298e+002
3.320276e+002, 3.957836e+002
3.515586e+002, 3.977038e+002
3.710897e+002, 4.000310e+002
3.906207e+002, 4.028922e+002
4.101517e+002, 4.060585e+002
4.296828e+002, 4.089960e+002
4.492138e+002, 4.114249e+002
4.687448e+002, 4.132942e+002
4.882759e+002, 4.153162e+002
5.078069e+002, 4.183554e+002
5.273379e+002, 4.222338e+002
5.468690e+002, 4.259088e+002
5.664000e+002, 4.286937e+002
5.859310e+002, 4.310717e+002
6.054621e+002, 4.333988e+002
6.249931e+002, 4.361328e+002
6.445241e+002, 4.399350e+002
6.640552e+002, 4.439915e+002
6.835862e+002, 4.471324e+002
7.031172e+002, 4.491289e+002
7.226483e+002, 4.509220e+002
7.421793e+002, 4.525625e+002
7.617103e+002, 4.555254e+002
7.812414e+002, 4.584374e+002
8.007724e+002, 4.615275e+002
8.203034e+002, 4.628374e+002
8.398345e+002, 4.633589e+002
8.593655e+002, 4.647705e+002
8.788965e+002, 4.671993e+002
8.984276e+002, 4.701877e+002
9.179586e+002, 4.722096e+002
9.374896e+002, 4.737992e+002
9.570207e+002, 4.748802e+002
9.765517e+002, 4.763427e+002
9.960828e+002, 4.782629e+002
1.015614e+003, 4.802340e+002
1.035145e+003, 4.829172e+002
1.054676e+003, 4.860836e+002
1.074207e+003, 4.890973e+002
1.093738e+003, 4.913990e+002
1.113269e+003, 4.934973e+002
1.132800e+003, 4.957227e+002
1.152331e+003, 4.989653e+002
1.171862e+003, 5.035813e+002
1.191393e+003, 5.075360e+002
1.210924e+003, 5.111856e+002
1.230455e+003, 5.151403e+002
1.249986e+003, 5.195528e+002
1.269517e+003, 5.241688e+002
1.289048e+003, 5.278946e+002
1.308579e+003, 5.313662e+002
1.328110e+003, 5.349140e+002
1.347641e+003, 5.385127e+002
1.367172e+003, 5.432812e+002
1.386703e+003, 5.488127e+002
1.406234e+003, 5.539881e+002
1.425766e+003, 5.575868e+002
1.445297e+003, 5.602700e+002
1.464828e+003, 5.629023e+002
1.484359e+003, 5.660432e+002
1.503890e+003, 5.700488e+002
1.523421e+003, 5.740544e+002
1.542952e+003, 5.771954e+002
1.562483e+003, 5.791156e+002
1.582014e+003, 5.806543e+002
1.601545e+003, 5.821422e+002
1.621076e+003, 5.836556e+002
1.640607e+003, 5.854741e+002
1.660138e+003, 5.869874e+002
1.679669e+003, 5.876869e+002
1.699200e+003, 5.872675e+002
1.718731e+003, 5.867971e+002
1.738262e+003, 5.865303e+002
1.757793e+003, 5.860091e+002
1.777324e+003, 5.854879e+002
1.796855e+003, 5.843055e+002
1.816386e+003, 5.829705e+002
1.835917e+003, 5.812287e+002
1.855448e+003, 5.794359e+002
1.874979e+003, 5.784061e+002
1.894510e+003, 5.768422e+002
1.914041e+003, 5.742611e+002
1.933572e+003, 5.712477e+002
1.953103e+003, 5.675221e+002
1.972634e+003, 5.648139e+002
1.992166e+003, 5.624108e+002
2.011697e+003, 5.597025e+002
2.031228e+003, 5.548580e+002
2.050759e+003, 5.489454e+002
2.070290e+003, 5.435922e+002
2.089821e+003, 5.390783e+002
2.109352e+003, 5.348187e+002
2.128883e+003, 5.298725e+002
2.148414e+003, 5.244685e+002
2.167945e+003, 5.186322e+002
2.187476e+003, 5.132028e+002
2.207007e+003, 5.089177e+002
2.226538e+003, 5.048870e+002
2.246069e+003, 5.008818e+002
2.265600e+003, 4.957067e+002
2.285131e+003, 4.900738e+002
2.304662e+003, 4.852547e+002
2.324193e+003, 4.813766e+002
2.343724e+003, 4.777019e+002
2.363255e+003, 4.749682e+002
2.382786e+003, 4.723871e+002
2.402317e+003, 4.692719e+002
2.421848e+003, 4.650378e+002
2.441379e+003, 4.606764e+002
2.460910e+003, 4.573578e+002
2.480441e+003, 4.552345e+002
2.499972e+003, 4.535943e+002
2.519503e+003, 4.522593e+002
2.539034e+003, 4.505174e+002
2.558565e+003, 4.479872e+002
2.578097e+003, 4.449992e+002
2.597628e+003, 4.426724e+002
2.617159e+003, 4.411085e+002
2.636690e+003, 4.398244e+002
2.656221e+003, 4.380825e+002
2.675752e+003, 4.358320e+002
2.695283e+003, 4.333780e+002
2.714814e+003, 4.312292e+002
2.734345e+003, 4.290550e+002
2.753876e+003, 4.271097e+002
2.773407e+003, 4.253424e+002
2.792938e+003, 4.232953e+002
2.812469e+003, 4.212482e+002
2.832000e+003, 4.191758e+002
2.851531e+003, 4.172559e+002
2.871062e+003, 4.150308e+002
2.890593e+003, 4.127294e+002
2.910124e+003, 4.101737e+002
2.929655e+003, 4.078469e+002
2.949186e+003, 4.061050e+002
2.968717e+003, 4.044649e+002
2.988248e+003, 4.034351e+002
3.007779e+003, 4.014134e+002
3.027310e+003, 3.988323e+002
3.046841e+003, 3.958189e+002
3.066372e+003, 3.935429e+002
3.085903e+003, 3.923351e+002
3.105434e+003, 3.911273e+002
3.124965e+003, 3.899703e+002
3.144497e+003, 3.895000e+002
3.164028e+003, 3.885719e+002
3.183559e+003, 3.876438e+002
3.203090e+003, 3.862071e+002
3.222621e+003, 3.851264e+002
3.242152e+003, 3.850122e+002
3.261683e+003, 3.853302e+002
3.281214e+003, 3.857754e+002
3.300745e+003, 3.856611e+002
3.320276e+003, 3.855214e+002
3.339807e+003, 3.860175e+002
3.359338e+003, 3.869205e+002
3.378869e+003, 3.878998e+002
3.398400e+003, 3.893368e+002
3.417931e+003, 3.909010e+002
3.437462e+003, 3.920074e+002
3.456993e+003, 3.928595e+002
3.476524e+003, 3.937116e+002
3.496055e+003, 3.958862e+002
3.515586e+003, 3.990525e+002
3.535117e+003, 4.027275e+002
3.554648e+003, 4.063262e+002
3.574179e+003, 4.089585e+002
3.593710e+003, 4.106244e+002
3.613241e+003, 4.117309e+002
3.632772e+003, 4.140580e+002
3.652303e+003, 4.177584e+002
3.671834e+003, 4.219929e+002
3.691365e+003, 4.263291e+002
3.710897e+003, 4.294192e+002
3.730428e+003, 4.317972e+002
3.749959e+003, 4.343023e+002
3.769490e+003, 4.367057e+002
3.789021e+003, 4.395923e+002
3.808552e+003, 4.431402e+002
3.828083e+003, 4.462811e+002
3.847614e+003, 4.489134e+002
3.867145e+003, 4.504267e+002
3.886676e+003, 4.520418e+002
3.906207e+003, 4.542163e+002
3.925738e+003, 4.573573e+002
3.945269e+003, 4.598370e+002
3.964800e+003, 4.621895e+002
3.984331e+003, 4.643387e+002
4.003862e+003, 4.651908e+002
4.023393e+003, 4.658903e+002
4.042924e+003, 4.675816e+002
4.062455e+003, 4.697307e+002
4.081986e+003, 4.727700e+002
4.101517e+003, 4.751988e+002
4.121048e+003, 4.766613e+002
4.140579e+003, 4.778186e+002
4.160110e+003, 4.789250e+002
4.179641e+003, 4.803874e+002
4.199172e+003, 4.823585e+002
4.218703e+003, 4.858046e+002
4.238234e+003, 4.897085e+002
4.257765e+003, 4.925951e+002
4.277297e+003, 4.947697e+002
4.296828e+003, 4.962067e+002
4.316359e+003, 4.983558e+002
4.335890e+003, 5.023106e+002
4.355421e+003, 5.077403e+002
4.374952e+003, 5.126614e+002
4.394483e+003, 5.166162e+002
4.414014e+003, 5.196045e+002
4.433545e+003, 5.224657e+002
4.453076e+003, 5.260390e+002
4.472607e+003, 5.302226e+002
4.492138e+003, 5.346096e+002
4.511669e+003, 5.388950e+002
4.531200e+003, 5.441467e+002
4.550731e+003, 5.489153e+002
4.570262e+003, 5.517510e+002
4.589793e+003, 5.540781e+002
4.609324e+003, 5.575242e+002
4.628855e+003, 5.611738e+002
4.648386e+003, 5.654337e+002
4.667917e+003, 5.695410e+002
4.687448e+003, 5.730380e+002
4.706979e+003, 5.756703e+002
4.726510e+003, 5.772345e+002
4.746041e+003, 5.786970e+002
4.765572e+003, 5.802103e+002
4.785103e+003, 5.825883e+002
4.804634e+003, 5.849663e+002
4.824165e+003, 5.864796e+002
4.843697e+003, 5.863653e+002
4.863228e+003, 5.862002e+002
4.882759e+003, 5.861876e+002
4.902290e+003, 5.868363e+002
4.921821e+003, 5.867729e+002
4.941352e+003, 5.865060e+002
4.960883e+003, 5.852727e+002
4.980414e+003, 5.841666e+002
4.999945e+003, 5.830097e+002
5.019476e+003, 5.816747e+002
5.039007e+003, 5.803906e+002
5.058538e+003, 5.784961e+002
5.078069e+003, 5.751775e+002
5.097600e+003, 5.710959e+002
5.117131e+003, 5.683876e+002
5.136662e+003, 5.659845e+002
5.156193e+003, 5.634289e+002
5.175724e+003, 5.600594e+002
5.195255e+003, 5.552403e+002
5.214786e+003, 5.502686e+002
5.234317e+003, 5.458819e+002
5.253848e+003, 5.420546e+002
5.273379e+003, 5.373627e+002
5.292910e+003, 5.312721e+002
5.312441e+003, 5.258426e+002
5.331972e+003, 5.215576e+002
5.351503e+003, 5.173743e+002
5.371034e+003, 5.125298e+002
5.390565e+003, 5.071258e+002
5.410097e+003, 5.017218e+002
5.429628e+003, 4.965721e+002
5.449159e+003, 4.909138e+002
5.468690e+003, 4.862728e+002
5.488221e+003, 4.829033e+002
5.507752e+003, 4.807545e+002
5.527283e+003, 4.773850e+002
5.546814e+003, 4.727948e+002
5.566345e+003, 4.684081e+002
5.585876e+003, 4.652420e+002
5.605407e+003, 4.626864e+002
5.624938e+003, 4.604358e+002
5.644469e+003, 4.583888e+002
5.664000e+003, 4.561891e+002
5.683531e+003, 4.533028e+002
5.703062e+003, 4.503657e+002
5.722593e+003, 4.481660e+002
5.742124e+003, 4.468311e+002
5.761655e+003, 4.450892e+002
5.781186e+003, 4.425843e+002
5.800717e+003, 4.402067e+002
5.820248e+003, 4.386428e+002
5.839779e+003, 4.369518e+002
5.859310e+003, 4.351590e+002
5.878841e+003, 4.323999e+002
5.898372e+003, 4.295899e+002
5.917903e+003, 4.274920e+002
5.937434e+003, 4.262079e+002
5.956965e+003, 4.252798e+002
5.976497e+003, 4.235379e+002
5.996028e+003, 4.213383e+002
6.015559e+003, 4.184265e+002
6.035090e+003, 4.154639e+002
6.054621e+003, 4.132134e+002
6.074152e+003, 4.114715e+002
6.093683e+003, 4.098314e+002
6.113214e+003, 4.080386e+002
6.132745e+003, 4.056864e+002
6.152276e+003, 4.028255e+002
6.171807e+003, 4.000155e+002
6.191338e+003, 3.981211e+002
6.210869e+003, 3.971930e+002
6.230400e+003, 3.963666e+002
6.249931e+003, 3.949299e+002
6.269462e+003, 3.927557e+002
6.288993e+003, 3.906832e+002
6.308524e+003, 3.890685e+002
6.328055e+003, 3.875555e+002
6.347586e+003, 3.865257e+002
6.367117e+003, 3.861062e+002
6.386648e+003, 3.865006e+002
6.406179e+003, 3.859794e+002
6.425710e+003, 3.852802e+002
6.445241e+003, 3.848862e+002
6.464772e+003, 3.850262e+002
6.484303e+003, 3.854714e+002
6.503834e+003, 3.858149e+002
6.523365e+003, 3.863364e+002
6.542896e+003, 3.872648e+002
6.562428e+003, 3.891850e+002
6.581959e+003, 3.912578e+002
6.601490e+003, 3.926440e+002
6.621021e+003, 3.940810e+002
6.640552e+003, 3.952383e+002
6.660083e+003, 3.967008e+002
6.679614e+003, 3.990788e+002
6.699145e+003, 4.025758e+002
6.718676e+003, 4.068357e+002
6.738207e+003, 4.099766e+002
6.757738e+003, 4.116425e+002
6.777269e+003, 4.139188e+002
6.796800e+003, 4.164748e+002
6.816331e+003, 4.194377e+002
6.835862e+003, 4.227312e+002
6.855393e+003, 4.264825e+002
6.874924e+003, 4.306661e+002
6.894455e+003, 4.344683e+002
6.913986e+003, 4.372023e+002
6.933517e+003, 4.392751e+002
6.953048e+003, 4.417294e+002
6.972579e+003, 4.447178e+002
6.992110e+003, 4.485199e+002
7.011641e+003, 4.523220e+002
7.031172e+003, 4.549798e+002
7.050703e+003, 4.567220e+002
7.070234e+003, 4.579810e+002
7.089765e+003, 4.600030e+002
7.109296e+003, 4.624827e+002
7.128828e+003, 4.656236e+002
7.148359e+003, 4.686119e+002
7.167890e+003, 4.703033e+002
7.187421e+003, 4.716386e+002
7.206952e+003, 4.728468e+002
7.226483e+003, 4.742584e+002
7.246014e+003, 4.762294e+002
7.265545e+003, 4.785057e+002
7.285076e+003, 4.806040e+002
7.304607e+003, 4.826768e+002
7.324138e+003, 4.847750e+002
7.343669e+003, 4.871022e+002
7.363200e+003, 4.890224e+002
7.382731e+003, 4.909935e+002
7.402262e+003, 4.939818e+002
7.421793e+003, 4.976314e+002
7.441324e+003, 5.011792e+002
7.460855e+003, 5.039387e+002
7.480386e+003, 5.058843e+002
7.499917e+003, 5.089235e+002
7.519448e+003, 5.125222e+002
7.538979e+003, 5.165278e+002
7.558510e+003, 5.208386e+002
7.578041e+003, 5.252511e+002
