File name = A1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.627870e+002
1.953103e+001, 2.595229e+002
3.906207e+001, 2.609383e+002
5.859310e+001, 2.666261e+002
7.812414e+001, 2.778070e+002
9.765517e+001, 2.987790e+002
1.171862e+002, 3.266684e+002
1.367172e+002, 3.547866e+002
1.562483e+002, 3.690702e+002
1.757793e+002, 3.706890e+002
1.953103e+002, 3.756393e+002
2.148414e+002, 3.882190e+002
2.343724e+002, 4.019430e+002
2.539034e+002, 4.109369e+002
2.734345e+002, 4.181760e+002
2.929655e+002, 4.240927e+002
3.124965e+002, 4.275934e+002
3.320276e+002, 4.293902e+002
3.515586e+002, 4.322042e+002
3.710897e+002, 4.367476e+002
3.906207e+002, 4.422828e+002
4.101517e+002, 4.460124e+002
4.296828e+002, 4.489028e+002
4.492138e+002, 4.513608e+002
4.687448e+002, 4.535645e+002
4.882759e+002, 4.561751e+002
5.078069e+002, 4.599555e+002
5.273379e+002, 4.648804e+002
5.468690e+002, 4.695000e+002
5.664000e+002, 4.734076e+002
5.859310e+002, 4.765014e+002
6.054621e+002, 4.795952e+002
6.249931e+002, 4.835537e+002
6.445241e+002, 4.883260e+002
6.640552e+002, 4.930982e+002
6.835862e+002, 4.971584e+002
7.031172e+002, 5.007608e+002
7.226483e+002, 5.043124e+002
7.421793e+002, 5.090847e+002
7.617103e+002, 5.153319e+002
7.812414e+002, 5.217318e+002
8.007724e+002, 5.258429e+002
8.203034e+002, 5.281737e+002
8.398345e+002, 5.298688e+002
8.593655e+002, 5.336492e+002
8.788965e+002, 5.399983e+002
8.984276e+002, 5.479240e+002
9.179586e+002, 5.532049e+002
9.374896e+002, 5.561715e+002
9.570207e+002, 5.574088e+002
9.765517e+002, 5.588750e+002
9.960828e+002, 5.613585e+002
1.015614e+003, 5.656984e+002
1.035145e+003, 5.707504e+002
1.054676e+003, 5.748106e+002
1.074207e+003, 5.773703e+002
1.093738e+003, 5.788874e+002
1.113269e+003, 5.800738e+002
1.132800e+003, 5.817435e+002
1.152331e+003, 5.847356e+002
1.171862e+003, 5.872190e+002
1.191393e+003, 5.890921e+002
1.210924e+003, 5.906092e+002
1.230455e+003, 5.921262e+002
1.249986e+003, 5.932872e+002
1.269517e+003, 5.941685e+002
1.289048e+003, 5.946937e+002
1.308579e+003, 5.952444e+002
1.328110e+003, 5.959476e+002
1.347641e+003, 5.963711e+002
1.367172e+003, 5.970490e+002
1.386703e+003, 5.976505e+002
1.406234e+003, 5.979977e+002
1.425766e+003, 5.974294e+002
1.445297e+003, 5.969119e+002
1.464828e+003, 5.961402e+002
1.484359e+003, 5.955719e+002
1.503890e+003, 5.946984e+002
1.523421e+003, 5.933671e+002
1.542952e+003, 5.916290e+002
1.562483e+003, 5.898908e+002
1.582014e+003, 5.881018e+002
1.601545e+003, 5.865925e+002
1.621076e+003, 5.845237e+002
1.640607e+003, 5.820226e+002
1.660138e+003, 5.790638e+002
1.679669e+003, 5.761558e+002
1.699200e+003, 5.722051e+002
1.718731e+003, 5.680255e+002
1.738262e+003, 5.636680e+002
1.757793e+003, 5.603022e+002
1.777324e+003, 5.568856e+002
1.796855e+003, 5.521720e+002
1.816386e+003, 5.463139e+002
1.835917e+003, 5.401761e+002
1.855448e+003, 5.344707e+002
1.874979e+003, 5.293756e+002
1.894510e+003, 5.248909e+002
1.914041e+003, 5.198975e+002
1.933572e+003, 5.141158e+002
1.953103e+003, 5.079271e+002
1.972634e+003, 5.022725e+002
1.992166e+003, 4.966688e+002
2.011697e+003, 4.911668e+002
2.031228e+003, 4.854105e+002
2.050759e+003, 4.806969e+002
2.070290e+003, 4.771023e+002
2.089821e+003, 4.736348e+002
2.109352e+003, 4.687940e+002
2.128883e+003, 4.638006e+002
2.148414e+003, 4.594685e+002
2.167945e+003, 4.553398e+002
2.187476e+003, 4.519231e+002
2.207007e+003, 4.495238e+002
2.226538e+003, 4.469718e+002
2.246069e+003, 4.442673e+002
2.265600e+003, 4.404946e+002
2.285131e+003, 4.372306e+002
2.304662e+003, 4.343226e+002
2.324193e+003, 4.320758e+002
2.343724e+003, 4.300325e+002
2.363255e+003, 4.280400e+002
2.382786e+003, 4.260984e+002
2.402317e+003, 4.239025e+002
2.421848e+003, 4.212996e+002
2.441379e+003, 4.182899e+002
2.460910e+003, 4.158905e+002
2.480441e+003, 4.131351e+002
2.499972e+003, 4.108629e+002
2.519503e+003, 4.095062e+002
2.539034e+003, 4.081750e+002
2.558565e+003, 4.059282e+002
2.578097e+003, 4.028167e+002
2.597628e+003, 4.001122e+002
2.617159e+003, 3.979926e+002
2.636690e+003, 3.965850e+002
2.656221e+003, 3.950503e+002
2.675752e+003, 3.931596e+002
2.695283e+003, 3.915994e+002
2.714814e+003, 3.898613e+002
2.734345e+003, 3.875636e+002
2.753876e+003, 3.855966e+002
2.773407e+003, 3.842145e+002
2.792938e+003, 3.831375e+002
2.812469e+003, 3.821115e+002
2.832000e+003, 3.813143e+002
2.851531e+003, 3.805171e+002
2.871062e+003, 3.794147e+002
2.890593e+003, 3.781089e+002
2.910124e+003, 3.771336e+002
2.929655e+003, 3.766162e+002
2.949186e+003, 3.765565e+002
2.968717e+003, 3.761916e+002
2.988248e+003, 3.759285e+002
3.007779e+003, 3.754365e+002
3.027310e+003, 3.752496e+002
3.046841e+003, 3.751391e+002
3.066372e+003, 3.753337e+002
3.085903e+003, 3.753757e+002
3.105434e+003, 3.760790e+002
3.124965e+003, 3.771383e+002
3.144497e+003, 3.785282e+002
3.164028e+003, 3.798164e+002
3.183559e+003, 3.808248e+002
3.203090e+003, 3.820367e+002
3.222621e+003, 3.834011e+002
3.242152e+003, 3.854268e+002
3.261683e+003, 3.889275e+002
3.281214e+003, 3.928351e+002
3.300745e+003, 3.954966e+002
3.320276e+003, 3.974968e+002
3.339807e+003, 3.979712e+002
3.359338e+003, 3.997171e+002
3.378869e+003, 4.036756e+002
3.398400e+003, 4.100755e+002
3.417931e+003, 4.158141e+002
3.437462e+003, 4.191114e+002
3.456993e+003, 4.196112e+002
3.476524e+003, 4.191700e+002
3.496055e+003, 4.209668e+002
3.515586e+003, 4.262477e+002
3.535117e+003, 4.334614e+002
3.554648e+003, 4.404207e+002
3.574179e+003, 4.446081e+002
3.593710e+003, 4.464049e+002
3.613241e+003, 4.471081e+002
3.632772e+003, 4.487269e+002
3.652303e+003, 4.531431e+002
3.671834e+003, 4.595176e+002
3.691365e+003, 4.655360e+002
3.710897e+003, 4.701556e+002
3.730428e+003, 4.733512e+002
3.749959e+003, 4.760889e+002
3.769490e+003, 4.792844e+002
3.789021e+003, 4.828869e+002
3.808552e+003, 4.880406e+002
3.828083e+003, 4.939064e+002
3.847614e+003, 4.987804e+002
3.867145e+003, 5.021285e+002
3.886676e+003, 5.053749e+002
