File name = A1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.401208e+002
1.953103e+001, 2.368916e+002
3.906207e+001, 2.380621e+002
5.859310e+001, 2.384695e+002
7.812414e+001, 2.383938e+002
9.765517e+001, 2.382672e+002
1.171862e+002, 2.381406e+002
1.367172e+002, 2.376834e+002
1.562483e+002, 2.376332e+002
1.757793e+002, 2.380152e+002
1.953103e+002, 2.375834e+002
2.148414e+002, 2.376094e+002
2.343724e+002, 2.375083e+002
2.539034e+002, 2.374834e+002
2.734345e+002, 2.377638e+002
2.929655e+002, 2.375100e+002
3.124965e+002, 2.368748e+002
3.320276e+002, 2.365702e+002
3.515586e+002, 2.364691e+002
3.710897e+002, 2.364442e+002
3.906207e+002, 2.359361e+002
4.101517e+002, 2.353264e+002
4.296828e+002, 2.353269e+002
4.492138e+002, 2.352258e+002
4.687448e+002, 2.349975e+002
4.882759e+002, 2.350235e+002
5.078069e+002, 2.350749e+002
5.273379e+002, 2.351009e+002
5.468690e+002, 2.348980e+002
5.664000e+002, 2.349240e+002
5.859310e+002, 2.350772e+002
6.054621e+002, 2.347726e+002
6.249931e+002, 2.341628e+002
6.445241e+002, 2.338074e+002
6.640552e+002, 2.339605e+002
6.835862e+002, 2.340374e+002
7.031172e+002, 2.335293e+002
7.226483e+002, 2.326907e+002
7.421793e+002, 2.325132e+002
7.617103e+002, 2.328190e+002
7.812414e+002, 2.331247e+002
8.007724e+002, 2.333542e+002
8.203034e+002, 2.336599e+002
8.398345e+002, 2.337622e+002
8.593655e+002, 2.335085e+002
8.788965e+002, 2.341957e+002
8.984276e+002, 2.352390e+002
9.179586e+002, 2.362059e+002
9.374896e+002, 2.377324e+002
9.570207e+002, 2.408864e+002
9.765517e+002, 2.448034e+002
9.960828e+002, 2.486187e+002
1.015614e+003, 2.523068e+002
1.035145e+003, 2.601148e+002
1.054676e+003, 2.776884e+002
1.074207e+003, 3.029423e+002
1.093738e+003, 3.269501e+002
1.113269e+003, 3.465328e+002
1.132800e+003, 3.644879e+002
1.152331e+003, 3.803576e+002
1.171862e+003, 3.926161e+002
1.191393e+003, 4.010090e+002
1.210924e+003, 4.074691e+002
1.230455e+003, 4.157603e+002
1.249986e+003, 4.306382e+002
1.269517e+003, 4.521791e+002
1.289048e+003, 4.702868e+002
1.308579e+003, 4.812737e+002
1.328110e+003, 4.878610e+002
1.347641e+003, 4.934310e+002
1.367172e+003, 5.022817e+002
1.386703e+003, 5.150488e+002
1.406234e+003, 5.260612e+002
1.425766e+003, 5.316566e+002
1.445297e+003, 5.339715e+002
1.464828e+003, 5.358031e+002
1.484359e+003, 5.378890e+002
1.503890e+003, 5.414500e+002
1.523421e+003, 5.447821e+002
1.542952e+003, 5.461305e+002
1.562483e+003, 5.462074e+002
1.582014e+003, 5.457756e+002
1.601545e+003, 5.449115e+002
1.621076e+003, 5.440983e+002
1.640607e+003, 5.431325e+002
1.660138e+003, 5.409968e+002
1.679669e+003, 5.376404e+002
1.699200e+003, 5.332923e+002
1.718731e+003, 5.289441e+002
1.738262e+003, 5.255877e+002
1.757793e+003, 5.217736e+002
1.777324e+003, 5.168659e+002
1.796855e+003, 5.106358e+002
1.816386e+003, 5.050161e+002
1.835917e+003, 5.014817e+002
1.855448e+003, 5.004141e+002
1.874979e+003, 4.996009e+002
1.894510e+003, 4.985842e+002
1.914041e+003, 4.976693e+002
1.933572e+003, 4.959405e+002
