File name = A1_h.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 9.316158e+002
1.953103e+001, 9.285440e+002
3.906207e+001, 9.289563e+002
5.859310e+001, 9.288600e+002
7.812414e+001, 9.287637e+002
9.765517e+001, 9.279045e+002
1.171862e+002, 9.278082e+002
1.367172e+002, 9.275593e+002
1.562483e+002, 9.268018e+002
1.757793e+002, 9.270615e+002
1.953103e+002, 9.273213e+002
2.148414e+002, 9.272758e+002
2.343724e+002, 9.270778e+002
2.539034e+002, 9.263203e+002
2.734345e+002, 9.261223e+002
2.929655e+002, 9.253139e+002
3.124965e+002, 9.244038e+002
3.320276e+002, 9.243075e+002
3.515586e+002, 9.249233e+002
3.710897e+002, 9.249287e+002
3.906207e+002, 9.247815e+002
4.101517e+002, 9.239223e+002
4.296828e+002, 9.237243e+002
4.492138e+002, 9.227633e+002
4.687448e+002, 9.195644e+002
4.882759e+002, 9.129577e+002
5.078069e+002, 9.167778e+002
5.273379e+002, 9.200893e+002
5.468690e+002, 9.191792e+002
5.664000e+002, 9.140984e+002
5.859310e+002, 9.035244e+002
6.054621e+002, 8.894917e+002
6.249931e+002, 8.789177e+002
6.445241e+002, 8.803981e+002
6.640552e+002, 8.858967e+002
6.835862e+002, 8.882927e+002
7.031172e+002, 8.793463e+002
7.226483e+002, 8.701456e+002
7.421793e+002, 8.610974e+002
7.617103e+002, 8.505743e+002
7.812414e+002, 8.410684e+002
8.007724e+002, 8.380729e+002
8.203034e+002, 8.396551e+002
8.398345e+002, 8.396097e+002
8.593655e+002, 8.337150e+002
8.788965e+002, 8.231410e+002
8.984276e+002, 8.131774e+002
9.179586e+002, 7.991956e+002
9.374896e+002, 7.854172e+002
9.570207e+002, 7.832355e+002
9.765517e+002, 7.876151e+002
9.960828e+002, 7.928086e+002
1.015614e+003, 7.891010e+002
1.035145e+003, 7.815788e+002
1.054676e+003, 7.732936e+002
1.074207e+003, 7.610411e+002
1.093738e+003, 7.472119e+002
1.113269e+003, 7.412664e+002
1.132800e+003, 7.421365e+002
1.152331e+003, 7.464652e+002
1.171862e+003, 7.435715e+002
1.191393e+003, 7.385924e+002
1.210924e+003, 7.277640e+002
1.230455e+003, 7.127141e+002
1.249986e+003, 7.039712e+002
1.269517e+003, 7.064180e+002
1.289048e+003, 7.132390e+002
1.308579e+003, 7.201109e+002
1.328110e+003, 7.158439e+002
1.347641e+003, 7.067958e+002
1.367172e+003, 6.986632e+002
1.386703e+003, 6.969393e+002
1.406234e+003, 6.953934e+002
1.425766e+003, 6.926268e+002
1.445297e+003, 6.883597e+002
1.464828e+003, 6.843470e+002
1.484359e+003, 6.808429e+002
1.503890e+003, 6.763724e+002
1.523421e+003, 6.734787e+002
1.542952e+003, 6.716531e+002
1.562483e+003, 6.667248e+002
1.582014e+003, 6.609828e+002
1.601545e+003, 6.543252e+002
1.621076e+003, 6.453279e+002
1.640607e+003, 6.402979e+002
1.660138e+003, 6.414223e+002
1.679669e+003, 6.474804e+002
1.699200e+003, 6.542506e+002
1.718731e+003, 6.513568e+002
1.738262e+003, 6.406302e+002
1.757793e+003, 6.291407e+002
1.777324e+003, 6.217710e+002
1.796855e+003, 6.141979e+002
1.816386e+003, 6.059636e+002
1.835917e+003, 5.982379e+002
1.855448e+003, 5.903088e+002
1.874979e+003, 5.780054e+002
1.894510e+003, 5.625486e+002
1.914041e+003, 5.498384e+002
1.933572e+003, 5.432316e+002
1.953103e+003, 5.423215e+002
1.972634e+003, 5.434968e+002
1.992166e+003, 5.393315e+002
2.011697e+003, 5.273842e+002
2.031228e+003, 5.096894e+002
2.050759e+003, 4.913843e+002
2.070290e+003, 4.819292e+002
2.089821e+003, 4.859528e+002
2.109352e+003, 4.926213e+002
2.128883e+003, 4.922198e+002
2.148414e+003, 4.827648e+002
2.167945e+003, 4.660364e+002
2.187476e+003, 4.473752e+002
2.207007e+003, 4.355805e+002
2.226538e+003, 4.382562e+002
2.246069e+003, 4.481036e+002
2.265600e+003, 4.463796e+002
2.285131e+003, 4.316349e+002
