File name = B1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.026892e+002
1.953103e+001, 6.025075e+002
3.906207e+001, 6.041315e+002
5.859310e+001, 6.036701e+002
7.812414e+001, 6.027510e+002
9.765517e+001, 6.017301e+002
1.171862e+002, 5.999971e+002
1.367172e+002, 5.983659e+002
1.562483e+002, 5.973959e+002
1.757793e+002, 5.968837e+002
1.953103e+002, 5.962697e+002
2.148414e+002, 5.946385e+002
2.343724e+002, 5.924986e+002
2.539034e+002, 5.899519e+002
2.734345e+002, 5.877103e+002
2.929655e+002, 5.853161e+002
3.124965e+002, 5.834306e+002
3.320276e+002, 5.816976e+002
3.515586e+002, 5.793035e+002
3.710897e+002, 5.767059e+002
3.906207e+002, 5.733962e+002
4.101517e+002, 5.699847e+002
4.296828e+002, 5.665225e+002
4.492138e+002, 5.633145e+002
4.687448e+002, 5.607677e+002
4.882759e+002, 5.593908e+002
5.078069e+002, 5.573018e+002
5.273379e+002, 5.540939e+002
5.468690e+002, 5.501230e+002
5.664000e+002, 5.467624e+002
5.859310e+002, 5.438596e+002
6.054621e+002, 5.413129e+002
6.249931e+002, 5.386644e+002
6.445241e+002, 5.357616e+002
6.640552e+002, 5.327062e+002
6.835862e+002, 5.293965e+002
7.031172e+002, 5.261377e+002
7.226483e+002, 5.239470e+002
7.421793e+002, 5.217054e+002
7.617103e+002, 5.186500e+002
7.812414e+002, 5.149843e+002
8.007724e+002, 5.113440e+002
8.203034e+002, 5.086701e+002
8.398345e+002, 5.066828e+002
8.593655e+002, 5.048481e+002
8.788965e+002, 5.024031e+002
8.984276e+002, 4.992206e+002
9.179586e+002, 4.960380e+002
9.374896e+002, 4.931352e+002
9.570207e+002, 4.913006e+002
9.765517e+002, 4.900254e+002
9.960828e+002, 4.885976e+002
1.015614e+003, 4.860508e+002
1.035145e+003, 4.826903e+002
1.054676e+003, 4.793806e+002
1.074207e+003, 4.759692e+002
1.093738e+003, 4.734224e+002
1.113269e+003, 4.713843e+002
1.132800e+003, 4.699565e+002
1.152331e+003, 4.675115e+002
1.171862e+003, 4.640492e+002
1.191393e+003, 4.603835e+002
1.210924e+003, 4.568195e+002
1.230455e+003, 4.536878e+002
1.249986e+003, 4.506070e+002
1.269517e+003, 4.477805e+002
1.289048e+003, 4.452337e+002
1.308579e+003, 4.423055e+002
1.328110e+003, 4.389450e+002
1.347641e+003, 4.359404e+002
1.367172e+003, 4.330377e+002
1.386703e+003, 4.304909e+002
1.406234e+003, 4.277916e+002
1.425766e+003, 4.249905e+002
1.445297e+003, 4.223929e+002
1.464828e+003, 4.202022e+002
1.484359e+003, 4.181132e+002
1.503890e+003, 4.161768e+002
1.523421e+003, 4.141386e+002
1.542952e+003, 4.117445e+002
1.562483e+003, 4.099607e+002
1.582014e+003, 4.086346e+002
1.601545e+003, 4.073086e+002
1.621076e+003, 4.060588e+002
1.640607e+003, 4.053685e+002
1.660138e+003, 4.046020e+002
1.679669e+003, 4.036828e+002
1.699200e+003, 4.031706e+002
1.718731e+003, 4.029635e+002
1.738262e+003, 4.027056e+002
1.757793e+003, 4.026002e+002
1.777324e+003, 4.027238e+002
1.796855e+003, 4.032034e+002
1.816386e+003, 4.033778e+002
1.835917e+003, 4.038065e+002
1.855448e+003, 4.043623e+002
1.874979e+003, 4.052234e+002
1.894510e+003, 4.062116e+002
1.914041e+003, 4.073015e+002
1.933572e+003, 4.088238e+002
1.953103e+003, 4.105495e+002
1.972634e+003, 4.118683e+002
1.992166e+003, 4.135686e+002
2.011697e+003, 4.163878e+002
2.031228e+003, 4.200463e+002
2.050759e+003, 4.240609e+002
2.070290e+003, 4.259900e+002
2.089821e+003, 4.265459e+002
2.109352e+003, 4.281190e+002
2.128883e+003, 4.313706e+002
2.148414e+003, 4.368093e+002
2.167945e+003, 4.427312e+002
2.187476e+003, 4.477375e+002
2.207007e+003, 4.500736e+002
2.226538e+003, 4.507312e+002
2.246069e+003, 4.522789e+002
