File name = B1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.887299e+002
1.953103e+001, 4.886246e+002
3.906207e+001, 4.890278e+002
5.859310e+001, 4.881086e+002
7.812414e+001, 4.867825e+002
9.765517e+001, 4.846935e+002
1.171862e+002, 4.825027e+002
1.367172e+002, 4.803119e+002
1.562483e+002, 4.790876e+002
1.757793e+002, 4.789313e+002
1.953103e+002, 4.788259e+002
2.148414e+002, 4.785425e+002
2.343724e+002, 4.782082e+002
2.539034e+002, 4.783063e+002
2.734345e+002, 4.787604e+002
2.929655e+002, 4.795705e+002
3.124965e+002, 4.809401e+002
3.320276e+002, 4.816485e+002
3.515586e+002, 4.825095e+002
3.710897e+002, 4.839809e+002
3.906207e+002, 4.863169e+002
4.101517e+002, 4.895176e+002
4.296828e+002, 4.926674e+002
4.492138e+002, 4.953595e+002
4.687448e+002, 4.965256e+002
4.882759e+002, 4.974121e+002
5.078069e+002, 4.995700e+002
5.273379e+002, 5.034828e+002
5.468690e+002, 5.074464e+002
5.664000e+002, 5.108251e+002
5.859310e+002, 5.131611e+002
6.054621e+002, 5.148614e+002
6.249931e+002, 5.163836e+002
6.445241e+002, 5.190756e+002
6.640552e+002, 5.223272e+002
6.835862e+002, 5.258839e+002
7.031172e+002, 5.288048e+002
7.226483e+002, 5.301490e+002
7.421793e+002, 5.312135e+002
7.617103e+002, 5.323796e+002
7.812414e+002, 5.342833e+002
8.007724e+002, 5.360853e+002
8.203034e+002, 5.369463e+002
8.398345e+002, 5.376038e+002
8.593655e+002, 5.382105e+002
8.788965e+002, 5.385120e+002
8.984276e+002, 5.388644e+002
9.179586e+002, 5.379961e+002
9.374896e+002, 5.364919e+002
9.570207e+002, 5.353947e+002
9.765517e+002, 5.348316e+002
9.960828e+002, 5.334546e+002
1.015614e+003, 5.309078e+002
1.035145e+003, 5.276489e+002
1.054676e+003, 5.242375e+002
1.074207e+003, 5.201139e+002
1.093738e+003, 5.163464e+002
1.113269e+003, 5.133418e+002
1.132800e+003, 5.099812e+002
1.152331e+003, 5.057051e+002
1.171862e+003, 4.996488e+002
1.191393e+003, 4.926261e+002
1.210924e+003, 4.864172e+002
1.230455e+003, 4.810220e+002
1.249986e+003, 4.760338e+002
1.269517e+003, 4.710456e+002
1.289048e+003, 4.652436e+002
1.308579e+003, 4.589838e+002
1.328110e+003, 4.521900e+002
1.347641e+003, 4.465660e+002
1.367172e+003, 4.412218e+002
1.386703e+003, 4.369456e+002
1.406234e+003, 4.319574e+002
1.425766e+003, 4.266640e+002
1.445297e+003, 4.220827e+002
1.464828e+003, 4.182644e+002
1.484359e+003, 4.143951e+002
1.503890e+003, 4.107802e+002
1.523421e+003, 4.073687e+002
1.542952e+003, 4.044150e+002
1.562483e+003, 4.015376e+002
1.582014e+003, 3.989145e+002
1.601545e+003, 3.963169e+002
1.621076e+003, 3.941770e+002
1.640607e+003, 3.924948e+002
1.660138e+003, 3.914739e+002
1.679669e+003, 3.908599e+002
1.699200e+003, 3.901696e+002
1.718731e+003, 3.892249e+002
1.738262e+003, 3.883566e+002
1.757793e+003, 3.882004e+002
1.777324e+003, 3.887307e+002
1.796855e+003, 3.892103e+002
1.816386e+003, 3.895118e+002
1.835917e+003, 3.902202e+002
1.855448e+003, 3.913355e+002
1.874979e+003, 3.928068e+002
1.894510e+003, 3.943799e+002
1.914041e+003, 3.959530e+002
1.933572e+003, 3.975006e+002
1.953103e+003, 3.991754e+002
1.972634e+003, 4.007739e+002
1.992166e+003, 4.032371e+002
2.011697e+003, 4.069719e+002
2.031228e+003, 4.109609e+002
2.050759e+003, 4.141107e+002
2.070290e+003, 4.161161e+002
2.089821e+003, 4.176383e+002
2.109352e+003, 4.204830e+002
2.128883e+003, 4.255656e+002
2.148414e+003, 4.319706e+002
