File name = C1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.296775e+002
1.953103e+001, 4.263555e+002
3.906207e+001, 4.268228e+002
5.859310e+001, 4.259167e+002
7.812414e+001, 4.243494e+002
9.765517e+001, 4.220192e+002
1.171862e+002, 4.195619e+002
1.367172e+002, 4.180709e+002
1.562483e+002, 4.172157e+002
1.757793e+002, 4.171235e+002
1.953103e+002, 4.166752e+002
2.148414e+002, 4.157691e+002
2.343724e+002, 4.146850e+002
2.539034e+002, 4.135501e+002
2.734345e+002, 4.126949e+002
2.929655e+002, 4.119415e+002
3.124965e+002, 4.116458e+002
3.320276e+002, 4.115535e+002
3.515586e+002, 4.116647e+002
3.710897e+002, 4.122337e+002
3.906207e+002, 4.125483e+002
4.101517e+002, 4.127104e+002
4.296828e+002, 4.131268e+002
4.492138e+002, 4.134923e+002
4.687448e+002, 4.137561e+002
4.882759e+002, 4.143251e+002
5.078069e+002, 4.156570e+002
5.273379e+002, 4.175738e+002
5.468690e+002, 4.186768e+002
5.664000e+002, 4.194492e+002
5.859310e+002, 4.203488e+002
6.054621e+002, 4.215536e+002
6.249931e+002, 4.226057e+002
6.445241e+002, 4.243954e+002
6.640552e+002, 4.258799e+002
6.835862e+002, 4.268812e+002
7.031172e+002, 4.272976e+002
7.226483e+002, 4.280191e+002
7.421793e+002, 4.295545e+002
7.617103e+002, 4.315476e+002
7.812414e+002, 4.335153e+002
8.007724e+002, 4.345674e+002
8.203034e+002, 4.351873e+002
8.398345e+002, 4.359088e+002
8.593655e+002, 4.367321e+002
8.788965e+002, 4.381657e+002
8.984276e+002, 4.402097e+002
9.179586e+002, 4.423809e+002
9.374896e+002, 4.440942e+002
9.570207e+002, 4.448158e+002
9.765517e+002, 4.458425e+002
9.960828e+002, 4.470981e+002
1.015614e+003, 4.490658e+002
1.035145e+003, 4.517710e+002
1.054676e+003, 4.545271e+002
1.074207e+003, 4.570797e+002
1.093738e+003, 4.592763e+002
1.113269e+003, 4.614728e+002
1.132800e+003, 4.638220e+002
1.152331e+003, 4.667052e+002
1.171862e+003, 4.696647e+002
1.191393e+003, 4.725988e+002
1.210924e+003, 4.754057e+002
1.230455e+003, 4.781618e+002
1.249986e+003, 4.813247e+002
1.269517e+003, 4.844877e+002
1.289048e+003, 4.880067e+002
1.308579e+003, 4.908136e+002
1.328110e+003, 4.938240e+002
1.347641e+003, 4.958680e+002
1.367172e+003, 4.986749e+002
1.386703e+003, 5.022193e+002
1.406234e+003, 5.064759e+002
1.425766e+003, 5.097405e+002
1.445297e+003, 5.116828e+002
1.464828e+003, 5.128621e+002
1.484359e+003, 5.151096e+002
1.503890e+003, 5.179673e+002
1.523421e+003, 5.215372e+002
1.542952e+003, 5.245476e+002
1.562483e+003, 5.262355e+002
1.582014e+003, 5.276183e+002
1.601545e+003, 5.284416e+002
1.621076e+003, 5.299769e+002
1.640607e+003, 5.315631e+002
1.660138e+003, 5.334800e+002
1.679669e+003, 5.354477e+002
1.699200e+003, 5.369830e+002
1.718731e+003, 5.383658e+002
1.738262e+003, 5.390873e+002
1.757793e+003, 5.398089e+002
1.777324e+003, 5.410391e+002
1.796855e+003, 5.421675e+002
1.816386e+003, 5.437029e+002
1.835917e+003, 5.452382e+002
1.855448e+003, 5.459598e+002
1.874979e+003, 5.466814e+002
1.894510e+003, 5.474029e+002
1.914041e+003, 5.481753e+002
1.933572e+003, 5.488460e+002
1.953103e+003, 5.495676e+002
1.972634e+003, 5.503400e+002
1.992166e+003, 5.509090e+002
2.011697e+003, 5.516305e+002
2.031228e+003, 5.524538e+002
2.050759e+003, 5.524124e+002
2.070290e+003, 5.522693e+002
2.089821e+003, 5.521770e+002
2.109352e+003, 5.524917e+002
2.128883e+003, 5.523995e+002
2.148414e+003, 5.519003e+002
2.167945e+003, 5.505873e+002
2.187476e+003, 5.492744e+002
2.207007e+003, 5.490804e+002
2.226538e+003, 5.490899e+002
2.246069e+003, 5.488959e+002
2.265600e+003, 5.473287e+002
2.285131e+003, 5.452019e+002
2.304662e+003, 5.430243e+002
2.324193e+003, 5.413553e+002
2.343724e+003, 5.403984e+002
2.363255e+003, 5.394923e+002
2.382786e+003, 5.380014e+002
2.402317e+003, 5.354677e+002
2.421848e+003, 5.322983e+002
2.441379e+003, 5.292560e+002
2.460910e+003, 5.267223e+002
2.480441e+003, 5.242904e+002
2.499972e+003, 5.219856e+002
2.519503e+003, 5.204438e+002
2.539034e+003, 5.183679e+002
2.558565e+003, 5.151730e+002
2.578097e+003, 5.115204e+002
2.597628e+003, 5.083255e+002
2.617159e+003, 5.057919e+002
2.636690e+003, 5.031565e+002
2.656221e+003, 5.003431e+002
2.675752e+003, 4.977840e+002
2.695283e+003, 4.951995e+002
2.714814e+003, 4.922080e+002
2.734345e+003, 4.888097e+002
2.753876e+003, 4.851571e+002
2.773407e+003, 4.818605e+002
2.792938e+003, 4.789199e+002
2.812469e+003, 4.765643e+002
2.832000e+003, 4.745138e+002
2.851531e+003, 4.711664e+002
2.871062e+003, 4.675137e+002
2.890593e+003, 4.637594e+002
2.910124e+003, 4.604119e+002
2.929655e+003, 4.571153e+002
2.949186e+003, 4.545817e+002
2.968717e+003, 4.528618e+002
2.988248e+003, 4.518032e+002
3.007779e+003, 4.494221e+002
3.027310e+003, 4.460747e+002
3.046841e+003, 4.418625e+002
3.066372e+003, 4.392271e+002
3.085903e+003, 4.375582e+002
3.105434e+003, 4.362961e+002
3.124965e+003, 4.345762e+002
3.144497e+003, 4.325003e+002
3.164028e+003, 4.303481e+002
3.183559e+003, 4.282468e+002
3.203090e+003, 4.263744e+002
3.222621e+003, 4.251631e+002
3.242152e+003, 4.239010e+002
3.261683e+003, 4.226135e+002
3.281214e+003, 4.211226e+002
3.300745e+003, 4.191738e+002
3.320276e+003, 4.182423e+002
3.339807e+003, 4.179212e+002
3.359338e+003, 4.174984e+002
3.378869e+003, 4.163634e+002
3.398400e+003, 4.158388e+002
3.417931e+003, 4.156957e+002
3.437462e+003, 4.151966e+002
3.456993e+003, 4.147483e+002
3.476524e+003, 4.150375e+002
3.496055e+003, 4.152250e+002
3.515586e+003, 4.154634e+002
3.535117e+003, 4.163629e+002
3.554648e+003, 4.170845e+002
3.574179e+003, 4.173991e+002
3.593710e+003, 4.175358e+002
3.613241e+003, 4.176216e+002
3.632772e+003, 4.179871e+002
3.652303e+003, 4.190901e+002
3.671834e+003, 4.206763e+002
3.691365e+003, 4.224405e+002
3.710897e+003, 4.236707e+002
3.730428e+003, 4.248500e+002
3.749959e+003, 4.258259e+002
3.769490e+003, 4.262932e+002
3.789021e+003, 4.276759e+002
3.808552e+003, 4.289570e+002
3.828083e+003, 4.308484e+002
3.847614e+003, 4.319768e+002
3.867145e+003, 4.327492e+002
3.886676e+003, 4.337251e+002
3.906207e+003, 4.349553e+002
3.925738e+003, 4.364906e+002
3.945269e+003, 4.380514e+002
3.964800e+003, 4.392053e+002
3.984331e+003, 4.402829e+002
4.003862e+003, 4.409027e+002
4.023393e+003, 4.415480e+002
4.042924e+003, 4.427528e+002
4.062455e+003, 4.443390e+002
4.081986e+003, 4.466373e+002
4.101517e+003, 4.484778e+002
4.121048e+003, 4.502166e+002
4.140579e+003, 4.512942e+002
4.160110e+003, 4.520666e+002
4.179641e+003, 4.535002e+002
4.199172e+003, 4.558494e+002
4.218703e+003, 4.591650e+002
4.238234e+003, 4.631417e+002
4.257765e+003, 4.666607e+002
4.277297e+003, 4.686538e+002
4.296828e+003, 4.698077e+002
4.316359e+003, 4.710888e+002
4.335890e+003, 4.739720e+002
4.355421e+003, 4.779996e+002
4.374952e+003, 4.828411e+002
4.394483e+003, 4.871739e+002
4.414014e+003, 4.895484e+002
4.433545e+003, 4.913635e+002
4.453076e+003, 4.937127e+002
4.472607e+003, 4.968757e+002
4.492138e+003, 5.005473e+002
4.511669e+003, 5.043460e+002
4.531200e+003, 5.080939e+002
4.550731e+003, 5.108499e+002
4.570262e+003, 5.126905e+002
