File name = C1_g.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.257318e+002
1.953103e+001, 4.224581e+002
3.906207e+001, 4.248047e+002
5.859310e+001, 4.264393e+002
7.812414e+001, 4.292436e+002
9.765517e+001, 4.338790e+002
1.171862e+002, 4.396334e+002
1.367172e+002, 4.450827e+002
1.562483e+002, 4.485737e+002
1.757793e+002, 4.501065e+002
1.953103e+002, 4.516393e+002
2.148414e+002, 4.544691e+002
2.343724e+002, 4.593588e+002
2.539034e+002, 4.646046e+002
2.734345e+002, 4.697487e+002
2.929655e+002, 4.733923e+002
3.124965e+002, 4.756880e+002
3.320276e+002, 4.775005e+002
3.515586e+002, 4.798471e+002
3.710897e+002, 4.825244e+002
3.906207e+002, 4.866766e+002
4.101517e+002, 4.911086e+002
4.296828e+002, 4.950319e+002
4.492138e+002, 4.977346e+002
4.687448e+002, 4.993436e+002
4.882759e+002, 5.011562e+002
5.078069e+002, 5.040114e+002
5.273379e+002, 5.082908e+002
5.468690e+002, 5.122650e+002
5.664000e+002, 5.154254e+002
5.859310e+002, 5.177720e+002
6.054621e+002, 5.193048e+002
6.249931e+002, 5.209902e+002
6.445241e+002, 5.240998e+002
6.640552e+002, 5.279722e+002
6.835862e+002, 5.312344e+002
7.031172e+002, 5.336318e+002
7.226483e+002, 5.351646e+002
7.421793e+002, 5.370789e+002
7.617103e+002, 5.398070e+002
7.812414e+002, 5.425096e+002
8.007724e+002, 5.445511e+002
8.203034e+002, 5.460839e+002
8.398345e+002, 5.474641e+002
8.593655e+002, 5.487171e+002
8.788965e+002, 5.510383e+002
8.984276e+002, 5.536901e+002
9.179586e+002, 5.552229e+002
9.374896e+002, 5.559419e+002
9.570207e+002, 5.559488e+002
9.765517e+002, 5.562609e+002
9.960828e+002, 5.568019e+002
1.015614e+003, 5.573429e+002
1.035145e+003, 5.580619e+002
1.054676e+003, 5.583485e+002
1.074207e+003, 5.582283e+002
1.093738e+003, 5.577775e+002
1.113269e+003, 5.576826e+002
1.132800e+003, 5.579439e+002
1.152331e+003, 5.578999e+002
1.171862e+003, 5.573474e+002
1.191393e+003, 5.564388e+002
1.210924e+003, 5.555810e+002
1.230455e+003, 5.550285e+002
1.249986e+003, 5.545267e+002
1.269517e+003, 5.536690e+002
1.289048e+003, 5.527604e+002
1.308579e+003, 5.518518e+002
1.328110e+003, 5.504854e+002
1.347641e+003, 5.491699e+002
1.367172e+003, 5.482613e+002
1.386703e+003, 5.477596e+002
1.406234e+003, 5.467493e+002
1.425766e+003, 5.451286e+002
1.445297e+003, 5.437114e+002
1.464828e+003, 5.424976e+002
1.484359e+003, 5.412329e+002
1.503890e+003, 5.409855e+002
1.523421e+003, 5.402295e+002
1.542952e+003, 5.388631e+002
1.562483e+003, 5.367338e+002
1.582014e+003, 5.349097e+002
1.601545e+003, 5.333399e+002
1.621076e+003, 5.324313e+002
1.640607e+003, 5.315227e+002
1.660138e+003, 5.298003e+002
1.679669e+003, 5.279253e+002
1.699200e+003, 5.259231e+002
1.718731e+003, 5.241753e+002
1.738262e+003, 5.224529e+002
1.757793e+003, 5.206287e+002
1.777324e+003, 5.184994e+002
1.796855e+003, 5.160141e+002
1.816386e+003, 5.135796e+002
1.835917e+003, 5.112214e+002
1.855448e+003, 5.085071e+002
1.874979e+003, 5.066322e+002
1.894510e+003, 5.044265e+002
1.914041e+003, 5.025261e+002
1.933572e+003, 5.003459e+002
1.953103e+003, 4.974028e+002
1.972634e+003, 4.948666e+002
1.992166e+003, 4.919489e+002
2.011697e+003, 4.889804e+002
2.031228e+003, 4.856812e+002
2.050759e+003, 4.825092e+002
2.070290e+003, 4.798204e+002
2.089821e+003, 4.776403e+002
2.109352e+003, 4.749006e+002
2.128883e+003, 4.717286e+002
2.148414e+003, 4.680226e+002
2.167945e+003, 4.642402e+002
2.187476e+003, 4.612717e+002
2.207007e+003, 4.591424e+002
2.226538e+003, 4.569113e+002
2.246069e+003, 4.537139e+002
2.265600e+003, 4.502113e+002
2.285131e+003, 4.464544e+002
2.304662e+003, 4.427992e+002
2.324193e+003, 4.395000e+002
2.343724e+003, 4.371418e+002
2.363255e+003, 4.351397e+002
2.382786e+003, 4.326035e+002
2.402317e+003, 4.292026e+002
2.421848e+003, 4.255474e+002
2.441379e+003, 4.225534e+002
2.460910e+003, 4.196612e+002
2.480441e+003, 4.167689e+002
2.499972e+003, 4.145888e+002
2.519503e+003, 4.125103e+002
2.539034e+003, 4.107370e+002
2.558565e+003, 4.090146e+002
2.578097e+003, 4.067582e+002
2.597628e+003, 4.044000e+002
2.617159e+003, 4.022707e+002
2.636690e+003, 4.007008e+002
2.656221e+003, 3.992582e+002
2.675752e+003, 3.982733e+002
2.695283e+003, 3.970086e+002
2.714814e+003, 3.963289e+002
2.734345e+003, 3.953694e+002
2.753876e+003, 3.942828e+002
2.773407e+003, 3.935522e+002
2.792938e+003, 3.932794e+002
2.812469e+003, 3.935661e+002
2.832000e+003, 3.938019e+002
2.851531e+003, 3.941140e+002
2.871062e+003, 3.948075e+002
2.890593e+003, 3.951959e+002
2.910124e+003, 3.955080e+002
2.929655e+003, 3.958710e+002
2.949186e+003, 3.969969e+002
2.968717e+003, 3.983008e+002
2.988248e+003, 3.996556e+002
3.007779e+003, 4.020276e+002
3.027310e+003, 4.053406e+002
3.046841e+003, 4.085010e+002
3.066372e+003, 4.101101e+002
3.085903e+003, 4.112869e+002
3.105434e+003, 4.132774e+002
3.124965e+003, 4.164378e+002
3.144497e+003, 4.204121e+002
3.164028e+003, 4.241828e+002
3.183559e+003, 4.275467e+002
3.203090e+003, 4.306054e+002
3.222621e+003, 4.330537e+002
3.242152e+003, 4.358835e+002
3.261683e+003, 4.401883e+002
3.281214e+003, 4.447983e+002
3.300745e+003, 4.492557e+002
3.320276e+003, 4.524161e+002
3.339807e+003, 4.547627e+002
3.359338e+003, 4.576688e+002
3.378869e+003, 4.620499e+002
3.398400e+003, 4.672194e+002
3.417931e+003, 4.719820e+002
3.437462e+003, 4.747863e+002
3.456993e+003, 4.761666e+002
3.476524e+003, 4.773433e+002
3.496055e+003, 4.797662e+002
3.515586e+003, 4.837404e+002
3.535117e+003, 4.888082e+002
3.554648e+003, 4.939268e+002
3.574179e+003, 4.980790e+002
3.593710e+003, 5.000696e+002
3.613241e+003, 5.009666e+002
3.632772e+003, 5.023214e+002
3.652303e+003, 5.062956e+002
3.671834e+003, 5.120754e+002
3.691365e+003, 5.168380e+002
3.710897e+003, 5.193881e+002
3.730428e+003, 5.212261e+002
3.749959e+003, 5.230895e+002
3.769490e+003, 5.259193e+002
3.789021e+003, 5.292323e+002
3.808552e+003, 5.323927e+002
3.828083e+003, 5.354005e+002
3.847614e+003, 5.370859e+002
3.867145e+003, 5.385678e+002
3.886676e+003, 5.397191e+002
3.906207e+003, 5.416843e+002
3.925738e+003, 5.443869e+002
3.945269e+003, 5.471913e+002
3.964800e+003, 5.493853e+002
3.984331e+003, 5.502569e+002
4.003862e+003, 5.505690e+002
4.023393e+003, 5.508811e+002
4.042924e+003, 5.519561e+002
4.062455e+003, 5.534889e+002
4.081986e+003, 5.553269e+002
