File name = C1_i.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.417924e+002
1.953103e+001, 4.385157e+002
3.906207e+001, 4.405542e+002
5.859310e+001, 4.428978e+002
7.812414e+001, 4.468691e+002
9.765517e+001, 4.518830e+002
1.171862e+002, 4.568461e+002
1.367172e+002, 4.608682e+002
1.562483e+002, 4.639747e+002
1.757793e+002, 4.663947e+002
1.953103e+002, 4.690689e+002
2.148414e+002, 4.722263e+002
2.343724e+002, 4.756127e+002
2.539034e+002, 4.794059e+002
2.734345e+002, 4.833771e+002
2.929655e+002, 4.868906e+002
3.124965e+002, 4.895903e+002
3.320276e+002, 4.916033e+002
3.515586e+002, 4.934129e+002
3.710897e+002, 4.958074e+002
3.906207e+002, 4.989139e+002
4.101517e+002, 5.021985e+002
4.296828e+002, 5.057629e+002
4.492138e+002, 5.083863e+002
4.687448e+002, 5.094329e+002
4.882759e+002, 5.107847e+002
5.078069e+002, 5.134844e+002
5.273379e+002, 5.166418e+002
5.468690e+002, 5.193415e+002
5.664000e+002, 5.213291e+002
5.859310e+002, 5.232658e+002
6.054621e+002, 5.250245e+002
6.249931e+002, 5.267324e+002
6.445241e+002, 5.290760e+002
6.640552e+002, 5.318265e+002
6.835862e+002, 5.343991e+002
7.031172e+002, 5.357509e+002
7.226483e+002, 5.368229e+002
7.421793e+002, 5.381493e+002
7.617103e+002, 5.398826e+002
7.812414e+002, 5.410564e+002
8.007724e+002, 5.421285e+002
8.203034e+002, 5.427428e+002
8.398345e+002, 5.431536e+002
8.593655e+002, 5.438697e+002
8.788965e+002, 5.448146e+002
8.984276e+002, 5.453017e+002
9.179586e+002, 5.451022e+002
9.374896e+002, 5.443432e+002
9.570207e+002, 5.449067e+002
9.765517e+002, 5.456227e+002
9.960828e+002, 5.463387e+002
1.015614e+003, 5.455797e+002
1.035145e+003, 5.446173e+002
1.054676e+003, 5.429428e+002
1.074207e+003, 5.418786e+002
1.093738e+003, 5.409670e+002
1.113269e+003, 5.405641e+002
1.132800e+003, 5.405172e+002
1.152331e+003, 5.400125e+002
1.171862e+003, 5.390501e+002
1.191393e+003, 5.377316e+002
1.210924e+003, 5.360062e+002
1.230455e+003, 5.343317e+002
1.249986e+003, 5.329623e+002
1.269517e+003, 5.319490e+002
1.289048e+003, 5.307323e+002
1.308579e+003, 5.296427e+002
1.328110e+003, 5.280953e+002
1.347641e+003, 5.268277e+002
1.367172e+003, 5.254838e+002
1.386703e+003, 5.241908e+002
1.406234e+003, 5.224654e+002
1.425766e+003, 5.207400e+002
1.445297e+003, 5.190146e+002
1.464828e+003, 5.180013e+002
1.484359e+003, 5.166320e+002
1.503890e+003, 5.154661e+002
1.523421e+003, 5.140968e+002
1.542952e+003, 5.123714e+002
1.562483e+003, 5.106460e+002
1.582014e+003, 5.092258e+002
1.601545e+003, 5.076021e+002
1.621076e+003, 5.062837e+002
1.640607e+003, 5.049143e+002
1.660138e+003, 5.036467e+002
1.679669e+003, 5.017433e+002
1.699200e+003, 4.994076e+002
1.718731e+003, 4.968684e+002
1.738262e+003, 4.949396e+002
1.757793e+003, 4.934431e+002
1.777324e+003, 4.920737e+002
1.796855e+003, 4.903483e+002
1.816386e+003, 4.886738e+002
1.835917e+003, 4.869484e+002
1.855448e+003, 4.850705e+002
1.874979e+003, 4.825313e+002
1.894510e+003, 4.803990e+002
1.914041e+003, 4.787754e+002
1.933572e+003, 4.775077e+002
1.953103e+003, 4.757824e+002
1.972634e+003, 4.735992e+002
1.992166e+003, 4.714669e+002
2.011697e+003, 4.691566e+002
2.031228e+003, 4.663886e+002
2.050759e+003, 4.645615e+002
2.070290e+003, 4.631667e+002
2.089821e+003, 4.622551e+002
2.109352e+003, 4.601991e+002
2.128883e+003, 4.573548e+002
2.148414e+003, 4.544087e+002
2.167945e+003, 4.517678e+002
2.187476e+003, 4.497372e+002
2.207007e+003, 4.491817e+002
2.226538e+003, 4.485244e+002
2.246069e+003, 4.465956e+002
2.265600e+003, 4.434715e+002
2.285131e+003, 4.403728e+002
2.304662e+003, 4.380625e+002
2.324193e+003, 4.360574e+002
2.343724e+003, 4.346118e+002
2.363255e+003, 4.332170e+002
2.382786e+003, 4.319748e+002
2.402317e+003, 4.302494e+002
2.421848e+003, 4.277103e+002
2.441379e+003, 4.253237e+002
2.460910e+003, 4.234966e+002
2.480441e+003, 4.221272e+002
2.499972e+003, 4.211393e+002
2.519503e+003, 4.204058e+002
2.539034e+003, 4.189856e+002
2.558565e+003, 4.174128e+002
2.578097e+003, 4.156366e+002
2.597628e+003, 4.141401e+002
2.617159e+003, 4.132030e+002
