File name = 1e.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.512079e+002
1.953103e+001, 3.503061e+002
3.906207e+001, 3.514389e+002
5.859310e+001, 3.513510e+002
7.812414e+001, 3.518480e+002
9.765517e+001, 3.519890e+002
1.171862e+002, 3.516722e+002
1.367172e+002, 3.519149e+002
1.562483e+002, 3.518779e+002
1.757793e+002, 3.514085e+002
1.953103e+002, 3.510663e+002
2.148414e+002, 3.508258e+002
2.343724e+002, 3.509413e+002
2.539034e+002, 3.509805e+002
2.734345e+002, 3.507146e+002
2.929655e+002, 3.504741e+002
3.124965e+002, 3.505388e+002
3.320276e+002, 3.506289e+002
3.515586e+002, 3.507444e+002
3.710897e+002, 3.508091e+002
3.906207e+002, 3.507721e+002
4.101517e+002, 3.505824e+002
4.296828e+002, 3.502148e+002
4.492138e+002, 3.501014e+002
4.687448e+002, 3.500644e+002
4.882759e+002, 3.503834e+002
5.078069e+002, 3.509567e+002
5.273379e+002, 3.509196e+002
5.468690e+002, 3.507808e+002
5.664000e+002, 3.504132e+002
5.859310e+002, 3.502998e+002
6.054621e+002, 3.502882e+002
6.249931e+002, 3.505309e+002
6.445241e+002, 3.508753e+002
6.640552e+002, 3.512198e+002
6.835862e+002, 3.511319e+002
7.031172e+002, 3.508914e+002
7.226483e+002, 3.507272e+002
7.421793e+002, 3.508173e+002
7.617103e+002, 3.509582e+002
7.812414e+002, 3.508449e+002
8.007724e+002, 3.507570e+002
8.203034e+002, 3.508980e+002
8.398345e+002, 3.510898e+002
8.593655e+002, 3.510019e+002
8.788965e+002, 3.506851e+002
8.984276e+002, 3.508261e+002
9.179586e+002, 3.508907e+002
9.374896e+002, 3.504213e+002
9.570207e+002, 3.505623e+002
9.765517e+002, 3.505761e+002
9.960828e+002, 3.505391e+002
1.015614e+003, 3.506546e+002
1.035145e+003, 3.507193e+002
1.054676e+003, 3.507077e+002
1.074207e+003, 3.510012e+002
1.093738e+003, 3.509133e+002
1.113269e+003, 3.508254e+002
1.132800e+003, 3.505849e+002
1.152331e+003, 3.504970e+002
1.171862e+003, 3.505617e+002
1.191393e+003, 3.507281e+002
1.210924e+003, 3.506402e+002
1.230455e+003, 3.504505e+002
1.249986e+003, 3.504644e+002
1.269517e+003, 3.508342e+002
1.289048e+003, 3.510260e+002
1.308579e+003, 3.511670e+002
1.328110e+003, 3.509774e+002
1.347641e+003, 3.505334e+002
1.367172e+003, 3.500386e+002
1.386703e+003, 3.502559e+002
1.406234e+003, 3.503205e+002
1.425766e+003, 3.503852e+002
1.445297e+003, 3.503227e+002
1.464828e+003, 3.502094e+002
1.484359e+003, 3.502232e+002
1.503890e+003, 3.505422e+002
1.523421e+003, 3.504543e+002
1.542952e+003, 3.503664e+002
1.562483e+003, 3.503293e+002
1.582014e+003, 3.501906e+002
1.601545e+003, 3.501027e+002
1.621076e+003, 3.500147e+002
1.640607e+003, 3.502320e+002
1.660138e+003, 3.499915e+002
1.679669e+003, 3.497510e+002
1.699200e+003, 3.498411e+002
1.718731e+003, 3.504398e+002
1.738262e+003, 3.506063e+002
1.757793e+003, 3.507218e+002
1.777324e+003, 3.506593e+002
1.796855e+003, 3.505714e+002
1.816386e+003, 3.504835e+002
1.835917e+003, 3.507770e+002
1.855448e+003, 3.514012e+002
1.874979e+003, 3.514659e+002
1.894510e+003, 3.512254e+002
1.914041e+003, 3.508323e+002
1.933572e+003, 3.503884e+002
1.953103e+003, 3.506565e+002
1.972634e+003, 3.509755e+002
1.992166e+003, 3.508876e+002
2.011697e+003, 3.507996e+002
2.031228e+003, 3.509152e+002
2.050759e+003, 3.507001e+002
2.070290e+003, 3.507394e+002
2.089821e+003, 3.506769e+002
2.109352e+003, 3.508179e+002
2.128883e+003, 3.510351e+002
2.148414e+003, 3.509981e+002
2.167945e+003, 3.509102e+002
2.187476e+003, 3.508222e+002
2.207007e+003, 3.511667e+002
2.226538e+003, 3.511296e+002
2.246069e+003, 3.508637e+002
2.265600e+003, 3.505469e+002
2.285131e+003, 3.506879e+002
2.304662e+003, 3.507525e+002
2.324193e+003, 3.506901e+002
2.343724e+003, 3.505259e+002
2.363255e+003, 3.500819e+002
2.382786e+003, 3.503500e+002
2.402317e+003, 3.511014e+002
2.421848e+003, 3.512932e+002
2.441379e+003, 3.509764e+002
2.460910e+003, 3.508122e+002
2.480441e+003, 3.505971e+002
2.499972e+003, 3.504329e+002
2.519503e+003, 3.504213e+002
2.539034e+003, 3.507657e+002
2.558565e+003, 3.510847e+002
2.578097e+003, 3.511240e+002
2.597628e+003, 3.508072e+002
2.617159e+003, 3.504649e+002
2.636690e+003, 3.504788e+002
2.656221e+003, 3.506452e+002
2.675752e+003, 3.506590e+002
2.695283e+003, 3.505965e+002
2.714814e+003, 3.504832e+002
2.734345e+003, 3.504461e+002
2.753876e+003, 3.507142e+002
2.773407e+003, 3.506772e+002
2.792938e+003, 3.507419e+002
2.812469e+003, 3.511626e+002
2.832000e+003, 3.513798e+002
2.851531e+003, 3.514954e+002
2.871062e+003, 3.517126e+002
2.890593e+003, 3.513450e+002
2.910124e+003, 3.510282e+002
2.929655e+003, 3.506351e+002
2.949186e+003, 3.505981e+002
2.968717e+003, 3.507899e+002
2.988248e+003, 3.511852e+002
3.007779e+003, 3.509955e+002
3.027310e+003, 3.507550e+002
3.046841e+003, 3.506163e+002
3.066372e+003, 3.503503e+002
3.085903e+003, 3.504659e+002
3.105434e+003, 3.507594e+002
3.124965e+003, 3.506715e+002
3.144497e+003, 3.505836e+002
3.164028e+003, 3.504957e+002
3.183559e+003, 3.508401e+002
3.203090e+003, 3.511337e+002
3.222621e+003, 3.509440e+002
3.242152e+003, 3.507544e+002
3.261683e+003, 3.509208e+002
3.281214e+003, 3.510109e+002
3.300745e+003, 3.511010e+002
3.320276e+003, 3.510894e+002
3.339807e+003, 3.510015e+002
3.359338e+003, 3.508373e+002
3.378869e+003, 3.503425e+002
3.398400e+003, 3.504580e+002
3.417931e+003, 3.503955e+002
3.437462e+003, 3.502822e+002
3.456993e+003, 3.503977e+002
3.476524e+003, 3.509202e+002
3.496055e+003, 3.510357e+002
3.515586e+003, 3.505409e+002
3.535117e+003, 3.503513e+002
3.554648e+003, 3.499836e+002
3.574179e+003, 3.501754e+002
3.593710e+003, 3.505962e+002
3.613241e+003, 3.508134e+002
3.632772e+003, 3.507255e+002
3.652303e+003, 3.507393e+002
3.671834e+003, 3.507023e+002
3.691365e+003, 3.507670e+002
3.710897e+003, 3.506790e+002
3.730428e+003, 3.504640e+002
3.749959e+003, 3.507067e+002
3.769490e+003, 3.506188e+002
3.789021e+003, 3.501748e+002
3.808552e+003, 3.496800e+002
3.828083e+003, 3.497701e+002
3.847614e+003, 3.500891e+002
3.867145e+003, 3.502555e+002
3.886676e+003, 3.503965e+002
3.906207e+003, 3.503086e+002
3.925738e+003, 3.503224e+002
3.945269e+003, 3.498784e+002
3.964800e+003, 3.497396e+002
3.984331e+003, 3.499569e+002
4.003862e+003, 3.501742e+002
4.023393e+003, 3.506966e+002
4.042924e+003, 3.510156e+002
4.062455e+003, 3.507497e+002
4.081986e+003, 3.504329e+002
4.101517e+003, 3.505484e+002
4.121048e+003, 3.506640e+002
4.140579e+003, 3.506523e+002
4.160110e+003, 3.508950e+002
4.179641e+003, 3.508580e+002
4.199172e+003, 3.509227e+002
4.218703e+003, 3.508348e+002
