File name = D1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.084212e+002
1.953103e+001, 3.076851e+002
3.906207e+001, 3.086020e+002
5.859310e+001, 3.088578e+002
7.812414e+001, 3.086812e+002
9.765517e+001, 3.083011e+002
1.171862e+002, 3.082771e+002
1.367172e+002, 3.082276e+002
1.562483e+002, 3.085342e+002
1.757793e+002, 3.086628e+002
1.953103e+002, 3.087914e+002
2.148414e+002, 3.087419e+002
2.343724e+002, 3.090485e+002
2.539034e+002, 3.089736e+002
2.734345e+002, 3.088479e+002
2.929655e+002, 3.088239e+002
3.124965e+002, 3.088253e+002
3.320276e+002, 3.091064e+002
3.515586e+002, 3.089553e+002
3.710897e+002, 3.088804e+002
3.906207e+002, 3.088055e+002
4.101517e+002, 3.090358e+002
4.296828e+002, 3.090118e+002
4.492138e+002, 3.088860e+002
4.687448e+002, 3.088112e+002
4.882759e+002, 3.086346e+002
5.078069e+002, 3.086614e+002
5.273379e+002, 3.086882e+002
5.468690e+002, 3.086642e+002
5.664000e+002, 3.082079e+002
5.859310e+002, 3.084636e+002
6.054621e+002, 3.086176e+002
6.249931e+002, 3.087207e+002
6.445241e+002, 3.085696e+002
6.640552e+002, 3.085964e+002
6.835862e+002, 3.084198e+002
7.031172e+002, 3.082432e+002
7.226483e+002, 3.084226e+002
7.421793e+002, 3.086275e+002
7.617103e+002, 3.086035e+002
7.812414e+002, 3.085795e+002
8.007724e+002, 3.088606e+002
8.203034e+002, 3.091418e+002
8.398345e+002, 3.087363e+002
8.593655e+002, 3.086360e+002
8.788965e+002, 3.083831e+002
8.984276e+002, 3.086897e+002
9.179586e+002, 3.088691e+002
9.374896e+002, 3.087942e+002
9.570207e+002, 3.085668e+002
9.765517e+002, 3.085427e+002
9.960828e+002, 3.087222e+002
1.015614e+003, 3.088507e+002
1.035145e+003, 3.088267e+002
1.054676e+003, 3.087264e+002
1.074207e+003, 3.089821e+002
1.093738e+003, 3.093650e+002
1.113269e+003, 3.092901e+002
1.132800e+003, 3.092407e+002
1.152331e+003, 3.094456e+002
1.171862e+003, 3.094724e+002
1.191393e+003, 3.091941e+002
1.210924e+003, 3.087123e+002
1.230455e+003, 3.085103e+002
1.249986e+003, 3.085625e+002
1.269517e+003, 3.087674e+002
1.289048e+003, 3.086925e+002
1.308579e+003, 3.086176e+002
1.328110e+003, 3.084919e+002
1.347641e+003, 3.085950e+002
1.367172e+003, 3.086727e+002
1.386703e+003, 3.089285e+002
1.406234e+003, 3.088027e+002
1.425766e+003, 3.087278e+002
1.445297e+003, 3.087038e+002
1.464828e+003, 3.089596e+002
1.484359e+003, 3.091390e+002
1.503890e+003, 3.094201e+002
1.523421e+003, 3.093707e+002
1.542952e+003, 3.091178e+002
1.562483e+003, 3.089921e+002
1.582014e+003, 3.096038e+002
1.601545e+003, 3.106734e+002
1.621076e+003, 3.105985e+002
1.640607e+003, 3.100150e+002
1.660138e+003, 3.096349e+002
1.679669e+003, 3.096109e+002
1.699200e+003, 3.093071e+002
1.718731e+003, 3.090034e+002
1.738262e+003, 3.088776e+002
1.757793e+003, 3.089045e+002
1.777324e+003, 3.091856e+002
1.796855e+003, 3.095176e+002
1.816386e+003, 3.094936e+002
1.835917e+003, 3.096731e+002
1.855448e+003, 3.096999e+002
1.874979e+003, 3.097013e+002
1.894510e+003, 3.095501e+002
1.914041e+003, 3.096787e+002
1.933572e+003, 3.094004e+002
1.953103e+003, 3.091475e+002
1.972634e+003, 3.087420e+002
1.992166e+003, 3.084382e+002
2.011697e+003, 3.087448e+002
2.031228e+003, 3.094837e+002
2.050759e+003, 3.095615e+002
2.070290e+003, 3.096900e+002
2.089821e+003, 3.099203e+002
2.109352e+003, 3.099472e+002
2.128883e+003, 3.097706e+002
2.148414e+003, 3.094414e+002
2.167945e+003, 3.093156e+002
2.187476e+003, 3.095459e+002
2.207007e+003, 3.096236e+002
2.226538e+003, 3.097776e+002
2.246069e+003, 3.094993e+002
2.265600e+003, 3.094244e+002
2.285131e+003, 3.097310e+002
2.304662e+003, 3.099613e+002
2.324193e+003, 3.101407e+002
2.343724e+003, 3.103456e+002
2.363255e+003, 3.103979e+002
2.382786e+003, 3.099161e+002
2.402317e+003, 3.098666e+002
2.421848e+003, 3.096137e+002
2.441379e+003, 3.095389e+002
2.460910e+003, 3.096166e+002
2.480441e+003, 3.097706e+002
2.499972e+003, 3.097466e+002
