File name = B1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.376636e+002
3.907532e+001, 5.349509e+002
7.815064e+001, 5.353408e+002
1.172260e+002, 5.255581e+002
1.563013e+002, 5.102315e+002
1.953766e+002, 4.914970e+002
2.344519e+002, 4.752040e+002
2.735272e+002, 4.669473e+002
3.126026e+002, 4.662182e+002
3.516779e+002, 4.682357e+002
3.907532e+002, 4.707364e+002
4.298285e+002, 4.774079e+002
4.689038e+002, 4.933618e+002
5.079791e+002, 5.156226e+002
5.470545e+002, 5.367645e+002
5.861298e+002, 5.520317e+002
6.252051e+002, 5.620093e+002
6.642804e+002, 5.710458e+002
7.033557e+002, 5.832359e+002
7.424311e+002, 5.977656e+002
7.815064e+002, 6.118376e+002
8.205817e+002, 6.222474e+002
8.596570e+002, 6.294021e+002
8.987323e+002, 6.336067e+002
9.378077e+002, 6.372009e+002
9.768830e+002, 6.417107e+002
1.015958e+003, 6.473904e+002
1.055034e+003, 6.521036e+002
1.094109e+003, 6.546806e+002
1.133184e+003, 6.566981e+002
1.172260e+003, 6.586139e+002
1.211335e+003, 6.601737e+002
1.250410e+003, 6.610213e+002
1.289486e+003, 6.627337e+002
1.328561e+003, 6.651581e+002
1.367636e+003, 6.674808e+002
1.406711e+003, 6.686336e+002
1.445787e+003, 6.690236e+002
1.484862e+003, 6.690574e+002
1.523937e+003, 6.693202e+002
1.563013e+003, 6.694812e+002
1.602088e+003, 6.691082e+002
1.641163e+003, 6.689895e+002
1.680239e+003, 6.686164e+002
1.719314e+003, 6.682434e+002
1.758389e+003, 6.678195e+002
1.797465e+003, 6.669887e+002
1.836540e+003, 6.657510e+002
1.875615e+003, 6.643099e+002
1.914691e+003, 6.632756e+002
1.953766e+003, 6.615293e+002
1.992841e+003, 6.583588e+002
2.031917e+003, 6.549849e+002
2.070992e+003, 6.505937e+002
2.110067e+003, 6.452870e+002
2.149143e+003, 6.395734e+002
2.188218e+003, 6.338598e+002
2.227293e+003, 6.293160e+002
2.266369e+003, 6.250775e+002
2.305444e+003, 6.199742e+002
2.344519e+003, 6.133451e+002
2.383594e+003, 6.069194e+002
2.422670e+003, 6.012058e+002
2.461745e+003, 5.971198e+002
2.500820e+003, 5.951446e+002
