File name = CD_1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.641829e+002
3.907532e+001, 6.616007e+002
7.815064e+001, 6.627824e+002
1.172260e+002, 6.631502e+002
1.563013e+002, 6.635181e+002
1.953766e+002, 6.637842e+002
2.344519e+002, 6.636434e+002
2.735272e+002, 6.631466e+002
3.126026e+002, 6.630567e+002
3.516779e+002, 6.634246e+002
3.907532e+002, 6.633346e+002
4.298285e+002, 6.632447e+002
4.689038e+002, 6.632057e+002
5.079791e+002, 6.634209e+002
5.470545e+002, 6.630258e+002
5.861298e+002, 6.625290e+002
6.252051e+002, 6.620322e+002
6.642804e+002, 6.617134e+002
7.033557e+002, 6.615981e+002
7.424311e+002, 6.620676e+002
7.815064e+002, 6.627915e+002
8.205817e+002, 6.631594e+002
8.596570e+002, 6.633746e+002
8.987323e+002, 6.630304e+002
9.378077e+002, 6.625336e+002
9.768830e+002, 6.626471e+002
1.015958e+003, 6.627606e+002
1.055034e+003, 6.629759e+002
1.094109e+003, 6.629877e+002
1.133184e+003, 6.627961e+002
1.172260e+003, 6.622230e+002
1.211335e+003, 6.619042e+002
1.250410e+003, 6.617125e+002
1.289486e+003, 6.621312e+002
1.328561e+003, 6.624482e+002
1.367636e+003, 6.627652e+002
1.406711e+003, 6.629296e+002
1.445787e+003, 6.625345e+002
1.484862e+003, 6.620886e+002
1.523937e+003, 6.624055e+002
1.563013e+003, 6.627225e+002
1.602088e+003, 6.626326e+002
1.641163e+003, 6.625427e+002
1.680239e+003, 6.631140e+002
1.719314e+003, 6.631767e+002
1.758389e+003, 6.634428e+002
1.797465e+003, 6.635563e+002
1.836540e+003, 6.636190e+002
1.875615e+003, 6.628170e+002
1.914691e+003, 6.623202e+002
1.953766e+003, 6.626372e+002
1.992841e+003, 6.632593e+002
2.031917e+003, 6.632711e+002
2.070992e+003, 6.631812e+002
2.110067e+003, 6.632439e+002
2.149143e+003, 6.636626e+002
2.188218e+003, 6.637253e+002
2.227293e+003, 6.636354e+002
2.266369e+003, 6.639015e+002
2.305444e+003, 6.642693e+002
2.344519e+003, 6.641794e+002
2.383594e+003, 6.639369e+002
2.422670e+003, 6.633384e+002
2.461745e+003, 6.634519e+002
2.500820e+003, 6.636672e+002
2.539896e+003, 6.637298e+002
2.578971e+003, 6.638434e+002
2.618046e+003, 6.639061e+002
2.657122e+003, 6.641213e+002
2.696197e+003, 6.640314e+002
2.735272e+003, 6.634837e+002
2.774348e+003, 6.635973e+002
2.813423e+003, 6.634565e+002
2.852498e+003, 6.634174e+002
2.891574e+003, 6.632766e+002
2.930649e+003, 6.632376e+002
2.969724e+003, 6.634529e+002
3.008800e+003, 6.638207e+002
3.047875e+003, 6.637816e+002
3.086950e+003, 6.635391e+002
3.126026e+003, 6.631949e+002
3.165101e+003, 6.631050e+002
3.204176e+003, 6.633711e+002
3.243251e+003, 6.633321e+002
3.282327e+003, 6.634965e+002
3.321402e+003, 6.637626e+002
3.360477e+003, 6.641813e+002
3.399553e+003, 6.641931e+002
3.438628e+003, 6.639506e+002
3.477703e+003, 6.631995e+002
3.516779e+003, 6.633130e+002
3.555854e+003, 6.637317e+002
3.594929e+003, 6.637435e+002
3.634005e+003, 6.636536e+002
3.673080e+003, 6.639197e+002
3.712155e+003, 6.634738e+002
3.751231e+003, 6.632313e+002
3.790306e+003, 6.631922e+002
3.829381e+003, 6.635601e+002
3.868457e+003, 6.638262e+002
3.907532e+003, 6.636854e+002
3.946607e+003, 6.635955e+002
3.985683e+003, 6.635056e+002
4.024758e+003, 6.631105e+002
4.063833e+003, 6.633766e+002
4.102908e+003, 6.633884e+002
4.141984e+003, 6.632985e+002
4.181059e+003, 6.632086e+002
4.220134e+003, 6.631187e+002
4.259210e+003, 6.629270e+002
4.298285e+003, 6.629388e+002
4.337360e+003, 6.632558e+002
4.376436e+003, 6.634202e+002
4.415511e+003, 6.633303e+002
4.454586e+003, 6.633930e+002
4.493662e+003, 6.637100e+002
4.532737e+003, 6.636201e+002
4.571812e+003, 6.634793e+002
4.610888e+003, 6.634402e+002
4.649963e+003, 6.637572e+002
4.689038e+003, 6.636673e+002
4.728114e+003, 6.639334e+002
4.767189e+003, 6.643013e+002
4.806264e+003, 6.646183e+002
4.845340e+003, 6.644775e+002
4.884415e+003, 6.636755e+002
4.923490e+003, 6.631278e+002
4.962566e+003, 6.630379e+002
5.001641e+003, 6.631260e+002
5.040716e+003, 6.636719e+002
5.079791e+003, 6.639380e+002
5.118867e+003, 6.638989e+002
5.157942e+003, 6.640633e+002
5.197017e+003, 6.633122e+002
5.236093e+003, 6.631206e+002
5.275168e+003, 6.630306e+002
5.314243e+003, 6.634493e+002
5.353319e+003, 6.641224e+002
5.392394e+003, 6.643885e+002
5.431469e+003, 6.642986e+002
5.470545e+003, 6.642087e+002
5.509620e+003, 6.638136e+002
5.548695e+003, 6.633168e+002
5.587771e+003, 6.630743e+002
5.626846e+003, 6.631369e+002
5.665921e+003, 6.638608e+002
5.704997e+003, 6.644830e+002
5.744072e+003, 6.644948e+002
5.783147e+003, 6.643031e+002
5.822223e+003, 6.641624e+002
5.861298e+003, 6.642250e+002
5.900373e+003, 6.645420e+002
5.939448e+003, 6.647064e+002
5.978524e+003, 6.646674e+002
6.017599e+003, 6.646792e+002
6.056674e+003, 6.647418e+002
6.095750e+003, 6.648554e+002
6.134825e+003, 6.647655e+002
6.173900e+003, 6.646755e+002
6.212976e+003, 6.646365e+002
6.252051e+003, 6.646229e+002
6.291126e+003, 6.647110e+002
6.330202e+003, 6.649262e+002
6.369277e+003, 6.646837e+002
6.408352e+003, 6.647464e+002
6.447428e+003, 6.643513e+002
6.486503e+003, 6.636002e+002
6.525578e+003, 6.634085e+002
6.564654e+003, 6.636747e+002
6.603729e+003, 6.638899e+002
6.642804e+003, 6.640543e+002
6.681880e+003, 6.638627e+002
6.720955e+003, 6.637219e+002
6.760030e+003, 6.632251e+002
6.799106e+003, 6.628809e+002
6.838181e+003, 6.634522e+002
6.877256e+003, 6.636674e+002
6.916331e+003, 6.640861e+002
6.955407e+003, 6.641488e+002
6.994482e+003, 6.640589e+002
7.033557e+003, 6.635621e+002
7.072633e+003, 6.634213e+002
7.111708e+003, 6.636365e+002
7.150783e+003, 6.635975e+002
7.189859e+003, 6.634567e+002
7.228934e+003, 6.630616e+002
7.268009e+003, 6.632769e+002
7.307085e+003, 6.632378e+002
7.346160e+003, 6.630971e+002
7.385235e+003, 6.630580e+002
7.424311e+003, 6.634259e+002
7.463386e+003, 6.636411e+002
7.502461e+003, 6.637038e+002
7.541537e+003, 6.636139e+002
7.580612e+003, 6.634222e+002
7.619687e+003, 6.633323e+002
7.658763e+003, 6.633441e+002
7.697838e+003, 6.634068e+002
7.736913e+003, 6.635203e+002
7.775988e+003, 6.632270e+002
7.815064e+003, 6.629845e+002
7.854139e+003, 6.628945e+002
7.893214e+003, 6.628046e+002
7.932290e+003, 6.627147e+002
7.971365e+003, 6.628282e+002
8.010440e+003, 6.632470e+002
8.049516e+003, 6.636148e+002
8.088591e+003, 6.638301e+002
8.127666e+003, 6.630789e+002
8.166742e+003, 6.625313e+002
8.205817e+003, 6.620853e+002
8.244892e+003, 6.623514e+002
8.283968e+003, 6.627193e+002
8.323043e+003, 6.626294e+002
8.362118e+003, 6.625394e+002
8.401194e+003, 6.624495e+002
8.440269e+003, 6.625122e+002
8.479344e+003, 6.625240e+002
8.518420e+003, 6.625358e+002
8.557495e+003, 6.627511e+002
8.596570e+003, 6.628137e+002
8.635646e+003, 6.627238e+002
8.674721e+003, 6.627865e+002
8.713796e+003, 6.632561e+002
