File name = C2_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.577712e+002
3.907532e+001, 2.570654e+002
7.815064e+001, 2.584959e+002
1.172260e+002, 2.504405e+002
1.563013e+002, 2.416221e+002
1.953766e+002, 2.346348e+002
2.344519e+002, 2.325049e+002
2.735272e+002, 2.350289e+002
3.126026e+002, 2.397909e+002
3.516779e+002, 2.456210e+002
3.907532e+002, 2.529006e+002
4.298285e+002, 2.636135e+002
4.689038e+002, 2.814981e+002
5.079791e+002, 3.054861e+002
5.470545e+002, 3.311018e+002
5.861298e+002, 3.520127e+002
6.252051e+002, 3.681679e+002
6.642804e+002, 3.820851e+002
7.033557e+002, 3.965364e+002
7.424311e+002, 4.115218e+002
7.815064e+002, 4.254899e+002
8.205817e+002, 4.373981e+002
8.596570e+002, 4.468649e+002
8.987323e+002, 4.534833e+002
9.378077e+002, 4.579656e+002
9.768830e+002, 4.616340e+002
1.015958e+003, 4.656076e+002
1.055034e+003, 4.690217e+002
1.094109e+003, 4.710625e+002
1.133184e+003, 4.716537e+002
1.172260e+003, 4.725501e+002
1.211335e+003, 4.735737e+002
1.250410e+003, 4.745464e+002
1.289486e+003, 4.755191e+002
1.328561e+003, 4.761358e+002
1.367636e+003, 4.757352e+002
1.406711e+003, 4.751820e+002
1.445787e+003, 4.744762e+002
1.484862e+003, 4.744826e+002
1.523937e+003, 4.744380e+002
1.563013e+003, 4.748004e+002
1.602088e+003, 4.755187e+002
1.641163e+003, 4.757794e+002
1.680239e+003, 4.755314e+002
1.719314e+003, 4.750545e+002
1.758389e+003, 4.751371e+002
1.797465e+003, 4.753469e+002
1.836540e+003, 4.755058e+002
1.875615e+003, 4.760207e+002
1.914691e+003, 4.764339e+002
1.953766e+003, 4.763385e+002
1.992841e+003, 4.762431e+002
2.031917e+003, 4.764020e+002
2.070992e+003, 4.771204e+002
2.110067e+003, 4.783983e+002
2.149143e+003, 4.787352e+002
2.188218e+003, 4.789195e+002
2.227293e+003, 4.795107e+002
2.266369e+003, 4.804834e+002
2.305444e+003, 4.811764e+002
2.344519e+003, 4.806741e+002
2.383594e+003, 4.801718e+002
2.422670e+003, 4.795169e+002
2.461745e+003, 4.783025e+002
2.500820e+003, 4.758165e+002
2.539896e+003, 4.728728e+002
2.578971e+003, 4.694204e+002
2.618046e+003, 4.642388e+002
2.657122e+003, 4.574295e+002
2.696197e+003, 4.495521e+002
2.735272e+003, 4.401997e+002
2.774348e+003, 4.290162e+002
2.813423e+003, 4.140943e+002
2.852498e+003, 3.975957e+002
2.891574e+003, 3.821652e+002
2.930649e+003, 3.688709e+002
2.969724e+003, 3.539490e+002
3.008800e+003, 3.336866e+002
3.047875e+003, 3.084650e+002
3.086950e+003, 2.845913e+002
3.126026e+003, 2.675332e+002
3.165101e+003, 2.585368e+002
3.204176e+003, 2.525667e+002
3.243251e+003, 2.462406e+002
3.282327e+003, 2.391516e+002
3.321402e+003, 2.342242e+002
3.360477e+003, 2.338999e+002
3.399553e+003, 2.381787e+002
3.438628e+003, 2.447972e+002
3.477703e+003, 2.512885e+002
3.516779e+003, 2.578306e+002
3.555854e+003, 2.699677e+002
3.594929e+003, 2.926588e+002
3.634005e+003, 3.221654e+002
3.673080e+003, 3.508837e+002
3.712155e+003, 3.706247e+002
3.751231e+003, 3.827364e+002
3.790306e+003, 3.918217e+002
3.829381e+003, 4.031958e+002
3.868457e+003, 4.182574e+002
3.907532e+003, 4.338786e+002
3.946607e+003, 4.458376e+002
3.985683e+003, 4.534733e+002
4.024758e+003, 4.583370e+002
4.063833e+003, 4.624887e+002
4.102908e+003, 4.658010e+002
4.141984e+003, 4.686557e+002
4.181059e+003, 4.713068e+002
4.220134e+003, 4.738563e+002
4.259210e+003, 4.753376e+002
4.298285e+003, 4.757508e+002
4.337360e+003, 4.759097e+002
4.376436e+003, 4.761195e+002
4.415511e+003, 4.764310e+002
4.454586e+003, 4.769968e+002
4.493662e+003, 4.772065e+002
4.532737e+003, 4.773146e+002
4.571812e+003, 4.768631e+002
4.610888e+003, 4.763100e+002
4.649963e+003, 4.757568e+002
4.689038e+003, 4.753053e+002
4.728114e+003, 4.755151e+002
4.767189e+003, 4.757248e+002
4.806264e+003, 4.760363e+002
4.845340e+003, 4.760935e+002
4.884415e+003, 4.764559e+002
4.923490e+003, 4.768182e+002
4.962566e+003, 4.774349e+002
5.001641e+003, 4.781024e+002
5.040716e+003, 4.788208e+002
5.079791e+003, 4.791068e+002
5.118867e+003, 4.802576e+002
5.157942e+003, 4.811285e+002
5.197017e+003, 4.816943e+002
5.236093e+003, 4.813446e+002
5.275168e+003, 4.811983e+002
5.314243e+003, 4.817387e+002
5.353319e+003, 4.826351e+002
5.392394e+003, 4.837096e+002
5.431469e+003, 4.841991e+002
5.470545e+003, 4.836205e+002
5.509620e+003, 4.826095e+002
5.548695e+003, 4.808356e+002
5.587771e+003, 4.787057e+002
5.626846e+003, 4.765758e+002
5.665921e+003, 4.740898e+002
5.704997e+003, 4.698745e+002
5.744072e+003, 4.634213e+002
5.783147e+003, 4.558491e+002
5.822223e+003, 4.473867e+002
5.861298e+003, 4.382632e+002
5.900373e+003, 4.271306e+002
5.939448e+003, 4.138618e+002
5.978524e+003, 3.989144e+002
6.017599e+003, 3.817800e+002
6.056674e+003, 3.610852e+002
6.095750e+003, 3.398310e+002
6.134825e+003, 3.222388e+002
6.173900e+003, 3.078255e+002
6.212976e+003, 2.928782e+002
6.252051e+003, 2.758201e+002
6.291126e+003, 2.596775e+002
6.330202e+003, 2.484686e+002
6.369277e+003, 2.421934e+002
6.408352e+003, 2.389445e+002
6.447428e+003, 2.384167e+002
6.486503e+003, 2.399489e+002
6.525578e+003, 2.441260e+002
6.564654e+003, 2.521177e+002
6.603729e+003, 2.631867e+002
6.642804e+003, 2.747897e+002
6.681880e+003, 2.867233e+002
6.720955e+003, 3.022681e+002
6.760030e+003, 3.243997e+002
6.799106e+003, 3.511598e+002
6.838181e+003, 3.754785e+002
6.877256e+003, 3.925238e+002
6.916331e+003, 4.034910e+002
6.955407e+003, 4.126780e+002
6.994482e+003, 4.233400e+002
7.033557e+003, 4.358077e+002
7.072633e+003, 4.466986e+002
7.111708e+003, 4.550464e+002
7.150783e+003, 4.609782e+002
7.189859e+003, 4.651299e+002
7.228934e+003, 4.682897e+002
7.268009e+003, 4.704831e+002
7.307085e+003, 4.726256e+002
7.346160e+003, 4.744630e+002
7.385235e+003, 4.755374e+002
7.424311e+003, 4.763067e+002
7.463386e+003, 4.765418e+002
7.502461e+003, 4.769296e+002
7.541537e+003, 4.768342e+002
7.580612e+003, 4.766879e+002
7.619687e+003, 4.765925e+002
7.658763e+003, 4.764971e+002
7.697838e+003, 4.764017e+002
7.736913e+003, 4.763063e+002
7.775988e+003, 4.762109e+002
7.815064e+003, 4.761663e+002
7.854139e+003, 4.761726e+002
7.893214e+003, 4.759755e+002
7.932290e+003, 4.763378e+002
7.971365e+003, 4.768782e+002
8.010440e+003, 4.772660e+002
8.049516e+003, 4.773232e+002
8.088591e+003, 4.772278e+002
8.127666e+003, 4.767254e+002
8.166742e+003, 4.770369e+002
8.205817e+003, 4.776536e+002
8.244892e+003, 4.788806e+002
8.283968e+003, 4.800059e+002
8.323043e+003, 4.806226e+002
8.362118e+003, 4.808323e+002
8.401194e+003, 4.813473e+002
8.440269e+003, 4.827269e+002
8.479344e+003, 4.837504e+002
8.518420e+003, 4.843162e+002
8.557495e+003, 4.841191e+002
8.596570e+003, 4.836677e+002
8.635646e+003, 4.830636e+002
8.674721e+003, 4.816458e+002
8.713796e+003, 4.796684e+002
8.752871e+003, 4.771316e+002
8.791947e+003, 4.730689e+002
8.831022e+003, 4.679890e+002
8.870097e+003, 4.621969e+002
8.909173e+003, 4.554385e+002
8.948248e+003, 4.461878e+002
8.987323e+003, 4.342414e+002
9.026399e+003, 4.191924e+002
9.065474e+003, 4.028972e+002
9.104549e+003, 3.882296e+002
9.143625e+003, 3.757237e+002
9.182700e+003, 3.622514e+002
9.221775e+003, 3.436420e+002
9.260851e+003, 3.194885e+002
9.299926e+003, 2.935040e+002
9.339001e+003, 2.730127e+002
9.378077e+003, 2.604814e+002
9.417152e+003, 2.544859e+002
9.456227e+003, 2.507538e+002
9.495303e+003, 2.451906e+002
9.534378e+003, 2.395512e+002
9.573453e+003, 2.371161e+002
9.612528e+003, 2.398690e+002
9.651604e+003, 2.462077e+002
9.690679e+003, 2.530042e+002
