File name = C1_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.003370e+002
3.907532e+001, 3.999114e+002
7.815064e+001, 4.002233e+002
1.172260e+002, 3.996196e+002
1.563013e+002, 3.992194e+002
1.953766e+002, 3.995821e+002
2.344519e+002, 4.002500e+002
2.735272e+002, 4.008670e+002
3.126026e+002, 4.017893e+002
3.516779e+002, 4.031947e+002
3.907532e+002, 4.043966e+002
4.298285e+002, 4.057003e+002
4.689038e+002, 4.074109e+002
5.079791e+002, 4.091215e+002
5.470545e+002, 4.109338e+002
5.861298e+002, 4.120086e+002
6.252051e+002, 4.121424e+002
6.642804e+002, 4.126832e+002
7.033557e+002, 4.130968e+002
7.424311e+002, 4.137647e+002
7.815064e+002, 4.144834e+002
8.205817e+002, 4.152022e+002
8.596570e+002, 4.163787e+002
8.987323e+002, 4.174535e+002
9.378077e+002, 4.173076e+002
9.768830e+002, 4.175686e+002
1.015958e+003, 4.180585e+002
1.055034e+003, 4.190570e+002
1.094109e+003, 4.198012e+002
1.133184e+003, 4.196808e+002
1.172260e+003, 4.195857e+002
1.211335e+003, 4.195161e+002
1.250410e+003, 4.193956e+002
1.289486e+003, 4.198092e+002
1.328561e+003, 4.204771e+002
1.367636e+003, 4.208399e+002
1.406711e+003, 4.213043e+002
1.445787e+003, 4.221248e+002
1.484862e+003, 4.225893e+002
1.523937e+003, 4.228248e+002
1.563013e+003, 4.236199e+002
1.602088e+003, 4.250507e+002
1.641163e+003, 4.262781e+002
1.680239e+003, 4.273275e+002
1.719314e+003, 4.281225e+002
1.758389e+003, 4.290448e+002
1.797465e+003, 4.300433e+002
1.836540e+003, 4.310163e+002
1.875615e+003, 4.313536e+002
1.914691e+003, 4.317927e+002
1.953766e+003, 4.326131e+002
1.992841e+003, 4.331539e+002
2.031917e+003, 4.329063e+002
2.070992e+003, 4.321500e+002
2.110067e+003, 4.319787e+002
2.149143e+003, 4.321888e+002
2.188218e+003, 4.321192e+002
2.227293e+003, 4.323293e+002
2.266369e+003, 4.324886e+002
2.305444e+003, 4.322919e+002
2.344519e+003, 4.314847e+002
2.383594e+003, 4.304233e+002
2.422670e+003, 4.294127e+002
2.461745e+003, 4.283513e+002
2.500820e+003, 4.266287e+002
2.539896e+003, 4.252112e+002
2.578971e+003, 4.234886e+002
2.618046e+003, 4.220202e+002
2.657122e+003, 4.204502e+002
2.696197e+003, 4.185749e+002
2.735272e+003, 4.165471e+002
2.774348e+003, 4.144684e+002
2.813423e+003, 4.120337e+002
2.852498e+003, 4.100568e+002
2.891574e+003, 4.078764e+002
2.930649e+003, 4.061791e+002
2.969724e+003, 4.045837e+002
3.008800e+003, 4.029373e+002
3.047875e+003, 4.013164e+002
3.086950e+003, 3.997463e+002
3.126026e+003, 3.982780e+002
3.165101e+003, 3.973692e+002
3.204176e+003, 3.972487e+002
3.243251e+003, 3.975606e+002
3.282327e+003, 3.980250e+002
3.321402e+003, 3.983369e+002
3.360477e+003, 3.989285e+002
3.399553e+003, 4.002830e+002
3.438628e+003, 4.019682e+002
3.477703e+003, 4.038568e+002
3.516779e+003, 4.053893e+002
3.555854e+003, 4.061590e+002
3.594929e+003, 4.071321e+002
3.634005e+003, 4.084103e+002
3.673080e+003, 4.099429e+002
3.712155e+003, 4.111448e+002
3.751231e+003, 4.117110e+002
3.790306e+003, 4.124298e+002
3.829381e+003, 4.134283e+002
3.868457e+003, 4.147574e+002
