File name = C1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 7.487307e+002
3.907532e+001, 7.454372e+002
7.815064e+001, 7.457549e+002
1.172260e+002, 7.474460e+002
1.563013e+002, 7.493405e+002
1.953766e+002, 7.509298e+002
2.344519e+002, 7.520614e+002
2.735272e+002, 7.534473e+002
3.126026e+002, 7.542228e+002
3.516779e+002, 7.550492e+002
3.907532e+002, 7.557739e+002
4.298285e+002, 7.564986e+002
4.689038e+002, 7.572232e+002
5.079791e+002, 7.579479e+002
5.470545e+002, 7.585200e+002
5.861298e+002, 7.585834e+002
6.252051e+002, 7.588503e+002
6.642804e+002, 7.593716e+002
7.033557e+002, 7.599436e+002
7.424311e+002, 7.606683e+002
7.815064e+002, 7.613930e+002
8.205817e+002, 7.628297e+002
8.596570e+002, 7.640630e+002
8.987323e+002, 7.650929e+002
9.378077e+002, 7.651054e+002
9.768830e+002, 7.654232e+002
1.015958e+003, 7.652832e+002
1.055034e+003, 7.648380e+002
1.094109e+003, 7.642911e+002
1.133184e+003, 7.633882e+002
1.172260e+003, 7.627904e+002
1.211335e+003, 7.610737e+002
1.250410e+003, 7.585940e+002
1.289486e+003, 7.545376e+002
1.328561e+003, 7.499726e+002
1.367636e+003, 7.444920e+002
1.406711e+003, 7.363665e+002
1.445787e+003, 7.265118e+002
1.484862e+003, 7.160467e+002
1.523937e+003, 7.053272e+002
1.563013e+003, 6.936923e+002
1.602088e+003, 6.812435e+002
1.641163e+003, 6.678284e+002
1.680239e+003, 6.546167e+002
1.719314e+003, 6.411506e+002
1.758389e+003, 6.293122e+002
1.797465e+003, 6.193049e+002
1.836540e+003, 6.115863e+002
1.875615e+003, 6.054445e+002
1.914691e+003, 6.009304e+002
1.953766e+003, 5.974843e+002
1.992841e+003, 5.936059e+002
2.031917e+003, 5.892697e+002
2.070992e+003, 5.844504e+002
2.110067e+003, 5.791732e+002
2.149143e+003, 5.732095e+002
2.188218e+003, 5.676526e+002
2.227293e+003, 5.648169e+002
2.266369e+003, 5.644734e+002
2.305444e+003, 5.657576e+002
2.344519e+003, 5.681099e+002
2.383594e+003, 5.746329e+002
2.422670e+003, 5.879715e+002
2.461745e+003, 6.077188e+002
2.500820e+003, 6.293734e+002
2.539896e+003, 6.484850e+002
2.578971e+003, 6.645193e+002
2.618046e+003, 6.781885e+002
2.657122e+003, 6.902810e+002
2.696197e+003, 7.000592e+002
2.735272e+003, 7.089219e+002
2.774348e+003, 7.176829e+002
2.813423e+003, 7.266473e+002
2.852498e+003, 7.330686e+002
2.891574e+003, 7.366924e+002
2.930649e+003, 7.387904e+002
2.969724e+003, 7.407866e+002
3.008800e+003, 7.428337e+002
3.047875e+003, 7.447282e+002
3.086950e+003, 7.459615e+002
3.126026e+003, 7.469405e+002
3.165101e+003, 7.477160e+002
3.204176e+003, 7.488985e+002
3.243251e+003, 7.500809e+002
3.282327e+003, 7.518737e+002
3.321402e+003, 7.531578e+002
3.360477e+003, 7.546963e+002
3.399553e+003, 7.562348e+002
3.438628e+003, 7.569594e+002
3.477703e+003, 7.572772e+002
3.516779e+003, 7.575950e+002
3.555854e+003, 7.583196e+002
3.594929e+003, 7.590443e+002
3.634005e+003, 7.596673e+002
3.673080e+003, 7.604937e+002
3.712155e+003, 7.618795e+002
3.751231e+003, 7.626042e+002
3.790306e+003, 7.628457e+002
3.829381e+003, 7.632397e+002
3.868457e+003, 7.639644e+002
3.907532e+003, 7.648417e+002
3.946607e+003, 7.654646e+002
3.985683e+003, 7.656806e+002
4.024758e+003, 7.655915e+002
4.063833e+003, 7.655024e+002
4.102908e+003, 7.652098e+002
4.141984e+003, 7.649681e+002
4.181059e+003, 7.646246e+002
4.220134e+003, 7.641286e+002
4.259210e+003, 7.628187e+002
4.298285e+003, 7.605425e+002
4.337360e+003, 7.569439e+002
4.376436e+003, 7.530400e+002
4.415511e+003, 7.485767e+002
4.454586e+003, 7.439608e+002
4.493662e+003, 7.382768e+002
4.532737e+003, 7.295918e+002
4.571812e+003, 7.177534e+002
4.610888e+003, 7.038296e+002
4.649963e+003, 6.903128e+002
4.689038e+003, 6.794408e+002
4.728114e+003, 6.710101e+002
4.767189e+003, 6.619692e+002
4.806264e+003, 6.491644e+002
4.845340e+003, 6.339690e+002
4.884415e+003, 6.206556e+002
4.923490e+003, 6.115129e+002
4.962566e+003, 6.053711e+002
5.001641e+003, 6.011112e+002
5.040716e+003, 5.984281e+002
5.079791e+003, 5.960502e+002
5.118867e+003, 5.928075e+002
5.157942e+003, 5.870218e+002
5.197017e+003, 5.795067e+002
5.236093e+003, 5.730089e+002
5.275168e+003, 5.711904e+002
5.314243e+003, 5.717625e+002
5.353319e+003, 5.711139e+002
5.392394e+003, 5.692954e+002
5.431469e+003, 5.722326e+002
5.470545e+003, 5.846811e+002
5.509620e+003, 6.028517e+002
5.548695e+003, 6.178688e+002
5.587771e+003, 6.290711e+002
5.626846e+003, 6.420028e+002
5.665921e+003, 6.586475e+002
5.704997e+003, 6.769198e+002
5.744072e+003, 6.938188e+002
5.783147e+003, 7.062419e+002
5.822223e+003, 7.142399e+002
5.861298e+003, 7.200509e+002
5.900373e+003, 7.252006e+002
5.939448e+003, 7.299943e+002
5.978524e+003, 7.348897e+002
6.017599e+003, 7.396833e+002
6.056674e+003, 7.427477e+002
6.095750e+003, 7.443879e+002
6.134825e+003, 7.451126e+002
6.173900e+003, 7.458372e+002
6.212976e+003, 7.469179e+002
6.252051e+003, 7.479478e+002
6.291126e+003, 7.492319e+002
6.330202e+003, 7.510756e+002
6.369277e+003, 7.530718e+002
6.408352e+003, 7.546103e+002
6.447428e+003, 7.551315e+002
6.486503e+003, 7.557036e+002
6.525578e+003, 7.567843e+002
6.564654e+003, 7.578650e+002
6.603729e+003, 7.594035e+002
6.642804e+003, 7.602299e+002
6.681880e+003, 7.609545e+002
6.720955e+003, 7.616029e+002
6.760030e+003, 7.623021e+002
6.799106e+003, 7.630268e+002
6.838181e+003, 7.633954e+002
6.877256e+003, 7.644253e+002
6.916331e+003, 7.648956e+002
6.955407e+003, 7.651117e+002
6.994482e+003, 7.650225e+002
7.033557e+003, 7.649334e+002
7.072633e+003, 7.653529e+002
7.111708e+003, 7.663319e+002
7.150783e+003, 7.670566e+002
7.189859e+003, 7.670183e+002
7.228934e+003, 7.670309e+002
7.268009e+003, 7.668400e+002
7.307085e+003, 7.660388e+002
7.346160e+003, 7.647290e+002
7.385235e+003, 7.626053e+002
7.424311e+003, 7.600748e+002
7.463386e+003, 7.566287e+002
7.502461e+003, 7.517585e+002
7.541537e+003, 7.458710e+002
7.580612e+003, 7.377456e+002
7.619687e+003, 7.287046e+002
7.658763e+003, 7.187481e+002
7.697838e+003, 7.081813e+002
7.736913e+003, 6.974110e+002
7.775988e+003, 6.852165e+002
7.815064e+003, 6.706824e+002
7.854139e+003, 6.549276e+002
7.893214e+003, 6.410038e+002
7.932290e+003, 6.310473e+002
7.971365e+003, 6.243969e+002
8.010440e+003, 6.187637e+002
8.049516e+003, 6.133340e+002
8.088591e+003, 6.079043e+002
8.127666e+003, 6.029323e+002
8.166742e+003, 5.979604e+002
8.205817e+003, 5.922764e+002
8.244892e+003, 5.881182e+002
8.283968e+003, 5.862489e+002
8.323043e+003, 5.846847e+002
8.362118e+003, 5.804249e+002
8.401194e+003, 5.724774e+002
8.440269e+003, 5.663611e+002
8.479344e+003, 5.664245e+002
8.518420e+003, 5.715743e+002
8.557495e+003, 5.760119e+002
8.596570e+003, 5.799918e+002
8.635646e+003, 5.912959e+002
8.674721e+003, 6.159769e+002
8.713796e+003, 6.479821e+002
8.752871e+003, 6.740363e+002
8.791947e+003, 6.884939e+002
8.831022e+003, 6.949152e+002
8.870097e+003, 6.997089e+002
8.909173e+003, 7.074018e+002
8.948248e+003, 7.182481e+002
8.987323e+003, 7.296539e+002
9.026399e+003, 7.385166e+002
9.065474e+003, 7.424965e+002
9.104549e+003, 7.442384e+002
9.143625e+003, 7.454717e+002
9.182700e+003, 7.461964e+002
9.221775e+003, 7.472262e+002
9.260851e+003, 7.492733e+002
9.299926e+003, 7.512696e+002
9.339001e+003, 7.524520e+002
9.378077e+003, 7.530749e+002
9.417152e+003, 7.539522e+002
9.456227e+003, 7.545243e+002
9.495303e+003, 7.553507e+002
9.534378e+003, 7.572452e+002
9.573453e+003, 7.594449e+002
9.612528e+003, 7.607799e+002
9.651604e+003, 7.615045e+002
9.690679e+003, 7.621275e+002
9.729754e+003, 7.628522e+002
9.768830e+003, 7.636786e+002
9.807905e+003, 7.652170e+002
9.846980e+003, 7.666538e+002
9.886056e+003, 7.674802e+002
9.925131e+003, 7.680522e+002
9.964206e+003, 7.673019e+002
1.000328e+004, 7.673653e+002
1.004236e+004, 7.685986e+002
1.008143e+004, 7.701880e+002
1.012051e+004, 7.710144e+002
1.015958e+004, 7.717390e+002
1.019866e+004, 7.716499e+002
1.023773e+004, 7.714590e+002
1.027681e+004, 7.706578e+002
1.031588e+004, 7.704161e+002
1.035496e+004, 7.704796e+002
1.039403e+004, 7.699835e+002
1.043311e+004, 7.685211e+002
1.047219e+004, 7.668552e+002
1.051126e+004, 7.651385e+002
1.055034e+004, 7.626079e+002
1.058941e+004, 7.576360e+002
1.062849e+004, 7.514942e+002
1.066756e+004, 7.457593e+002
1.070664e+004, 7.402787e+002
1.074571e+004, 7.329671e+002
1.078479e+004, 7.218916e+002
1.082386e+004, 7.075610e+002
1.086294e+004, 6.919333e+002
1.090201e+004, 6.776280e+002
1.094109e+004, 6.657896e+002
1.098016e+004, 6.567486e+002
1.101924e+004, 6.484198e+002
1.105832e+004, 6.386667e+002
1.109739e+004, 6.279982e+002
1.113647e+004, 6.189572e+002
1.117554e+004, 6.125102e+002
1.121462e+004, 6.080469e+002
1.125369e+004, 6.044991e+002
1.129277e+004, 6.014091e+002
1.133184e+004, 5.980139e+002
1.137092e+004, 5.936014e+002
1.140999e+004, 5.882226e+002
1.144907e+004, 5.822842e+002
1.148814e+004, 5.771342e+002
1.152722e+004, 5.744765e+002
1.156629e+004, 5.746926e+002
1.160537e+004, 5.762311e+002
1.164445e+004, 5.793971e+002
1.168352e+004, 5.859710e+002
1.172260e+004, 6.009372e+002
1.176167e+004, 6.231259e+002
1.180075e+004, 6.466371e+002
1.183982e+004, 6.653671e+002
1.187890e+004, 6.781971e+002
1.191797e+004, 6.883314e+002
1.195705e+004, 6.994320e+002
1.199612e+004, 7.112956e+002
1.203520e+004, 7.222437e+002
1.207427e+004, 7.307503e+002
1.211335e+004, 7.374005e+002
1.215242e+004, 7.423213e+002
1.219150e+004, 7.457926e+002
1.223057e+004, 7.489587e+002
1.226965e+004, 7.510566e+002
1.230873e+004, 7.530020e+002
1.234780e+004, 7.546931e+002
1.238688e+004, 7.560789e+002
1.242595e+004, 7.576174e+002
1.246503e+004, 7.591559e+002
1.250410e+004, 7.602875e+002
1.254318e+004, 7.614190e+002
1.258225e+004, 7.636696e+002
1.262133e+004, 7.660219e+002
1.266040e+004, 7.668482e+002
1.269948e+004, 7.667591e+002
1.273855e+004, 7.674838e+002
1.277763e+004, 7.690223e+002
1.281670e+004, 7.704590e+002
1.285578e+004, 7.711837e+002
1.289486e+004, 7.720101e+002
1.293393e+004, 7.727347e+002
1.297301e+004, 7.738154e+002
1.301208e+004, 7.740823e+002
1.305116e+004, 7.740949e+002
1.309023e+004, 7.751756e+002
1.312931e+004, 7.762563e+002
1.316838e+004, 7.772862e+002
1.320746e+004, 7.785195e+002
1.324653e+004, 7.789390e+002
1.328561e+004, 7.796128e+002
1.332468e+004, 7.799814e+002
1.336376e+004, 7.807061e+002
1.340283e+004, 7.813290e+002
1.344191e+004, 7.813416e+002
1.348099e+004, 7.812525e+002
1.352006e+004, 7.813159e+002
1.355914e+004, 7.806164e+002
