File name = D3_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.697683e+002
3.907532e+001, 4.690113e+002
7.815064e+001, 4.711026e+002
1.172260e+002, 4.719732e+002
1.563013e+002, 4.726403e+002
1.953766e+002, 4.727480e+002
2.344519e+002, 4.726267e+002
2.735272e+002, 4.727598e+002
3.126026e+002, 4.727912e+002
3.516779e+002, 4.733820e+002
3.907532e+002, 4.737694e+002
4.298285e+002, 4.740551e+002
4.689038e+002, 4.740864e+002
5.079791e+002, 4.741686e+002
5.470545e+002, 4.740474e+002
5.861298e+002, 4.739262e+002
6.252051e+002, 4.744153e+002
6.642804e+002, 4.755148e+002
7.033557e+002, 4.763599e+002
7.424311e+002, 4.767473e+002
7.815064e+002, 4.767278e+002
8.205817e+002, 4.769118e+002
8.596570e+002, 4.775026e+002
8.987323e+002, 4.781443e+002
9.378077e+002, 4.780740e+002
9.768830e+002, 4.788683e+002
1.015958e+003, 4.803746e+002
1.055034e+003, 4.818810e+002
1.094109e+003, 4.819378e+002
1.133184e+003, 4.815368e+002
1.172260e+003, 4.802966e+002
1.211335e+003, 4.788529e+002
1.250410e+003, 4.772058e+002
1.289486e+003, 4.760165e+002
1.328561e+003, 4.730724e+002
1.367636e+003, 4.680429e+002
1.406711e+003, 4.612587e+002
1.445787e+003, 4.541692e+002
1.484862e+003, 4.459608e+002
1.523937e+003, 4.345990e+002
1.563013e+003, 4.194478e+002
1.602088e+003, 4.016009e+002
1.641163e+003, 3.824316e+002
1.680239e+003, 3.624994e+002
1.719314e+003, 3.391085e+002
1.758389e+003, 3.113688e+002
1.797465e+003, 2.807300e+002
1.836540e+003, 2.533718e+002
1.875615e+003, 2.360336e+002
1.914691e+003, 2.291730e+002
1.953766e+003, 2.256949e+002
1.992841e+003, 2.235646e+002
2.031917e+003, 2.311745e+002
2.070992e+003, 2.545264e+002
2.110067e+003, 2.852279e+002
2.149143e+003, 3.130303e+002
2.188218e+003, 3.347291e+002
2.227293e+003, 3.534525e+002
2.266369e+003, 3.726337e+002
2.305444e+003, 3.924506e+002
2.344519e+003, 4.100296e+002
2.383594e+003, 4.240482e+002
2.422670e+003, 4.344301e+002
2.461745e+003, 4.421926e+002
2.500820e+003, 4.484546e+002
2.539896e+003, 4.531653e+002
2.578971e+003, 4.574691e+002
2.618046e+003, 4.611117e+002
2.657122e+003, 4.637880e+002
2.696197e+003, 4.652943e+002
2.735272e+003, 4.664955e+002
2.774348e+003, 4.680019e+002
2.813423e+003, 4.688216e+002
2.852498e+003, 4.688276e+002
2.891574e+003, 4.692658e+002
2.930649e+003, 4.697295e+002
2.969724e+003, 4.700915e+002
3.008800e+003, 4.698685e+002
3.047875e+003, 4.698490e+002
3.086950e+003, 4.698041e+002
3.126026e+003, 4.701152e+002
3.165101e+003, 4.704517e+002
3.204176e+003, 4.705085e+002
3.243251e+003, 4.709213e+002
3.282327e+003, 4.712578e+002
3.321402e+003, 4.715944e+002
3.360477e+003, 4.719563e+002
3.399553e+003, 4.718605e+002
3.438628e+003, 4.714596e+002
3.477703e+003, 4.713383e+002
3.516779e+003, 4.718020e+002
3.555854e+003, 4.720877e+002
3.594929e+003, 4.722208e+002
3.634005e+003, 4.726590e+002
3.673080e+003, 4.736059e+002
3.712155e+003, 4.740442e+002
3.751231e+003, 4.748130e+002
3.790306e+003, 4.755310e+002
3.829381e+003, 4.758930e+002
3.868457e+003, 4.766110e+002
3.907532e+003, 4.778122e+002
3.946607e+003, 4.787591e+002
3.985683e+003, 4.800112e+002
4.024758e+003, 4.808055e+002
4.063833e+003, 4.814980e+002
4.102908e+003, 4.815294e+002
4.141984e+003, 4.812810e+002
4.181059e+003, 4.817955e+002
4.220134e+003, 4.824881e+002
4.259210e+003, 4.825195e+002
4.298285e+003, 4.818896e+002
4.337360e+003, 4.808020e+002
4.376436e+003, 4.789260e+002
4.415511e+003, 4.771772e+002
4.454586e+003, 4.739533e+002
4.493662e+003, 4.694325e+002
4.532737e+003, 4.633603e+002
4.571812e+003, 4.555079e+002
4.610888e+003, 4.449599e+002
4.649963e+003, 4.321738e+002
4.689038e+003, 4.173279e+002
4.728114e+003, 4.022530e+002
4.767189e+003, 3.866949e+002
4.806264e+003, 3.671950e+002
4.845340e+003, 3.395062e+002
4.884415e+003, 3.054088e+002
4.923490e+003, 2.726846e+002
4.962566e+003, 2.502600e+002
5.001641e+003, 2.406529e+002
5.040716e+003, 2.361829e+002
5.079791e+003, 2.302888e+002
5.118867e+003, 2.282348e+002
5.157942e+003, 2.415667e+002
5.197017e+003, 2.702592e+002
5.236093e+003, 2.976801e+002
5.275168e+003, 3.173190e+002
5.314243e+003, 3.327618e+002
5.353319e+003, 3.509511e+002
5.392394e+003, 3.733366e+002
5.431469e+003, 3.961798e+002
5.470545e+003, 4.149032e+002
5.509620e+003, 4.284895e+002
5.548695e+003, 4.377270e+002
5.587771e+003, 4.425903e+002
5.626846e+003, 4.463855e+002
5.665921e+003, 4.511979e+002
5.704997e+003, 4.573074e+002
5.744072e+003, 4.629336e+002
5.783147e+003, 4.658896e+002
5.822223e+003, 4.673197e+002
5.861298e+003, 4.681394e+002
5.900373e+003, 4.690354e+002
5.939448e+003, 4.693211e+002
5.978524e+003, 4.699882e+002
6.017599e+003, 4.712657e+002
6.056674e+003, 4.724669e+002
6.095750e+003, 4.731086e+002
6.134825e+003, 4.730383e+002
6.173900e+003, 4.728662e+002
6.212976e+003, 4.727449e+002
6.252051e+003, 4.732341e+002
6.291126e+003, 4.733163e+002
6.330202e+003, 4.732459e+002
6.369277e+003, 4.727941e+002
6.408352e+003, 4.721896e+002
6.447428e+003, 4.716615e+002
6.486503e+003, 4.716929e+002
6.525578e+003, 4.718260e+002
6.564654e+003, 4.727728e+002
6.603729e+003, 4.734654e+002
6.642804e+003, 4.739800e+002
6.681880e+003, 4.741893e+002
6.720955e+003, 4.739664e+002
6.760030e+003, 4.736926e+002
6.799106e+003, 4.739782e+002
6.838181e+003, 4.751794e+002
6.877256e+003, 4.759229e+002
6.916331e+003, 4.762594e+002
6.955407e+003, 4.761890e+002
6.994482e+003, 4.768816e+002
7.033557e+003, 4.779811e+002
7.072633e+003, 4.785719e+002
7.111708e+003, 4.792645e+002
7.150783e+003, 4.796010e+002
7.189859e+003, 4.802936e+002
7.228934e+003, 4.813422e+002
7.268009e+003, 4.815770e+002
7.307085e+003, 4.812015e+002
7.346160e+003, 4.807496e+002
7.385235e+003, 4.809590e+002
7.424311e+003, 4.815498e+002
7.463386e+003, 4.807165e+002
7.502461e+003, 4.782556e+002
7.541537e+003, 4.749046e+002
7.580612e+003, 4.714010e+002
7.619687e+003, 4.668039e+002
7.658763e+003, 4.607571e+002
7.697838e+003, 4.529811e+002
7.736913e+003, 4.439589e+002
7.775988e+003, 4.325716e+002
7.815064e+003, 4.180816e+002
7.854139e+003, 3.988615e+002
7.893214e+003, 3.759283e+002
7.932290e+003, 3.527917e+002
7.971365e+003, 3.333173e+002
8.010440e+003, 3.158519e+002
8.049516e+003, 2.944700e+002
8.088591e+003, 2.659674e+002
8.127666e+003, 2.368799e+002
8.166742e+003, 2.184736e+002
8.205817e+003, 2.144868e+002
8.244892e+003, 2.202402e+002
8.283968e+003, 2.301643e+002
8.323043e+003, 2.478705e+002
8.362118e+003, 2.758508e+002
8.401194e+003, 3.065778e+002
8.440269e+003, 3.391867e+002
8.479344e+003, 3.688201e+002
8.518420e+003, 3.857125e+002
8.557495e+003, 3.940090e+002
8.596570e+003, 4.014155e+002
8.635646e+003, 4.127892e+002
8.674721e+003, 4.281302e+002
8.713796e+003, 4.418436e+002
8.752871e+003, 4.506742e+002
8.791947e+003, 4.548000e+002
8.831022e+003, 4.568405e+002
8.870097e+003, 4.588555e+002
8.909173e+003, 4.615825e+002
8.948248e+003, 4.643096e+002
8.987323e+003, 4.662229e+002
9.026399e+003, 4.678819e+002
9.065474e+003, 4.687779e+002
9.104549e+003, 4.690127e+002
9.143625e+003, 4.689932e+002
9.182700e+003, 4.692788e+002
9.221775e+003, 4.697934e+002
9.260851e+003, 4.702571e+002
9.299926e+003, 4.704410e+002
9.339001e+003, 4.699129e+002
9.378077e+003, 4.690796e+002
9.417152e+003, 4.687040e+002
9.456227e+003, 4.696509e+002
9.495303e+003, 4.702418e+002
9.534378e+003, 4.700697e+002
9.573453e+003, 4.704571e+002
9.612528e+003, 4.712005e+002
9.651604e+003, 4.716388e+002
9.690679e+003, 4.713650e+002
9.729754e+003, 4.710911e+002
9.768830e+003, 4.710208e+002
9.807905e+003, 4.718151e+002
9.846980e+003, 4.726857e+002
9.886056e+003, 4.730985e+002
