File name = D1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.031109e+002
3.907532e+001, 4.022219e+002
7.815064e+001, 4.046899e+002
1.172260e+002, 4.058864e+002
1.563013e+002, 4.073626e+002
1.953766e+002, 4.088388e+002
2.344519e+002, 4.101624e+002
2.735272e+002, 4.113588e+002
3.126026e+002, 4.123772e+002
3.516779e+002, 4.137008e+002
3.907532e+002, 4.142869e+002
4.298285e+002, 4.149493e+002
4.689038e+002, 4.156625e+002
5.079791e+002, 4.166555e+002
5.470545e+002, 4.179283e+002
5.861298e+002, 4.185652e+002
6.252051e+002, 4.192276e+002
6.642804e+002, 4.201952e+002
7.033557e+002, 4.217731e+002
7.424311e+002, 4.229949e+002
7.815064e+002, 4.237336e+002
8.205817e+002, 4.245232e+002
8.596570e+002, 4.256433e+002
8.987323e+002, 4.267126e+002
9.378077e+002, 4.277310e+002
9.768830e+002, 4.288512e+002
1.015958e+003, 4.305817e+002
1.055034e+003, 4.322104e+002
1.094109e+003, 4.345004e+002
1.133184e+003, 4.371465e+002
1.172260e+003, 4.397416e+002
1.211335e+003, 4.415230e+002
1.250410e+003, 4.440164e+002
1.289486e+003, 4.476034e+002
1.328561e+003, 4.521568e+002
1.367636e+003, 4.554132e+002
1.406711e+003, 4.580592e+002
1.445787e+003, 4.604000e+002
1.484862e+003, 4.636056e+002
1.523937e+003, 4.665568e+002
1.563013e+003, 4.683381e+002
1.602088e+003, 4.692803e+002
1.641163e+003, 4.702224e+002
1.680239e+003, 4.707830e+002
1.719314e+003, 4.710640e+002
1.758389e+003, 4.711669e+002
1.797465e+003, 4.706848e+002
1.836540e+003, 4.690584e+002
1.875615e+003, 4.671268e+002
1.914691e+003, 4.653986e+002
1.953766e+003, 4.637213e+002
1.992841e+003, 4.620440e+002
2.031917e+003, 4.588917e+002
2.070992e+003, 4.547984e+002
2.110067e+003, 4.497133e+002
2.149143e+003, 4.446537e+002
2.188218e+003, 4.401789e+002
2.227293e+003, 4.360093e+002
2.266369e+003, 4.322975e+002
2.305444e+003, 4.277719e+002
2.344519e+003, 4.224071e+002
2.383594e+003, 4.171440e+002
2.422670e+003, 4.123641e+002
2.461745e+003, 4.080673e+002
2.500820e+003, 4.048387e+002
2.539896e+003, 4.027799e+002
2.578971e+003, 4.016367e+002
2.618046e+003, 4.009512e+002
2.657122e+003, 3.999606e+002
2.696197e+003, 3.985376e+002
2.735272e+003, 3.975215e+002
2.774348e+003, 3.970649e+002
2.813423e+003, 3.966592e+002
2.852498e+003, 3.962534e+002
2.891574e+003, 3.964581e+002
2.930649e+003, 3.970187e+002
2.969724e+003, 3.978591e+002
3.008800e+003, 3.989538e+002
3.047875e+003, 4.002012e+002
3.086950e+003, 4.013976e+002
3.126026e+003, 4.020600e+002
3.165101e+003, 4.031801e+002
3.204176e+003, 4.042494e+002
3.243251e+003, 4.053696e+002
3.282327e+003, 4.064134e+002
3.321402e+003, 4.077116e+002
3.360477e+003, 4.082214e+002
3.399553e+003, 4.093161e+002
3.438628e+003, 4.107668e+002
3.477703e+003, 4.124465e+002
3.516779e+003, 4.138972e+002
3.555854e+003, 4.148139e+002
3.594929e+003, 4.157052e+002
3.634005e+003, 4.166728e+002
3.673080e+003, 4.179201e+002
3.712155e+003, 4.193200e+002
3.751231e+003, 4.201349e+002
3.790306e+003, 4.207973e+002
3.829381e+003, 4.210782e+002
3.868457e+003, 4.217152e+002
3.907532e+003, 4.227845e+002
3.946607e+003, 4.238029e+002
3.985683e+003, 4.248213e+002
4.024758e+003, 4.266281e+002
4.063833e+003, 4.288927e+002
4.102908e+003, 4.311572e+002
4.141984e+003, 4.331166e+002
4.181059e+003, 4.355592e+002
4.220134e+003, 4.391462e+002
4.259210e+003, 4.438013e+002
4.298285e+003, 4.490921e+002
4.337360e+003, 4.538998e+002
4.376436e+003, 4.573088e+002
4.415511e+003, 4.602854e+002
4.454586e+003, 4.631858e+002
4.493662e+003, 4.676120e+002
4.532737e+003, 4.724706e+002
4.571812e+003, 4.770748e+002
4.610888e+003, 4.807635e+002
4.649963e+003, 4.829772e+002
4.689038e+003, 4.839448e+002
4.728114e+003, 4.845563e+002
4.767189e+003, 4.855747e+002
4.806264e+003, 4.868474e+002
4.845340e+003, 4.870521e+002
4.884415e+003, 4.860868e+002
4.923490e+003, 4.847656e+002
4.962566e+003, 4.833426e+002
5.001641e+003, 4.809024e+002
5.040716e+003, 4.785130e+002
5.079791e+003, 4.760219e+002
5.118867e+003, 4.728187e+002
5.157942e+003, 4.678862e+002
5.197017e+003, 4.622925e+002
5.236093e+003, 4.576397e+002
5.275168e+003, 4.530378e+002
5.314243e+003, 4.482579e+002
5.353319e+003, 4.430711e+002
5.392394e+003, 4.372739e+002
5.431469e+003, 4.315276e+002
5.470545e+003, 4.256795e+002
5.509620e+003, 4.199586e+002
5.548695e+003, 4.152042e+002
5.587771e+003, 4.117467e+002
5.626846e+003, 4.091030e+002
5.665921e+003, 4.067136e+002
5.704997e+003, 4.045785e+002
5.744072e+003, 4.021892e+002
5.783147e+003, 3.999015e+002
5.822223e+003, 3.981225e+002
5.861298e+003, 3.974624e+002
5.900373e+003, 3.972347e+002
5.939448e+003, 3.968544e+002
5.978524e+003, 3.961944e+002
6.017599e+003, 3.961447e+002
6.056674e+003, 3.969851e+002
6.095750e+003, 3.978764e+002
6.134825e+003, 3.983862e+002
6.173900e+003, 3.989468e+002
6.212976e+003, 3.992023e+002
6.252051e+003, 4.000173e+002
6.291126e+003, 4.012391e+002
6.330202e+003, 4.028170e+002
6.369277e+003, 4.044458e+002
6.408352e+003, 4.051845e+002
6.447428e+003, 4.057706e+002
6.486503e+003, 4.066873e+002
6.525578e+003, 4.077566e+002
6.564654e+003, 4.086478e+002
6.603729e+003, 4.098951e+002
6.642804e+003, 4.118037e+002
