File name = D1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 7.106142e+002
3.907532e+001, 7.074976e+002
7.815064e+001, 7.087552e+002
1.172260e+002, 7.093515e+002
1.563013e+002, 7.092358e+002
1.953766e+002, 7.092219e+002
2.344519e+002, 7.098182e+002
2.735272e+002, 7.110250e+002
3.126026e+002, 7.121300e+002
3.516779e+002, 7.135401e+002
3.907532e+002, 7.150012e+002
4.298285e+002, 7.157501e+002
4.689038e+002, 7.165500e+002
5.079791e+002, 7.172735e+002
5.470545e+002, 7.174884e+002
5.861298e+002, 7.170167e+002
6.252051e+002, 7.169010e+002
6.642804e+002, 7.171922e+002
7.033557e+002, 7.173308e+002
7.424311e+002, 7.160961e+002
7.815064e+002, 7.143528e+002
8.205817e+002, 7.117957e+002
8.596570e+002, 7.079670e+002
8.987323e+002, 7.026125e+002
9.378077e+002, 6.968001e+002
9.768830e+002, 6.912930e+002
1.015958e+003, 6.840057e+002
1.055034e+003, 6.733105e+002
1.094109e+003, 6.589024e+002
1.133184e+003, 6.421546e+002
1.172260e+003, 6.249491e+002
1.211335e+003, 6.085573e+002
1.250410e+003, 5.928776e+002
1.289486e+003, 5.749600e+002
1.328561e+003, 5.528716e+002
1.367636e+003, 5.283418e+002
1.406711e+003, 5.062535e+002
1.445787e+003, 4.916928e+002
1.484862e+003, 4.832356e+002
1.523937e+003, 4.786440e+002
1.563013e+003, 4.772058e+002
1.602088e+003, 4.814135e+002
1.641163e+003, 4.933522e+002
1.680239e+003, 5.104790e+002
1.719314e+003, 5.291062e+002
1.758389e+003, 5.481911e+002
1.797465e+003, 5.695395e+002
1.836540e+003, 5.920576e+002
1.875615e+003, 6.118292e+002
1.914691e+003, 6.258534e+002
1.953766e+003, 6.369529e+002
1.992841e+003, 6.481033e+002
2.031917e+003, 6.598386e+002
2.070992e+003, 6.706583e+002
2.110067e+003, 6.806134e+002
2.149143e+003, 6.887883e+002
2.188218e+003, 6.951831e+002
2.227293e+003, 7.001282e+002
2.266369e+003, 7.038018e+002
2.305444e+003, 7.061275e+002
2.344519e+003, 7.075885e+002
2.383594e+003, 7.087952e+002
2.422670e+003, 7.099511e+002
2.461745e+003, 7.113613e+002
2.500820e+003, 7.117034e+002
2.539896e+003, 7.120454e+002
2.578971e+003, 7.126418e+002
2.618046e+003, 7.126278e+002
2.657122e+003, 7.116983e+002
2.696197e+003, 7.107688e+002
2.735272e+003, 7.106531e+002
2.774348e+003, 7.107154e+002
2.813423e+003, 7.104217e+002
2.852498e+003, 7.102043e+002
2.891574e+003, 7.095291e+002
2.930649e+003, 7.092608e+002
2.969724e+003, 7.085347e+002
3.008800e+003, 7.082156e+002
3.047875e+003, 7.080999e+002
3.086950e+003, 7.086963e+002
3.126026e+003, 7.090383e+002
3.165101e+003, 7.092787e+002
3.204176e+003, 7.096207e+002
3.243251e+003, 7.099628e+002
3.282327e+003, 7.106609e+002
3.321402e+003, 7.111047e+002
3.360477e+003, 7.119554e+002
3.399553e+003, 7.127552e+002
3.438628e+003, 7.133516e+002
3.477703e+003, 7.134902e+002
3.516779e+003, 7.140357e+002
3.555854e+003, 7.150898e+002
3.594929e+003, 7.158388e+002
3.634005e+003, 7.163335e+002
3.673080e+003, 7.166755e+002
3.712155e+003, 7.165598e+002
3.751231e+003, 7.157829e+002
3.790306e+003, 7.155146e+002
3.829381e+003, 7.149920e+002
3.868457e+003, 7.133504e+002
3.907532e+003, 7.099795e+002
3.946607e+003, 7.057948e+002
3.985683e+003, 7.012541e+002
4.024758e+003, 6.953400e+002
4.063833e+003, 6.870863e+002
4.102908e+003, 6.773067e+002
4.141984e+003, 6.674253e+002
4.181059e+003, 6.567302e+002
4.220134e+003, 6.441531e+002
4.259210e+003, 6.278631e+002
4.298285e+003, 6.067411e+002
4.337360e+003, 5.831777e+002
4.376436e+003, 5.621066e+002
4.415511e+003, 5.468338e+002
4.454586e+003, 5.346637e+002
4.493662e+003, 5.196452e+002
4.532737e+003, 4.994388e+002
4.571812e+003, 4.817246e+002
4.610888e+003, 4.739795e+002
4.649963e+003, 4.763052e+002
4.689038e+003, 4.837426e+002
4.728114e+003, 4.917649e+002
4.767189e+003, 5.027119e+002
4.806264e+003, 5.217714e+002
4.845340e+003, 5.493250e+002
4.884415e+003, 5.779975e+002
4.923490e+003, 6.009735e+002
4.962566e+003, 6.168795e+002
5.001641e+003, 6.288183e+002
5.040716e+003, 6.390786e+002
5.079791e+003, 6.504070e+002
5.118867e+003, 6.619897e+002
5.157942e+003, 6.725551e+002
5.197017e+003, 6.813913e+002
5.236093e+003, 6.881420e+002
5.275168e+003, 6.930363e+002
5.314243e+003, 6.968624e+002
5.353319e+003, 7.004597e+002
5.392394e+003, 7.039553e+002
5.431469e+003, 7.058232e+002
5.470545e+003, 7.066230e+002
5.509620e+003, 7.073211e+002
5.548695e+003, 7.082736e+002
5.587771e+003, 7.087173e+002
5.626846e+003, 7.092629e+002
5.665921e+003, 7.091980e+002
