File name = A1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.822479e+002
1.953103e+001, 3.818971e+002
3.906207e+001, 3.822584e+002
5.859310e+001, 3.827215e+002
7.812414e+001, 3.829810e+002
9.765517e+001, 3.839019e+002
1.171862e+002, 3.863231e+002
1.367172e+002, 3.891258e+002
1.562483e+002, 3.912673e+002
1.757793e+002, 3.926205e+002
1.953103e+002, 3.942025e+002
2.148414e+002, 3.966746e+002
2.343724e+002, 4.002403e+002
2.539034e+002, 4.046452e+002
2.734345e+002, 4.097113e+002
2.929655e+002, 4.134041e+002
3.124965e+002, 4.151387e+002
3.320276e+002, 4.165682e+002
3.515586e+002, 4.178704e+002
3.710897e+002, 4.205460e+002
3.906207e+002, 4.237556e+002
4.101517e+002, 4.274739e+002
4.296828e+002, 4.307089e+002
4.492138e+002, 4.326724e+002
4.687448e+002, 4.326777e+002
4.882759e+002, 4.332933e+002
5.078069e+002, 4.348754e+002
5.273379e+002, 4.369660e+002
5.468690e+002, 4.385480e+002
5.664000e+002, 4.393162e+002
5.859310e+002, 4.398810e+002
6.054621e+002, 4.403441e+002
6.249931e+002, 4.411123e+002
6.445241e+002, 4.419822e+002
6.640552e+002, 4.431573e+002
6.835862e+002, 4.439255e+002
7.031172e+002, 4.442869e+002
7.226483e+002, 4.442413e+002
7.421793e+002, 4.441957e+002
7.617103e+002, 4.445824e+002
7.812414e+002, 4.449183e+002
8.007724e+002, 4.451016e+002
8.203034e+002, 4.460479e+002
8.398345e+002, 4.471213e+002
8.593655e+002, 4.472283e+002
8.788965e+002, 4.475387e+002
8.984276e+002, 4.479509e+002
9.179586e+002, 4.482868e+002
9.374896e+002, 4.486227e+002
9.570207e+002, 4.496198e+002
9.765517e+002, 4.501591e+002
9.960828e+002, 4.508256e+002
1.015614e+003, 4.509326e+002
1.035145e+003, 4.515482e+002
1.054676e+003, 4.524690e+002
1.074207e+003, 4.539493e+002
1.093738e+003, 4.547175e+002
1.113269e+003, 4.547737e+002
1.132800e+003, 4.550841e+002
1.152331e+003, 4.553437e+002
1.171862e+003, 4.561119e+002
1.191393e+003, 4.562190e+002
1.210924e+003, 4.568346e+002
1.230455e+003, 4.571196e+002
1.249986e+003, 4.572520e+002
1.269517e+003, 4.576134e+002
1.289048e+003, 4.575678e+002
1.308579e+003, 4.571153e+002
1.328110e+003, 4.567137e+002
1.347641e+003, 4.566172e+002
1.367172e+003, 4.561647e+002
1.386703e+003, 4.557122e+002
1.406234e+003, 4.548529e+002
1.425766e+003, 4.535866e+002
1.445297e+003, 4.519134e+002
1.464828e+003, 4.506471e+002
1.484359e+003, 4.494062e+002
1.503890e+003, 4.475296e+002
1.523421e+003, 4.447120e+002
1.542952e+003, 4.415129e+002
1.562483e+003, 4.389242e+002
1.582014e+003, 4.369458e+002
1.601545e+003, 4.349420e+002
1.621076e+003, 4.324296e+002
1.640607e+003, 4.290780e+002
1.660138e+003, 4.251922e+002
1.679669e+003, 4.218914e+002
1.699200e+003, 4.179549e+002
1.718731e+003, 4.131028e+002
1.738262e+003, 4.087847e+002
1.757793e+003, 4.052550e+002
1.777324e+003, 4.023103e+002
1.796855e+003, 3.990095e+002
1.816386e+003, 3.947169e+002
1.835917e+003, 3.896104e+002
1.855448e+003, 3.848601e+002
1.874979e+003, 3.813812e+002
1.894510e+003, 3.790468e+002
1.914041e+003, 3.764073e+002
1.933572e+003, 3.738694e+002
1.953103e+003, 3.712807e+002
1.972634e+003, 3.685648e+002
1.992166e+003, 3.663067e+002
2.011697e+003, 3.639214e+002
2.031228e+003, 3.618668e+002
2.050759e+003, 3.604733e+002
2.070290e+003, 3.597665e+002
2.089821e+003, 3.597209e+002
2.109352e+003, 3.592176e+002
2.128883e+003, 3.589686e+002
2.148414e+003, 3.594316e+002
2.167945e+003, 3.601998e+002
2.187476e+003, 3.604594e+002
2.207007e+003, 3.609225e+002
2.226538e+003, 3.614109e+002
2.246069e+003, 3.626115e+002
2.265600e+003, 3.644478e+002
2.285131e+003, 3.667673e+002
2.304662e+003, 3.691632e+002
2.324193e+003, 3.713301e+002
2.343724e+003, 3.728104e+002
2.363255e+003, 3.741127e+002
2.382786e+003, 3.757456e+002
2.402317e+003, 3.784211e+002
2.421848e+003, 3.818851e+002
2.441379e+003, 3.851201e+002
2.460910e+003, 3.881009e+002
2.480441e+003, 3.903950e+002
2.499972e+003, 3.921296e+002
2.519503e+003, 3.940676e+002
2.539034e+003, 3.961074e+002
2.558565e+003, 3.986813e+002
2.578097e+003, 4.016111e+002
2.597628e+003, 4.042867e+002
2.617159e+003, 4.064537e+002
2.636690e+003, 4.077051e+002
2.656221e+003, 4.088039e+002
2.675752e+003, 4.099790e+002
2.695283e+003, 4.113576e+002
2.714814e+003, 4.123547e+002
2.734345e+003, 4.130975e+002
2.753876e+003, 4.133571e+002
2.773407e+003, 4.134641e+002
2.792938e+003, 4.134185e+002
2.812469e+003, 4.129151e+002
2.832000e+003, 4.125135e+002
2.851531e+003, 4.120610e+002
2.871062e+003, 4.109727e+002
2.890593e+003, 4.085620e+002
2.910124e+003, 4.058207e+002
2.929655e+003, 4.036898e+002
2.949186e+003, 4.024235e+002
2.968717e+003, 4.014624e+002
2.988248e+003, 3.998909e+002
3.007779e+003, 3.974548e+002
3.027310e+003, 3.943320e+002
3.046841e+003, 3.912347e+002
3.066372e+003, 3.890783e+002
3.085903e+003, 3.875323e+002
3.105434e+003, 3.865457e+002
3.124965e+003, 3.853557e+002
3.144497e+003, 3.847761e+002
3.164028e+003, 3.836115e+002
3.183559e+003, 3.827521e+002
3.203090e+003, 3.823759e+002
3.222621e+003, 3.826864e+002
3.242152e+003, 3.837343e+002
3.261683e+003, 3.849095e+002
3.281214e+003, 3.864152e+002
3.300745e+003, 3.881752e+002
3.320276e+003, 3.901642e+002
3.339807e+003, 3.921531e+002
3.359338e+003, 3.945743e+002
3.378869e+003, 3.981654e+002
3.398400e+003, 4.030027e+002
3.417931e+003, 4.077382e+002
3.437462e+003, 4.102357e+002
3.456993e+003, 4.109022e+002
3.476524e+003, 4.118230e+002
3.496055e+003, 4.148800e+002
3.515586e+003, 4.190052e+002
3.535117e+003, 4.230795e+002
3.554648e+003, 4.262891e+002
3.574179e+003, 4.286341e+002
3.593710e+003, 4.301144e+002
3.613241e+003, 4.309843e+002
3.632772e+003, 4.325663e+002
3.652303e+003, 4.344535e+002
3.671834e+003, 4.364425e+002
3.691365e+003, 4.377193e+002
3.710897e+003, 4.391996e+002
3.730428e+003, 4.403747e+002
3.749959e+003, 4.411938e+002
3.769490e+003, 4.420383e+002
3.789021e+003, 4.428320e+002
3.808552e+003, 4.435493e+002
3.828083e+003, 4.443175e+002
3.847614e+003, 4.446788e+002
3.867145e+003, 4.450402e+002
3.886676e+003, 4.458592e+002
3.906207e+003, 4.466275e+002
3.925738e+003, 4.472431e+002
3.945269e+003, 4.475281e+002
3.964800e+003, 4.479657e+002
3.984331e+003, 4.480727e+002
4.003862e+003, 4.486884e+002
4.023393e+003, 4.494566e+002
4.042924e+003, 4.502248e+002
4.062455e+003, 4.509930e+002
4.081986e+003, 4.511000e+002
4.101517e+003, 4.514359e+002
4.121048e+003, 4.518226e+002
4.140579e+003, 4.525400e+002
4.160110e+003, 4.529268e+002
4.179641e+003, 4.532626e+002
4.199172e+003, 4.539800e+002
4.218703e+003, 4.548499e+002
4.238234e+003, 4.554656e+002
4.257765e+003, 4.555726e+002
4.277297e+003, 4.561882e+002
4.296828e+003, 4.567275e+002
4.316359e+003, 4.572414e+002
4.335890e+003, 4.578316e+002
4.355421e+003, 4.581930e+002
4.374952e+003, 4.585034e+002
4.394483e+003, 4.588647e+002
4.414014e+003, 4.588191e+002
4.433545e+003, 4.590787e+002
4.453076e+003, 4.591349e+002
4.472607e+003, 4.591402e+002
4.492138e+003, 4.590946e+002
4.511669e+003, 4.589981e+002
4.531200e+003, 4.585711e+002
4.550731e+003, 4.579914e+002
4.570262e+003, 4.568269e+002
4.589793e+003, 4.554588e+002
4.609324e+003, 4.537857e+002
4.628855e+003, 4.521125e+002
4.648386e+003, 4.500324e+002
4.667917e+003, 4.476471e+002
4.687448e+003, 4.452364e+002
4.706979e+003, 4.434869e+002
4.726510e+003, 4.414068e+002
4.746041e+003, 4.391487e+002
4.765572e+003, 4.364837e+002
4.785103e+003, 4.335390e+002
4.804634e+003, 4.302636e+002
4.824165e+003, 4.265813e+002
4.843697e+003, 4.224159e+002
4.863228e+003, 4.187845e+002
4.882759e+003, 4.158651e+002
4.902290e+003, 4.129458e+002
4.921821e+003, 4.092127e+002
4.941352e+003, 4.045132e+002
4.960883e+003, 4.000680e+002
4.980414e+003, 3.960042e+002
4.999945e+003, 3.923728e+002
5.019476e+003, 3.896824e+002
5.039007e+003, 3.869665e+002
5.058538e+003, 3.835640e+002
5.078069e+003, 3.791696e+002
5.097600e+003, 3.750296e+002
5.117131e+003, 3.720340e+002
5.136662e+003, 3.696487e+002
5.156193e+003, 3.676449e+002
5.175724e+003, 3.663532e+002
5.195255e+003, 3.650615e+002
5.214786e+003, 3.637698e+002
5.234317e+003, 3.625035e+002
5.253848e+003, 3.616949e+002
5.273379e+003, 3.612425e+002
5.292910e+003, 3.610443e+002
5.312441e+003, 3.606935e+002
5.331972e+003, 3.609531e+002
5.351503e+003, 3.612381e+002
5.371034e+003, 3.618283e+002
5.390565e+003, 3.627746e+002
5.410097e+003, 3.641277e+002
5.429628e+003, 3.653791e+002
5.449159e+003, 3.669612e+002
5.468690e+003, 3.682634e+002
5.488221e+003, 3.688791e+002
5.507752e+003, 3.703085e+002
5.527283e+003, 3.722211e+002
5.546814e+003, 3.754307e+002
5.566345e+003, 3.795305e+002
5.585876e+003, 3.828418e+002
5.605407e+003, 3.844747e+002
5.624938e+003, 3.854972e+002
5.644469e+003, 3.865961e+002
5.664000e+003, 3.891699e+002
5.683531e+003, 3.931933e+002
5.703062e+003, 3.972422e+002
5.722593e+003, 4.004264e+002
5.742124e+003, 4.018304e+002
5.761655e+003, 4.023697e+002
5.781186e+003, 4.031888e+002
5.800717e+003, 4.047708e+002
5.820248e+003, 4.070141e+002
5.839779e+003, 4.094099e+002
5.859310e+003, 4.109919e+002
5.878841e+003, 4.117601e+002
5.898372e+003, 4.120451e+002
5.917903e+003, 4.124828e+002
5.937434e+003, 4.129712e+002
5.956965e+003, 4.132054e+002
5.976497e+003, 4.124477e+002
5.996028e+003, 4.114866e+002
6.015559e+003, 4.103475e+002
6.035090e+003, 4.094627e+002
6.054621e+003, 4.078149e+002
6.074152e+003, 4.061671e+002
6.093683e+003, 4.044431e+002
6.113214e+003, 4.023630e+002
6.132745e+003, 3.995454e+002
6.152276e+003, 3.970075e+002
6.171807e+003, 3.953089e+002
6.191338e+003, 3.936866e+002
6.210869e+003, 3.924457e+002
6.230400e+003, 3.907471e+002
6.249931e+003, 3.886162e+002
6.269462e+003, 3.860274e+002
6.288993e+003, 3.840999e+002
6.308524e+003, 3.836729e+002
6.328055e+003, 3.831950e+002
6.347586e+003, 3.824882e+002
6.367117e+003, 3.822391e+002
6.386648e+003, 3.826767e+002
6.406179e+003, 3.836738e+002
6.425710e+003, 3.847727e+002
6.445241e+003, 3.857952e+002
6.464772e+003, 3.868940e+002
6.484303e+003, 3.877385e+002
6.503834e+003, 3.892951e+002
6.523365e+003, 3.923522e+002
6.542896e+003, 3.967062e+002
6.562428e+003, 4.009076e+002
6.581959e+003, 4.037612e+002
6.601490e+003, 4.052924e+002
6.621021e+003, 4.064675e+002
6.640552e+003, 4.085073e+002
6.660083e+003, 4.117169e+002
6.679614e+003, 4.160964e+002
6.699145e+003, 4.201707e+002
6.718676e+003, 4.229225e+002
6.738207e+003, 4.244028e+002
6.757738e+003, 4.251711e+002
6.777269e+003, 4.262699e+002
6.796800e+003, 4.284877e+002
6.816331e+003, 4.310615e+002
6.835862e+003, 4.331776e+002
6.855393e+003, 4.347088e+002
6.874924e+003, 4.356550e+002
