File name = A1_f.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.728762e+002
1.953103e+001, 3.727760e+002
3.906207e+001, 3.731335e+002
5.859310e+001, 3.730841e+002
7.812414e+001, 3.727295e+002
9.765517e+001, 3.721715e+002
1.171862e+002, 3.708251e+002
1.367172e+002, 3.699364e+002
1.562483e+002, 3.696327e+002
1.757793e+002, 3.695325e+002
1.953103e+002, 3.688218e+002
2.148414e+002, 3.671448e+002
2.343724e+002, 3.656459e+002
2.539034e+002, 3.641469e+002
2.734345e+002, 3.622918e+002
2.929655e+002, 3.606148e+002
3.124965e+002, 3.594210e+002
3.320276e+002, 3.585578e+002
3.515586e+002, 3.572114e+002
3.710897e+002, 3.553564e+002
3.906207e+002, 3.532979e+002
4.101517e+002, 3.520024e+002
4.296828e+002, 3.511392e+002
4.492138e+002, 3.506320e+002
4.687448e+002, 3.497943e+002
4.882759e+002, 3.497449e+002
5.078069e+002, 3.497463e+002
5.273379e+002, 3.496969e+002
5.468690e+002, 3.500290e+002
5.664000e+002, 3.511494e+002
5.859310e+002, 3.523716e+002
6.054621e+002, 3.537972e+002
6.249931e+002, 3.553754e+002
6.445241e+002, 3.569536e+002
6.640552e+002, 3.596508e+002
6.835862e+002, 3.635179e+002
7.031172e+002, 3.683004e+002
7.226483e+002, 3.727269e+002
7.421793e+002, 3.762379e+002
7.617103e+002, 3.791894e+002
7.812414e+002, 3.828021e+002
8.007724e+002, 3.875847e+002
8.203034e+002, 3.924181e+002
8.398345e+002, 3.971498e+002
8.593655e+002, 4.017289e+002
8.788965e+002, 4.073253e+002
8.984276e+002, 4.121841e+002
9.179586e+002, 4.162037e+002
9.374896e+002, 4.190281e+002
9.570207e+002, 4.213692e+002
9.765517e+002, 4.242190e+002
9.960828e+002, 4.285946e+002
1.015614e+003, 4.330466e+002
1.035145e+003, 4.369390e+002
1.054676e+003, 4.400686e+002
1.074207e+003, 4.422317e+002
1.093738e+003, 4.438099e+002
1.113269e+003, 4.452864e+002
1.132800e+003, 4.469663e+002
1.152331e+003, 4.489768e+002
1.171862e+003, 4.509874e+002
1.191393e+003, 4.527436e+002
1.210924e+003, 4.543218e+002
1.230455e+003, 4.559000e+002
1.249986e+003, 4.568933e+002
1.269517e+003, 4.579120e+002
1.289048e+003, 4.588290e+002
1.308579e+003, 4.603564e+002
1.328110e+003, 4.611716e+002
1.347641e+003, 4.622921e+002
1.367172e+003, 4.635142e+002
1.386703e+003, 4.650416e+002
1.406234e+003, 4.662383e+002
1.425766e+003, 4.675876e+002
1.445297e+003, 4.690133e+002
1.464828e+003, 4.705915e+002
1.484359e+003, 4.720171e+002
1.503890e+003, 4.736970e+002
1.523421e+003, 4.756821e+002
1.542952e+003, 4.772603e+002
1.562483e+003, 4.788385e+002
