File name = A2_b.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.286921e+002
1.953103e+001, 4.285469e+002
3.906207e+001, 4.289104e+002
5.859310e+001, 4.290195e+002
7.812414e+001, 4.291541e+002
9.765517e+001, 4.295938e+002
1.171862e+002, 4.303642e+002
1.367172e+002, 4.308548e+002
1.562483e+002, 4.308622e+002
1.757793e+002, 4.307424e+002
1.953103e+002, 4.310042e+002
2.148414e+002, 4.310116e+002
2.343724e+002, 4.310698e+002
2.539034e+002, 4.313824e+002
2.734345e+002, 4.317967e+002
2.929655e+002, 4.321093e+002
3.124965e+002, 4.324728e+002
3.320276e+002, 4.340569e+002
3.515586e+002, 4.360988e+002
3.710897e+002, 4.376321e+002
3.906207e+002, 4.388094e+002
4.101517e+002, 4.444625e+002
4.296828e+002, 4.578468e+002
4.492138e+002, 4.736725e+002
4.687448e+002, 4.808516e+002
4.882759e+002, 4.756455e+002
5.078069e+002, 4.687102e+002
5.273379e+002, 4.714642e+002
5.468690e+002, 4.824579e+002
5.664000e+002, 4.928922e+002
5.859310e+002, 4.990031e+002
6.054621e+002, 5.020369e+002
6.249931e+002, 5.021714e+002
6.445241e+002, 4.986947e+002
6.640552e+002, 4.944043e+002
6.835862e+002, 4.925806e+002
7.031172e+002, 4.941648e+002
7.226483e+002, 4.959015e+002
7.421793e+002, 4.973839e+002
7.617103e+002, 4.978237e+002
7.812414e+002, 4.977548e+002
8.007724e+002, 4.952699e+002
8.203034e+002, 4.908014e+002
8.398345e+002, 4.870958e+002
8.593655e+002, 4.858317e+002
8.788965e+002, 4.849744e+002
8.984276e+002, 4.818538e+002
9.179586e+002, 4.763426e+002
9.374896e+002, 4.718232e+002
9.570207e+002, 4.713474e+002
9.765517e+002, 4.723975e+002
9.960828e+002, 4.720743e+002
1.015614e+003, 4.720309e+002
1.035145e+003, 4.736405e+002
1.054676e+003, 4.755806e+002
1.074207e+003, 4.747234e+002
1.093738e+003, 4.714756e+002
1.113269e+003, 4.676174e+002
1.132800e+003, 4.620554e+002
1.152331e+003, 4.558830e+002
1.171862e+003, 4.499903e+002
1.191393e+003, 4.434364e+002
1.210924e+003, 4.361705e+002
1.230455e+003, 4.296675e+002
1.249986e+003, 4.255550e+002
1.269517e+003, 4.230701e+002
1.289048e+003, 4.205853e+002
1.308579e+003, 4.182784e+002
1.328110e+003, 4.159716e+002
1.347641e+003, 4.139445e+002
1.367172e+003, 4.118157e+002
1.386703e+003, 4.091528e+002
1.406234e+003, 4.060321e+002
1.425766e+003, 4.031404e+002
1.445297e+003, 4.016982e+002
1.464828e+003, 4.014767e+002
1.484359e+003, 4.014333e+002
1.503890e+003, 4.017459e+002
1.523421e+003, 4.021602e+002
1.542952e+003, 4.016589e+002
1.562483e+003, 4.008017e+002
1.582014e+003, 4.003513e+002
1.601545e+003, 4.002570e+002
1.621076e+003, 4.001627e+002
1.640607e+003, 3.994580e+002
1.660138e+003, 3.995672e+002
1.679669e+003, 4.000323e+002
1.699200e+003, 4.004975e+002
1.718731e+003, 4.007592e+002
1.738262e+003, 4.008684e+002
1.757793e+003, 4.008503e+002
1.777324e+003, 4.007306e+002
1.796855e+003, 4.006871e+002
1.816386e+003, 4.002368e+002
1.835917e+003, 3.998373e+002
1.855448e+003, 3.988783e+002
1.874979e+003, 3.980211e+002
1.894510e+003, 3.974435e+002
1.914041e+003, 3.964083e+002
1.933572e+003, 3.948898e+002
1.953103e+003, 3.926592e+002
1.972634e+003, 3.909628e+002
1.992166e+003, 3.893171e+002
2.011697e+003, 3.874172e+002
2.031228e+003, 3.847543e+002
2.050759e+003, 3.818117e+002
2.070290e+003, 3.791488e+002
2.089821e+003, 3.771471e+002
2.109352e+003, 3.743571e+002
2.128883e+003, 3.712619e+002
2.148414e+003, 3.673529e+002
2.167945e+003, 3.629098e+002
2.187476e+003, 3.591788e+002
2.207007e+003, 3.563124e+002
2.226538e+003, 3.541582e+002
2.246069e+003, 3.517242e+002
2.265600e+003, 3.480441e+002
2.285131e+003, 3.436773e+002
2.304662e+003, 3.392342e+002
2.324193e+003, 3.356812e+002
2.343724e+003, 3.342645e+002
2.363255e+003, 3.335598e+002
2.382786e+003, 3.327026e+002
2.402317e+003, 3.305992e+002
2.421848e+003, 3.280889e+002
2.441379e+003, 3.260109e+002
2.460910e+003, 3.250519e+002
2.480441e+003, 3.247033e+002
2.499972e+003, 3.247107e+002
2.519503e+003, 3.250996e+002
2.539034e+003, 3.257936e+002
2.558565e+003, 3.266403e+002
2.578097e+003, 3.283770e+002
2.597628e+003, 3.309021e+002
2.617159e+003, 3.336561e+002
2.636690e+003, 3.361558e+002
2.656221e+003, 3.387826e+002
2.675752e+003, 3.416638e+002
2.695283e+003, 3.448755e+002
2.714814e+003, 3.489011e+002
2.734345e+003, 3.553681e+002
2.753876e+003, 3.622928e+002
2.773407e+003, 3.679968e+002
2.792938e+003, 3.712086e+002
2.812469e+003, 3.730979e+002
2.832000e+003, 3.751907e+002
2.851531e+003, 3.795214e+002
2.871062e+003, 3.853272e+002
2.890593e+003, 3.926079e+002
2.910124e+003, 3.982611e+002
2.929655e+003, 4.018798e+002
2.949186e+003, 4.037182e+002
2.968717e+003, 4.046412e+002
2.988248e+003, 4.069883e+002
3.007779e+003, 4.114207e+002
3.027310e+003, 4.173791e+002
3.046841e+003, 4.223201e+002
3.066372e+003, 4.246672e+002
3.085903e+003, 4.257936e+002
3.105434e+003, 4.269709e+002
3.124965e+003, 4.285550e+002
3.144497e+003, 4.301392e+002
3.164028e+003, 4.317233e+002
3.183559e+003, 4.334092e+002
3.203090e+003, 4.342304e+002
3.222621e+003, 4.345430e+002
3.242152e+003, 4.344995e+002
3.261683e+003, 4.347613e+002
3.281214e+003, 4.347687e+002
3.300745e+003, 4.346744e+002
3.320276e+003, 4.346309e+002
3.339807e+003, 4.341042e+002
3.359338e+003, 4.337810e+002
3.378869e+003, 4.329747e+002
3.398400e+003, 4.323463e+002
3.417931e+003, 4.320739e+002
3.437462e+003, 4.319288e+002
3.456993e+003, 4.322159e+002
3.476524e+003, 4.326557e+002
3.496055e+003, 4.326122e+002
3.515586e+003, 4.320856e+002
3.535117e+003, 4.325253e+002
3.554648e+003, 4.332956e+002
3.574179e+003, 4.342186e+002
3.593710e+003, 4.356501e+002
3.613241e+003, 4.365731e+002
3.632772e+003, 4.380046e+002
3.652303e+003, 4.400974e+002
3.671834e+003, 4.431312e+002
3.691365e+003, 4.457071e+002
3.710897e+003, 4.476982e+002
3.730428e+003, 4.499944e+002
3.749959e+003, 4.517311e+002
3.769490e+003, 4.539765e+002
3.789021e+003, 4.560693e+002
3.808552e+003, 4.584672e+002
3.828083e+003, 4.606872e+002
3.847614e+003, 4.627545e+002
3.867145e+003, 4.636775e+002
3.886676e+003, 4.648547e+002
3.906207e+003, 4.659811e+002
