File name = B1_d.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.369669e+002
1.953103e+001, 4.364738e+002
3.906207e+001, 4.393885e+002
5.859310e+001, 4.402179e+002
7.812414e+001, 4.421663e+002
9.765517e+001, 4.442164e+002
1.171862e+002, 4.468005e+002
1.367172e+002, 4.496898e+002
1.562483e+002, 4.509770e+002
1.757793e+002, 4.509417e+002
1.953103e+002, 4.512116e+002
2.148414e+002, 4.519901e+002
2.343724e+002, 4.536841e+002
2.539034e+002, 4.553273e+002
2.734345e+002, 4.568687e+002
2.929655e+002, 4.584611e+002
3.124965e+002, 4.600534e+002
3.320276e+002, 4.612642e+002
3.515586e+002, 4.623225e+002
3.710897e+002, 4.636605e+002
3.906207e+002, 4.652274e+002
4.101517e+002, 4.672012e+002
4.296828e+002, 4.695055e+002
4.492138e+002, 4.711996e+002
4.687448e+002, 4.723850e+002
4.882759e+002, 4.731635e+002
5.078069e+002, 4.743998e+002
5.273379e+002, 4.767551e+002
5.468690e+002, 4.787797e+002
5.664000e+002, 4.807535e+002
5.859310e+002, 4.827527e+002
6.054621e+002, 4.847011e+002
6.249931e+002, 4.855813e+002
6.445241e+002, 4.870210e+002
6.640552e+002, 4.886133e+002
6.835862e+002, 4.903582e+002
7.031172e+002, 4.918997e+002
7.226483e+002, 4.930851e+002
7.421793e+002, 4.942705e+002
7.617103e+002, 4.951253e+002
7.812414e+002, 4.965396e+002
8.007724e+002, 4.978268e+002
8.203034e+002, 4.982493e+002
8.398345e+002, 4.982140e+002
8.593655e+002, 4.981787e+002
8.788965e+002, 4.989572e+002
8.984276e+002, 4.992779e+002
9.179586e+002, 4.988357e+002
9.374896e+002, 4.980375e+002
9.570207e+002, 4.978496e+002
9.765517e+002, 4.979161e+002
9.960828e+002, 4.978808e+002
1.015614e+003, 4.969300e+002
1.035145e+003, 4.945550e+002
1.054676e+003, 4.916714e+002
1.074207e+003, 4.887878e+002
1.093738e+003, 4.871249e+002
1.113269e+003, 4.856909e+002
1.132800e+003, 4.829853e+002
1.152331e+003, 4.789319e+002
1.171862e+003, 4.747259e+002
1.191393e+003, 4.702146e+002
1.210924e+003, 4.658052e+002
1.230455e+003, 4.612431e+002
1.249986e+003, 4.561470e+002
1.269517e+003, 4.512289e+002
1.289048e+003, 4.456750e+002
1.308579e+003, 4.398414e+002
1.328110e+003, 4.338551e+002
1.347641e+003, 4.284793e+002
1.367172e+003, 4.230525e+002
1.386703e+003, 4.170409e+002
1.406234e+003, 4.096559e+002
1.425766e+003, 4.017878e+002
1.445297e+003, 3.953438e+002
1.464828e+003, 3.908580e+002
1.484359e+003, 3.859399e+002
1.503890e+003, 3.797757e+002
1.523421e+003, 3.731283e+002
1.542952e+003, 3.663537e+002
1.562483e+003, 3.600368e+002
1.582014e+003, 3.548136e+002
1.601545e+003, 3.503532e+002
1.621076e+003, 3.460963e+002
1.640607e+003, 3.412799e+002
1.660138e+003, 3.368196e+002
1.679669e+003, 3.332748e+002
1.699200e+003, 3.305438e+002
1.718731e+003, 3.280162e+002
1.738262e+003, 3.263533e+002
1.757793e+003, 3.255042e+002
1.777324e+003, 3.246551e+002
1.796855e+003, 3.235772e+002
1.816386e+003, 3.232621e+002
1.835917e+003, 3.238372e+002
1.855448e+003, 3.248192e+002
1.874979e+003, 3.250636e+002
1.894510e+003, 3.250283e+002
1.914041e+003, 3.255525e+002
1.933572e+003, 3.269160e+002
1.953103e+003, 3.284066e+002
1.972634e+003, 3.296937e+002
1.992166e+003, 3.308791e+002
2.011697e+003, 3.324206e+002
2.031228e+003, 3.337331e+002
2.050759e+003, 3.347405e+002
2.070290e+003, 3.355191e+002
2.089821e+003, 3.362976e+002
2.109352e+003, 3.374830e+002
2.128883e+003, 3.389990e+002
2.148414e+003, 3.407948e+002
2.167945e+003, 3.418530e+002
2.187476e+003, 3.418177e+002
2.207007e+003, 3.418842e+002
2.226538e+003, 3.422558e+002
2.246069e+003, 3.428309e+002
2.265600e+003, 3.436094e+002
2.285131e+003, 3.441844e+002
2.304662e+003, 3.448612e+002
2.324193e+003, 3.449785e+002
2.343724e+003, 3.449432e+002
2.363255e+003, 3.450605e+002
2.382786e+003, 3.450507e+002
2.402317e+003, 3.456003e+002
2.421848e+003, 3.464297e+002
2.441379e+003, 3.468267e+002
2.460910e+003, 3.471220e+002
2.480441e+003, 3.477225e+002
2.499972e+003, 3.485773e+002
2.519503e+003, 3.490761e+002
2.539034e+003, 3.494732e+002
