File name = B1_a.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.391355e+002
1.953103e+001, 3.389158e+002
3.906207e+001, 3.421038e+002
5.859310e+001, 3.408668e+002
7.812414e+001, 3.393500e+002
9.765517e+001, 3.378587e+002
1.171862e+002, 3.363673e+002
1.367172e+002, 3.353338e+002
1.562483e+002, 3.354700e+002
1.757793e+002, 3.362421e+002
1.953103e+002, 3.374210e+002
2.148414e+002, 3.389560e+002
2.343724e+002, 3.413048e+002
2.539034e+002, 3.445183e+002
2.734345e+002, 3.485964e+002
2.929655e+002, 3.522676e+002
3.124965e+002, 3.559388e+002
3.320276e+002, 3.595083e+002
3.515586e+002, 3.631796e+002
3.710897e+002, 3.672068e+002
3.906207e+002, 3.716664e+002
4.101517e+002, 3.768889e+002
4.296828e+002, 3.832050e+002
4.492138e+002, 3.886056e+002
4.687448e+002, 3.928871e+002
4.882759e+002, 3.964312e+002
5.078069e+002, 4.004585e+002
5.273379e+002, 4.055539e+002
5.468690e+002, 4.107764e+002
5.664000e+002, 4.155666e+002
5.859310e+002, 4.200262e+002
6.054621e+002, 4.240280e+002
6.249931e+002, 4.272415e+002
6.445241e+002, 4.308618e+002
6.640552e+002, 4.343805e+002
6.835862e+002, 4.376956e+002
7.031172e+002, 4.404513e+002
7.226483e+002, 4.425204e+002
7.421793e+002, 4.445386e+002
7.617103e+002, 4.467856e+002
7.812414e+002, 4.478883e+002
8.007724e+002, 4.491435e+002
8.203034e+002, 4.499156e+002
8.398345e+002, 4.501790e+002
8.593655e+002, 4.503662e+002
8.788965e+002, 4.502990e+002
8.984276e+002, 4.490874e+002
9.179586e+002, 4.477995e+002
9.374896e+002, 4.461301e+002
9.570207e+002, 4.452491e+002
9.765517e+002, 4.448005e+002
9.960828e+002, 4.438432e+002
1.015614e+003, 4.418687e+002
1.035145e+003, 4.390295e+002
1.054676e+003, 4.363937e+002
1.074207e+003, 4.336563e+002
1.093738e+003, 4.323429e+002
1.113269e+003, 4.317926e+002
1.132800e+003, 4.314456e+002
1.152331e+003, 4.304884e+002
1.171862e+003, 4.281578e+002
1.191393e+003, 4.264376e+002
1.210924e+003, 4.248191e+002
1.230455e+003, 4.238109e+002
1.249986e+003, 4.226502e+002
1.269517e+003, 4.220998e+002
1.289048e+003, 4.213460e+002
1.308579e+003, 4.207193e+002
1.328110e+003, 4.199400e+002
1.347641e+003, 4.191862e+002
1.367172e+003, 4.187376e+002
1.386703e+003, 4.181872e+002
1.406234e+003, 4.174334e+002
1.425766e+003, 4.169338e+002
1.445297e+003, 4.168412e+002
1.464828e+003, 4.165706e+002
1.484359e+003, 4.164525e+002
1.503890e+003, 4.164108e+002
1.523421e+003, 4.160130e+002
1.542952e+003, 4.155643e+002
1.562483e+003, 4.154717e+002
1.582014e+003, 4.154808e+002
1.601545e+003, 4.156934e+002
1.621076e+003, 4.157534e+002
1.640607e+003, 4.156099e+002
1.660138e+003, 4.155681e+002
1.679669e+003, 4.156790e+002
1.699200e+003, 4.164002e+002
1.718731e+003, 4.168416e+002
1.738262e+003, 4.178425e+002
1.757793e+003, 4.187163e+002
1.777324e+003, 4.198953e+002
1.796855e+003, 4.214811e+002
1.816386e+003, 4.233722e+002
1.835917e+003, 4.257718e+002
1.855448e+003, 4.284766e+002
1.874979e+003, 4.309017e+002
1.894510e+003, 4.326656e+002
1.914041e+003, 4.346584e+002
1.933572e+003, 4.374903e+002
1.953103e+003, 4.404749e+002
1.972634e+003, 4.434849e+002
1.992166e+003, 4.469273e+002
2.011697e+003, 4.503188e+002
2.031228e+003, 4.527438e+002
2.050759e+003, 4.546094e+002
2.070290e+003, 4.559155e+002
2.089821e+003, 4.579337e+002
2.109352e+003, 4.610963e+002
2.128883e+003, 4.647167e+002
2.148414e+003, 4.679556e+002
2.167945e+003, 4.707367e+002
2.187476e+003, 4.723734e+002
2.207007e+003, 4.729929e+002
2.226538e+003, 4.738667e+002
2.246069e+003, 4.756814e+002
2.265600e+003, 4.787168e+002
2.285131e+003, 4.810656e+002
2.304662e+003, 4.826515e+002
2.324193e+003, 4.834744e+002
2.343724e+003, 4.845008e+002
2.363255e+003, 4.853745e+002
2.382786e+003, 4.857905e+002
2.402317e+003, 4.865117e+002
2.421848e+003, 4.871821e+002
2.441379e+003, 4.872420e+002
2.460910e+003, 4.872511e+002
2.480441e+003, 4.870568e+002
2.499972e+003, 4.862012e+002
2.519503e+003, 4.854983e+002
2.539034e+003, 4.846427e+002
2.558565e+003, 4.836346e+002
2.578097e+003, 4.813040e+002
2.597628e+003, 4.789989e+002
2.617159e+003, 4.765157e+002
2.636690e+003, 4.738545e+002
2.656221e+003, 4.713205e+002
2.675752e+003, 4.682524e+002
2.695283e+003, 4.647266e+002
2.714814e+003, 4.610227e+002
2.734345e+003, 4.569119e+002
2.753876e+003, 4.531064e+002
2.773407e+003, 4.495042e+002
2.792938e+003, 4.460038e+002
2.812469e+003, 4.420965e+002
2.832000e+003, 4.374771e+002
