File name = B1_c.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.781922e+002
1.953103e+001, 4.750484e+002
3.906207e+001, 4.779573e+002
5.859310e+001, 4.755256e+002
7.812414e+001, 4.717968e+002
9.765517e+001, 4.660845e+002
1.171862e+002, 4.595074e+002
1.367172e+002, 4.533373e+002
1.562483e+002, 4.484642e+002
1.757793e+002, 4.447355e+002
1.953103e+002, 4.409050e+002
2.148414e+002, 4.352689e+002
2.343724e+002, 4.286156e+002
2.539034e+002, 4.205381e+002
2.734345e+002, 4.120029e+002
2.929655e+002, 4.046121e+002
3.124965e+002, 3.993066e+002
3.320276e+002, 3.955524e+002
3.515586e+002, 3.910862e+002
3.710897e+002, 3.848906e+002
3.906207e+002, 3.774235e+002
4.101517e+002, 3.702107e+002
4.296828e+002, 3.644475e+002
4.492138e+002, 3.598541e+002
4.687448e+002, 3.562271e+002
4.882759e+002, 3.529816e+002
5.078069e+002, 3.496343e+002
5.273379e+002, 3.455750e+002
5.468690e+002, 3.417954e+002
5.664000e+002, 3.388042e+002
5.859310e+002, 3.368811e+002
6.054621e+002, 3.355683e+002
6.249931e+002, 3.343065e+002
6.445241e+002, 3.338075e+002
6.640552e+002, 3.338172e+002
6.835862e+002, 3.342338e+002
7.031172e+002, 3.351844e+002
7.226483e+002, 3.361605e+002
7.421793e+002, 3.377215e+002
7.617103e+002, 3.399437e+002
7.812414e+002, 3.430051e+002
8.007724e+002, 3.461937e+002
8.203034e+002, 3.485940e+002
8.398345e+002, 3.506127e+002
8.593655e+002, 3.529621e+002
8.788965e+002, 3.562016e+002
8.984276e+002, 3.606363e+002
9.179586e+002, 3.646641e+002
9.374896e+002, 3.677256e+002
9.570207e+002, 3.688034e+002
9.765517e+002, 3.697795e+002
9.960828e+002, 3.716711e+002
1.015614e+003, 3.746053e+002
1.035145e+003, 3.777939e+002
1.054676e+003, 3.804994e+002
1.074207e+003, 3.822638e+002
1.093738e+003, 3.836722e+002
1.113269e+003, 3.845466e+002
1.132800e+003, 3.849123e+002
1.152331e+003, 3.855069e+002
1.171862e+003, 3.859489e+002
1.191393e+003, 3.856534e+002
1.210924e+003, 3.850527e+002
1.230455e+003, 3.838926e+002
1.249986e+003, 3.826816e+002
1.269517e+003, 3.814197e+002
1.289048e+003, 3.801578e+002
1.308579e+003, 3.789213e+002
1.328110e+003, 3.767185e+002
1.347641e+003, 3.739053e+002
1.367172e+003, 3.717025e+002
1.386703e+003, 3.697285e+002
1.406234e+003, 3.675511e+002
1.425766e+003, 3.646107e+002
1.445297e+003, 3.623570e+002
1.464828e+003, 3.606120e+002
1.484359e+003, 3.588414e+002
1.503890e+003, 3.567658e+002
1.523421e+003, 3.548681e+002
1.542952e+003, 3.545472e+002
1.562483e+003, 3.543534e+002
1.582014e+003, 3.543122e+002
1.601545e+003, 3.542202e+002
1.621076e+003, 3.553997e+002
1.640607e+003, 3.572913e+002
1.660138e+003, 3.592083e+002
1.679669e+003, 3.613797e+002
1.699200e+003, 3.638308e+002
1.718731e+003, 3.665871e+002
1.738262e+003, 3.692925e+002
1.757793e+003, 3.728371e+002
1.777324e+003, 3.774499e+002
1.796855e+003, 3.821898e+002
1.816386e+003, 3.862176e+002
1.835917e+003, 3.895842e+002
1.855448e+003, 3.935612e+002
1.874979e+003, 3.976399e+002
1.894510e+003, 4.024307e+002
1.914041e+003, 4.073232e+002
1.933572e+003, 4.120122e+002
1.953103e+003, 4.153788e+002
1.972634e+003, 4.185929e+002
1.992166e+003, 4.225698e+002
2.011697e+003, 4.273097e+002
2.031228e+003, 4.314902e+002
2.050759e+003, 4.353654e+002
2.070290e+003, 4.378165e+002
2.089821e+003, 4.402167e+002
2.109352e+003, 4.435325e+002
2.128883e+003, 4.483233e+002
2.148414e+003, 4.527580e+002
2.167945e+003, 4.559720e+002
2.187476e+003, 4.575585e+002
2.207007e+003, 4.583819e+002
2.226538e+003, 4.597395e+002
2.246069e+003, 4.619617e+002
2.265600e+003, 4.643619e+002
2.285131e+003, 4.669402e+002
2.304662e+003, 4.687046e+002
2.324193e+003, 4.695027e+002
2.343724e+003, 4.698938e+002
2.363255e+003, 4.706156e+002
2.382786e+003, 4.712865e+002
2.402317e+003, 4.721608e+002
2.421848e+003, 4.729843e+002
2.441379e+003, 4.736044e+002
2.460910e+003, 4.740718e+002
2.480441e+003, 4.744884e+002
2.499972e+003, 4.748033e+002
2.519503e+003, 4.751690e+002
2.539034e+003, 4.755347e+002
2.558565e+003, 4.763073e+002
2.578097e+003, 4.775377e+002
2.597628e+003, 4.786918e+002
2.617159e+003, 4.797442e+002
2.636690e+003, 4.806185e+002
2.656221e+003, 4.817980e+002
2.675752e+003, 4.829776e+002
2.695283e+003, 4.841571e+002
2.714814e+003, 4.852349e+002
2.734345e+003, 4.865161e+002
2.753876e+003, 4.877465e+002
2.773407e+003, 4.891804e+002
2.792938e+003, 4.896478e+002
2.812469e+003, 4.907765e+002
2.832000e+003, 4.920323e+002
2.851531e+003, 4.938985e+002
2.871062e+003, 4.952052e+002
2.890593e+003, 4.962575e+002
2.910124e+003, 4.965470e+002
2.929655e+003, 4.969890e+002
2.949186e+003, 4.970495e+002
2.968717e+003, 4.970083e+002
2.988248e+003, 4.973741e+002
3.007779e+003, 4.969768e+002
3.027310e+003, 4.961219e+002
3.046841e+003, 4.946311e+002
3.066372e+003, 4.931403e+002
3.085903e+003, 4.925905e+002
3.105434e+003, 4.917355e+002
3.124965e+003, 4.894055e+002
3.144497e+003, 4.869230e+002
3.164028e+003, 4.843895e+002
3.183559e+003, 4.818052e+002
3.203090e+003, 4.785088e+002
3.222621e+003, 4.757465e+002
3.242152e+003, 4.728824e+002
3.261683e+003, 4.694334e+002
3.281214e+003, 4.642297e+002
3.300745e+003, 4.581104e+002
3.320276e+003, 4.522200e+002
3.339807e+003, 4.469909e+002
3.359338e+003, 4.423721e+002
3.378869e+003, 4.361511e+002
3.398400e+003, 4.285568e+002
3.417931e+003, 4.204284e+002
3.437462e+003, 4.140549e+002
3.456993e+003, 4.101227e+002
3.476524e+003, 4.064957e+002
3.496055e+003, 4.010885e+002
3.515586e+003, 3.927313e+002
3.535117e+003, 3.839671e+002
3.554648e+003, 3.769578e+002
3.574179e+003, 3.711691e+002
3.593710e+003, 3.662960e+002
3.613241e+003, 3.624147e+002
3.632772e+003, 3.593472e+002
3.652303e+003, 3.552370e+002
3.671834e+003, 3.497535e+002
3.691365e+003, 3.441683e+002
3.710897e+003, 3.407193e+002
3.730428e+003, 3.380078e+002
3.749959e+003, 3.363391e+002
3.769490e+003, 3.350772e+002
3.789021e+003, 3.343748e+002
3.808552e+003, 3.337232e+002
3.828083e+003, 3.332497e+002
3.847614e+003, 3.336409e+002
3.867145e+003, 3.347950e+002
3.886676e+003, 3.359999e+002
3.906207e+003, 3.375609e+002
3.925738e+003, 3.395543e+002
3.945269e+003, 3.420054e+002
3.964800e+003, 3.447616e+002
3.984331e+003, 3.471873e+002
4.003862e+003, 3.495621e+002
4.023393e+003, 3.517843e+002
4.042924e+003, 3.548203e+002
4.062455e+003, 3.580343e+002
4.081986e+003, 3.610958e+002
4.101517e+003, 3.643098e+002
4.121048e+003, 3.668118e+002
4.140579e+003, 3.688051e+002
4.160110e+003, 3.700355e+002
4.179641e+003, 3.716219e+002
4.199172e+003, 3.735898e+002
4.218703e+003, 3.759646e+002
4.238234e+003, 3.786700e+002
4.257765e+003, 3.805616e+002
4.277297e+003, 3.815885e+002
4.296828e+003, 3.819034e+002
4.316359e+003, 3.826760e+002
4.335890e+003, 3.834995e+002
4.355421e+003, 3.838144e+002
4.374952e+003, 3.829594e+002
4.394483e+003, 3.815958e+002
4.414014e+003, 3.802322e+002
4.433545e+003, 3.796315e+002
4.453076e+003, 3.790308e+002
4.472607e+003, 3.778707e+002
4.492138e+003, 3.752864e+002
4.511669e+003, 3.723969e+002
4.531200e+003, 3.696091e+002
4.550731e+003, 3.675843e+002
4.570262e+003, 3.657629e+002
4.589793e+003, 3.649079e+002
4.609324e+003, 3.637478e+002
4.628855e+003, 3.620790e+002
4.648386e+003, 3.594184e+002
4.667917e+003, 3.566052e+002
4.687448e+003, 3.545041e+002
4.706979e+003, 3.537763e+002
4.726510e+003, 3.537605e+002
4.746041e+003, 3.548129e+002
4.765572e+003, 3.555855e+002
4.785103e+003, 3.561038e+002
4.804634e+003, 3.575122e+002
4.824165e+003, 3.604465e+002
4.843697e+003, 3.631519e+002
4.863228e+003, 3.643823e+002
4.882759e+003, 3.652567e+002
4.902290e+003, 3.670720e+002
4.921821e+003, 3.713032e+002
4.941352e+003, 3.771876e+002
4.960883e+003, 3.828430e+002
4.980414e+003, 3.872777e+002
4.999945e+003, 3.901357e+002
5.019476e+003, 3.916713e+002
5.039007e+003, 3.937918e+002
5.058538e+003, 3.984045e+002
5.078069e+003, 4.051281e+002
5.097600e+003, 4.123603e+002
5.117131e+003, 4.175071e+002
5.136662e+003, 4.199582e+002
5.156193e+003, 4.223584e+002
5.175724e+003, 4.256742e+002
5.195255e+003, 4.308718e+002
5.214786e+003, 4.357135e+002
5.234317e+003, 4.393853e+002
5.253848e+003, 4.424467e+002
5.273379e+003, 4.458133e+002
5.292910e+003, 4.490274e+002
5.312441e+003, 4.517836e+002
5.331972e+003, 4.538278e+002
5.351503e+003, 4.560755e+002
5.371034e+003, 4.585774e+002
5.390565e+003, 4.611811e+002
5.410097e+003, 4.634287e+002
5.429628e+003, 4.653712e+002
5.449159e+003, 4.666016e+002
5.468690e+003, 4.680354e+002
5.488221e+003, 4.688081e+002
5.507752e+003, 4.696824e+002
5.527283e+003, 4.704550e+002
5.546814e+003, 4.707190e+002
5.566345e+003, 4.712373e+002
5.585876e+003, 4.715522e+002
5.605407e+003, 4.719688e+002
5.624938e+003, 4.719276e+002
5.644469e+003, 4.722425e+002
5.664000e+003, 4.726591e+002
5.683531e+003, 4.737877e+002
5.703062e+003, 4.743823e+002
5.722593e+003, 4.745955e+002
5.742124e+003, 4.755970e+002
5.761655e+003, 4.765222e+002
5.781186e+003, 4.779560e+002
5.800717e+003, 4.788812e+002
5.820248e+003, 4.806457e+002
5.839779e+003, 4.822321e+002
5.859310e+003, 4.844034e+002
5.878841e+003, 4.859899e+002
5.898372e+003, 4.874746e+002
5.917903e+003, 4.883998e+002
5.937434e+003, 4.891724e+002
5.956965e+003, 4.903011e+002
5.976497e+003, 4.914806e+002
5.996028e+003, 4.931179e+002
6.015559e+003, 4.942720e+002
6.035090e+003, 4.954261e+002
6.054621e+003, 4.962496e+002
6.074152e+003, 4.969713e+002
6.093683e+003, 4.973625e+002
