File name = B2_b.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.103324e+002
1.953103e+001, 4.102718e+002
3.906207e+001, 4.114574e+002
5.859310e+001, 4.076838e+002
7.812414e+001, 4.017232e+002
9.765517e+001, 3.927363e+002
1.171862e+002, 3.817148e+002
1.367172e+002, 3.714054e+002
1.562483e+002, 3.641986e+002
1.757793e+002, 3.600436e+002
1.953103e+002, 3.559903e+002
2.148414e+002, 3.502077e+002
2.343724e+002, 3.420346e+002
2.539034e+002, 3.334545e+002
2.734345e+002, 3.247727e+002
2.929655e+002, 3.174134e+002
3.124965e+002, 3.129023e+002
3.320276e+002, 3.105275e+002
3.515586e+002, 3.083561e+002
3.710897e+002, 3.048369e+002
3.906207e+002, 3.001478e+002
4.101517e+002, 2.957385e+002
4.296828e+002, 2.928042e+002
4.492138e+002, 2.912432e+002
4.687448e+002, 2.910555e+002
4.882759e+002, 2.913764e+002
5.078069e+002, 2.919516e+002
5.273379e+002, 2.927303e+002
5.468690e+002, 2.944753e+002
5.664000e+002, 2.959152e+002
5.859310e+002, 2.975077e+002
6.054621e+002, 2.987187e+002
6.249931e+002, 3.009978e+002
6.445241e+002, 3.046757e+002
6.640552e+002, 3.102354e+002
6.835862e+002, 3.155917e+002
7.031172e+002, 3.194476e+002
7.226483e+002, 3.224388e+002
7.421793e+002, 3.247433e+002
7.617103e+002, 3.282686e+002
7.812414e+002, 3.337775e+002
8.007724e+002, 3.398713e+002
8.203034e+002, 3.450496e+002
8.398345e+002, 3.482697e+002
8.593655e+002, 3.514898e+002
8.788965e+002, 3.547607e+002
8.984276e+002, 3.591506e+002
9.179586e+002, 3.635405e+002
9.374896e+002, 3.668624e+002
9.570207e+002, 3.691160e+002
9.765517e+002, 3.704033e+002
9.960828e+002, 3.723010e+002
1.015614e+003, 3.748599e+002
1.035145e+003, 3.779273e+002
1.054676e+003, 3.804862e+002
1.074207e+003, 3.828925e+002
1.093738e+003, 3.851462e+002
1.113269e+003, 3.868404e+002
1.132800e+003, 3.883311e+002
1.152331e+003, 3.896184e+002
1.171862e+003, 3.908548e+002
1.191393e+003, 3.922947e+002
1.210924e+003, 3.932260e+002
1.230455e+003, 3.946659e+002
1.249986e+003, 3.954445e+002
1.269517e+003, 3.955620e+002
1.289048e+003, 3.959083e+002
1.308579e+003, 3.964836e+002
1.328110e+003, 3.970333e+002
1.347641e+003, 3.974305e+002
1.367172e+003, 3.982092e+002
1.386703e+003, 3.990133e+002
1.406234e+003, 3.995631e+002
1.425766e+003, 4.001638e+002
1.445297e+003, 4.012985e+002
1.464828e+003, 4.024840e+002
1.484359e+003, 4.033390e+002
1.503890e+003, 4.050586e+002
1.523421e+003, 4.072106e+002
1.542952e+003, 4.092608e+002
1.562483e+003, 4.111585e+002
1.582014e+003, 4.124458e+002
1.601545e+003, 4.140383e+002
1.621076e+003, 4.156562e+002
1.640607e+003, 4.176810e+002
1.660138e+003, 4.199347e+002
1.679669e+003, 4.218323e+002
1.699200e+003, 4.240860e+002
1.718731e+003, 4.263397e+002
1.738262e+003, 4.284408e+002
1.757793e+003, 4.303384e+002
1.777324e+003, 4.324395e+002
1.796855e+003, 4.344898e+002
1.816386e+003, 4.370741e+002
1.835917e+003, 4.401161e+002
1.855448e+003, 4.428784e+002
1.874979e+003, 4.447761e+002
1.894510e+003, 4.458854e+002
1.914041e+003, 4.474524e+002
1.933572e+003, 4.490703e+002
1.953103e+003, 4.508917e+002
1.972634e+003, 4.528910e+002
1.992166e+003, 4.552973e+002
2.011697e+003, 4.581105e+002
2.031228e+003, 4.602879e+002
2.050759e+003, 4.617023e+002
2.070290e+003, 4.627353e+002
2.089821e+003, 4.640226e+002
2.109352e+003, 4.660220e+002
2.128883e+003, 4.682503e+002
2.148414e+003, 4.703768e+002
2.167945e+003, 4.720201e+002
2.187476e+003, 4.728497e+002
2.207007e+003, 4.739844e+002
2.226538e+003, 4.750682e+002
2.246069e+003, 4.768133e+002
2.265600e+003, 4.787618e+002
2.285131e+003, 4.803543e+002
2.304662e+003, 4.817433e+002
2.324193e+003, 4.830306e+002
