File name = C1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 5.081132e+002
2.929655e+001, 5.076746e+002
5.859310e+001, 5.080752e+002
8.788965e+001, 5.080689e+002
1.171862e+002, 5.084186e+002
1.464828e+002, 5.079545e+002
1.757793e+002, 5.069818e+002
2.050759e+002, 5.061109e+002
2.343724e+002, 5.053925e+002
2.636690e+002, 5.053099e+002
2.929655e+002, 5.047187e+002
3.222621e+002, 5.027287e+002
3.515586e+002, 5.002301e+002
3.808552e+002, 4.977824e+002
4.101517e+002, 4.951312e+002
4.394483e+002, 4.911068e+002
4.687448e+002, 4.862431e+002
4.980414e+002, 4.816337e+002
5.273379e+002, 4.769989e+002
5.566345e+002, 4.713469e+002
5.859310e+002, 4.638637e+002
6.152276e+002, 4.548547e+002
6.445241e+002, 4.442181e+002
6.738207e+002, 4.330983e+002
7.031172e+002, 4.222583e+002
7.324138e+002, 4.114945e+002
7.617103e+002, 3.989251e+002
7.910069e+002, 3.846518e+002
8.203034e+002, 3.695139e+002
8.496000e+002, 3.551135e+002
8.788965e+002, 3.413234e+002
9.081931e+002, 3.281436e+002
9.374896e+002, 3.162100e+002
9.667862e+002, 3.060566e+002
9.960828e+002, 2.973528e+002
1.025379e+003, 2.897680e+002
1.054676e+003, 2.836073e+002
1.083972e+003, 2.797863e+002
1.113269e+003, 2.782795e+002
1.142566e+003, 2.785529e+002
1.171862e+003, 2.805811e+002
1.201159e+003, 2.833468e+002
1.230455e+003, 2.863414e+002
1.259752e+003, 2.893106e+002
1.289048e+003, 2.925341e+002
1.318345e+003, 2.961899e+002
1.347641e+003, 3.005323e+002
1.376938e+003, 3.044424e+002
1.406234e+003, 3.067504e+002
1.435531e+003, 3.081174e+002
1.464828e+003, 3.099676e+002
1.494124e+003, 3.123518e+002
1.523421e+003, 3.144309e+002
1.552717e+003, 3.167134e+002
1.582014e+003, 3.190213e+002
1.611310e+003, 3.208461e+002
1.640607e+003, 3.222893e+002
1.669903e+003, 3.243175e+002
1.699200e+003, 3.271341e+002
1.728497e+003, 3.303830e+002
1.757793e+003, 3.347255e+002
1.787090e+003, 3.397800e+002
1.816386e+003, 3.464367e+002
1.845683e+003, 3.537546e+002
1.874979e+003, 3.615812e+002
1.904276e+003, 3.682379e+002
1.933572e+003, 3.742588e+002
1.962869e+003, 3.799491e+002
1.992166e+003, 3.859446e+002
2.021462e+003, 3.927030e+002
2.050759e+003, 4.005041e+002
2.080055e+003, 4.091953e+002
2.109352e+003, 4.170982e+002
2.138648e+003, 4.243907e+002
2.167945e+003, 4.303607e+002
2.197241e+003, 4.354915e+002
2.226538e+003, 4.411310e+002
2.255834e+003, 4.476860e+002
2.285131e+003, 4.541647e+002
2.314428e+003, 4.596769e+002
2.343724e+003, 4.630021e+002
2.373021e+003, 4.662002e+002
2.402317e+003, 4.701866e+002
2.431614e+003, 4.745036e+002
2.460910e+003, 4.789224e+002
2.490207e+003, 4.818152e+002
2.519503e+003, 4.845046e+002
2.548800e+003, 4.869906e+002
2.578097e+003, 4.900869e+002
2.607393e+003, 4.924712e+002
2.636690e+003, 4.948554e+002
2.665986e+003, 4.969599e+002
2.695283e+003, 4.989118e+002
2.724579e+003, 5.000753e+002
2.753876e+003, 5.004759e+002
2.783172e+003, 5.012580e+002
2.812469e+003, 5.019892e+002
2.841765e+003, 5.031273e+002
2.871062e+003, 5.042654e+002
2.900359e+003, 5.046406e+002
2.929655e+003, 5.049649e+002
2.958952e+003, 5.056198e+002
2.988248e+003, 5.056643e+002
3.017545e+003, 5.064210e+002
3.046841e+003, 5.070759e+002
3.076138e+003, 5.071713e+002
3.105434e+003, 5.077753e+002
3.134731e+003, 5.078453e+002
3.164028e+003, 5.081951e+002
3.193324e+003, 5.085448e+002
3.222621e+003, 5.092760e+002
3.251917e+003, 5.092443e+002
3.281214e+003, 5.091871e+002
3.310510e+003, 5.091045e+002
3.339807e+003, 5.090473e+002
3.369103e+003, 5.090156e+002
3.398400e+003, 5.089584e+002
3.427697e+003, 5.087741e+002
3.456993e+003, 5.076234e+002
3.486290e+003, 5.062183e+002
3.515586e+003, 5.038469e+002
3.544883e+003, 5.021367e+002
3.574179e+003, 5.004774e+002
3.603476e+003, 4.983603e+002
3.632772e+003, 4.946410e+002
3.662069e+003, 4.891161e+002
3.691365e+003, 4.827519e+002
3.720662e+003, 4.765912e+002
3.749959e+003, 4.708375e+002
3.779255e+003, 4.654906e+002
3.808552e+003, 4.587958e+002
3.837848e+003, 4.498886e+002
3.867145e+003, 4.380312e+002
3.896441e+003, 4.241649e+002
3.925738e+003, 4.103239e+002
3.955034e+003, 3.978817e+002
3.984331e+003, 3.865330e+002
4.013628e+003, 3.746757e+002
4.042924e+003, 3.616231e+002
4.072221e+003, 3.471972e+002
4.101517e+003, 3.313981e+002
4.130814e+003, 3.170994e+002
4.160110e+003, 3.060559e+002
4.189407e+003, 2.992848e+002
4.218703e+003, 2.951332e+002
4.248000e+003, 2.915156e+002
4.277297e+003, 2.873895e+002
4.306593e+003, 2.849926e+002
4.335890e+003, 2.850117e+002
4.365186e+003, 2.867348e+002
4.394483e+003, 2.887884e+002
4.423779e+003, 2.906894e+002
4.453076e+003, 2.922344e+002
4.482372e+003, 2.951273e+002
4.511669e+003, 3.000801e+002
4.540965e+003, 3.061265e+002
4.570262e+003, 3.109267e+002
4.599559e+003, 3.120902e+002
4.628855e+003, 3.124654e+002
4.658152e+003, 3.139086e+002
4.687448e+003, 3.166998e+002
4.716745e+003, 3.191858e+002
4.746041e+003, 3.210868e+002
4.775338e+003, 3.222249e+002
4.804634e+003, 3.235665e+002
4.833931e+003, 3.246791e+002
4.863228e+003, 3.264530e+002
4.892524e+003, 3.293713e+002
4.921821e+003, 3.330525e+002
4.951117e+003, 3.374459e+002
4.980414e+003, 3.416866e+002
5.009710e+003, 3.461816e+002
5.039007e+003, 3.510073e+002
5.068303e+003, 3.574605e+002
5.097600e+003, 3.656940e+002
5.126897e+003, 3.749447e+002
5.156193e+003, 3.825169e+002
5.185490e+003, 3.878766e+002
5.214786e+003, 3.925751e+002
5.244083e+003, 3.981382e+002
5.273379e+003, 4.067023e+002
5.302676e+003, 4.161310e+002
5.331972e+003, 4.253054e+002
5.361269e+003, 4.326996e+002
5.390565e+003, 4.383899e+002
5.419862e+003, 4.430376e+002
5.449159e+003, 4.471766e+002
5.478455e+003, 4.523837e+002
5.507752e+003, 4.588369e+002
5.537048e+003, 4.647816e+002
5.566345e+003, 4.696072e+002
5.595641e+003, 4.737208e+002
5.624938e+003, 4.771477e+002
5.654234e+003, 4.801169e+002
5.683531e+003, 4.825520e+002
5.712828e+003, 4.857754e+002
5.742124e+003, 4.896093e+002
5.771421e+003, 4.925021e+002
5.800717e+003, 4.944795e+002
5.830014e+003, 4.962788e+002
5.859310e+003, 4.976203e+002
5.888607e+003, 4.986059e+002
5.917903e+003, 4.999474e+002
5.947200e+003, 5.014161e+002
5.976497e+003, 5.023508e+002
6.005793e+003, 5.034380e+002
6.035090e+003, 5.041947e+002
6.064386e+003, 5.049513e+002
6.093683e+003, 5.060131e+002
6.122979e+003, 5.060577e+002
6.152276e+003, 5.060005e+002
6.181572e+003, 5.059687e+002
6.210869e+003, 5.058861e+002
6.240165e+003, 5.062613e+002
6.269462e+003, 5.065856e+002
6.298759e+003, 5.065284e+002
6.328055e+003, 5.065476e+002
6.357352e+003, 5.072279e+002
6.386648e+003, 5.078828e+002
6.415945e+003, 5.086394e+002
6.445241e+003, 5.086840e+002
6.474538e+003, 5.093389e+002
6.503834e+003, 5.093835e+002
6.533131e+003, 5.097332e+002
6.562428e+003, 5.093454e+002
6.591724e+003, 5.096189e+002
6.621021e+003, 5.092057e+002
6.650317e+003, 5.098097e+002
6.679614e+003, 5.097525e+002
6.708910e+003, 5.090596e+002
6.738207e+003, 5.080106e+002
6.767503e+003, 5.048254e+002
6.796800e+003, 5.018945e+002
6.826096e+003, 4.980734e+002
6.855393e+003, 4.936421e+002
6.884690e+003, 4.887021e+002
6.913986e+003, 4.833552e+002
6.943283e+003, 4.767876e+002
6.972579e+003, 4.693045e+002
7.001876e+003, 4.603972e+002
7.031172e+003, 4.510068e+002
7.060469e+003, 4.419723e+002
7.089765e+003, 4.324547e+002
7.119062e+003, 4.218181e+002
7.148359e+003, 4.084603e+002
7.177655e+003, 3.933224e+002
7.206952e+003, 3.786676e+002
7.236248e+003, 3.647250e+002
7.265545e+003, 3.520539e+002
7.294841e+003, 3.406034e+002
7.324138e+003, 3.297888e+002
7.353434e+003, 3.193557e+002
7.382731e+003, 3.087191e+002
7.412028e+003, 2.995829e+002
7.441324e+003, 2.934222e+002
7.470621e+003, 2.898047e+002
7.499917e+003, 2.876113e+002
7.529214e+003, 2.859265e+002
7.558510e+003, 2.858693e+002
7.587807e+003, 2.878212e+002
7.617103e+003, 2.911719e+002
7.646400e+003, 2.939376e+002
7.675696e+003, 2.959403e+002
7.704993e+003, 2.986043e+002
7.734290e+003, 3.019041e+002
7.763586e+003, 3.053310e+002
7.792883e+003, 3.090122e+002
7.822179e+003, 3.123120e+002
7.851476e+003, 3.145945e+002
7.880772e+003, 3.159361e+002
7.910069e+003, 3.173285e+002
7.939365e+003, 3.185938e+002
7.968662e+003, 3.200625e+002
7.997959e+003, 3.219635e+002
8.027255e+003, 3.241189e+002
8.056552e+003, 3.257656e+002
8.085848e+003, 3.272852e+002
8.115145e+003, 3.296440e+002
8.144441e+003, 3.332744e+002
8.173738e+003, 3.389138e+002
8.203034e+003, 3.448330e+002
8.232331e+003, 3.497604e+002
8.261628e+003, 3.542045e+002
8.290924e+003, 3.585979e+002
8.320221e+003, 3.638558e+002
8.349517e+003, 3.715044e+002
8.378814e+003, 3.820266e+002
8.408110e+003, 3.924472e+002
8.437407e+003, 4.008586e+002
8.466703e+003, 4.069813e+002
8.496000e+003, 4.115018e+002
8.525296e+003, 4.166326e+002
8.554593e+003, 4.232130e+002
8.583890e+003, 4.317007e+002
8.613186e+003, 4.401631e+002
8.642483e+003, 4.466926e+002
8.671779e+003, 4.514674e+002
8.701076e+003, 4.554538e+002
8.730372e+003, 4.586010e+002
8.759669e+003, 4.626637e+002
8.788965e+003, 4.674893e+002
8.818262e+003, 4.731288e+002
8.847559e+003, 4.773695e+002
8.876855e+003, 4.803387e+002
8.906152e+003, 4.819091e+002
8.935448e+003, 4.834796e+002
8.964745e+003, 4.862707e+002
8.994041e+003, 4.898756e+002
9.023338e+003, 4.930737e+002
9.052634e+003, 4.953562e+002
9.081931e+003, 4.966469e+002
9.111228e+003, 4.976833e+002
9.140524e+003, 4.979567e+002
9.169821e+003, 4.989168e+002
9.199117e+003, 5.008687e+002
9.228414e+003, 5.031512e+002
9.257710e+003, 5.039078e+002
9.287007e+003, 5.040287e+002
9.316303e+003, 5.047090e+002
9.345600e+003, 5.053639e+002
9.374896e+003, 5.061206e+002
9.404193e+003, 5.062160e+002
9.433490e+003, 5.069218e+002
9.462786e+003, 5.072715e+002
9.492083e+003, 5.068583e+002
9.521379e+003, 5.067502e+002
9.550676e+003, 5.074052e+002
9.579972e+003, 5.074497e+002
9.609269e+003, 5.073925e+002
9.638565e+003, 5.072336e+002
9.667862e+003, 5.072782e+002
9.697159e+003, 5.076534e+002
9.726455e+003, 5.079777e+002
9.755752e+003, 5.081494e+002
9.785048e+003, 5.090840e+002
9.814345e+003, 5.090523e+002
9.843641e+003, 5.085628e+002
9.872938e+003, 5.077681e+002
9.902234e+003, 5.072278e+002
9.931531e+003, 5.060007e+002
9.960828e+003, 5.050789e+002
9.990124e+003, 5.032924e+002
1.001942e+004, 4.999800e+002
1.004872e+004, 4.951418e+002
1.007801e+004, 4.901001e+002
1.010731e+004, 4.856687e+002
1.013661e+004, 4.815679e+002
1.016590e+004, 4.774418e+002
1.019520e+004, 4.708487e+002
1.022450e+004, 4.618397e+002
1.025379e+004, 4.506945e+002
1.028309e+004, 4.392441e+002
1.031239e+004, 4.278954e+002
1.034168e+004, 4.176912e+002
1.037098e+004, 4.078684e+002
1.040028e+004, 3.962145e+002
1.042957e+004, 3.815089e+002
1.045887e+004, 3.648450e+002
1.048817e+004, 3.488424e+002
1.051746e+004, 3.355610e+002
1.054676e+004, 3.257127e+002
1.057606e+004, 3.182805e+002
1.060535e+004, 3.110262e+002
1.063465e+004, 3.031871e+002
1.066394e+004, 2.945850e+002
1.069324e+004, 2.884243e+002
1.072254e+004, 2.853154e+002
1.075183e+004, 2.842918e+002
1.078113e+004, 2.842346e+002
1.081043e+004, 2.855253e+002
1.083972e+004, 2.876044e+002
1.086902e+004, 2.909042e+002
1.089832e+004, 2.953483e+002
1.092761e+004, 2.991567e+002
1.095691e+004, 3.017190e+002
1.098621e+004, 3.039252e+002
1.101550e+004, 3.056991e+002
1.104480e+004, 3.084648e+002
1.107410e+004, 3.115611e+002
1.110339e+004, 3.140471e+002
1.113269e+004, 3.155158e+002
1.116199e+004, 3.163742e+002
1.119128e+004, 3.178429e+002
1.122058e+004, 3.195150e+002
1.124988e+004, 3.218993e+002
1.127917e+004, 3.246904e+002
1.130847e+004, 3.277104e+002
1.133777e+004, 3.311119e+002
1.136706e+004, 3.354035e+002
1.139636e+004, 3.395171e+002
