File name = Cd1_5.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 4.110317e+002
2.929655e+001, 4.104718e+002
5.859310e+001, 4.124805e+002
8.788965e+001, 4.197280e+002
1.171862e+002, 4.287048e+002
1.464828e+002, 4.374274e+002
1.757793e+002, 4.443697e+002
2.050759e+002, 4.497861e+002
2.343724e+002, 4.539310e+002
2.636690e+002, 4.571604e+002
2.929655e+002, 4.598811e+002
3.222621e+002, 4.630596e+002
3.515586e+002, 4.667467e+002
3.808552e+002, 4.703321e+002
4.101517e+002, 4.732563e+002
4.394483e+002, 4.746038e+002
4.687448e+002, 4.753409e+002
4.980414e+002, 4.763831e+002
5.273379e+002, 4.774508e+002
5.566345e+002, 4.787220e+002
5.859310e+002, 4.797134e+002
6.152276e+002, 4.802979e+002
6.445241e+002, 4.809332e+002
6.738207e+002, 4.811108e+002
7.031172e+002, 4.810595e+002
7.324138e+002, 4.814660e+002
7.617103e+002, 4.818979e+002
7.910069e+002, 4.826859e+002
8.203034e+002, 4.834230e+002
8.496000e+002, 4.837532e+002
8.788965e+002, 4.835747e+002
9.081931e+002, 4.834980e+002
9.374896e+002, 4.835230e+002
9.667862e+002, 4.842601e+002
9.960828e+002, 4.841834e+002
1.025379e+003, 4.843101e+002
1.054676e+003, 4.840300e+002
1.083972e+003, 4.838007e+002
1.113269e+003, 4.838765e+002
1.142566e+003, 4.842067e+002
1.171862e+003, 4.845369e+002
1.201159e+003, 4.844602e+002
1.230455e+003, 4.845869e+002
1.259752e+003, 4.846628e+002
1.289048e+003, 4.845861e+002
1.318345e+003, 4.845094e+002
1.347641e+003, 4.847378e+002
1.376938e+003, 4.848137e+002
1.406234e+003, 4.851439e+002
1.435531e+003, 4.854741e+002
1.464828e+003, 4.863892e+002
1.494124e+003, 4.876603e+002
1.523421e+003, 4.886517e+002
1.552717e+003, 4.895923e+002
1.582014e+003, 4.903802e+002
1.611310e+003, 4.913716e+002
1.640607e+003, 4.914475e+002
1.669903e+003, 4.912691e+002
1.699200e+003, 4.911415e+002
1.728497e+003, 4.910648e+002
1.757793e+003, 4.909881e+002
1.787090e+003, 4.904282e+002
1.816386e+003, 4.895376e+002
1.845683e+003, 4.883674e+002
1.874979e+003, 4.869428e+002
1.904276e+003, 4.850605e+002
1.933572e+003, 4.824406e+002
1.962869e+003, 4.785746e+002
1.992166e+003, 4.739203e+002
2.021462e+003, 4.683758e+002
2.050759e+003, 4.626025e+002
2.080055e+003, 4.559645e+002
2.109352e+003, 4.466816e+002
2.138648e+003, 4.352117e+002
2.167945e+003, 4.229279e+002
2.197241e+003, 4.101356e+002
2.226538e+003, 3.963259e+002
2.255834e+003, 3.822620e+002
2.285131e+003, 3.680454e+002
2.314428e+003, 3.533966e+002
2.343724e+003, 3.376287e+002
2.373021e+003, 3.218863e+002
2.402317e+003, 3.078224e+002
2.431614e+003, 2.965813e+002
2.460910e+003, 2.883157e+002
2.490207e+003, 2.819066e+002
2.519503e+003, 2.761332e+002
2.548800e+003, 2.711483e+002
2.578097e+003, 2.677909e+002
2.607393e+003, 2.667478e+002
2.636690e+003, 2.667474e+002
2.665986e+003, 2.674845e+002
2.695283e+003, 2.688319e+002
2.724579e+003, 2.705354e+002
2.753876e+003, 2.736885e+002
2.783172e+003, 2.784946e+002
2.812469e+003, 2.838602e+002
2.841765e+003, 2.886663e+002
2.871062e+003, 2.929129e+002
2.900359e+003, 2.982785e+002
2.929655e+003, 3.063398e+002
2.958952e+003, 3.166390e+002
2.988248e+003, 3.288457e+002
3.017545e+003, 3.417644e+002
3.046841e+003, 3.547085e+002
3.076138e+003, 3.651095e+002
3.105434e+003, 3.724842e+002
3.134731e+003, 3.801131e+002
3.164028e+003, 3.904633e+002
3.193324e+003, 4.022376e+002
3.222621e+003, 4.153343e+002
3.251917e+003, 4.263456e+002
3.281214e+003, 4.338474e+002
3.310510e+003, 4.381958e+002
3.339807e+003, 4.418320e+002
3.369103e+003, 4.466381e+002
3.398400e+003, 4.526649e+002
3.427697e+003, 4.582848e+002
3.456993e+003, 4.630909e+002
3.486290e+003, 4.662694e+002
3.515586e+003, 4.681764e+002
3.544883e+003, 4.697781e+002
3.574179e+003, 4.721428e+002
3.603476e+003, 4.745075e+002
3.632772e+003, 4.763636e+002
3.662069e+003, 4.776093e+002
3.691365e+003, 4.789313e+002
3.720662e+003, 4.802025e+002
3.749959e+003, 4.812193e+002
3.779255e+003, 4.824904e+002
3.808552e+003, 4.833292e+002
3.837848e+003, 4.840663e+002
3.867145e+003, 4.843965e+002
3.896441e+003, 4.847267e+002
3.925738e+003, 4.845483e+002
3.955034e+003, 4.847513e+002
3.984331e+003, 4.851578e+002
4.013628e+003, 4.852337e+002
4.042924e+003, 4.850552e+002
4.072221e+003, 4.844444e+002
4.101517e+003, 4.845457e+002
4.130814e+003, 4.847742e+002
4.160110e+003, 4.842652e+002
4.189407e+003, 4.835527e+002
4.218703e+003, 4.833234e+002
4.248000e+003, 4.836535e+002
4.277297e+003, 4.836277e+002
4.306593e+003, 4.835510e+002
4.335890e+003, 4.834234e+002
4.365186e+003, 4.833976e+002
4.394483e+003, 4.834226e+002
4.423779e+003, 4.838290e+002
4.453076e+003, 4.839304e+002
4.482372e+003, 4.838536e+002
4.511669e+003, 4.840821e+002
4.540965e+003, 4.854295e+002
4.570262e+003, 4.867007e+002
