File name = Cl1_3.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.243829e+002
2.929655e+001, 3.240981e+002
5.859310e+001, 3.270431e+002
8.788965e+001, 3.279790e+002
1.171862e+002, 3.289149e+002
1.464828e+002, 3.305629e+002
1.757793e+002, 3.325161e+002
2.050759e+002, 3.347490e+002
2.343724e+002, 3.364733e+002
2.636690e+002, 3.378924e+002
2.929655e+002, 3.392352e+002
3.222621e+002, 3.405526e+002
3.515586e+002, 3.422514e+002
3.808552e+002, 3.445352e+002
4.101517e+002, 3.477599e+002
4.394483e+002, 3.505777e+002
4.687448e+002, 3.525309e+002
4.980414e+002, 3.537211e+002
5.273379e+002, 3.551911e+002
5.566345e+002, 3.577292e+002
5.859310e+002, 3.611828e+002
6.152276e+002, 3.643058e+002
6.445241e+002, 3.667676e+002
6.738207e+002, 3.685936e+002
7.031172e+002, 3.704196e+002
7.324138e+002, 3.723219e+002
7.617103e+002, 3.749363e+002
7.910069e+002, 3.783899e+002
8.203034e+002, 3.821487e+002
8.496000e+002, 3.853480e+002
8.788965e+002, 3.884964e+002
9.081931e+002, 3.913397e+002
9.374896e+002, 3.945390e+002
9.667862e+002, 3.981452e+002
9.960828e+002, 4.025652e+002
1.025379e+003, 4.065783e+002
1.054676e+003, 4.104388e+002
1.083972e+003, 4.136381e+002
1.113269e+003, 4.169900e+002
1.142566e+003, 4.206725e+002
1.171862e+003, 4.245584e+002
1.201159e+003, 4.281137e+002
1.230455e+003, 4.312622e+002
1.259752e+003, 4.338002e+002
1.289048e+003, 4.367452e+002
1.318345e+003, 4.401988e+002
1.347641e+003, 4.437542e+002
1.376938e+003, 4.464957e+002
1.406234e+003, 4.481691e+002
1.435531e+003, 4.492831e+002
1.464828e+003, 4.503461e+002
1.494124e+003, 4.512566e+002
1.523421e+003, 4.528537e+002
1.552717e+003, 4.552138e+002
1.582014e+003, 4.569381e+002
1.611310e+003, 4.582555e+002
1.640607e+003, 4.586064e+002
1.669903e+003, 4.589574e+002
1.699200e+003, 4.594864e+002
1.728497e+003, 4.605749e+002
1.757793e+003, 4.613328e+002
1.787090e+003, 4.620907e+002
1.816386e+003, 4.626960e+002
1.845683e+003, 4.621315e+002
1.874979e+003, 4.611092e+002
1.904276e+003, 4.602395e+002
1.933572e+003, 4.589120e+002
1.962869e+003, 4.576862e+002
1.992166e+003, 4.555449e+002
2.021462e+003, 4.533528e+002
2.050759e+003, 4.513641e+002
2.080055e+003, 4.493245e+002
2.109352e+003, 4.466746e+002
2.138648e+003, 4.435161e+002
2.167945e+003, 4.404084e+002
2.197241e+003, 4.375551e+002
2.226538e+003, 4.342439e+002
2.255834e+003, 4.298647e+002
