File name = D0_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.508370e+002
2.929655e+001, 3.503708e+002
5.859310e+001, 3.507184e+002
8.788965e+001, 3.539651e+002
1.171862e+002, 3.585089e+002
1.464828e+002, 3.647056e+002
1.757793e+002, 3.721486e+002
2.050759e+002, 3.794135e+002
2.343724e+002, 3.847202e+002
2.636690e+002, 3.882467e+002
2.929655e+002, 3.915188e+002
3.222621e+002, 3.960880e+002
3.515586e+002, 4.027171e+002
3.808552e+002, 4.100329e+002
4.101517e+002, 4.167892e+002
4.394483e+002, 4.224265e+002
4.687448e+002, 4.267922e+002
4.980414e+002, 4.302933e+002
5.273379e+002, 4.340995e+002
5.566345e+002, 4.385670e+002
5.859310e+002, 4.437974e+002
6.152276e+002, 4.489260e+002
6.445241e+002, 4.533935e+002
6.738207e+002, 4.569454e+002
7.031172e+002, 4.594292e+002
7.324138e+002, 4.618113e+002
7.617103e+002, 4.644223e+002
7.910069e+002, 4.682031e+002
8.203034e+002, 4.722128e+002
8.496000e+002, 4.758919e+002
8.788965e+002, 4.786045e+002
9.081931e+002, 4.808340e+002
9.374896e+002, 4.832161e+002
9.667862e+002, 4.859034e+002
9.960828e+002, 4.887941e+002
1.025379e+003, 4.909982e+002
1.054676e+003, 4.930496e+002
1.083972e+003, 4.943636e+002
1.113269e+003, 4.951181e+002
1.142566e+003, 4.958726e+002
1.171862e+003, 4.968814e+002
1.201159e+003, 4.977884e+002
1.230455e+003, 4.982377e+002
1.259752e+003, 4.984836e+002
1.289048e+003, 4.984751e+002
1.318345e+003, 4.980598e+002
1.347641e+003, 4.968560e+002
1.376938e+003, 4.956777e+002
1.406234e+003, 4.946266e+002
1.435531e+003, 4.936517e+002
1.464828e+003, 4.922700e+002
1.494124e+003, 4.901253e+002
1.523421e+003, 4.877263e+002
1.552717e+003, 4.853782e+002
1.582014e+003, 4.828774e+002
1.611310e+003, 4.802241e+002
1.640607e+003, 4.774182e+002
1.669903e+003, 4.749175e+002
1.699200e+003, 4.719590e+002
1.728497e+003, 4.675255e+002
1.757793e+003, 4.620238e+002
1.787090e+003, 4.564205e+002
1.816386e+003, 4.514783e+002
1.845683e+003, 4.464345e+002
1.874979e+003, 4.407803e+002
1.904276e+003, 4.344394e+002
1.933572e+003, 4.283529e+002
1.962869e+003, 4.218848e+002
1.992166e+003, 4.153151e+002
2.021462e+003, 4.086436e+002
2.050759e+003, 4.024808e+002
2.080055e+003, 3.960128e+002
2.109352e+003, 3.878154e+002
2.138648e+003, 3.792112e+002
2.167945e+003, 3.716750e+002
2.197241e+003, 3.654105e+002
2.226538e+003, 3.602140e+002
2.255834e+003, 3.553736e+002
2.285131e+003, 3.500246e+002
2.314428e+003, 3.440143e+002
2.343724e+003, 3.372411e+002
2.373021e+003, 3.313834e+002
2.402317e+003, 3.268991e+002
2.431614e+003, 3.239406e+002
2.460910e+003, 3.215924e+002
2.490207e+003, 3.187102e+002
2.519503e+003, 3.151668e+002
2.548800e+003, 3.114963e+002
2.578097e+003, 3.089955e+002
2.607393e+003, 3.074612e+002
2.636690e+003, 3.061303e+002
2.665986e+003, 3.052063e+002
2.695283e+003, 3.050198e+002
2.724579e+003, 3.057234e+002
2.753876e+003, 3.071646e+002
2.783172e+003, 3.087329e+002
2.812469e+003, 3.101994e+002
2.841765e+003, 3.114625e+002
2.871062e+003, 3.134377e+002
2.900359e+003, 3.163030e+002
2.929655e+003, 3.193717e+002
2.958952e+003, 3.228728e+002
2.988248e+003, 3.262975e+002
3.017545e+003, 3.298495e+002
3.046841e+003, 3.331725e+002
3.076138e+003, 3.361141e+002
3.105434e+003, 3.389539e+002
3.134731e+003, 3.417938e+002
3.164028e+003, 3.455492e+002
3.193324e+003, 3.506270e+002
3.222621e+003, 3.562897e+002
3.251917e+003, 3.622068e+002
3.281214e+003, 3.671320e+002
3.310510e+003, 3.710399e+002
3.339807e+003, 3.751514e+002
3.369103e+003, 3.809412e+002
3.398400e+003, 3.880535e+002
3.427697e+003, 3.952167e+002
3.456993e+003, 4.020747e+002
3.486290e+003, 4.077629e+002
3.515586e+003, 4.120778e+002
3.544883e+003, 4.162400e+002
3.574179e+003, 4.206058e+002
3.603476e+003, 4.260142e+002
3.632772e+003, 4.321855e+002
3.662069e+003, 4.378737e+002
3.691365e+003, 4.423666e+002
3.720662e+003, 4.466560e+002
3.749959e+003, 4.503097e+002
3.779255e+003, 4.536073e+002
3.808552e+003, 4.570575e+002
3.837848e+003, 4.613723e+002
3.867145e+003, 4.659415e+002
3.896441e+003, 4.697223e+002
3.925738e+003, 4.732488e+002
3.955034e+003, 4.763430e+002
3.984331e+003, 4.794880e+002
4.013628e+003, 4.827348e+002
4.042924e+003, 4.856763e+002
4.072221e+003, 4.880076e+002
4.101517e+003, 4.906440e+002
4.130814e+003, 4.931786e+002
4.160110e+003, 4.953064e+002
4.189407e+003, 4.967984e+002
4.218703e+003, 4.978835e+002
4.248000e+003, 4.992992e+002
4.277297e+003, 5.001045e+002
4.306593e+003, 5.007064e+002
4.335890e+003, 5.007997e+002
4.365186e+003, 5.008421e+002
4.394483e+003, 5.006810e+002
4.423779e+003, 5.002657e+002
4.453076e+003, 4.996977e+002
4.482372e+003, 4.989772e+002
4.511669e+003, 4.982821e+002
4.540965e+003, 4.972309e+002
4.570262e+003, 4.953914e+002
4.599559e+003, 4.929416e+002
4.628855e+003, 4.907460e+002
4.658152e+003, 4.892117e+002
4.687448e+003, 4.871687e+002
4.716745e+003, 4.849223e+002
4.746041e+003, 4.820147e+002
4.775338e+003, 4.779372e+002
4.804634e+003, 4.734528e+002
4.833931e+003, 4.697822e+002
4.863228e+003, 4.664677e+002
4.892524e+003, 4.623394e+002
4.921821e+003, 4.569395e+002
4.951117e+003, 4.510564e+002
4.980414e+003, 4.457328e+002
5.009710e+003, 4.401294e+002
5.039007e+003, 4.350855e+002
5.068303e+003, 4.293296e+002
5.097600e+003, 4.222004e+002
5.126897e+003, 4.142573e+002
5.156193e+003, 4.076367e+002
5.185490e+003, 4.023640e+002
5.214786e+003, 3.981085e+002
5.244083e+003, 3.924543e+002
5.273379e+003, 3.846638e+002
5.302676e+003, 3.764665e+002
5.331972e+003, 3.682691e+002
5.361269e+003, 3.608856e+002
5.390565e+003, 3.550788e+002
5.419862e+003, 3.505944e+002
5.449159e+003, 3.466187e+002
5.478455e+003, 3.413713e+002
5.507752e+003, 3.344964e+002
5.537048e+003, 3.278758e+002
5.566345e+003, 3.232134e+002
5.595641e+003, 3.197209e+002
5.624938e+003, 3.159994e+002
5.654234e+003, 3.122271e+002
5.683531e+003, 3.092686e+002
5.712828e+003, 3.071494e+002
5.742124e+003, 3.060219e+002
5.771421e+003, 3.051234e+002
5.800717e+003, 3.044029e+002
5.830014e+003, 3.040384e+002
5.859310e+003, 3.044368e+002
5.888607e+003, 3.057253e+002
5.917903e+003, 3.079803e+002
5.947200e+003, 3.103115e+002
5.976497e+003, 3.120324e+002
6.005793e+003, 3.136006e+002
6.035090e+003, 3.158301e+002
6.064386e+003, 3.190260e+002
6.093683e+003, 3.227305e+002
6.122979e+003, 3.269437e+002
6.152276e+003, 3.312077e+002
6.181572e+003, 3.344290e+002
6.210869e+003, 3.363788e+002
6.240165e+003, 3.383539e+002
6.269462e+003, 3.415498e+002
6.298759e+003, 3.467802e+002
6.328055e+003, 3.537908e+002
6.357352e+003, 3.605217e+002
6.386648e+003, 3.661335e+002
6.415945e+003, 3.702449e+002
6.445241e+003, 3.733391e+002
6.474538e+003, 3.773488e+002
6.503834e+003, 3.839525e+002
6.533131e+003, 3.926415e+002
6.562428e+003, 4.004405e+002
6.591724e+003, 4.061795e+002
6.621021e+003, 4.106724e+002
6.650317e+003, 4.150127e+002
6.679614e+003, 4.200142e+002
6.708910e+003, 4.254735e+002
6.738207e+003, 4.305513e+002
6.767503e+003, 4.359089e+002
6.796800e+003, 4.412410e+002
6.826096e+003, 4.460645e+002
6.855393e+003, 4.496164e+002
6.884690e+003, 4.529649e+002
6.913986e+003, 4.564659e+002
6.943283e+003, 4.604756e+002
6.972579e+003, 4.650448e+002
7.001876e+003, 4.694868e+002
7.031172e+003, 4.734711e+002
7.060469e+003, 4.762092e+002
7.089765e+003, 4.782353e+002
7.119062e+003, 4.809225e+002
7.148359e+003, 4.842201e+002
7.177655e+003, 4.876703e+002
7.206952e+003, 4.900524e+002
7.236248e+003, 4.924345e+002
7.265545e+003, 4.936976e+002
7.294841e+003, 4.945030e+002
7.324138e+003, 4.956643e+002
7.353434e+003, 4.970800e+002
7.382731e+003, 4.986483e+002
7.412028e+003, 4.997334e+002
7.441324e+003, 5.010219e+002
7.470621e+003, 5.018782e+002
7.499917e+003, 5.022766e+002
7.529214e+003, 5.024716e+002
7.558510e+003, 5.025140e+002
7.587807e+003, 5.022004e+002
7.617103e+003, 5.014290e+002
7.646400e+003, 5.001998e+002
7.675696e+003, 4.986146e+002
7.704993e+003, 4.973346e+002
7.734290e+003, 4.956476e+002
7.763586e+003, 4.935538e+002
7.792883e+003, 4.907988e+002
7.822179e+003, 4.882980e+002
7.851476e+003, 4.857973e+002
7.880772e+003, 4.828134e+002
7.910069e+003, 4.789139e+002
7.939365e+003, 4.743024e+002
7.968662e+003, 4.701995e+002
7.997959e+003, 4.674444e+002
8.027255e+003, 4.649437e+002
8.056552e+003, 4.612731e+002
8.085848e+003, 4.558732e+002
8.115145e+003, 4.493035e+002
8.144441e+003, 4.429372e+002
8.173738e+003, 4.368761e+002
8.203034e+003, 4.310693e+002
8.232331e+003, 4.259491e+002
8.261628e+003, 4.213376e+002
8.290924e+003, 4.155817e+002
8.320221e+003, 4.075369e+002
8.349517e+003, 3.983732e+002
8.378814e+003, 3.893874e+002
8.408110e+003, 3.821310e+002
8.437407e+003, 3.767820e+002
8.466703e+003, 3.719925e+002
8.496000e+003, 3.661856e+002
8.525296e+003, 3.583189e+002
8.554593e+003, 3.497909e+002
8.583890e+003, 3.427126e+002
8.613186e+003, 3.383299e+002
8.642483e+003, 3.351171e+002
8.671779e+003, 3.313448e+002
8.701076e+003, 3.267587e+002
8.730372e+003, 3.222744e+002
8.759669e+003, 3.184512e+002
8.788965e+003, 3.149078e+002
8.818262e+003, 3.120510e+002
8.847559e+003, 3.101861e+002
8.876855e+003, 3.094401e+002
8.906152e+003, 3.088467e+002
8.935448e+003, 3.080499e+002
8.964745e+003, 3.079143e+002
8.994041e+003, 3.085670e+002
9.023338e+003, 3.098301e+002
9.052634e+003, 3.113984e+002
9.081931e+003, 3.128141e+002
9.111228e+003, 3.142298e+002
9.140524e+003, 3.159507e+002
9.169821e+003, 3.189940e+002
9.199117e+003, 3.232580e+002
9.228414e+003, 3.272677e+002
9.257710e+003, 3.302092e+002
9.287007e+003, 3.325405e+002
9.316303e+003, 3.347191e+002
9.345600e+003, 3.379150e+002
9.374896e+003, 3.428911e+002
9.404193e+003, 3.488844e+002
9.433490e+003, 3.540639e+002
9.462786e+003, 3.582262e+002
9.492083e+003, 3.613204e+002
9.521379e+003, 3.644145e+002
9.550676e+003, 3.684242e+002
9.579972e+003, 3.743413e+002
9.609269e+003, 3.819876e+002
9.638565e+003, 3.894814e+002
9.667862e+003, 3.948898e+002
9.697159e+003, 3.984672e+002
9.726455e+003, 4.011290e+002
9.755752e+003, 4.044775e+002
9.785048e+003, 4.097079e+002
9.814345e+003, 4.168711e+002
9.843641e+003, 4.239834e+002
9.872938e+003, 4.298241e+002
9.902234e+003, 4.334778e+002
9.931531e+003, 4.362414e+002
9.960828e+003, 4.392084e+002
9.990124e+003, 4.432689e+002
1.001942e+004, 4.487028e+002
1.004872e+004, 4.550013e+002
1.007801e+004, 4.598248e+002
1.010731e+004, 4.622577e+002
1.013661e+004, 4.639277e+002
1.016590e+004, 4.667167e+002
1.019520e+004, 4.703195e+002
1.022450e+004, 4.741766e+002
1.025379e+004, 4.778811e+002
1.028309e+004, 4.815348e+002
1.031239e+004, 4.853919e+002
1.034168e+004, 4.881809e+002
1.037098e+004, 4.899017e+002
1.040028e+004, 4.917752e+002
1.042957e+004, 4.941573e+002
1.045887e+004, 4.965394e+002
1.048817e+004, 4.984128e+002
1.051746e+004, 4.999811e+002
1.054676e+004, 5.013459e+002
1.057606e+004, 5.019478e+002
1.060535e+004, 5.024480e+002
1.063465e+004, 5.035076e+002
1.066394e+004, 5.043639e+002
1.069324e+004, 5.049657e+002
1.072254e+004, 5.042452e+002
1.075183e+004, 5.032704e+002
1.078113e+004, 5.020412e+002
1.081043e+004, 5.008120e+002
1.083972e+004, 4.997863e+002
1.086902e+004, 4.986589e+002
1.089832e+004, 4.973789e+002
1.092761e+004, 4.951324e+002
1.095691e+004, 4.919196e+002
1.098621e+004, 4.886051e+002
1.101550e+004, 4.856466e+002
1.104480e+004, 4.831459e+002
1.107410e+004, 4.803400e+002
1.110339e+004, 4.766185e+002
1.113269e+004, 4.712186e+002
1.116199e+004, 4.661748e+002
1.119128e+004, 4.620464e+002
1.122058e+004, 4.584776e+002
1.124988e+004, 4.543492e+002
1.127917e+004, 4.493054e+002
1.130847e+004, 4.428374e+002
1.133777e+004, 4.362676e+002
1.136706e+004, 4.301048e+002
1.139636e+004, 4.243488e+002
1.142566e+004, 4.183386e+002
1.145495e+004, 4.114637e+002
1.148425e+004, 4.034189e+002
1.151354e+004, 3.960354e+002
1.154284e+004, 3.890079e+002
1.157214e+004, 3.822855e+002
1.160143e+004, 3.755123e+002
1.163073e+004, 3.690952e+002
1.166003e+004, 3.629323e+002
1.168932e+004, 3.566423e+002
1.171862e+004, 3.511661e+002
1.174792e+004, 3.463257e+002
1.177721e+004, 3.416379e+002
1.180651e+004, 3.368483e+002
1.183581e+004, 3.319062e+002
1.186510e+004, 3.277779e+002
1.189440e+004, 3.240564e+002
1.192370e+004, 3.207673e+002
1.195299e+004, 3.179869e+002
1.198229e+004, 3.161473e+002
1.201159e+004, 3.150199e+002
1.204088e+004, 3.135873e+002
