File name = 2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 2.849607e+002
2.929655e+001, 2.849305e+002
5.859310e+001, 2.854597e+002
8.788965e+001, 2.806229e+002
1.171862e+002, 2.761422e+002
1.464828e+002, 2.725261e+002
1.757793e+002, 2.696984e+002
2.050759e+002, 2.676844e+002
2.343724e+002, 2.667641e+002
2.636690e+002, 2.663015e+002
2.929655e+002, 2.661186e+002
3.222621e+002, 2.668259e+002
3.515586e+002, 2.681943e+002
3.808552e+002, 2.698425e+002
4.101517e+002, 2.718976e+002
4.394483e+002, 2.747665e+002
4.687448e+002, 2.784492e+002
4.980414e+002, 2.833272e+002
5.273379e+002, 2.889427e+002
5.566345e+002, 2.940241e+002
5.859310e+002, 2.998939e+002
6.152276e+002, 3.062215e+002
6.445241e+002, 3.139732e+002
6.738207e+002, 3.241664e+002
7.031172e+002, 3.355548e+002
7.324138e+002, 3.461548e+002
7.617103e+002, 3.559410e+002
7.910069e+002, 3.657527e+002
8.203034e+002, 3.771665e+002
8.496000e+002, 3.893942e+002
8.788965e+002, 4.024356e+002
9.081931e+002, 4.146632e+002
9.374896e+002, 4.248309e+002
9.667862e+002, 4.332947e+002
9.960828e+002, 4.407413e+002
1.025379e+003, 4.485184e+002
1.054676e+003, 4.562701e+002
1.083972e+003, 4.623943e+002
1.113269e+003, 4.668908e+002
1.142566e+003, 4.716670e+002
1.171862e+003, 4.750700e+002
1.201159e+003, 4.783204e+002
1.230455e+003, 4.807824e+002
1.259752e+003, 4.824560e+002
1.289048e+003, 4.840788e+002
1.318345e+003, 4.849386e+002
1.347641e+003, 4.857730e+002
1.376938e+003, 4.865820e+002
1.406234e+003, 4.866026e+002
1.435531e+003, 4.858348e+002
1.464828e+003, 4.850416e+002
1.494124e+003, 4.838415e+002
1.523421e+003, 4.818276e+002
1.552717e+003, 4.802206e+002
1.582014e+003, 4.794273e+002
1.611310e+003, 4.794225e+002
1.640607e+003, 4.785276e+002
1.669903e+003, 4.778361e+002
1.699200e+003, 4.770683e+002
1.728497e+003, 4.762751e+002
1.757793e+003, 4.761686e+002
1.787090e+003, 4.755025e+002
1.816386e+003, 4.755231e+002
1.845683e+003, 4.755437e+002
1.874979e+003, 4.755389e+002
1.904276e+003, 4.754577e+002
1.933572e+003, 4.756055e+002
1.962869e+003, 4.764145e+002
1.992166e+003, 4.768674e+002
2.021462e+003, 4.776763e+002
2.050759e+003, 4.788159e+002
2.080055e+003, 4.805658e+002
2.109352e+003, 4.822141e+002
2.138648e+003, 4.830739e+002
2.167945e+003, 4.843152e+002
2.197241e+003, 4.847427e+002
2.226538e+003, 4.855516e+002
2.255834e+003, 4.863860e+002
2.285131e+003, 4.872459e+002
2.314428e+003, 4.880803e+002
2.343724e+003, 4.881517e+002
2.373021e+003, 4.880960e+002
2.402317e+003, 4.873028e+002
2.431614e+003, 4.865096e+002
2.460910e+003, 4.849280e+002
2.490207e+003, 4.831939e+002
2.519503e+003, 4.799593e+002
2.548800e+003, 4.751988e+002
2.578097e+003, 4.687344e+002
2.607393e+003, 4.622445e+002
