File name = 1.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 3.513602e+002
2.929655e+001, 3.513700e+002
5.859310e+001, 3.527785e+002
8.788965e+001, 3.584595e+002
1.171862e+002, 3.706000e+002
1.464828e+002, 3.887169e+002
1.757793e+002, 4.090463e+002
2.050759e+002, 4.261459e+002
2.343724e+002, 4.368114e+002
2.636690e+002, 4.425178e+002
2.929655e+002, 4.457828e+002
3.222621e+002, 4.498870e+002
3.515586e+002, 4.556188e+002
3.808552e+002, 4.620628e+002
4.101517e+002, 4.670825e+002
4.394483e+002, 4.699660e+002
4.687448e+002, 4.704081e+002
4.980414e+002, 4.711554e+002
5.273379e+002, 4.713686e+002
5.566345e+002, 4.717345e+002
5.859310e+002, 4.717697e+002
6.152276e+002, 4.714488e+002
6.445241e+002, 4.713315e+002
6.738207e+002, 4.705529e+002
7.031172e+002, 4.698760e+002
7.324138e+002, 4.699112e+002
7.617103e+002, 4.707602e+002
7.910069e+002, 4.707954e+002
8.203034e+002, 4.704237e+002
8.496000e+002, 4.699503e+002
8.788965e+002, 4.700872e+002
9.081931e+002, 4.708345e+002
9.374896e+002, 4.708697e+002
9.667862e+002, 4.709049e+002
9.960828e+002, 4.710419e+002
1.025379e+003, 4.717892e+002
1.054676e+003, 4.727399e+002
1.083972e+003, 4.734872e+002
1.113269e+003, 4.736495e+002
1.142566e+003, 4.744731e+002
1.171862e+003, 4.749407e+002
1.201159e+003, 4.753828e+002
1.230455e+003, 4.762064e+002
1.259752e+003, 4.766739e+002
1.289048e+003, 4.774975e+002
1.318345e+003, 4.775327e+002
1.347641e+003, 4.771610e+002
1.376938e+003, 4.772216e+002
1.406234e+003, 4.780452e+002
1.435531e+003, 4.791994e+002
1.464828e+003, 4.798195e+002
1.494124e+003, 4.804905e+002
1.523421e+003, 4.805257e+002
1.552717e+003, 4.798997e+002
1.582014e+003, 4.797823e+002
1.611310e+003, 4.783680e+002
1.640607e+003, 4.775131e+002
1.669903e+003, 4.763276e+002
1.699200e+003, 4.743537e+002
1.728497e+003, 4.710065e+002
1.757793e+003, 4.653451e+002
1.787090e+003, 4.589716e+002
1.816386e+003, 4.529033e+002
1.845683e+003, 4.468350e+002
1.874979e+003, 4.402581e+002
1.904276e+003, 4.326639e+002
1.933572e+003, 4.233658e+002
1.962869e+003, 4.135082e+002
1.992166e+003, 4.018704e+002
2.021462e+003, 3.911228e+002
2.050759e+003, 3.803751e+002
2.080055e+003, 3.688899e+002
2.109352e+003, 3.544547e+002
2.138648e+003, 3.397651e+002
2.167945e+003, 3.272118e+002
2.197241e+003, 3.178629e+002
2.226538e+003, 3.096583e+002
2.255834e+003, 3.004620e+002
2.285131e+003, 2.894854e+002
2.314428e+003, 2.777205e+002
2.343724e+003, 2.674814e+002
2.373021e+003, 2.601924e+002
2.402317e+003, 2.556754e+002
2.431614e+003, 2.534472e+002
2.460910e+003, 2.508630e+002
2.490207e+003, 2.470327e+002
2.519503e+003, 2.421596e+002
2.548800e+003, 2.381513e+002
2.578097e+003, 2.362028e+002
2.607393e+003, 2.362126e+002
2.636690e+003, 2.369090e+002
2.665986e+003, 2.378598e+002
2.695283e+003, 2.383019e+002
2.724579e+003, 2.395578e+002
2.753876e+003, 2.429245e+002
2.783172e+003, 2.488089e+002
2.812469e+003, 2.545407e+002
2.841765e+003, 2.593062e+002
2.871062e+003, 2.629526e+002
2.900359e+003, 2.675146e+002
2.929655e+003, 2.756370e+002
2.958952e+003, 2.887439e+002
2.988248e+003, 3.068353e+002
3.017545e+003, 3.253846e+002
3.046841e+003, 3.391273e+002
3.076138e+003, 3.462069e+002
3.105434e+003, 3.522185e+002
3.134731e+003, 3.621465e+002
3.164028e+003, 3.801362e+002
3.193324e+003, 4.012795e+002
3.222621e+003, 4.200067e+002
3.251917e+003, 4.322489e+002
3.281214e+003, 4.383877e+002
3.310510e+003, 4.412712e+002
3.339807e+003, 4.452737e+002
3.369103e+003, 4.515141e+002
3.398400e+003, 4.593059e+002
3.427697e+003, 4.660550e+002
3.456993e+003, 4.707441e+002
3.486290e+003, 4.726358e+002
3.515586e+003, 4.739680e+002
3.544883e+003, 4.741304e+002
3.574179e+003, 4.748522e+002
3.603476e+003, 4.749892e+002
3.632772e+003, 4.757365e+002
3.662069e+003, 4.754665e+002
3.691365e+003, 4.751457e+002
3.720662e+003, 4.751300e+002
3.749959e+003, 4.750635e+002
3.779255e+003, 4.750987e+002
3.808552e+003, 4.751339e+002
3.837848e+003, 4.748639e+002
3.867145e+003, 4.744922e+002
3.896441e+003, 4.745275e+002
3.925738e+003, 4.745627e+002
3.955034e+003, 4.745979e+002
3.984331e+003, 4.753452e+002
4.013628e+003, 4.754821e+002
4.042924e+003, 4.755173e+002
4.072221e+003, 4.763663e+002
4.101517e+003, 4.764778e+002
4.130814e+003, 4.764367e+002
4.160110e+003, 4.757090e+002
4.189407e+003, 4.756933e+002
4.218703e+003, 4.765423e+002
4.248000e+003, 4.781034e+002
4.277297e+003, 4.793593e+002
4.306593e+003, 4.806153e+002
4.335890e+003, 4.811845e+002
4.365186e+003, 4.816775e+002
4.394483e+003, 4.823485e+002
4.423779e+003, 4.816716e+002
4.453076e+003, 4.812999e+002
4.482372e+003, 4.809282e+002
4.511669e+003, 4.801496e+002
4.540965e+003, 4.781503e+002
4.570262e+003, 4.754135e+002
4.599559e+003, 4.737448e+002
4.628855e+003, 4.721779e+002
4.658152e+003, 4.706363e+002
4.687448e+003, 4.675689e+002
4.716745e+003, 4.625433e+002
4.746041e+003, 4.560172e+002
4.775338e+003, 4.483467e+002
4.804634e+003, 4.407017e+002
4.833931e+003, 4.341502e+002
4.863228e+003, 4.276750e+002
4.892524e+003, 4.195721e+002
4.921821e+003, 4.089262e+002
4.951117e+003, 3.972630e+002
4.980414e+003, 3.847605e+002
5.009710e+003, 3.717240e+002
5.039007e+003, 3.579755e+002
5.068303e+003, 3.448118e+002
5.097600e+003, 3.319279e+002
5.126897e+003, 3.204681e+002
5.156193e+003, 3.104325e+002
5.185490e+003, 3.019991e+002
5.214786e+003, 2.938709e+002
5.244083e+003, 2.849034e+002
5.273379e+003, 2.743846e+002
5.302676e+003, 2.653408e+002
5.331972e+003, 2.585859e+002
5.361269e+003, 2.543486e+002
5.390565e+003, 2.502894e+002
5.419862e+003, 2.469422e+002
5.449159e+003, 2.444851e+002
5.478455e+003, 2.419518e+002
5.507752e+003, 2.392404e+002
5.537048e+003, 2.379532e+002
5.566345e+003, 2.379884e+002
5.595641e+003, 2.389391e+002
5.624938e+003, 2.397881e+002
5.654234e+003, 2.414510e+002
5.683531e+003, 2.439784e+002
5.712828e+003, 2.484387e+002
5.742124e+003, 2.544757e+002
5.771421e+003, 2.603347e+002
5.800717e+003, 2.660411e+002
5.830014e+003, 2.711880e+002
5.859310e+003, 2.782168e+002
5.888607e+003, 2.888314e+002
5.917903e+003, 3.039220e+002
5.947200e+003, 3.209708e+002
5.976497e+003, 3.353238e+002
6.005793e+003, 3.444126e+002
6.035090e+003, 3.516703e+002
6.064386e+003, 3.627936e+002
6.093683e+003, 3.799186e+002
6.122979e+003, 3.997903e+002
6.152276e+003, 4.169153e+002
6.181572e+003, 4.292593e+002
6.210869e+003, 4.366187e+002
6.240165e+003, 4.411299e+002
6.269462e+003, 4.456410e+002
6.298759e+003, 4.525935e+002
6.328055e+003, 4.603599e+002
6.357352e+003, 4.668038e+002
6.386648e+003, 4.700942e+002
6.415945e+003, 4.710449e+002
6.445241e+003, 4.714870e+002
6.474538e+003, 4.723615e+002
6.503834e+003, 4.735919e+002
6.533131e+003, 4.744410e+002
6.562428e+003, 4.744762e+002
6.591724e+003, 4.745368e+002
6.621021e+003, 4.745466e+002
6.650317e+003, 4.744801e+002
6.679614e+003, 4.742101e+002
6.708910e+003, 4.745505e+002
6.738207e+003, 4.745857e+002
6.767503e+003, 4.739851e+002
6.796800e+003, 4.738423e+002
6.826096e+003, 4.730637e+002
6.855393e+003, 4.730989e+002
6.884690e+003, 4.733121e+002
6.913986e+003, 4.740849e+002
6.943283e+003, 4.745270e+002
6.972579e+003, 4.749691e+002
7.001876e+003, 4.750551e+002
7.031172e+003, 4.757516e+002
7.060469e+003, 4.758885e+002
7.089765e+003, 4.759491e+002
7.119062e+003, 4.767727e+002
7.148359e+003, 4.784355e+002
7.177655e+003, 4.801746e+002
7.206952e+003, 4.816594e+002
7.236248e+003, 4.818218e+002
7.265545e+003, 4.826454e+002
7.294841e+003, 4.834944e+002
7.324138e+003, 4.843434e+002
7.353434e+003, 4.847855e+002
7.382731e+003, 4.852276e+002
7.412028e+003, 4.859749e+002
7.441324e+003, 4.861118e+002
7.470621e+003, 4.854095e+002
7.499917e+003, 4.845801e+002
7.529214e+003, 4.838015e+002
7.558510e+003, 4.834044e+002
7.587807e+003, 4.826258e+002
7.617103e+003, 4.806773e+002
7.646400e+003, 4.781185e+002
7.675696e+003, 4.744153e+002
7.704993e+003, 4.713734e+002
7.734290e+003, 4.681788e+002
7.763586e+003, 4.645264e+002
7.792883e+003, 4.597043e+002
7.822179e+003, 4.540174e+002
7.851476e+003, 4.467284e+002
7.880772e+003, 4.386765e+002
7.910069e+003, 4.296072e+002
7.939365e+003, 4.191647e+002
7.968662e+003, 4.096632e+002
7.997959e+003, 4.013824e+002
8.027255e+003, 3.920080e+002
8.056552e+003, 3.798616e+002
8.085848e+003, 3.656552e+002
8.115145e+003, 3.510674e+002
8.144441e+003, 3.371154e+002
8.173738e+003, 3.242315e+002
8.203034e+003, 3.140942e+002
8.232331e+003, 3.056607e+002
8.261628e+003, 2.970747e+002
8.290924e+003, 2.865559e+002
8.320221e+003, 2.751979e+002
8.349517e+003, 2.654675e+002
8.378814e+003, 2.584582e+002
8.408110e+003, 2.537886e+002
8.437407e+003, 2.505686e+002
8.466703e+003, 2.479844e+002
8.496000e+003, 2.444847e+002
8.525296e+003, 2.408577e+002
8.554593e+003, 2.380446e+002
8.583890e+003, 2.372661e+002
8.613186e+003, 2.375810e+002
8.642483e+003, 2.381503e+002
8.671779e+003, 2.389993e+002
8.701076e+003, 2.406621e+002
8.730372e+003, 2.435965e+002
8.759669e+003, 2.480567e+002
8.788965e+003, 2.529748e+002
8.818262e+003, 2.581725e+002
8.847559e+003, 2.628108e+002
8.876855e+003, 2.677034e+002
8.906152e+003, 2.739184e+002
8.935448e+003, 2.840753e+002
8.964745e+003, 2.979706e+002
8.994041e+003, 3.142564e+002
9.023338e+003, 3.287366e+002
9.052634e+003, 3.385375e+002
9.081931e+003, 3.465327e+002
9.111228e+003, 3.587241e+002
9.140524e+003, 3.752642e+002
9.169821e+003, 3.937880e+002
9.199117e+003, 4.091837e+002
9.228414e+003, 4.206122e+002
9.257710e+003, 4.288871e+002
9.287007e+003, 4.353310e+002
9.316303e+003, 4.412154e+002
9.345600e+003, 4.494141e+002
9.374896e+003, 4.575873e+002
9.404193e+003, 4.639550e+002
9.433490e+003, 4.672454e+002
9.462786e+003, 4.689082e+002
9.492083e+003, 4.694520e+002
9.521379e+003, 4.701230e+002
9.550676e+003, 4.714552e+002
9.579972e+003, 4.720245e+002
9.609269e+003, 4.732550e+002
9.638565e+003, 4.733156e+002
9.667862e+003, 4.737323e+002
9.697159e+003, 4.733860e+002
9.726455e+003, 4.732941e+002
9.755752e+003, 4.733293e+002
9.785048e+003, 4.738985e+002
9.814345e+003, 4.750273e+002
9.843641e+003, 4.750625e+002
9.872938e+003, 4.748180e+002
9.902234e+003, 4.744463e+002
9.931531e+003, 4.744561e+002
9.960828e+003, 4.748982e+002
9.990124e+003, 4.753403e+002
1.001942e+004, 4.760876e+002
1.004872e+004, 4.769366e+002
1.007801e+004, 4.773024e+002
1.010731e+004, 4.779225e+002
1.013661e+004, 4.787715e+002
1.016590e+004, 4.795188e+002
1.019520e+004, 4.800626e+002
1.022450e+004, 4.797672e+002
1.025379e+004, 4.801585e+002
1.028309e+004, 4.812872e+002
1.031239e+004, 4.821363e+002
1.034168e+004, 4.822732e+002
1.037098e+004, 4.830205e+002
1.040028e+004, 4.835643e+002
1.042957e+004, 4.840064e+002
1.045887e+004, 4.836602e+002
1.048817e+004, 4.832630e+002
1.051746e+004, 4.828913e+002
1.054676e+004, 4.817058e+002
1.057606e+004, 4.801134e+002
1.060535e+004, 4.779361e+002
1.063465e+004, 4.753265e+002
1.066394e+004, 4.725134e+002
1.069324e+004, 4.692679e+002
1.072254e+004, 4.648272e+002
1.075183e+004, 4.591913e+002
1.078113e+004, 4.527160e+002
1.081043e+004, 4.462154e+002
1.083972e+004, 4.398165e+002
1.086902e+004, 4.339770e+002
1.089832e+004, 4.252130e+002
1.092761e+004, 4.146179e+002
1.095691e+004, 4.023444e+002
1.098621e+004, 3.902743e+002
1.101550e+004, 3.796283e+002
1.104480e+004, 3.692112e+002
1.107410e+004, 3.586670e+002
1.110339e+004, 3.455542e+002
1.113269e+004, 3.293134e+002
1.116199e+004, 3.150307e+002
1.119128e+004, 3.054783e+002
1.122058e+004, 2.976807e+002
1.124988e+004, 2.896796e+002
1.127917e+004, 2.811699e+002
1.130847e+004, 2.727110e+002
1.133777e+004, 2.644556e+002
1.136706e+004, 2.567597e+002
1.139636e+004, 2.512000e+002
1.142566e+004, 2.475731e+002
1.145495e+004, 2.447600e+002
1.148425e+004, 2.421758e+002
1.151354e+004, 2.399730e+002
1.154284e+004, 2.384315e+002
1.157214e+004, 2.372460e+002
1.160143e+004, 2.371032e+002
1.163073e+004, 2.381302e+002
1.166003e+004, 2.401491e+002
1.168932e+004, 2.426257e+002
1.171862e+004, 2.462976e+002
1.174792e+004, 2.504272e+002
1.177721e+004, 2.561336e+002
1.180651e+004, 2.630862e+002
1.183581e+004, 2.715646e+002
1.186510e+004, 2.806533e+002
1.189440e+004, 2.906831e+002
1.192370e+004, 3.018826e+002
1.195299e+004, 3.133111e+002
1.198229e+004, 3.239257e+002
1.201159e+004, 3.349727e+002
1.204088e+004, 3.488171e+002
1.207018e+004, 3.663491e+002
1.209948e+004, 3.851017e+002
1.212877e+004, 4.014130e+002
1.215807e+004, 4.140621e+002
1.218737e+004, 4.234815e+002
1.221666e+004, 4.315276e+002
1.224596e+004, 4.385819e+002
1.227526e+004, 4.459413e+002
1.230455e+004, 4.536059e+002
1.233385e+004, 4.594394e+002
1.236314e+004, 4.643575e+002
1.239244e+004, 4.684617e+002
1.242174e+004, 4.709383e+002
1.245103e+004, 4.729063e+002
1.248033e+004, 4.742639e+002
1.250963e+004, 4.743246e+002
1.253892e+004, 4.737494e+002
1.256822e+004, 4.735558e+002
1.259752e+004, 4.735910e+002
1.262681e+004, 4.738551e+002
1.265611e+004, 4.736614e+002
1.268541e+004, 4.728828e+002
1.271470e+004, 4.728163e+002
1.274400e+004, 4.725463e+002
1.277330e+004, 4.721746e+002
1.280259e+004, 4.718283e+002
1.283189e+004, 4.714312e+002
1.286119e+004, 4.714664e+002
1.289048e+004, 4.715016e+002
1.291978e+004, 4.719437e+002
1.294908e+004, 4.723858e+002
1.297837e+004, 4.724719e+002
1.300767e+004, 4.732955e+002
1.303697e+004, 4.743480e+002
1.306626e+004, 4.756802e+002
1.309556e+004, 4.765292e+002
1.312486e+004, 4.766915e+002
1.315415e+004, 4.777440e+002
1.318345e+004, 4.787710e+002
1.321274e+004, 4.792131e+002
1.324204e+004, 4.799604e+002
1.327134e+004, 4.801228e+002
1.330063e+004, 4.809464e+002
1.332993e+004, 4.817954e+002
1.335923e+004, 4.822375e+002
1.338852e+004, 4.826796e+002
1.341782e+004, 4.835286e+002
1.344712e+004, 4.835638e+002
1.347641e+004, 4.840059e+002
1.350571e+004, 4.840666e+002
1.353501e+004, 4.835677e+002
1.356430e+004, 4.828908e+002
1.359360e+004, 4.820614e+002
1.362290e+004, 4.809522e+002
1.365219e+004, 4.789275e+002
1.368149e+004, 4.765467e+002
1.371079e+004, 4.745474e+002
1.374008e+004, 4.717089e+002
1.376938e+004, 4.677005e+002
1.379868e+004, 4.624460e+002
1.382797e+004, 4.562505e+002
1.385727e+004, 4.491141e+002
1.388657e+004, 4.422065e+002
1.391586e+004, 4.351973e+002
1.394516e+004, 4.271962e+002
1.397446e+004, 4.181778e+002
1.400375e+004, 4.069215e+002
1.403305e+004, 3.947497e+002
1.406234e+004, 3.820692e+002
1.409164e+004, 3.704060e+002
1.412094e+004, 3.599381e+002
1.415023e+004, 3.495464e+002
1.417953e+004, 3.390022e+002
1.420883e+004, 3.286614e+002
1.423812e+004, 3.173034e+002
1.426742e+004, 3.039363e+002
1.429672e+004, 2.905183e+002
1.432601e+004, 2.803810e+002
1.435531e+004, 2.747196e+002
1.438461e+004, 2.707367e+002
1.441390e+004, 2.652024e+002
1.444320e+004, 2.585237e+002
1.447250e+004, 2.519468e+002
1.450179e+004, 2.468195e+002
1.453109e+004, 2.435740e+002
1.456039e+004, 2.419816e+002
1.458968e+004, 2.412793e+002
1.461898e+004, 2.410602e+002
1.464828e+004, 2.408665e+002
1.467757e+004, 2.409018e+002
1.470687e+004, 2.421577e+002
1.473617e+004, 2.438968e+002
1.476546e+004, 2.463225e+002
1.479476e+004, 2.494858e+002
1.482406e+004, 2.528779e+002
1.485335e+004, 2.572873e+002
1.488265e+004, 2.633498e+002
1.491194e+004, 2.717264e+002
1.494124e+004, 2.831549e+002
1.497054e+004, 2.953717e+002
1.499983e+004, 3.054777e+002
1.502913e+004, 3.128372e+002
1.505843e+004, 3.215444e+002
1.508772e+004, 3.350074e+002
