File name = C4_slice_2.csv
Profile viewing = Raw
Y axis uint = nm
Total data = 2048
Xaxis Data , Yaxis Data 
0.000000e+000, 6.277979e+002
2.929655e+001, 6.250004e+002
5.859310e+001, 6.271367e+002
8.788965e+001, 6.280013e+002
1.171862e+002, 6.280268e+002
1.464828e+002, 6.262212e+002
1.757793e+002, 6.214909e+002
2.050759e+002, 6.164555e+002
2.343724e+002, 6.116744e+002
2.636690e+002, 6.075037e+002
2.929655e+002, 6.026209e+002
3.222621e+002, 5.954492e+002
3.515586e+002, 5.871586e+002
3.808552e+002, 5.775456e+002
4.101517e+002, 5.677291e+002
4.394483e+002, 5.580143e+002
4.687448e+002, 5.505375e+002
4.980414e+002, 5.449935e+002
5.273379e+002, 5.392969e+002
5.566345e+002, 5.334476e+002
5.859310e+002, 5.262251e+002
6.152276e+002, 5.189518e+002
6.445241e+002, 5.135095e+002
6.738207e+002, 5.091862e+002
7.031172e+002, 5.065922e+002
7.324138e+002, 5.042525e+002
7.617103e+002, 5.026249e+002
7.910069e+002, 5.002343e+002
8.203034e+002, 4.977421e+002
8.496000e+002, 4.949192e+002
8.788965e+002, 4.935713e+002
9.081931e+002, 4.924523e+002
9.374896e+002, 4.916385e+002
9.667862e+002, 4.908502e+002
9.960828e+002, 4.896040e+002
1.025379e+003, 4.887902e+002
1.054676e+003, 4.878747e+002
1.083972e+003, 4.867557e+002
1.113269e+003, 4.859419e+002
1.142566e+003, 4.847721e+002
1.171862e+003, 4.835005e+002
1.201159e+003, 4.822798e+002
1.230455e+003, 4.810845e+002
1.259752e+003, 4.800673e+002
1.289048e+003, 4.794315e+002
1.318345e+003, 4.782617e+002
1.347641e+003, 4.766340e+002
1.376938e+003, 4.750064e+002
1.406234e+003, 4.735569e+002
1.435531e+003, 4.729211e+002
1.464828e+003, 4.732263e+002
1.494124e+003, 4.732263e+002
1.523421e+003, 4.725142e+002
1.552717e+003, 4.724124e+002
1.582014e+003, 4.721073e+002
1.611310e+003, 4.719293e+002
1.640607e+003, 4.721073e+002
1.669903e+003, 4.725650e+002
1.699200e+003, 4.732263e+002
1.728497e+003, 4.740401e+002
1.757793e+003, 4.749556e+002
1.787090e+003, 4.764815e+002
1.816386e+003, 4.772953e+002
1.845683e+003, 4.782108e+002
1.874979e+003, 4.790755e+002
1.904276e+003, 4.805505e+002
1.933572e+003, 4.810845e+002
1.962869e+003, 4.818983e+002
1.992166e+003, 4.826867e+002
2.021462e+003, 4.830936e+002
2.050759e+003, 4.839074e+002
2.080055e+003, 4.847212e+002
2.109352e+003, 4.855350e+002
2.138648e+003, 4.859419e+002
2.167945e+003, 4.864251e+002
2.197241e+003, 4.875695e+002
2.226538e+003, 4.886885e+002
2.255834e+003, 4.896549e+002
2.285131e+003, 4.911299e+002
2.314428e+003, 4.927575e+002
2.343724e+003, 4.940799e+002
2.373021e+003, 4.960127e+002
2.402317e+003, 4.978184e+002
2.431614e+003, 5.002598e+002
2.460910e+003, 5.033369e+002
2.490207e+003, 5.066939e+002
2.519503e+003, 5.107629e+002
2.548800e+003, 5.155440e+002
2.578097e+003, 5.204268e+002
2.607393e+003, 5.258182e+002
2.636690e+003, 5.319218e+002
2.665986e+003, 5.380253e+002
2.695283e+003, 5.449426e+002
2.724579e+003, 5.531315e+002
2.753876e+003, 5.639652e+002
2.783172e+003, 5.750533e+002
2.812469e+003, 5.852258e+002
2.841765e+003, 5.929061e+002
2.871062e+003, 5.998743e+002
2.900359e+003, 6.076563e+002
2.929655e+003, 6.165572e+002
2.958952e+003, 6.238306e+002
2.988248e+003, 6.291712e+002
3.017545e+003, 6.327316e+002
3.046841e+003, 6.343592e+002
3.076138e+003, 6.345118e+002
3.105434e+003, 6.340540e+002
3.134731e+003, 6.327316e+002
3.164028e+003, 6.296290e+002
3.193324e+003, 6.245935e+002
3.222621e+003, 6.173710e+002
3.251917e+003, 6.107589e+002
3.281214e+003, 6.046554e+002
3.310510e+003, 5.993657e+002
3.339807e+003, 5.928552e+002
3.369103e+003, 5.831913e+002
3.398400e+003, 5.718490e+002
3.427697e+003, 5.608118e+002
3.456993e+003, 5.515039e+002
3.486290e+003, 5.441797e+002
3.515586e+003, 5.384831e+002
3.544883e+003, 5.334476e+002
3.574179e+003, 5.277510e+002
3.603476e+003, 5.205794e+002
3.632772e+003, 5.136112e+002
3.662069e+003, 5.079400e+002
3.691365e+003, 5.044814e+002
3.720662e+003, 5.025231e+002
3.749959e+003, 5.005904e+002
3.779255e+003, 4.989628e+002
3.808552e+003, 4.969283e+002
3.837848e+003, 4.949192e+002
3.867145e+003, 4.928592e+002
3.896441e+003, 4.911299e+002
3.925738e+003, 4.896040e+002
3.955034e+003, 4.887902e+002
3.984331e+003, 4.879764e+002
4.013628e+003, 4.871626e+002
4.042924e+003, 4.851281e+002
4.072221e+003, 4.830936e+002
4.101517e+003, 4.814660e+002
4.130814e+003, 4.806522e+002
4.160110e+003, 4.797367e+002
4.189407e+003, 4.790246e+002
4.218703e+003, 4.781091e+002
4.248000e+003, 4.772953e+002
4.277297e+003, 4.756677e+002
4.306593e+003, 4.741418e+002
4.335890e+003, 4.728193e+002
4.365186e+003, 4.721073e+002
4.394483e+003, 4.716495e+002
4.423779e+003, 4.708866e+002
4.453076e+003, 4.700728e+002
4.482372e+003, 4.700728e+002
4.511669e+003, 4.696913e+002
4.540965e+003, 4.692590e+002
4.570262e+003, 4.683434e+002
4.599559e+003, 4.676314e+002
4.628855e+003, 4.676314e+002
4.658152e+003, 4.676822e+002
4.687448e+003, 4.684452e+002
4.716745e+003, 4.688775e+002
4.746041e+003, 4.699710e+002
4.775338e+003, 4.704797e+002
4.804634e+003, 4.707848e+002
4.833931e+003, 4.708866e+002
4.863228e+003, 4.717004e+002
4.892524e+003, 4.729211e+002
4.921821e+003, 4.741418e+002
4.951117e+003, 4.756677e+002
4.980414e+003, 4.764815e+002
5.009710e+003, 4.773461e+002
5.039007e+003, 4.781091e+002
5.068303e+003, 4.789229e+002
5.097600e+003, 4.802453e+002
5.126897e+003, 4.818983e+002
5.156193e+003, 4.829919e+002
5.185490e+003, 4.838057e+002
5.214786e+003, 4.846195e+002
5.244083e+003, 4.855350e+002
5.273379e+003, 4.863997e+002
5.302676e+003, 4.879764e+002
5.331972e+003, 4.904178e+002
5.361269e+003, 4.935713e+002
5.390565e+003, 4.961145e+002
5.419862e+003, 4.977929e+002
5.449159e+003, 5.005904e+002
5.478455e+003, 5.041508e+002
5.507752e+003, 5.083215e+002
5.537048e+003, 5.123905e+002
5.566345e+003, 5.173496e+002
5.595641e+003, 5.237837e+002
5.624938e+003, 5.302942e+002
5.654234e+003, 5.368046e+002
5.683531e+003, 5.433659e+002
5.712828e+003, 5.514530e+002
5.742124e+003, 5.608118e+002
5.771421e+003, 5.700688e+002
5.800717e+003, 5.783594e+002
5.830014e+003, 5.872603e+002
5.859310e+003, 5.962630e+002
5.888607e+003, 6.052149e+002
5.917903e+003, 6.132003e+002
5.947200e+003, 6.181849e+002
5.976497e+003, 6.221521e+002
6.005793e+003, 6.247461e+002
6.035090e+003, 6.267298e+002
6.064386e+003, 6.278996e+002
6.093683e+003, 6.275436e+002
6.122979e+003, 6.255599e+002
6.152276e+003, 6.223047e+002
6.181572e+003, 6.188969e+002
6.210869e+003, 6.141158e+002
6.240165e+003, 6.099451e+002
6.269462e+003, 6.043502e+002
6.298759e+003, 5.974329e+002
6.328055e+003, 5.873112e+002
6.357352e+003, 5.774947e+002
6.386648e+003, 5.693567e+002
6.415945e+003, 5.636601e+002
6.445241e+003, 5.588281e+002
6.474538e+003, 5.522668e+002
6.503834e+003, 5.429081e+002
6.533131e+003, 5.326847e+002
6.562428e+003, 5.244958e+002
6.591724e+003, 5.189009e+002
6.621021e+003, 5.155440e+002
6.650317e+003, 5.122888e+002
6.679614e+003, 5.087284e+002
6.708910e+003, 5.051171e+002
6.738207e+003, 5.022180e+002
6.767503e+003, 4.993697e+002
6.796800e+003, 4.969283e+002
6.826096e+003, 4.949192e+002
6.855393e+003, 4.929101e+002
6.884690e+003, 4.914605e+002
6.913986e+003, 4.904178e+002
6.943283e+003, 4.895023e+002
6.972579e+003, 4.879764e+002
7.001876e+003, 4.862471e+002
7.031172e+003, 4.843397e+002
7.060469e+003, 4.827121e+002
7.089765e+003, 4.814660e+002
